rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,fumblesRecovered,totalFumbles,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected,firstDowns,thirdDownEff,fourthDownEff,totalYards,netPassingYards,completionAttempts,yardsPerPass,rushingYards,rushingAttempts,yardsPerRushAttempt,totalPenaltiesYards,turnovers,fumblesLost,interceptions,possessionTime,team,home_away,points,game_id,season,week,season_type
1,,,,1,25,0,2,2,,,,1,2,5,0,58,1,4,2,17,0-6,0-0,305,193,18-29,6.7,112,17,6.6,13-119,2,1,1,19:15,North Texas,away,14,400935351,2017,3,regular
2,17,0,1,2,44,0,2,7,5,0,1,1,2,3,0,30,1,1,5,28,11-18,4-5,435,197,16-27,7.3,238,59,4.0,6-63,2,2,0,40:45,Iowa,home,31,400935351,2017,3,regular
2,8,0,2,4,18,0,2,11,54,0,3,0,,4,0,30,2,1,5,38,12-18,0-0,680,304,17-32,9.5,376,66,5.7,16-155,1,0,1,38:17,South Florida,home,47,400941799,2017,3,regular
2,,,,1,92,0,4,1,0,0,1,0,,7,0,59,3,0,3,15,6-15,0-0,354,287,20-40,7.2,67,15,4.5,15-138,3,0,3,21:43,Illinois,away,23,400941799,2017,3,regular
0,12,0,1,3,72,0,4,11,,,,1,1,12,0,46,9,0,3,20,9-19,1-1,387,268,24-39,6.9,119,34,3.5,7-74,0,0,0,31:38,Temple,home,29,400941800,2017,3,regular
1,1,0,1,2,147,0,7,3,,,,0,3,11,0,45,2,0,4,25,4-12,1-2,458,377,23-39,9.7,81,33,2.5,6-48,1,1,0,28:22,UMass,away,21,400941800,2017,3,regular
5,67,1,3,3,,,,9,53,0,1,1,1,7,1,22,2,3,8,29,8-15,4-4,501,175,20-23,7.6,326,65,5.0,3-20,1,1,0,36:02,Arizona,away,63,400935269,2017,3,regular
1,,,,1,115,0,6,4,,,,1,1,4,0,41,1,1,1,12,2-12,0-2,218,201,18-39,5.2,17,14,1.2,4-35,2,1,1,23:58,UTEP,home,16,400935269,2017,3,regular
3,6,0,3,2,35,0,1,8,0,0,1,2,1,9,0,40,3,5,3,22,9-15,0-1,484,354,34-38,9.3,130,37,3.5,2-10,0,0,0,31:57,Houston,home,38,400938610,2017,3,regular
0,,,,0,97,0,7,3,,,,0,3,6,0,54,2,1,0,14,4-14,0-0,242,113,11-25,4.5,129,35,3.7,2-15,3,2,1,28:03,Rice,away,3,400938610,2017,3,regular
0,-2,0,1,6,42,0,2,10,,,,1,0,8,0,38,3,7,2,27,6-12,2-2,491,431,42-58,7.4,60,16,3.8,7-50,0,0,0,29:33,Washington State,home,52,400935274,2017,3,regular
2,0,0,1,1,119,0,6,3,,,,0,2,8,0,34,3,4,5,21,8-17,1-3,354,199,24-37,5.4,155,33,4.7,8-80,2,2,0,30:27,Oregon State,away,23,400935274,2017,3,regular
0,9,0,2,6,67,0,3,6,102,1,2,1,1,11,1,60,1,4,8,26,3-12,2-3,560,398,23-39,10.2,162,37,4.4,11-109,3,1,2,28:07,Memphis,home,48,400935270,2017,3,regular
2,0,0,1,4,119,0,8,9,1,0,2,1,1,7,0,47,2,1,5,31,8-17,0-1,633,463,34-56,8.3,170,35,4.9,10-99,3,1,2,31:53,UCLA,away,45,400935270,2017,3,regular
0,0,0,1,3,10,0,1,3,44,0,1,2,2,3,0,61,10,1,4,18,1-14,0-0,273,202,20-37,5.5,71,31,2.3,7-60,2,1,1,28:34,Northern Colorado,away,21,400935271,2017,3,regular
1,40,0,1,4,,,,11,0,0,1,1,3,4,0,46,1,5,3,30,7-14,0-0,569,357,29-41,8.7,212,39,5.4,14-114,3,2,1,31:26,Colorado,home,41,400935271,2017,3,regular
0,,,,0,30,0,2,,0,0,1,0,1,9,0,49,2,1,4,7,3-15,0-0,117,56,9-22,2.5,61,33,1.8,10-83,2,1,1,26:56,Bethune-Cookman,away,0,400938607,2017,3,regular
4,-1,0,1,1,6,0,1,9,0,0,1,0,2,9,0,25,7,3,5,32,4-13,2-4,619,180,19-32,5.6,439,58,7.6,8-83,2,1,1,33:04,Florida Atlantic,home,45,400938607,2017,3,regular
1,,,,0,75,0,5,5,65,1,2,2,1,5,1,47,2,3,3,10,1-13,0-0,149,65,9-26,2.5,84,33,2.5,4-25,3,0,3,28:15,Southern,away,17,400938613,2017,3,regular
3,7,0,4,4,96,0,7,9,8,0,3,0,2,6,0,31,5,7,2,25,7-12,0-0,502,335,24-30,11.2,167,39,4.3,9-78,4,2,2,31:45,UT San Antonio,home,51,400938613,2017,3,regular
3,,,,0,75,0,5,2,0,0,1,0,,7,0,27,1,0,3,23,6-14,0-1,367,226,25-35,6.5,141,41,3.4,3-22,0,0,0,34:01,Western Kentucky,home,22,400938608,2017,3,regular
1,0,0,2,1,59,0,3,11,,,,0,,7,0,49,4,0,0,20,7-15,0-0,428,306,22-39,7.8,122,30,4.1,3-25,1,0,1,25:59,Louisiana Tech,away,23,400938608,2017,3,regular
3,,,,1,77,0,4,5,96,1,2,1,2,10,1,38,7,1,2,19,6-14,1-1,420,259,16-26,10.0,161,40,4.0,6-75,1,1,0,31:18,North Carolina A&T,away,35,400938606,2017,3,regular
1,19,0,3,3,150,0,7,5,,,,1,4,5,0,32,2,2,1,27,6-14,1-2,436,170,13-29,5.9,266,46,5.8,7-60,3,1,2,28:42,Charlotte,home,31,400938606,2017,3,regular
2,47,0,3,0,75,0,3,7,,,,1,0,3,0,48,2,3,1,23,6-15,0-2,327,100,9-23,4.3,227,49,4.6,9-75,3,0,3,33:33,Coastal Carolina,away,23,400938612,2017,3,regular
4,4,0,1,0,57,0,5,6,17,0,3,0,2,12,0,51,1,2,7,18,5-13,1-1,274,105,8-15,7.0,169,47,3.6,5-70,1,1,0,26:27,UAB,home,30,400938612,2017,3,regular
0,7,0,2,0,33,0,2,3,,,,0,2,5,0,38,3,1,1,12,6-16,0-1,280,224,15-26,8.6,56,39,1.4,3-15,5,2,3,32:57,Arkansas-Pine Bluff,away,3,400944838,2017,3,regular
1,36,0,3,6,18,0,1,6,0,0,3,3,3,9,0,35,4,1,3,26,5-12,0-1,493,356,26-34,10.5,137,37,3.7,5-39,0,0,0,27:03,Arkansas State,home,48,400944838,2017,3,regular
1,10,0,3,3,87,0,4,4,,,,1,1,6,0,24,1,1,7,23,5-17,1-1,534,250,17-32,7.8,284,48,5.9,12-125,1,0,1,33:37,Southern Mississippi,away,28,400938611,2017,3,regular
2,34,0,4,0,19,0,1,5,0,0,1,0,1,9,0,34,3,3,4,15,3-16,1-2,330,112,11-27,4.1,218,37,5.9,5-54,1,1,0,26:23,Louisiana Monroe,home,17,400938611,2017,3,regular
0,7,0,2,0,130,0,6,0,,,,0,3,5,0,28,1,0,2,11,3-13,1-1,172,100,18-28,3.6,72,26,2.8,4-43,2,1,1,30:52,Alabama A&M,away,0,400944840,2017,3,regular
2,13,0,2,2,45,0,1,9,0,0,1,1,1,7,0,34,2,1,2,18,3-8,0-1,413,255,9-13,19.6,158,39,4.1,9-83,0,0,0,29:08,South Alabama,home,45,400944840,2017,3,regular
1,5,0,2,1,92,0,3,8,41,0,1,0,2,7.5,0,52,5,7,5,19,4-11,0-0,283,167,17-28,6.0,116,29,4.0,6-57,1,1,0,26:29,Appalachian State,away,20,400944836,2017,3,regular
0,7,0,3,1,38,0,2,7,,,,0,2,6,0,42,1,2,1,21,10-18,0-0,385,260,23-35,7.4,125,37,3.4,7-67,1,0,1,33:31,Texas State,home,13,400944836,2017,3,regular
1,10,0,3,0,124,0,6,2,0,0,1,1,0,3,0,28,0,2,5,15,2-15,1-2,227,92,10-34,2.7,135,36,3.8,9-67,5,0,5,30:25,UTEP,away,14,400938619,2017,4,regular
3,5,0,1,2,0,0,1,5,23,1,5,0,1,7,1,25,3,4,6,21,9-17,1-1,462,283,26-43,6.6,179,29,6.2,11-103,2,1,1,29:35,New Mexico State,home,41,400938619,2017,4,regular
2,3,0,1,0,,,,11,,,,2,1,6,0,31,3,8,8,17,4-17,2-2,350,106,11-26,4.1,244,48,5.1,12-109,1,0,1,30:01,South Alabama,home,23,400944841,2017,4,regular
2,23,0,2,1,55,0,3,11,31,0,1,0,2,9,0,37,1,1,4,23,5-13,0-2,419,273,23-39,7.0,146,37,3.9,5-51,2,2,0,29:59,Idaho,away,29,400944841,2017,4,regular
0,,,,2,106,0,4,4,,,,0,2,7,0,28,1,3,1,26,11-19,1-2,496,345,32-53,6.5,151,32,4.7,9-97,3,2,1,34:03,Michigan State,home,18,400934575,2017,4,regular
3,0,0,1,1,83,0,3,8,59,1,1,2,0,4,1,35,2,5,3,21,8-14,0-0,355,173,14-20,8.6,182,40,4.6,6-65,0,0,0,25:57,Notre Dame,away,38,400934575,2017,4,regular
0,,,,0,,,,3,,,,1,,3,0,21,0,0,0,15,6-16,1-2,280,103,15-33,3.1,177,37,4.8,4-35,2,0,2,28:41,Mississippi State,away,3,400933865,2017,4,regular
2,-3,0,1,2,25,0,1,7,37,0,2,0,1,3,0,33,0,0,6,15,5-11,0-1,404,201,9-12,16.8,203,42,4.8,4-35,1,1,0,31:19,Georgia,home,31,400933865,2017,4,regular
0,87,0,3,3,,,,9,21,0,1,0,,4,0,39,1,1,4,21,1-10,1-1,340,220,18-27,8.1,120,32,3.8,7-55,0,0,0,29:55,Kentucky,home,27,400933866,2017,4,regular
2,5,0,1,2,34,0,2,4,,,,0,,7,0,30,4,1,3,20,5-14,3-4,395,209,17-27,7.7,186,36,5.2,8-72,1,0,1,30:05,Florida,away,28,400933866,2017,4,regular
1,17,0,3,1,,,,1,,,,1,1,12,0,41,0,1,6,14,3-14,0-1,281,137,13-22,6.2,144,37,3.9,7-43,0,0,0,30:28,UMass,away,13,400933870,2017,4,regular
1,27,0,3,1,10,0,1,5,,,,0,2,12,0,36,7,1,6,18,7-18,0-0,319,184,19-32,5.8,135,39,3.5,5-51,1,1,0,29:32,Tennessee,home,17,400933870,2017,4,regular
0,,,,1,50,0,2,10,19,0,1,1,0,4,0,44,2,3,4,17,6-13,0-0,361,281,23-33,8.5,80,28,2.9,3-18,1,0,1,30:52,Louisiana Tech,away,16,400933869,2017,4,regular
1,10,0,2,1,27,0,2,5,0,0,1,0,4,5,0,38,1,0,3,23,8-14,1-1,438,295,22-35,8.4,143,32,4.5,1-15,2,1,1,29:08,South Carolina,home,17,400933869,2017,4,regular
6,33,0,3,2,,,,11,1,0,1,1,3,1,0,19,0,3,6,38,9-15,2-2,677,181,17-27,6.7,496,66,7.5,6-40,0,0,0,42:55,Alabama,away,59,400933871,2017,4,regular
0,,,,0,89,0,5,,,,,0,1,2,0,45,1,2,2,3,1-11,0-0,78,38,7-22,1.7,40,16,2.5,5-20,2,1,1,17:05,Vanderbilt,home,0,400933871,2017,4,regular
3,,,,2,179,1,6,14,0,0,1,0,,7,1,43,6,8,2,20,6-15,2-2,501,216,14-27,8.0,285,42,6.8,6-36,1,0,1,27:43,Texas A&M,away,50,400933864,2017,4,regular
3,,,,3,86,0,4,5,3,0,1,0,,5,0,38,1,3,3,21,5-13,0-0,457,231,13-27,8.6,226,45,5.0,9-69,1,0,1,32:17,Arkansas,home,43,400933864,2017,4,regular
0,,,,2,21,0,1,2,,,,0,3,3,0,46,1,1,0,21,4-13,0-2,340,216,23-39,5.5,124,31,4.0,7-55,4,3,1,25:40,Missouri,home,14,400933868,2017,4,regular
5,1,0,1,1,21,0,1,15,0,0,1,3,0,6,0,38,2,1,1,22,7-15,0-1,482,219,16-21,10.4,263,53,5.0,5-50,0,0,0,34:20,Auburn,away,51,400933868,2017,4,regular
1,,,,2,33,0,2,6,0,0,1,0,1,6,0,26,2,2,2,24,8-19,2-3,384,308,34-55,5.6,76,27,2.8,7-38,1,0,1,29:52,Syracuse,away,26,400933867,2017,4,regular
3,,,,2,13,0,1,5,28,0,1,0,,8,0,27,3,3,6,18,7-13,0-0,414,263,14-23,11.4,151,38,4.0,3-25,1,0,1,30:08,LSU,home,35,400933867,2017,4,regular
1,,,,1,14,0,1,2,,,,0,,3,0,40,2,1,0,19,6-17,1-3,345,228,20-39,5.8,117,38,3.1,6-80,2,0,2,30:01,Central Michigan,home,14,400944901,2017,4,regular
2,4,0,2,2,0,0,2,7,54,0,2,0,,4,0,48,0,0,4,20,5-13,0-0,394,217,11-19,11.4,177,40,4.4,10-90,0,0,0,29:59,Miami (OH),away,31,400944901,2017,4,regular
1,10,0,4,1,43,0,3,8,,,,0,1,7,0,47,4,9,6,15,5-18,0-3,350,305,29-49,6.2,45,27,1.7,8-85,1,0,1,29:04,Eastern Michigan,home,20,400944902,2017,4,regular
0,,,,2,47,0,2,9,46,1,1,0,2,4,1,36,2,5,7,19,9-20,0-0,368,197,19-31,6.4,171,46,3.7,4-31,2,2,0,30:56,Ohio,away,27,400944902,2017,4,regular
3,8,0,3,2,,,,6,37,1,1,2,2,14,1,41,2,0,2,23,4-10,1-2,539,374,23-30,12.5,165,27,6.1,4-30,4,2,2,23:18,Louisville,home,42,400937474,2017,4,regular
0,,,,0,44,0,3,3,13,0,2,2,2,3,0,40,1,0,0,11,5-15,0-0,150,11,2-5,2.2,139,54,2.6,5-45,3,2,1,36:42,Kent State,away,3,400937474,2017,4,regular
2,8,0,1,1,105,0,4,4,0,0,2,1,1,4,0,32,2,4,5,24,4-14,2-3,493,314,28-42,7.5,179,29,6.2,16-163,1,1,0,26:11,Troy,home,22,400944818,2017,4,regular
1,,,,1,-1,0,1,5,,,,1,1,3,0,38,1,3,6,23,9-17,1-1,367,268,20-40,6.7,99,35,2.8,12-100,3,1,2,33:49,Akron,away,17,400944818,2017,4,regular
4,,,,3,69,0,3,10,,,,1,,9,0,53,4,1,5,27,3-9,0-0,587,333,27-36,9.3,254,26,9.8,8-75,1,0,1,24:29,Miami,home,52,400937475,2017,4,regular
0,,,,3,94,0,5,10,35,0,1,0,2,6,0,41,2,0,2,23,13-23,0-0,429,344,29-50,6.9,85,35,2.4,10-77,1,1,0,35:31,Toledo,away,30,400937475,2017,4,regular
2,,,,0,46,0,2,2,,,,0,1,2,0,49,0,0,0,11,2-11,0-0,113,57,8-16,3.6,56,35,1.6,6-53,1,1,0,31:17,Wagner,away,14,400944903,2017,4,regular
4,6,0,2,3,19,0,2,7,,,,1,2,13,0,38,2,2,4,23,8-10,0-0,527,165,11-12,13.8,362,51,7.1,10-92,2,2,0,28:43,Western Michigan,home,49,400944903,2017,4,regular
2,31,0,3,1,94,0,4,9,42,1,2,1,2,2,1,34,1,7,8,22,7-14,0-0,371,319,28-44,7.3,52,30,1.7,4-35,2,0,2,31:18,Western Kentucky,home,33,400938621,2017,4,regular
3,,,,0,52,0,3,3,10,0,2,0,1,6,0,49,4,2,3,17,3-12,0-1,374,267,18-36,7.4,107,31,3.5,4-35,3,1,2,28:42,Ball State,away,21,400938621,2017,4,regular
4,34,0,2,0,38,0,2,7,,,,0,2,5,0,53,2,0,6,22,3-10,1-2,412,150,17-29,5.2,262,37,7.1,8-65,1,0,1,19:32,Florida Atlantic,away,31,400938616,2017,4,regular
3,,,,1,39,0,2,10,0,0,1,0,,3,0,37,1,1,4,28,8-16,0-0,458,254,18-27,9.4,204,57,3.6,7-52,0,0,0,40:28,Buffalo,home,34,400938616,2017,4,regular
1,,,,2,21,0,1,9,,,,1,0,6,0,35,4,3,0,21,5-12,1-1,365,255,23-33,7.7,110,37,3.0,6-41,0,0,0,33:22,NC State,away,27,400937472,2017,4,regular
0,38,0,4,1,100,0,3,13,,,,0,1,11,0,35,1,1,2,15,4-15,1-2,382,278,22-39,7.1,104,26,4.0,11-93,1,1,0,26:38,Florida State,home,21,400937472,2017,4,regular
5,54,0,2,0,26,0,1,4,0,0,2,0,2,6,0,33,1,10,5,27,8-16,1-2,482,140,17-26,5.4,342,58,5.9,2-10,2,0,2,34:56,Clemson,home,34,400937470,2017,4,regular
1,53,0,3,0,102,0,5,1,27,0,2,0,1,4,0,48,2,1,4,12,4-16,1-1,238,141,15-32,4.4,97,34,2.9,2-20,2,0,2,25:04,Boston College,away,7,400937470,2017,4,regular
0,37,0,3,2,42,0,2,7,,,,0,1,2,0,35,1,2,6,27,7-20,1-2,494,372,26-52,7.2,122,35,3.5,7-65,0,0,0,35:44,Appalachian State,home,19,400937478,2017,4,regular
0,13,0,1,2,22,0,1,8,,,,0,,7,0,47,0,3,8,18,4-16,0-0,344,176,14-27,6.5,168,40,4.2,8-66,0,0,0,24:16,Wake Forest,away,20,400937478,2017,4,regular
0,,,,0,,,,,0,0,1,0,1,5,0,41,1,2,3,7,2-14,0-1,149,85,8-26,3.3,64,24,2.7,5-35,1,0,1,21:45,Old Dominion,away,0,400937477,2017,4,regular
2,34,0,4,3,30,0,1,8,0,0,1,0,,4,0,18,1,5,6,32,11-18,0-0,582,311,21-32,9.7,271,57,4.8,2-25,1,0,1,38:15,Virginia Tech,home,38,400937477,2017,4,regular
0,80,1,3,1,124,0,6,5,,,,4,1,2,1,61,0,0,0,11,1-13,2-3,235,198,22-35,5.7,37,20,1.9,3-26,1,1,0,24:58,Pittsburgh,away,17,400937473,2017,4,regular
5,23,0,2,0,26,0,1,5,,,,1,5,7,0,44,3,3,6,25,6-14,1-1,484,48,4-7,6.9,436,67,6.5,4-18,4,4,0,35:02,Georgia Tech,home,35,400937473,2017,4,regular
1,19,0,2,1,9,0,1,9,61,1,1,0,,11,1,37,4,5,5,20,7-18,2-2,388,202,18-34,5.9,186,45,4.1,2-12,0,0,0,33:36,Duke,away,27,400937471,2017,4,regular
1,7,0,3,1,87,0,4,5,,,,0,1,4,0,39,3,5,7,15,3-16,2-3,377,259,17-32,8.1,118,33,3.6,6-65,1,0,1,26:24,North Carolina,home,17,400937471,2017,4,regular
2,14,0,3,1,142,0,6,3,,,,0,1,5,0,36,1,0,2,22,4-16,1-4,383,353,28-53,6.7,30,24,1.3,9-64,1,0,1,26:37,Boise State,home,23,400945258,2017,4,regular
3,17,0,1,3,51,0,2,6,1,0,1,0,2,7,0,39,4,0,6,21,9-15,0-0,440,273,19-29,9.4,167,40,4.2,3-23,0,0,0,33:23,Virginia,away,42,400945258,2017,4,regular
3,,,,0,27,0,2,3,0,0,2,0,1,3,0,45,4,0,1,15,2-11,3-3,356,103,10-22,4.7,253,30,8.4,6-59,0,0,0,20:42,Tulane,home,21,400934561,2017,4,regular
2,8,0,2,0,47,0,3,5,,,,0,,4,0,33,2,0,6,22,8-17,2-4,371,0,0-5,0.0,371,69,5.4,5-35,2,0,2,39:18,Army,away,17,400934561,2017,4,regular
1,-1,0,2,2,48,0,3,6,,,,0,3,8,0,44,3,4,6,27,8-12,0-0,533,290,24-32,9.1,243,43,5.7,3-23,3,2,1,34:49,Middle Tennessee,home,24,400938617,2017,4,regular
0,,,,1,,,,7,25,0,1,2,3,4,0,57,1,1,4,14,7-17,0-1,284,283,21-35,8.1,1,29,0.0,6-50,0,0,0,25:11,Bowling Green,away,13,400938617,2017,4,regular
4,-3,0,1,1,62,0,3,14,-2,0,3,1,3,6,0,49,3,2,2,32,11-19,0-0,466,228,22-33,6.9,238,52,4.6,4-23,1,0,1,39:04,TCU,away,44,400934516,2017,4,regular
2,0,0,1,2,86,0,5,7,7,0,1,0,1,10,0,54,2,2,3,26,7-14,1-2,499,398,22-42,9.5,101,31,3.3,8-77,4,1,3,20:56,Oklahoma State,home,31,400934516,2017,4,regular
4,2,0,1,3,155,0,7,7,,,,1,2,8,0,51,4,4,2,20,4-10,0-0,625,283,13-19,14.9,342,40,8.6,10-105,1,1,0,28:53,Oklahoma,away,49,400934515,2017,4,regular
0,47,0,2,4,,,,15,,,,1,2,4,0,39,2,1,3,22,9-21,2-2,523,463,33-50,9.3,60,35,1.7,6-29,1,1,0,31:07,Baylor,home,41,400934515,2017,4,regular
1,3,0,2,2,53,0,2,6,20,0,1,0,4,6,0,35,2,9,3,25,6-18,2-2,427,317,32-52,6.1,110,31,3.5,6-50,5,3,2,29:10,Houston,home,24,400934518,2017,4,regular
1,1,0,2,2,36,0,2,9,12,0,2,5,3,5,0,46,2,6,5,17,4-17,1-2,521,321,29-45,7.1,200,33,6.1,15-117,1,0,1,30:50,Texas Tech,away,27,400934518,2017,4,regular
5,,,,2,62,0,3,8,63,1,2,1,1,5,1,63,1,2,2,31,7-14,0-1,635,347,25-39,8.9,288,43,6.7,4-42,1,0,1,29:27,West Virginia,away,56,400934514,2017,4,regular
3,,,,1,59,0,3,10,0,0,1,0,1,2,0,58,1,4,4,24,8-18,2-2,564,197,17-34,5.8,367,50,7.3,8-43,3,1,2,30:33,Kansas,home,34,400934514,2017,4,regular
0,1,0,2,0,34,0,4,4,96,1,2,1,5,5,1,61,4,1,5,10,2-14,0-0,162,54,8-22,2.5,108,37,2.9,9-52,5,4,1,20:19,San José State,home,10,400945260,2017,4,regular
3,14,0,2,3,31,0,2,19,13,0,1,4,1,8,0,30,3,0,3,29,10-21,3-3,589,271,28-41,6.6,318,57,5.6,7-60,3,1,2,39:41,Utah State,away,61,400945260,2017,4,regular
2,,,,1,55,0,3,3,,,,0,,5,0,31,2,0,2,24,6-15,2-3,450,280,29-40,7.0,170,38,4.5,10-96,2,0,2,39:05,Hawai'i,away,21,400945261,2017,4,regular
2,58,0,3,1,161,1,4,4,22,0,2,0,,5,1,48,2,0,6,11,4-12,1-1,269,92,9-19,4.8,177,29,6.1,4-51,0,0,0,20:55,Wyoming,home,28,400945261,2017,4,regular
1,,,,0,,,,7,18,0,1,2,0,4,0,52,1,1,0,15,5-13,1-2,286,131,13-27,4.9,155,31,5.0,6-59,1,0,1,17:19,Tulsa,home,13,400941807,2017,4,regular
1,16,0,1,0,45,0,3,10,0,0,1,0,4,3,0,28,2,0,5,25,6-15,1-3,446,108,9-14,7.7,338,59,5.7,6-49,3,2,1,42:41,New Mexico,away,16,400941807,2017,4,regular
3,8,0,2,1,0,0,1,4,0,0,1,0,1,5,0,38,0,0,0,19,3-11,0-0,367,180,10-16,11.3,187,41,4.6,0-0,1,1,0,28:01,San Diego State,away,28,400945259,2017,4,regular
3,36,0,4,0,49,0,3,4,,,,1,4,3,0,29,1,0,4,14,6-15,0-2,253,33,2-6,5.5,220,60,3.7,5-52,1,0,1,31:59,Air Force,home,24,400945259,2017,4,regular
0,7,0,1,7,124,0,4,10,35,0,2,0,2,13,0,44,4,2,6,34,3-11,3-4,664,474,31-44,10.8,190,40,4.8,8-85,3,2,1,26:48,Ohio State,home,54,400935363,2017,4,regular
2,,,,0,104,0,7,3,65,1,1,2,,4,1,52,3,0,3,17,3-13,0-0,264,88,11-20,4.4,176,41,4.3,4-30,2,0,2,33:12,UNLV,away,21,400935363,2017,4,regular
1,0,0,1,5,,,,9,-1,0,3,0,2,9,0,29,5,7,2,31,9-14,1-3,560,505,38-50,10.1,55,34,1.6,5-55,2,1,1,38:46,Washington State,home,45,400935283,2017,4,regular
1,1,0,1,0,96,0,5,1,1,0,1,1,0,13,0,47,4,2,1,13,2-11,1-2,151,105,14-30,3.5,46,24,1.9,5-53,3,0,3,21:14,Nevada,away,7,400935283,2017,4,regular
3,,,,1,59,0,3,8,57,1,2,0,,12,1,47,5,0,0,18,5-14,1-1,428,178,18-30,5.9,250,39,6.4,11-106,0,0,0,30:43,UCF,away,38,400935361,2017,4,regular
0,40,0,2,1,122,0,6,4,,,,0,1,5,0,43,0,0,7,18,2-13,1-2,197,155,17-28,5.5,42,37,1.1,7-53,2,0,2,29:17,Maryland,home,10,400935361,2017,4,regular
1,56,0,3,2,49,0,2,9,16,0,2,0,1,3,0,25,0,4,1,21,8-17,0-0,306,109,13-26,4.2,197,47,4.2,6-46,2,0,2,35:21,Nebraska,home,27,400935362,2017,4,regular
1,,,,0,41,0,2,5,33,1,2,0,1,6,1,32,0,3,2,12,3-12,0-1,194,126,15-29,4.3,68,24,2.8,4-35,2,0,2,24:39,Rutgers,away,17,400935362,2017,4,regular
0,8,0,2,1,20,0,1,4,7,0,1,0,3,9,0,52,4,0,2,8,0-12,0-0,189,159,13-30,5.3,30,20,1.5,8-82,1,1,0,21:01,Purdue,home,10,400935364,2017,4,regular
3,-1,0,1,1,15,0,1,4,,,,0,1,7,0,24,5,0,5,24,6-15,1-1,423,284,21-31,9.2,139,44,3.2,7-57,2,1,1,38:59,Michigan,away,28,400935364,2017,4,regular
1,4,0,1,2,67,0,3,1,33,0,1,1,1,11,0,65,4,5,8,11,3-11,0-0,273,191,13-22,8.7,82,23,3.6,3-25,1,1,0,20:21,Iowa,home,19,400935360,2017,4,regular
1,4,0,1,1,73,0,4,7,,,,1,2,7,0,33,1,1,1,29,6-18,3-4,579,284,31-48,5.9,295,51,5.8,8-90,2,1,1,39:39,Penn State,away,21,400935360,2017,4,regular
0,39,0,3,2,30,0,3,5,,,,0,5,5,0,46,0,0,3,15,3-15,2-3,375,133,7-16,8.3,242,54,4.5,13-108,3,3,0,34:11,Georgia Southern,away,17,400935359,2017,4,regular
3,74,1,2,2,23,0,1,10,,,,3,1,8,1,54,4,2,0,20,5-14,0-1,467,185,11-22,8.4,282,47,6.0,5-30,0,0,0,25:49,Indiana,home,52,400935359,2017,4,regular
0,24,0,3,1,,,,7,0,0,1,0,2,9,0,52,2,0,5,18,6-13,0-2,271,172,17-28,6.1,99,33,3.0,5-57,1,0,1,26:03,Florida International,away,13,400938615,2017,4,regular
1,5,0,2,0,15,0,1,1,0,0,1,0,,11,0,46,5,0,6,19,5-15,1-2,248,148,16-27,5.5,100,41,2.4,4-30,1,0,1,33:57,Rice,home,7,400938615,2017,4,regular
3,-2,0,2,1,78,0,4,13,,,,1,1,6,0,40,2,0,1,23,8-21,1-2,489,347,24-39,8.9,142,53,2.7,6-65,1,1,0,38:06,Arizona State,home,37,400935278,2017,4,regular
2,29,0,3,3,25,0,1,5,,,,0,2,13,0,65,4,0,3,20,1-11,0-2,401,281,19-35,8.0,120,30,4.0,14-99,1,1,0,21:54,Oregon,away,35,400935278,2017,4,regular
1,10,0,2,3,90,0,5,10,,,,1,3,5,0,37,0,3,2,27,3-12,2-2,595,480,40-60,8.0,115,15,7.7,13-132,4,2,2,23:20,UCLA,away,34,400935280,2017,4,regular
5,4,0,2,2,169,0,7,16,11,0,2,2,2,2,0,38,1,7,5,23,4-12,1-1,553,148,16-24,6.2,405,45,9.0,12-86,1,1,0,36:40,Stanford,home,58,400935280,2017,4,regular
1,6,0,1,0,111,0,5,4,0,0,1,0,3,2,0,30,0,1,2,20,7-15,0-1,311,191,22-30,6.4,120,43,2.8,3-35,3,0,3,30:52,Colorado,home,10,400935281,2017,4,regular
3,17,0,1,1,38,0,2,7,37,1,3,0,,7,1,48,5,0,0,20,5-10,0-0,414,160,11-21,7.6,254,39,6.5,3-20,1,0,1,29:08,Washington,away,37,400935281,2017,4,regular
1,13,0,1,2,55,0,2,12,71,0,4,2,1,6,0,37,3,6,5,22,6-15,0-2,356,223,26-38,5.9,133,38,3.5,5-53,2,1,1,31:00,USC,away,30,400935279,2017,4,regular
1,3,0,1,1,112,0,4,8,13,0,1,1,3,5,0,42,1,3,4,21,6-19,4-6,416,303,22-52,5.8,113,33,3.4,6-44,6,2,4,29:00,California,home,20,400935279,2017,4,regular
2,,,,3,20,0,1,11,0,0,1,0,,3,0,39,1,0,1,30,8-16,1-1,596,426,30-39,10.9,170,47,3.6,8-78,0,0,0,37:22,East Carolina,away,41,400941838,2017,4,regular
2,10,0,1,3,42,0,2,8,,,,0,,3,0,53,1,2,0,27,6-13,1-1,596,406,24-39,10.4,190,38,5.0,4-40,1,0,1,22:38,Connecticut,home,38,400941838,2017,4,regular
