rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,fumblesRecovered,totalFumbles,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected,firstDowns,thirdDownEff,fourthDownEff,totalYards,netPassingYards,completionAttempts,yardsPerPass,rushingYards,rushingAttempts,yardsPerRushAttempt,totalPenaltiesYards,turnovers,fumblesLost,interceptions,possessionTime,team,home_away,points,game_id,season,week,season_type
0,,,,0,96,0,5,,,,,0,,4,0,42,0,1,1,6,2-10,0-1,97,102,12-24,4.3,-5,14,-0.4,5-39,1,0,1,18:06,BYU,away,0,400933833,2017,1,regular
3,26,0,3,0,21,0,1,9,0,0,1,0,,3,0,24,3,2,5,26,5-10,0-1,479,183,15-18,10.2,296,57,5.2,10-86,0,0,0,41:54,LSU,home,27,400933833,2017,1,regular
0,0,0,1,1,214,2,5,7,72,1,1,1,1,4,3,36,2,20,7,15,7-13,0-1,267,208,20-30,6.9,59,25,2.4,6-43,2,1,1,24:16,Marshall,home,31,400938594,2017,1,regular
1,9,0,1,2,11,0,1,8,0,0,1,1,2,5,0,22,1,4,3,25,8-17,3-3,429,298,23-44,6.8,131,42,3.1,5-51,2,1,1,35:44,Miami (OH),away,26,400938594,2017,1,regular
0,-1,0,1,0,130,0,9,,0,0,1,0,3,7,0,31,0,0,1,7,2-15,0-0,108,61,6-24,2.5,47,32,1.5,10-67,2,2,0,24:17,Hampton,away,0,400944892,2017,1,regular
7,19,0,4,1,38,0,2,9,,,,2,1,11,0,32,3,3,7,22,7-14,3-3,420,172,13-19,9.1,248,53,4.7,6-54,1,0,1,35:43,Ohio,home,59,400944892,2017,1,regular
6,26,0,4,2,22,0,1,8,,,,0,,5,0,21,0,1,1,34,5-10,1-1,665,312,25-35,8.9,353,43,8.2,4-45,1,0,1,26:55,Clemson,home,56,400937447,2017,1,regular
0,,,,0,72,0,4,3,10,0,1,0,,4,0,39,0,0,5,5,4-16,0-0,120,1,1-5,0.2,119,44,2.7,11-79,0,0,0,33:05,Kent State,away,3,400937447,2017,1,regular
4,130,1,5,2,20,0,1,10,0,0,1,0,,14,1,22,3,3,3,24,3-9,1-2,569,322,21-31,10.4,247,34,7.3,5-45,1,0,1,29:30,Penn State,home,52,400935237,2017,1,regular
0,,,,0,77,0,4,,0,0,1,0,1,6,0,35,0,0,1,12,4-17,0-0,159,86,14-29,3.0,73,34,2.1,9-84,1,0,1,30:30,Akron,away,0,400935237,2017,1,regular
2,,,,0,150,0,8,1,19,0,1,1,0,2,0,33,2,3,5,7,4-14,0-1,175,47,3-14,3.4,128,40,3.2,5-40,1,0,1,29:01,Elon,away,13,400944889,2017,1,regular
4,29,0,5,0,130,1,3,17,0,0,1,0,1,5,1,32,1,3,0,24,6-14,1-2,553,314,19-34,9.2,239,41,5.8,2-20,2,1,1,30:59,Toledo,home,47,400944889,2017,1,regular
6,15,0,1,0,75,0,4,7,37,1,1,0,1,4,1,41,1,0,6,25,7-11,0-0,521,289,23-33,8.8,232,34,6.8,9-94,2,0,2,25:22,USC,home,49,400935252,2017,1,regular
2,0,0,1,1,168,1,4,7,20,0,2,0,1,3,1,39,2,0,2,24,5-14,0-0,357,94,12-23,4.1,263,48,5.5,6-34,1,0,1,34:38,Western Michigan,away,31,400935252,2017,1,regular
2,55,0,3,1,29,0,2,4,21,0,1,0,1,5,0,44,3,2,4,14,2-10,1-1,216,145,10-19,7.6,71,30,2.4,3-30,1,0,1,23:27,Illinois,home,24,400935232,2017,1,regular
2,9,0,2,1,15,0,1,3,0,0,1,0,1,9,0,32,4,4,4,21,12-21,1-2,375,204,21-34,6.0,171,51,3.4,2-25,2,1,1,36:33,Ball State,away,21,400935232,2017,1,regular
0,-1,0,1,1,85,0,4,1,0,0,1,1,1,5,0,33,1,5,4,13,5-16,0-1,280,114,12-29,3.9,166,35,4.7,11-103,3,0,3,26:57,Charlotte,away,7,400944891,2017,1,regular
2,12,0,2,0,36,0,2,6,46,1,3,0,1,7,1,26,2,1,6,19,7-15,0-1,393,267,22-31,8.6,126,41,3.1,10-70,2,1,1,33:03,Eastern Michigan,home,24,400944891,2017,1,regular
0,,,,3,133,0,5,9,0,0,1,3,1,7,0,64,2,0,7,15,4-16,0-0,392,284,21-40,7.1,108,31,3.5,10-75,6,0,6,28:10,Rhode Island,away,27,400944890,2017,1,regular
2,,,,1,72,0,4,10,-5,0,6,0,4,5,0,39,1,3,3,24,5-20,1-1,499,253,28-54,4.7,246,50,4.9,9-87,4,3,1,31:50,Central Michigan,home,30,400944890,2017,1,regular
0,11,0,1,2,81,0,4,11,0,0,1,0,,2,0,33,0,0,5,21,9-24,2-2,339,191,26-42,4.5,148,50,3.0,8-79,1,0,1,33:39,Boston College,away,23,400937446,2017,1,regular
0,17,0,3,2,48,0,3,8,0,0,1,0,,12,0,54,2,0,4,18,2-15,1-2,367,203,16-39,5.2,164,35,4.7,8-70,1,0,1,26:21,Northern Illinois,home,20,400937446,2017,1,regular
