fumblesRecovered,rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,firstDowns,thirdDownEff,fourthDownEff,totalYards,netPassingYards,completionAttempts,yardsPerPass,rushingYards,rushingAttempts,yardsPerRushAttempt,totalPenaltiesYards,turnovers,fumblesLost,interceptions,possessionTime,interceptionYards,interceptionTDs,passesIntercepted,team,home_away,points,game_id,season,week,season_type
2,1,15,0,2,0,110,0,6,4,9,4-17,1-3,171,80,10-22,3.6,91,40,2.3,3-24,2,1,1,25:29,,,,Florida International,away,10,332430120,2013,1,regular
1,2,0,0,1,3,70,0,3,13,26,4-13,0-1,576,325,25-29,11.2,251,42,6.0,2-10,2,2,0,39:53,0,0,1,Maryland,home,43,332430120,2013,1,regular
4,1,29,0,1,1,13,0,2,2,13,5-16,0-0,207,134,14-21,6.4,73,41,1.8,6-60,1,1,0,34:16,27,0,2,Texas State,away,22,332432572,2013,1,regular
1,0,52,0,2,1,114,0,4,7,15,6-21,0-3,400,377,28-53,7.1,23,24,1.0,2-10,6,4,2,25:44,,,,Southern Mississippi,home,15,332432572,2013,1,regular
0,2,5,0,1,3,45,0,3,8,26,8-14,0-1,460,370,39-52,7.1,90,23,3.9,4-35,1,1,0,28:50,,,,Old Dominion,away,38,332430151,2013,1,regular
1,1,35,0,2,5,23,0,1,10,26,12-17,0-0,481,447,46-54,8.3,34,22,1.5,9-85,0,0,0,31:10,,,,East Carolina,home,52,332430151,2013,1,regular
0,3,0,0,1,1,50,0,2,10,25,6-13,2-2,497,319,30-33,9.7,178,39,4.6,5-60,2,2,0,30:49,,,,Troy,home,34,332432653,2013,1,regular
2,0,,,,3,205,1,6,7,19,2-13,2-3,447,339,21-35,9.7,108,30,3.6,13-96,0,0,0,28:53,,,,UAB,away,31,332432653,2013,1,regular
2,3,76,1,3,0,29,0,1,10,23,3-13,1-1,396,163,12-28,5.8,233,53,4.4,6-60,1,0,1,38:40,,,,Bowling Green,home,34,332410189,2013,1,regular
0,0,15,0,4,1,120,0,6,1,12,6-17,0-2,273,222,20-41,5.4,51,24,2.1,4-25,2,2,0,27:25,11,0,1,Tulsa,away,7,332410189,2013,1,regular
0,1,8,0,3,0,22,0,2,1,18,9-20,2-2,356,244,15-29,8.4,112,48,2.3,9-78,6,2,4,33:56,,,,Jackson State,away,7,332412655,2013,1,regular
2,2,10,0,2,2,47,0,2,10,16,5-12,0-0,308,150,7-16,9.4,158,43,3.7,4-27,0,0,0,25:59,24,0,4,Tulane,home,34,332412655,2013,1,regular
