team_id,record_string
Houston 2022,8-5
North Texas 2022,7-7
Texas 2022,8-5
BYU 2022,8-5
Utah 2022,10-4
James Madison 2022,8-3
Virginia 2022,3-7
Virginia Tech 2022,3-8
Washington 2022,11-2
Washington State 2022,7-6
Wisconsin 2022,7-6
Marshall 2022,9-4
West Virginia 2022,5-7
Fresno State 2022,10-4
Georgia Southern 2022,6-7
Old Dominion 2022,3-9
Louisiana 2022,6-7
Coastal Carolina 2022,9-4
Texas State 2022,4-8
Utah State 2022,6-7
Alabama 2022,11-2
Mississippi State 2022,9-4
Army 2022,6-6
Illinois 2022,8-5
Air Force 2022,10-3
Akron 2022,2-10
Appalachian State 2022,6-6
Arkansas State 2022,3-9
Ball State 2022,5-7
Buffalo 2022,7-6
UCF 2022,9-5
Central Michigan 2022,4-8
Cincinnati 2022,9-4
Eastern Michigan 2022,9-4
Florida Atlantic 2022,5-7
Florida International 2022,4-8
Georgia State 2022,4-8
Iowa 2022,8-5
Kansas 2022,6-7
Kansas State 2022,10-4
Kent State 2022,5-7
Liberty 2022,8-5
Louisiana Tech 2022,3-9
Miami 2022,5-7
Middle Tennessee 2022,8-5
Navy 2022,4-8
Charlotte 2022,3-9
Louisiana Monroe 2022,4-8
UNLV 2022,5-7
Nevada 2022,2-10
Northern Illinois 2022,3-9
Oregon 2022,10-3
Purdue 2022,8-6
SMU 2022,7-6
Southern Mississippi 2022,7-6
South Carolina 2022,8-5
TCU 2022,13-2
Tennessee 2022,11-2
UT San Antonio 2022,11-3
UTEP 2022,5-7
Texas Tech 2022,8-5
Toledo 2022,9-5
Troy 2022,12-2
Tulane 2022,12-2
Western Michigan 2022,5-7
Wyoming 2022,7-6
Auburn 2023,6-7
UAB 2023,4-8
South Alabama 2023,7-6
Arkansas 2023,4-8
Arizona State 2023,3-9
Arizona 2023,10-3
San Diego State 2023,4-8
San José State 2023,7-6
Stanford 2023,3-9
California 2023,6-7
UCLA 2023,8-5
USC 2023,8-5
Colorado State 2023,5-7
Colorado 2023,4-8
Connecticut 2023,3-9
Florida State 2023,13-1
Jacksonville State 2023,9-4
Florida 2023,5-7
South Florida 2023,7-6
Georgia Tech 2023,7-6
Georgia 2023,13-1
Hawai'i 2023,5-8
Iowa State 2023,7-6
Boise State 2023,8-6
Northwestern 2023,8-5
Indiana 2023,3-9
Notre Dame 2023,10-3
Kentucky 2023,7-6
Louisville 2023,10-4
Western Kentucky 2023,8-5
LSU 2023,10-3
Boston College 2023,7-6
UMass 2023,3-9
Maryland 2023,8-5
Michigan State 2023,4-8
Michigan 2023,15-0
Minnesota 2023,6-7
Missouri 2023,11-2
Ole Miss 2023,11-2
Duke 2023,8-5
East Carolina 2023,2-10
NC State 2023,9-4
North Carolina 2023,8-5
Wake Forest 2023,4-8
Nebraska 2023,5-7
Rutgers 2023,7-6
New Mexico State 2023,10-5
New Mexico 2023,4-8
Syracuse 2023,6-7
Bowling Green 2023,7-6
Miami (OH) 2023,11-3
Ohio State 2023,11-2
Ohio 2023,10-3
Oklahoma State 2023,10-4
Oklahoma 2023,10-3
Tulsa 2023,4-8
Oregon State 2023,8-5
Penn State 2023,10-3
Temple 2023,3-9
Pittsburgh 2023,3-9
Clemson 2023,9-4
Memphis 2023,10-3
Vanderbilt 2023,2-10
Baylor 2023,3-9
Rice 2023,6-7
Texas A&M 2023,7-6
Houston 2023,4-8
North Texas 2023,5-7
Texas 2023,12-2
BYU 2023,5-7
Utah 2023,8-5
James Madison 2023,11-2
Virginia 2023,3-9
Virginia Tech 2023,7-6
Washington 2023,14-1
Washington State 2023,5-7
Wisconsin 2023,7-6
Marshall 2023,6-7
West Virginia 2023,9-4
Fresno State 2023,9-4
Georgia Southern 2023,6-7
Old Dominion 2023,6-7
Louisiana 2023,6-7
Coastal Carolina 2023,8-5
Texas State 2023,8-5
Utah State 2023,6-7
Alabama 2023,12-2
Mississippi State 2023,5-7
Army 2023,6-6
Illinois 2023,5-7
Air Force 2023,9-4
Akron 2023,2-10
Appalachian State 2023,9-5
Arkansas State 2023,6-7
Ball State 2023,4-8
Buffalo 2023,3-9
UCF 2023,6-7
Central Michigan 2023,5-7
Cincinnati 2023,3-9
Eastern Michigan 2023,6-7
Florida Atlantic 2023,4-8
Florida International 2023,4-8
Georgia State 2023,7-6
Iowa 2023,10-4
Kansas 2023,9-4
Kansas State 2023,9-4
Kent State 2023,1-11
Liberty 2023,13-1
Louisiana Tech 2023,3-9
Miami 2023,7-6
Middle Tennessee 2023,4-8
Navy 2023,5-7
Charlotte 2023,3-9
Louisiana Monroe 2023,2-10
UNLV 2023,9-5
Nevada 2023,2-10
Northern Illinois 2023,7-6
Oregon 2023,12-2
Purdue 2023,4-8
Sam Houston State 2023,3-9
SMU 2023,11-3
Southern Mississippi 2023,3-9
South Carolina 2023,5-7
TCU 2023,5-7
Tennessee 2023,9-4
UT San Antonio 2023,9-4
UTEP 2023,3-9
Texas Tech 2023,7-6
Toledo 2023,11-3
Troy 2023,11-3
Tulane 2023,11-3
Western Michigan 2023,4-8
Wyoming 2023,9-4
