team_id,points_opp/game,totalYards_opp/game,firstDowns_opp/game,netPassingYards_opp/game,passingAttempts_opp/game,passingCompletions_opp/game,passingTDs_opp/game,rushingYards_opp/game,rushingAttempts_opp/game,rushingTDs_opp/game,turnovers_opp/game,thirdDownPct_opp,rushingPct_opp,rushingYardsPct_opp,completionPct_opp,rushingYards/attempt_opp,passingYards/attempt_opp,d_ppa,d_success_rate,d_explosiveness,d_power_success,d_stuff_rate,d_standard_downs_rate,d_line_yards,d_open_field_yards,d_second_level_yards,d_rushing_plays_success_rate,d_rushing_plays_explosiveness,d_rushing_plays_ppa,d_passing_plays_success_rate,d_passing_plays_explosiveness,d_passing_plays_ppa
Air Force 2005,31.727272727272727,428.54545454545456,22.363636363636363,261.27272727272725,29.454545454545453,19.363636363636363,1.3636363636363635,173.54545454545453,40.18181818181818,2.4545454545454546,1.5454545454545454,0.41333333333333333,0.5770234986945171,0.4049639372083156,0.6574074074074074,4.319004524886878,8.87037037037037,0.0235214962744826,0.3982758620689655,0.9820103130298896,0.64,0.2796352583586626,0.7103448275862069,2.627659574468085,0.7142857142857143,0.9817629179331308,0.3799392097264438,0.7610414099077681,-0.08560868410798,0.4024896265560166,1.371972254993203,0.1798643438671515
Air Force 2006,25.166666666666668,354.6666666666667,19.166666666666668,222.41666666666666,25.25,16.833333333333332,1.6666666666666667,141.25,34.583333333333336,1.25,1.6666666666666667,0.5602836879432623,0.5779944289693594,0.3982612781954887,0.6666666666666666,4.0843373493975905,8.808580858085808,0.1508163171166555,0.5093795093795094,0.8655268907725894,0.7837837837837838,0.164021164021164,0.7344877344877345,3.2224867724867723,0.5529100529100529,1.1005291005291005,0.5079365079365079,0.6372466607253701,0.063232893593277,0.4950819672131147,1.2353952671656738,0.2753400844004832
Air Force 2007,21.076923076923077,368.6923076923077,19.923076923076923,241.6153846153846,32.76923076923077,19.153846153846153,1.2307692307692308,136.46153846153845,39.53846153846154,1.2307692307692308,2.3846153846153846,0.4083769633507854,0.5468085106382979,0.37012309618193195,0.5845070422535211,3.45136186770428,7.373239436619719,0.0444768279101231,0.3911007025761124,1.002081202359544,0.5967741935483871,0.2004662004662004,0.6709601873536299,2.681585081585081,0.4009324009324009,0.7925407925407926,0.3636363636363636,0.6784638173262577,-0.0926142320532424,0.3975609756097561,1.4115670842028565,0.1925497200633177
Air Force 2008,22.23076923076923,341.46153846153845,19.23076923076923,213.6153846153846,28.846153846153847,16.846153846153847,1.1538461538461537,141.53846153846155,38.46153846153846,1.4615384615384615,2.5384615384615383,0.43386243386243384,0.5714285714285714,0.4145077720207254,0.584,3.6800000000000006,7.405333333333333,0.0423682686845209,0.4141843971631205,0.9373287991313524,0.5714285714285714,0.1870324189526184,0.6851063829787234,2.933416458852868,0.6658354114713217,0.9750623441396508,0.3865336658354115,0.8368496231284045,-0.0037237557077598,0.4329896907216495,1.1316937940937633,0.1149086995212302
Air Force 2009,15.692307692307692,288.3076923076923,14.615384615384615,166.46153846153845,25.23076923076923,14.538461538461538,0.7692307692307693,134.0,35.76923076923077,0.9230769230769231,2.6153846153846154,0.3085714285714286,0.5863808322824716,0.4647812166488794,0.576219512195122,3.7462365591397853,6.597560975609756,-0.0247620162059874,0.3859872611464968,0.7787182250939317,0.6818181818181818,0.1832946635730858,0.6598726114649681,2.7904872389791184,0.3758700696055684,0.851508120649652,0.3549883990719257,0.7469407963165173,-0.0307721958628902,0.4017595307917888,0.9129809623295552,-0.0081133572805853
Air Force 2010,21.076923076923077,349.3076923076923,18.615384615384617,156.46153846153845,24.692307692307693,13.538461538461538,0.7692307692307693,201.53846153846155,42.23076923076923,1.8461538461538463,1.6923076923076923,0.4717948717948718,0.6310344827586206,0.5769654261175953,0.5482866043613707,4.7723132969034605,6.336448598130841,0.0519194514668012,0.4180929095354523,0.9081106582753906,0.8260869565217391,0.1629778672032193,0.6735941320293398,3.2448692152917507,0.9054325955734408,1.1006036217303825,0.4285714285714285,0.8029263758847909,0.0763433016126638,0.3786407766990291,1.236472449194863,0.0312111323217648
Air Force 2011,28.384615384615383,386.46153846153845,21.0,175.23076923076923,23.692307692307693,14.923076923076923,1.6153846153846154,219.69230769230768,44.30769230769231,1.8461538461538463,2.0,0.5027322404371585,0.6515837104072398,0.5684713375796178,0.6298701298701298,4.958333333333333,7.396103896103895,0.1080928386427293,0.4752358490566037,0.8315362478419516,0.7916666666666666,0.1383177570093458,0.7311320754716981,3.3747663551401867,0.8373831775700935,1.1813084112149532,0.497196261682243,0.7544452053489639,0.1413995932534652,0.4229508196721311,1.0856476092977512,0.0709370594110111
Air Force 2012,29.0,409.38461538461536,20.846153846153847,210.6153846153846,26.384615384615383,17.923076923076923,1.5068354089180944,198.76923076923077,44.23076923076923,2.076923076923077,1.2307692307692308,0.4744897959183674,0.6263616557734205,0.4855317549793311,0.6793002915451896,4.493913043478261,7.982507288629738,0.0811421872426276,0.4569832402234637,0.8663249679287383,0.5970149253731343,0.20817843866171,0.7139664804469273,2.9072490706319702,0.8159851301115242,1.0390334572490707,0.4107806691449814,0.777064273728162,-0.016635920330492,0.5072886297376094,1.0826825275754155,0.2547038925048067
Air Force 2013,40.0,490.25,27.5,239.66666666666666,27.166666666666668,19.75,2.1666666666666665,250.58333333333334,49.333333333333336,3.4166666666666665,0.75,0.5889570552147239,0.644880174291939,0.5111337752847187,0.7269938650306749,5.079391891891892,8.822085889570552,0.2142950500401505,0.5189125295508275,0.9026380386512174,0.7352941176470589,0.1537037037037037,0.7446808510638298,3.291851851851852,0.9055555555555556,1.1592592592592592,0.4814814814814814,0.7632026489090417,0.0977805537028838,0.5780730897009967,1.1353634996075197,0.4259799070251989
Air Force 2014,24.153846153846153,394.7692307692308,19.153846153846153,259.15384615384613,33.38461538461539,18.384615384615383,1.5384615384615385,135.6153846153846,35.46153846153846,1.3076923076923077,1.3846153846153846,0.3641025641025641,0.5150837988826816,0.34353078721745905,0.5506912442396312,3.824295010845987,7.762672811059907,0.1387954330053606,0.3758314855875831,1.4257668280885598,0.6415094339622641,0.2137767220902612,0.6330376940133038,2.399524940617577,1.4180522565320666,0.8954869358669834,0.33729216152019,1.2026726862300687,0.0335498700714564,0.3927038626609442,1.7273790694540054,0.2497584357759485
