season,team,conference,stat_name,stat_value
2014,Air Force,Mountain West,kickReturnYards,709
2014,Texas State,Sun Belt,passingTDs,22
2014,UCF,American Athletic,fourthDownConversions,13
2014,UCLA,Pac-12,rushingTDs,26
2014,North Carolina,ACC,puntReturnYards,173
2014,Kansas State,Big 12,totalYards,5481
2014,Buffalo,Mid-American,thirdDownConversions,75
2014,Virginia,ACC,totalYards,4490
2014,Air Force,Mountain West,thirdDowns,213
2014,Georgia Southern,Sun Belt,thirdDownConversions,73
2014,Arkansas,SEC,interceptions,6
2014,LSU,SEC,games,13
2014,SMU,American Athletic,kickReturns,58
2014,Utah State,Mountain West,passesIntercepted,19
2014,UNLV,Mountain West,puntReturns,21
2014,Appalachian State,Sun Belt,penalties,88
2014,UCF,American Athletic,penaltyYards,706
2014,Bowling Green,Mid-American,kickReturnYards,1288
2014,Colorado,Pac-12,turnovers,21
2014,Temple,American Athletic,kickReturnYards,652
2014,Kentucky,SEC,fumblesRecovered,8
2014,Indiana,Big Ten,netPassingYards,1697
2014,Central Michigan,Mid-American,penaltyYards,592
2014,Iowa State,Big 12,fumblesRecovered,6
2014,Louisiana,Sun Belt,penaltyYards,534
2014,Michigan State,Big Ten,rushingTDs,44
2014,UT San Antonio,Conference USA,puntReturnYards,144
2014,Clemson,ACC,turnovers,18
2014,Michigan,Big Ten,puntReturns,18
2014,Washington,Pac-12,fumblesRecovered,16
2014,UCLA,Pac-12,puntReturns,22
2014,Rice,Conference USA,penaltyYards,695
2014,South Florida,American Athletic,thirdDownConversions,65
2014,USC,Pac-12,fumblesRecovered,9
2014,Army,FBS Independents,fumblesLost,11
2014,Miami (OH),Mid-American,rushingTDs,11
2014,Missouri,SEC,puntReturnYards,281
2014,Tennessee,SEC,passingTDs,23
2014,Baylor,Big 12,possessionTime,22578
2014,Oregon,Pac-12,thirdDownConversions,98
2014,New Mexico,Mountain West,thirdDownConversions,56
2014,Utah State,Mountain West,totalYards,5303
2014,Baylor,Big 12,passesIntercepted,13
2014,Oregon,Pac-12,passingTDs,44
2014,UCF,American Athletic,games,13
2014,Navy,FBS Independents,rushingTDs,45
2014,Northern Illinois,Mid-American,interceptionYards,108
2014,Florida International,Conference USA,passAttempts,324
2014,BYU,FBS Independents,turnovers,27
2014,BYU,FBS Independents,passingTDs,32
2014,South Florida,American Athletic,turnovers,20
2014,Cincinnati,American Athletic,netPassingYards,3947
2014,Florida International,Conference USA,thirdDowns,185
2014,Kansas State,Big 12,passesIntercepted,15
2014,Troy,Sun Belt,interceptions,4
2014,Western Michigan,Mid-American,rushingAttempts,503
2014,Utah State,Mountain West,puntReturnTDs,2
2014,Wyoming,Mountain West,fourthDownConversions,9
2014,Mississippi State,SEC,netPassingYards,3649
2014,Maryland,Big Ten,puntReturns,22
2014,Vanderbilt,SEC,penalties,73
2014,Missouri,SEC,fourthDowns,16
2014,UTEP,Conference USA,puntReturnTDs,0
2014,Michigan,Big Ten,puntReturnYards,88
2014,East Carolina,American Athletic,puntReturnTDs,0
2014,New Mexico State,Sun Belt,puntReturns,17
2014,Louisiana Tech,Conference USA,fourthDowns,12
2014,Maryland,Big Ten,fumblesLost,8
2014,Wake Forest,ACC,thirdDownConversions,52
2014,New Mexico,Mountain West,games,12
2014,Mississippi State,SEC,kickReturnYards,536
2014,Nebraska,Big Ten,fumblesRecovered,10
2014,Connecticut,American Athletic,games,12
2014,Tulane,American Athletic,interceptions,18
2014,Bowling Green,Mid-American,possessionTime,22045
2014,Boise State,Mountain West,rushingAttempts,609
2014,Louisiana Monroe,Sun Belt,firstDowns,221
2014,Penn State,Big Ten,interceptionTDs,2
2014,Northern Illinois,Mid-American,rushingTDs,36
2014,Tennessee,SEC,kickReturnTDs,0
2014,Maryland,Big Ten,penaltyYards,675
2014,Navy,FBS Independents,netPassingYards,1058
2014,Maryland,Big Ten,kickReturnTDs,1
2014,California,Pac-12,kickReturnYards,1170
2014,Texas,Big 12,totalYards,4385
2014,Buffalo,Mid-American,fourthDownConversions,12
2014,Colorado State,Mountain West,turnovers,17
2014,Louisville,ACC,possessionTime,25597
2014,Connecticut,American Athletic,puntReturnTDs,1
2014,UT San Antonio,Conference USA,possessionTime,23162
2014,Georgia,SEC,penaltyYards,527
2014,Miami,ACC,kickReturns,35
2014,Kent State,Mid-American,rushingTDs,6
2014,Hawai'i,Mountain West,fourthDowns,27
2014,Wake Forest,ACC,kickReturnTDs,0
2014,New Mexico,Mountain West,rushingTDs,34
2014,Illinois,Big Ten,games,13
2014,Clemson,ACC,puntReturnTDs,1
2014,Florida State,ACC,fourthDowns,6
2014,Texas Tech,Big 12,fumblesLost,10
2014,Penn State,Big Ten,kickReturnYards,731
2014,Arkansas State,Sun Belt,possessionTime,23064
2014,Syracuse,ACC,interceptionTDs,2
2014,Connecticut,American Athletic,passesIntercepted,8
2014,West Virginia,Big 12,rushingYards,2376
2014,Marshall,Conference USA,kickReturns,44
2014,Michigan,Big Ten,passesIntercepted,5
2014,Missouri,SEC,passAttempts,415
2014,Rice,Conference USA,thirdDownConversions,90
2014,Wyoming,Mountain West,kickReturns,29
2014,Idaho,Sun Belt,interceptions,20
2014,Ole Miss,SEC,interceptionYards,371
2014,Utah State,Mountain West,thirdDowns,191
2014,Iowa,Big Ten,puntReturnYards,123
2014,Idaho,Sun Belt,rushingAttempts,439
2014,Air Force,Mountain West,rushingAttempts,796
2014,Kansas,Big 12,passesIntercepted,9
2014,Miami (OH),Mid-American,passesIntercepted,11
2014,Arkansas,SEC,kickReturns,24
2014,Texas A&M,SEC,kickReturnTDs,0
2014,Nebraska,Big Ten,passCompletions,190
2014,Connecticut,American Athletic,interceptionYards,174
2014,Western Kentucky,Conference USA,rushingAttempts,429
2014,Toledo,Mid-American,passCompletions,244
2014,Temple,American Athletic,kickReturnTDs,0
2014,Minnesota,Big Ten,passAttempts,254
2014,Rice,Conference USA,netPassingYards,3009
2014,Bowling Green,Mid-American,penaltyYards,872
2014,Air Force,Mountain West,kickReturns,34
2014,Houston,American Athletic,penaltyYards,771
2014,Kansas,Big 12,kickReturnTDs,0
2014,California,Pac-12,passAttempts,535
2014,Colorado State,Mountain West,fumblesLost,10
2014,Oklahoma State,Big 12,interceptionTDs,2
2014,South Carolina,SEC,rushingYards,2093
2014,UCLA,Pac-12,interceptionYards,231
2014,Kentucky,SEC,fumblesLost,4
2014,Illinois,Big Ten,firstDowns,249
2014,Tulsa,American Athletic,rushingAttempts,477
2014,Ohio State,Big Ten,passesIntercepted,25
2014,Stanford,Pac-12,fourthDowns,10
2014,Eastern Michigan,Mid-American,kickReturnTDs,0
2014,Houston,American Athletic,thirdDownConversions,79
2014,South Alabama,Sun Belt,firstDowns,273
2014,Kansas,Big 12,passAttempts,376
2014,San Diego State,Mountain West,puntReturnTDs,1
2014,Tulsa,American Athletic,penaltyYards,768
2014,Ball State,Mid-American,fumblesLost,8
2014,UMass,Mid-American,fumblesLost,10
2014,Air Force,Mountain West,fumblesRecovered,8
2014,Iowa State,Big 12,netPassingYards,2981
2014,Oklahoma,Big 12,interceptions,17
2014,Appalachian State,Sun Belt,fourthDowns,23
2014,Army,FBS Independents,fumblesRecovered,4
2014,West Virginia,Big 12,interceptionYards,106
2014,Miami,ACC,interceptionYards,93
2014,Fresno State,Mountain West,puntReturns,24
2014,Texas State,Sun Belt,interceptions,7
2014,California,Pac-12,rushingTDs,22
2014,USC,Pac-12,passesIntercepted,14
2014,North Texas,Conference USA,puntReturns,37
2014,Louisiana,Sun Belt,rushingAttempts,548
2014,Kansas,Big 12,puntReturnTDs,1
2014,Ohio,Mid-American,turnovers,23
2014,Connecticut,American Athletic,fumblesLost,16
2014,Baylor,Big 12,rushingTDs,43
2014,UTEP,Conference USA,interceptionYards,138
2014,Florida International,Conference USA,possessionTime,22510
2014,Marshall,Conference USA,passCompletions,279
2014,Troy,Sun Belt,kickReturnYards,1157
2014,Illinois,Big Ten,passCompletions,287
2014,Middle Tennessee,Conference USA,interceptions,13
2014,South Carolina,SEC,firstDowns,305
2014,Penn State,Big Ten,netPassingYards,3034
2014,Tulsa,American Athletic,possessionTime,22840
2014,Southern Mississippi,Conference USA,fourthDownConversions,3
2014,Nevada,Mountain West,penaltyYards,646
2014,Rice,Conference USA,kickReturnYards,667
2014,Michigan State,Big Ten,possessionTime,27492
2014,Iowa State,Big 12,fourthDownConversions,6
2014,Boise State,Mountain West,thirdDownConversions,91
2014,Northwestern,Big Ten,netPassingYards,2598
2014,Fresno State,Mountain West,turnovers,27
2014,South Alabama,Sun Belt,passAttempts,412
2014,Washington,Pac-12,firstDowns,280
2014,San Diego State,Mountain West,puntReturnYards,207
2014,Florida Atlantic,Conference USA,turnovers,18
2014,Pittsburgh,ACC,penaltyYards,695
2014,Florida Atlantic,Conference USA,rushingTDs,14
2014,Rutgers,Big Ten,fourthDownConversions,8
2014,Ole Miss,SEC,netPassingYards,3427
2014,Louisiana,Sun Belt,games,13
2014,Tennessee,SEC,fourthDowns,12
2014,Akron,Mid-American,turnovers,26
2014,Georgia State,Sun Belt,turnovers,30
2014,Indiana,Big Ten,passingTDs,7
2014,Clemson,ACC,fumblesLost,6
2014,Clemson,ACC,passesIntercepted,12
2014,Colorado,Pac-12,passesIntercepted,3
2014,Louisiana,Sun Belt,puntReturnYards,125
2014,Texas State,Sun Belt,penalties,75
2014,NC State,ACC,penalties,63
2014,UMass,Mid-American,penalties,73
2014,Kent State,Mid-American,interceptionTDs,0
2014,San José State,Mountain West,thirdDowns,197
2014,Air Force,Mountain West,rushingYards,3550
2014,Nebraska,Big Ten,puntReturns,40
2014,Illinois,Big Ten,interceptions,12
2014,Vanderbilt,SEC,fumblesRecovered,7
2014,Ball State,Mid-American,passingTDs,19
2014,Duke,ACC,rushingTDs,24
2014,Colorado,Pac-12,puntReturns,18
2014,Connecticut,American Athletic,passAttempts,340
2014,Texas Tech,Big 12,kickReturns,45
2014,Missouri,SEC,passesIntercepted,12
2014,Colorado State,Mountain West,kickReturnTDs,0
2014,Florida Atlantic,Conference USA,passCompletions,206
2014,Ohio,Mid-American,thirdDownConversions,69
2014,Tennessee,SEC,kickReturns,36
2014,Air Force,Mountain West,interceptionYards,72
2014,New Mexico State,Sun Belt,rushingYards,2152
2014,Ohio State,Big Ten,thirdDownConversions,103
2014,Ohio State,Big Ten,fourthDowns,22
2014,Missouri,SEC,rushingAttempts,539
2014,Northern Illinois,Mid-American,penaltyYards,794
2014,Idaho,Sun Belt,puntReturnYards,80
2014,Central Michigan,Mid-American,kickReturns,42
2014,Purdue,Big Ten,fourthDownConversions,12
2014,Penn State,Big Ten,rushingTDs,13
2014,Notre Dame,FBS Independents,interceptions,14
2014,Tennessee,SEC,interceptions,14
2014,North Carolina,ACC,kickReturnYards,1046
2014,Georgia Tech,ACC,interceptionTDs,5
2014,Illinois,Big Ten,thirdDownConversions,68
2014,Tulane,American Athletic,turnovers,25
2014,BYU,FBS Independents,games,13
2014,Virginia,ACC,thirdDownConversions,82
2014,Central Michigan,Mid-American,puntReturns,18
2014,North Carolina,ACC,passCompletions,315
2014,Eastern Michigan,Mid-American,fourthDownConversions,3
2014,Stanford,Pac-12,netPassingYards,2988
2014,Kent State,Mid-American,kickReturnTDs,0
2014,Wisconsin,Big Ten,kickReturnYards,671
2014,Troy,Sun Belt,interceptionYards,95
2014,Memphis,American Athletic,kickReturns,39
2014,Tulsa,American Athletic,kickReturns,43
2014,Duke,ACC,kickReturnTDs,1
2014,Oregon State,Pac-12,netPassingYards,3305
2014,Iowa,Big Ten,thirdDownConversions,90
2014,California,Pac-12,puntReturnYards,175
2014,Tulsa,American Athletic,netPassingYards,3176
2014,Washington State,Pac-12,kickReturnYards,970
2014,Hawai'i,Mountain West,totalYards,4737
2014,North Texas,Conference USA,kickReturnYards,767
2014,Purdue,Big Ten,puntReturnTDs,0
2014,Georgia Tech,ACC,turnovers,18
2014,Georgia Tech,ACC,games,14
2014,Kansas State,Big 12,fourthDowns,16
2014,Purdue,Big Ten,interceptionYards,223
2014,Louisiana Monroe,Sun Belt,thirdDownConversions,69
2014,Old Dominion,Conference USA,passAttempts,458
2014,Temple,American Athletic,possessionTime,19995
2014,Oregon,Pac-12,passesIntercepted,13
2014,Utah,Pac-12,interceptions,8
2014,Nebraska,Big Ten,interceptionTDs,0
2014,New Mexico,Mountain West,fumblesRecovered,8
2014,Akron,Mid-American,kickReturnTDs,0
2014,Texas A&M,SEC,puntReturnTDs,0
2014,Florida State,ACC,netPassingYards,4246
2014,San José State,Mountain West,totalYards,4734
2014,Georgia Tech,ACC,fourthDownConversions,12
2014,Virginia,ACC,puntReturnTDs,0
2014,Auburn,SEC,turnovers,20
2014,Toledo,Mid-American,fumblesLost,8
2014,Troy,Sun Belt,firstDowns,220
2014,Penn State,Big Ten,passAttempts,497
2014,Southern Mississippi,Conference USA,rushingAttempts,376
2014,Wisconsin,Big Ten,passAttempts,322
2014,UNLV,Mountain West,rushingTDs,18
2014,Oregon,Pac-12,puntReturnTDs,2
2014,Wake Forest,ACC,passingTDs,12
2014,Bowling Green,Mid-American,penalties,110
2014,NC State,ACC,totalYards,5311
2014,UT San Antonio,Conference USA,totalYards,3570
2014,Texas,Big 12,fourthDownConversions,7
2014,Georgia Tech,ACC,passAttempts,203
2014,Kent State,Mid-American,rushingAttempts,277
2014,Tulsa,American Athletic,passingTDs,23
2014,Penn State,Big Ten,puntReturnYards,130
2014,LSU,SEC,fumblesRecovered,10
2014,Notre Dame,FBS Independents,rushingTDs,24
2014,UMass,Mid-American,thirdDownConversions,63
2014,Syracuse,ACC,passCompletions,207
2014,Southern Mississippi,Conference USA,kickReturns,48
2014,UNLV,Mountain West,passCompletions,268
2014,Washington,Pac-12,puntReturnTDs,1
2014,UCLA,Pac-12,firstDowns,304
2014,Auburn,SEC,fumblesLost,13
2014,Vanderbilt,SEC,games,12
2014,Bowling Green,Mid-American,passAttempts,547
2014,Indiana,Big Ten,interceptionYards,110
2014,Georgia,SEC,thirdDownConversions,81
2014,South Carolina,SEC,thirdDowns,176
2014,Middle Tennessee,Conference USA,possessionTime,21304
2014,Bowling Green,Mid-American,passingTDs,17
2014,Ohio,Mid-American,penalties,72
2014,Wyoming,Mountain West,games,12
2014,South Florida,American Athletic,fumblesLost,9
2014,Pittsburgh,ACC,netPassingYards,2417
2014,Texas State,Sun Belt,thirdDowns,179
2014,Tulsa,American Athletic,fourthDowns,28
2014,San José State,Mountain West,kickReturns,40
2014,Mississippi State,SEC,totalYards,6679
2014,San José State,Mountain West,thirdDownConversions,85
2014,Fresno State,Mountain West,thirdDowns,243
2014,Texas State,Sun Belt,totalYards,5573
2014,Eastern Michigan,Mid-American,games,12
2014,Texas State,Sun Belt,interceptionTDs,1
2014,Ohio,Mid-American,interceptionTDs,0
2014,Nebraska,Big Ten,kickReturns,43
2014,Army,FBS Independents,passingTDs,3
2014,UCLA,Pac-12,totalYards,6082
2014,Duke,ACC,passingTDs,23
2014,Michigan,Big Ten,kickReturns,23
2014,Marshall,Conference USA,penaltyYards,1124
2014,Alabama,SEC,kickReturnTDs,0
2014,Eastern Michigan,Mid-American,rushingTDs,6
2014,Iowa State,Big 12,puntReturnTDs,1
2014,Air Force,Mountain West,fumblesLost,13
2014,Air Force,Mountain West,penaltyYards,460
2014,Fresno State,Mountain West,totalYards,5685
2014,Louisiana,Sun Belt,penalties,64
2014,Wyoming,Mountain West,interceptionYards,51
2014,Kentucky,SEC,puntReturnYards,191
2014,Miami (OH),Mid-American,puntReturnTDs,0
2014,Penn State,Big Ten,firstDowns,249
2014,Stanford,Pac-12,possessionTime,25697
2014,Vanderbilt,SEC,fourthDownConversions,9
2014,Nebraska,Big Ten,rushingTDs,35
2014,Troy,Sun Belt,penalties,74
2014,Middle Tennessee,Conference USA,passCompletions,224
2014,Louisiana,Sun Belt,fourthDowns,18
2014,Louisiana Tech,Conference USA,interceptionYards,288
2014,Washington State,Pac-12,penalties,94
2014,Iowa State,Big 12,interceptionTDs,0
2014,San Diego State,Mountain West,rushingTDs,26
2014,Washington State,Pac-12,netPassingYards,5732
2014,Washington,Pac-12,penaltyYards,865
2014,LSU,SEC,rushingAttempts,621
