season,team,conference,stat_name,stat_value
2016,UT San Antonio,Conference USA,games,13
2016,Baylor,Big 12,puntReturnTDs,0
2016,Ball State,Mid-American,interceptionTDs,0
2016,Western Michigan,Mid-American,firstDowns,353
2016,Louisville,ACC,tacklesForLoss,97
2016,Southern Mississippi,Conference USA,thirdDownConversions,83
2016,UCF,American Athletic,kickReturns,40
2016,Eastern Michigan,Mid-American,puntReturns,9
2016,Mississippi State,SEC,tacklesForLoss,81
2016,Illinois,Big Ten,sacks,28
2016,Georgia Tech,ACC,fourthDowns,22
2016,NC State,ACC,turnovers,20
2016,Florida Atlantic,Conference USA,rushingYards,2258
2016,Boise State,Mountain West,thirdDownConversions,79
2016,South Carolina,SEC,interceptionYards,37
2016,Louisville,ACC,games,13
2016,New Mexico State,Sun Belt,puntReturnTDs,0
2016,Georgia State,Sun Belt,kickReturns,32
2016,Georgia Southern,Sun Belt,interceptions,9
2016,Ohio State,Big Ten,passAttempts,409
2016,Memphis,American Athletic,penalties,82
2016,West Virginia,Big 12,tacklesForLoss,62
2016,Eastern Michigan,Mid-American,passCompletions,309
2016,Cincinnati,American Athletic,fumblesRecovered,7
2016,Kent State,Mid-American,kickReturnTDs,0
2016,Virginia,ACC,possessionTime,20885
2016,Temple,American Athletic,kickReturnYards,660
2016,Fresno State,Mountain West,kickReturnTDs,0
2016,Maryland,Big Ten,thirdDownConversions,62
2016,Bowling Green,Mid-American,fumblesLost,8
2016,Virginia Tech,ACC,thirdDowns,212
2016,Virginia Tech,ACC,interceptionYards,40
2016,Missouri,SEC,passingTDs,25
2016,Marshall,Conference USA,fumblesRecovered,12
2016,Kent State,Mid-American,rushingYards,2008
2016,Iowa,Big Ten,passesIntercepted,9
2016,Fresno State,Mountain West,fourthDowns,23
2016,Miami,ACC,passAttempts,426
2016,Charlotte,Conference USA,netPassingYards,2313
2016,Minnesota,Big Ten,passCompletions,181
2016,Akron,Mid-American,interceptions,14
2016,Nevada,Mountain West,interceptions,9
2016,Florida International,Conference USA,thirdDownConversions,61
2016,UCLA,Pac-12,kickReturnTDs,0
2016,Notre Dame,FBS Independents,passCompletions,224
2016,Ohio State,Big Ten,netPassingYards,2781
2016,Washington,Pac-12,puntReturnTDs,2
2016,Purdue,Big Ten,fourthDowns,33
2016,Wyoming,Mountain West,passAttempts,379
2016,Iowa State,Big 12,fumblesRecovered,4
2016,Oklahoma,Big 12,kickReturnTDs,1
2016,Georgia State,Sun Belt,puntReturnTDs,0
2016,Texas Tech,Big 12,interceptionTDs,0
2016,Ohio,Mid-American,passingTDs,22
2016,Texas,Big 12,fourthDowns,22
2016,Boston College,ACC,turnovers,20
2016,Northwestern,Big Ten,passCompletions,282
2016,Pittsburgh,ACC,possessionTime,24093
2016,Minnesota,Big Ten,puntReturnYards,136
2016,Army,FBS Independents,puntReturnTDs,0
2016,Idaho,Sun Belt,fourthDownConversions,13
2016,San José State,Mountain West,tacklesForLoss,69
2016,Buffalo,Mid-American,fumblesRecovered,8
2016,Mississippi State,SEC,netPassingYards,2726
2016,Pittsburgh,ACC,penaltyYards,647
2016,Wyoming,Mountain West,penalties,66
2016,Fresno State,Mountain West,thirdDowns,201
2016,Miami (OH),Mid-American,interceptions,7
2016,TCU,Big 12,puntReturnTDs,1
2016,Mississippi State,SEC,fourthDowns,28
2016,Colorado State,Mountain West,rushingTDs,30
2016,Tennessee,SEC,totalYards,5768
2016,UCF,American Athletic,thirdDownConversions,63
2016,New Mexico State,Sun Belt,passAttempts,459
2016,Pittsburgh,ACC,puntReturnYards,253
2016,Old Dominion,Conference USA,puntReturnTDs,0
2016,Houston,American Athletic,tacklesForLoss,101
2016,San Diego State,Mountain West,turnovers,15
2016,Houston,American Athletic,rushingYards,1912
2016,Fresno State,Mountain West,netPassingYards,2557
2016,Kansas State,Big 12,passesIntercepted,16
2016,Washington,Pac-12,netPassingYards,3623
2016,Memphis,American Athletic,kickReturnYards,1249
2016,Tulsa,American Athletic,puntReturnYards,224
2016,Michigan State,Big Ten,tacklesForLoss,56
2016,Connecticut,American Athletic,possessionTime,21509
2016,LSU,SEC,passingTDs,12
2016,Bowling Green,Mid-American,totalYards,4883
2016,New Mexico,Mountain West,rushingAttempts,688
2016,Florida Atlantic,Conference USA,fumblesLost,7
2016,Arizona State,Pac-12,kickReturns,57
2016,Louisiana,Sun Belt,penaltyYards,721
2016,Tennessee,SEC,interceptionTDs,1
2016,Memphis,American Athletic,interceptionTDs,3
2016,Missouri,SEC,kickReturns,43
2016,Wake Forest,ACC,fumblesLost,6
2016,New Mexico State,Sun Belt,puntReturns,6
2016,Toledo,Mid-American,possessionTime,23540
2016,Texas,Big 12,puntReturnYards,182
2016,UNLV,Mountain West,rushingYards,2898
2016,California,Pac-12,fourthDownConversions,23
2016,Minnesota,Big Ten,penalties,88
2016,North Texas,Conference USA,fumblesRecovered,8
2016,Baylor,Big 12,thirdDownConversions,94
2016,Georgia State,Sun Belt,rushingTDs,10
2016,Florida,SEC,fumblesLost,7
2016,Illinois,Big Ten,rushingYards,1686
2016,Rutgers,Big Ten,tacklesForLoss,65
2016,Memphis,American Athletic,puntReturns,21
2016,Bowling Green,Mid-American,thirdDownConversions,55
2016,Texas Tech,Big 12,fourthDownConversions,11
2016,Virginia,ACC,puntReturnYards,216
2016,Indiana,Big Ten,possessionTime,21947
2016,Memphis,American Athletic,fumblesLost,11
2016,Duke,ACC,fumblesRecovered,7
2016,Connecticut,American Athletic,kickReturnTDs,0
2016,Akron,Mid-American,tacklesForLoss,61
2016,North Texas,Conference USA,rushingYards,1736
2016,Wake Forest,ACC,interceptionYards,213
2016,Air Force,Mountain West,interceptions,8
2016,Georgia,SEC,fourthDownConversions,7
2016,Navy,American Athletic,interceptionYards,60
2016,Virginia Tech,ACC,netPassingYards,3666
2016,Kansas,Big 12,fourthDownConversions,5
2016,Troy,Sun Belt,rushingAttempts,485
2016,Pittsburgh,ACC,puntReturns,18
2016,Eastern Michigan,Mid-American,puntReturnTDs,0
2016,Colorado State,Mountain West,passAttempts,361
2016,Navy,American Athletic,penalties,39
2016,Western Kentucky,Conference USA,interceptionTDs,1
2016,Indiana,Big Ten,penaltyYards,686
2016,Houston,American Athletic,passCompletions,352
2016,Central Michigan,Mid-American,fourthDownConversions,7
2016,Iowa State,Big 12,sacks,19
2016,Troy,Sun Belt,kickReturnTDs,1
2016,South Carolina,SEC,fourthDownConversions,13
2016,Old Dominion,Conference USA,firstDowns,273
2016,San Diego State,Mountain West,rushingTDs,34
2016,Florida Atlantic,Conference USA,games,12
2016,Appalachian State,Sun Belt,penalties,79
2016,Texas Tech,Big 12,thirdDowns,196
2016,Kentucky,SEC,netPassingYards,2419
2016,Duke,ACC,penalties,56
2016,Penn State,Big Ten,games,14
2016,Michigan State,Big Ten,possessionTime,22810
2016,Louisiana Tech,Conference USA,tacklesForLoss,89
2016,Iowa State,Big 12,tacklesForLoss,80
2016,Charlotte,Conference USA,possessionTime,20874
2016,Virginia,ACC,fumblesRecovered,4
2016,Kent State,Mid-American,passAttempts,292
2016,Iowa,Big Ten,rushingYards,2234
2016,Florida,SEC,sacks,31
2016,USC,Pac-12,firstDowns,322
2016,Temple,American Athletic,passAttempts,403
2016,Rice,Conference USA,interceptionTDs,1
2016,Appalachian State,Sun Belt,rushingAttempts,578
2016,Fresno State,Mountain West,passCompletions,210
2016,Houston,American Athletic,puntReturnYards,73
2016,Temple,American Athletic,sacks,39
2016,SMU,American Athletic,rushingAttempts,478
2016,UNLV,Mountain West,thirdDownConversions,65
2016,Arizona,Pac-12,thirdDowns,157
2016,Memphis,American Athletic,netPassingYards,3957
2016,Kansas State,Big 12,kickReturnYards,991
2016,New Mexico,Mountain West,fumblesRecovered,4
2016,USC,Pac-12,fumblesLost,9
2016,Texas State,Sun Belt,kickReturns,55
2016,LSU,SEC,tacklesForLoss,78
2016,Georgia Southern,Sun Belt,firstDowns,248
2016,Army,FBS Independents,turnovers,22
2016,Army,FBS Independents,totalYards,5170
2016,Missouri,SEC,kickReturnTDs,0
2016,Iowa,Big Ten,turnovers,12
2016,Auburn,SEC,rushingAttempts,645
2016,Arkansas State,Sun Belt,interceptionYards,136
2016,Florida International,Conference USA,fumblesRecovered,6
2016,Ohio State,Big Ten,sacks,28
2016,Baylor,Big 12,penaltyYards,1068
2016,Michigan,Big Ten,totalYards,5524
2016,Georgia Tech,ACC,kickReturnYards,578
2016,Idaho,Sun Belt,interceptions,11
2016,Florida International,Conference USA,interceptionYards,106
2016,Colorado State,Mountain West,fourthDowns,23
2016,Buffalo,Mid-American,fourthDowns,16
2016,Ohio,Mid-American,interceptionYards,202
2016,Northwestern,Big Ten,thirdDowns,211
2016,UMass,FBS Independents,rushingAttempts,366
2016,UT San Antonio,Conference USA,puntReturns,27
2016,Penn State,Big Ten,interceptionTDs,1
2016,USC,Pac-12,possessionTime,24885
2016,Notre Dame,FBS Independents,totalYards,5011
2016,Southern Mississippi,Conference USA,rushingAttempts,544
2016,Penn State,Big Ten,fumblesRecovered,11
2016,Akron,Mid-American,passingTDs,25
2016,Kansas,Big 12,fourthDowns,20
2016,SMU,American Athletic,kickReturnTDs,0
2016,Stanford,Pac-12,fourthDowns,12
2016,Rice,Conference USA,interceptions,10
2016,California,Pac-12,puntReturnTDs,0
2016,Iowa State,Big 12,passAttempts,398
2016,Texas,Big 12,netPassingYards,3024
2016,SMU,American Athletic,kickReturns,53
2016,Clemson,ACC,turnovers,28
2016,Oregon State,Pac-12,puntReturnYards,126
2016,Ole Miss,SEC,penaltyYards,520
2016,Vanderbilt,SEC,fumblesRecovered,14
2016,Clemson,ACC,penaltyYards,870
2016,Navy,American Athletic,rushingTDs,61
2016,South Alabama,Sun Belt,puntReturns,17
2016,Clemson,ACC,rushingYards,2546
2016,Florida International,Conference USA,rushingTDs,16
2016,Nebraska,Big Ten,fourthDownConversions,12
2016,Ohio State,Big Ten,rushingYards,3188
2016,Rice,Conference USA,sacks,21
2016,Air Force,Mountain West,sacks,30
2016,Eastern Michigan,Mid-American,turnovers,23
2016,Houston,American Athletic,thirdDowns,233
2016,Connecticut,American Athletic,interceptionYards,6
2016,Hawai'i,Mountain West,kickReturnTDs,0
2016,Florida,SEC,turnovers,22
2016,West Virginia,Big 12,passingTDs,26
2016,Eastern Michigan,Mid-American,penalties,76
2016,Nebraska,Big Ten,interceptions,9
2016,Arkansas State,Sun Belt,passingTDs,21
2016,Kent State,Mid-American,sacks,20
2016,Oklahoma State,Big 12,tacklesForLoss,90
2016,Virginia Tech,ACC,puntReturnYards,337
2016,Appalachian State,Sun Belt,fumblesLost,5
2016,Air Force,Mountain West,netPassingYards,1752
2016,Cincinnati,American Athletic,interceptions,15
2016,UTEP,Conference USA,puntReturnYards,210
2016,Nebraska,Big Ten,games,13
2016,Arizona State,Pac-12,netPassingYards,3111
2016,Old Dominion,Conference USA,passesIntercepted,11
2016,Cincinnati,American Athletic,turnovers,23
2016,California,Pac-12,possessionTime,20403
2016,Wyoming,Mountain West,fourthDownConversions,10
2016,Nebraska,Big Ten,thirdDowns,196
2016,Kansas State,Big 12,puntReturns,22
2016,Georgia Southern,Sun Belt,kickReturnYards,1026
2016,Indiana,Big Ten,kickReturnYards,1008
2016,Memphis,American Athletic,passingTDs,34
2016,Washington,Pac-12,games,14
2016,Colorado,Pac-12,puntReturnTDs,1
2016,North Carolina,ACC,interceptionYards,58
2016,Mississippi State,SEC,puntReturnYards,76
2016,Cincinnati,American Athletic,fourthDowns,17
2016,Washington State,Pac-12,penaltyYards,896
2016,Penn State,Big Ten,turnovers,20
2016,Florida,SEC,puntReturnTDs,0
2016,Northwestern,Big Ten,sacks,27
2016,Indiana,Big Ten,rushingYards,1979
2016,San José State,Mountain West,totalYards,4534
2016,Oklahoma,Big 12,rushingTDs,30
2016,Auburn,SEC,firstDowns,286
2016,Toledo,Mid-American,firstDowns,315
2016,TCU,Big 12,penalties,88
2016,Western Michigan,Mid-American,penalties,69
2016,Rice,Conference USA,puntReturnTDs,0
2016,Pittsburgh,ACC,firstDowns,265
2016,South Carolina,SEC,netPassingYards,2771
2016,Clemson,ACC,netPassingYards,5009
2016,Wyoming,Mountain West,penaltyYards,604
2016,Rice,Conference USA,penalties,69
2016,USC,Pac-12,kickReturns,41
2016,Florida State,ACC,netPassingYards,3433
2016,Old Dominion,Conference USA,totalYards,5601
2016,Oklahoma State,Big 12,passingTDs,29
2016,Oregon State,Pac-12,sacks,17
2016,Troy,Sun Belt,possessionTime,24135
2016,Colorado,Pac-12,games,14
2016,Georgia State,Sun Belt,netPassingYards,2955
2016,South Alabama,Sun Belt,passesIntercepted,10
2016,BYU,FBS Independents,rushingTDs,28
2016,Louisiana Monroe,Sun Belt,kickReturnYards,907
2016,LSU,SEC,fumblesRecovered,7
2016,Washington State,Pac-12,passCompletions,467
2016,Vanderbilt,SEC,passingTDs,9
2016,Wisconsin,Big Ten,firstDowns,284
2016,SMU,American Athletic,passAttempts,456
2016,North Texas,Conference USA,passingTDs,15
2016,Washington State,Pac-12,tacklesForLoss,68
2016,Florida State,ACC,firstDowns,321
2016,Oklahoma State,Big 12,firstDowns,308
2016,Air Force,Mountain West,thirdDownConversions,99
2016,Charlotte,Conference USA,tacklesForLoss,49
2016,Houston,American Athletic,games,13
2016,UCLA,Pac-12,possessionTime,19254
2016,Louisiana,Sun Belt,rushingTDs,21
2016,Northern Illinois,Mid-American,sacks,22
2016,Colorado,Pac-12,interceptionTDs,1
2016,Penn State,Big Ten,puntReturnYards,194
2016,UCLA,Pac-12,puntReturnTDs,1
2016,Connecticut,American Athletic,puntReturnTDs,0
2016,TCU,Big 12,puntReturnYards,227
2016,Florida,SEC,totalYards,4472
2016,BYU,FBS Independents,kickReturnTDs,0
2016,Texas Tech,Big 12,penaltyYards,744
2016,Washington State,Pac-12,penalties,103
2016,Idaho,Sun Belt,interceptionTDs,1
2016,Iowa,Big Ten,fumblesRecovered,9
2016,New Mexico State,Sun Belt,sacks,11
2016,Florida International,Conference USA,fumblesLost,6
2016,Maryland,Big Ten,penalties,88
2016,Michigan,Big Ten,passAttempts,370
2016,Western Kentucky,Conference USA,sacks,34
2016,Louisiana Monroe,Sun Belt,netPassingYards,2304
2016,Texas Tech,Big 12,interceptions,11
2016,Georgia Southern,Sun Belt,passesIntercepted,9
2016,Virginia,ACC,kickReturnYards,865
2016,Ohio State,Big Ten,passingTDs,26
2016,South Alabama,Sun Belt,fourthDowns,22
2016,Ball State,Mid-American,fourthDownConversions,12
2016,Oregon,Pac-12,fumblesRecovered,3
2016,Arkansas State,Sun Belt,rushingYards,1784
2016,Buffalo,Mid-American,puntReturnTDs,0
2016,East Carolina,American Athletic,kickReturnTDs,0
2016,Minnesota,Big Ten,netPassingYards,2257
2016,South Carolina,SEC,rushingAttempts,475
2016,TCU,Big 12,fourthDowns,17
2016,UMass,FBS Independents,possessionTime,19419
2016,North Texas,Conference USA,passCompletions,261
2016,Appalachian State,Sun Belt,passingTDs,16
2016,Michigan State,Big Ten,firstDowns,246
2016,Arkansas,SEC,puntReturns,17
2016,Syracuse,ACC,puntReturns,18
2016,Army,FBS Independents,passesIntercepted,17
2016,Missouri,SEC,puntReturnYards,265
2016,Northwestern,Big Ten,fourthDownConversions,17
2016,Tennessee,SEC,fumblesLost,14
2016,Oregon,Pac-12,interceptionYards,154
2016,Miami (OH),Mid-American,puntReturns,6
2016,Oregon,Pac-12,thirdDownConversions,66
2016,Nevada,Mountain West,interceptionTDs,0
2016,USC,Pac-12,fourthDownConversions,7
2016,Nebraska,Big Ten,kickReturns,33
2016,Michigan,Big Ten,rushingAttempts,574
2016,USC,Pac-12,penaltyYards,873
2016,North Carolina,ACC,passingTDs,30
2016,UCLA,Pac-12,fumblesLost,9
2016,Washington,Pac-12,possessionTime,26064
2016,Temple,American Athletic,interceptionTDs,0
2016,Virginia,ACC,tacklesForLoss,66
2016,West Virginia,Big 12,kickReturnTDs,0
2016,Texas State,Sun Belt,firstDowns,212
2016,BYU,FBS Independents,tacklesForLoss,74
2016,BYU,FBS Independents,rushingYards,2615
2016,Vanderbilt,SEC,netPassingYards,2486
2016,Hawai'i,Mountain West,passingTDs,25
2016,Cincinnati,American Athletic,passingTDs,19
2016,Eastern Michigan,Mid-American,passingTDs,25
2016,Missouri,SEC,fourthDowns,24
2016,Western Michigan,Mid-American,puntReturnYards,225
2016,Miami (OH),Mid-American,rushingAttempts,484
2016,Appalachian State,Sun Belt,penaltyYards,750
2016,Purdue,Big Ten,fumblesRecovered,4
2016,Idaho,Sun Belt,fumblesRecovered,9
2016,Clemson,ACC,firstDowns,403
2016,Clemson,ACC,tacklesForLoss,130
2016,Utah,Pac-12,passCompletions,212
2016,Arizona State,Pac-12,fourthDowns,17
2016,Navy,American Athletic,puntReturns,15
2016,San Diego State,Mountain West,fumblesRecovered,3
2016,Notre Dame,FBS Independents,rushingAttempts,438
2016,Ole Miss,SEC,interceptions,14
2016,Tulane,American Athletic,kickReturns,32
2016,Michigan,Big Ten,puntReturnTDs,2
2016,Virginia,ACC,kickReturns,40
2016,Memphis,American Athletic,turnovers,21
2016,Maryland,Big Ten,fourthDownConversions,11
2016,Toledo,Mid-American,fumblesLost,5
2016,Wisconsin,Big Ten,interceptionTDs,1
2016,Kansas,Big 12,turnovers,36
2016,Kentucky,SEC,fourthDowns,16
2016,Memphis,American Athletic,rushingYards,2071
2016,Troy,Sun Belt,puntReturnTDs,1
2016,East Carolina,American Athletic,games,12
2016,Northwestern,Big Ten,turnovers,16
2016,Virginia Tech,ACC,penaltyYards,656
2016,Tennessee,SEC,thirdDownConversions,72
2016,Miami,ACC,penalties,95
2016,North Carolina,ACC,thirdDownConversions,75
2016,Louisville,ACC,firstDowns,323
2016,UT San Antonio,Conference USA,kickReturns,38
2016,Old Dominion,Conference USA,netPassingYards,3042
2016,BYU,FBS Independents,thirdDowns,195
2016,East Carolina,American Athletic,passCompletions,359
2016,Colorado State,Mountain West,totalYards,6012
2016,Georgia Southern,Sun Belt,fumblesLost,9
2016,Idaho,Sun Belt,turnovers,17
2016,Arizona State,Pac-12,fumblesLost,7
2016,Minnesota,Big Ten,penaltyYards,743
2016,South Alabama,Sun Belt,penalties,98
2016,Louisville,ACC,interceptionTDs,1
2016,Marshall,Conference USA,totalYards,4200
2016,Southern Mississippi,Conference USA,rushingTDs,26
2016,Oklahoma State,Big 12,passCompletions,295
2016,Toledo,Mid-American,games,13
2016,Southern Mississippi,Conference USA,thirdDowns,204
2016,New Mexico,Mountain West,interceptions,6
2016,Wyoming,Mountain West,turnovers,24
2016,Northern Illinois,Mid-American,rushingTDs,27
2016,TCU,Big 12,thirdDownConversions,80
2016,North Texas,Conference USA,turnovers,21
2016,USC,Pac-12,puntReturnYards,414
2016,Oklahoma State,Big 12,thirdDowns,180
2016,Florida,SEC,thirdDownConversions,80
2016,Kentucky,SEC,puntReturns,17
2016,UT San Antonio,Conference USA,fourthDownConversions,14
2016,East Carolina,American Athletic,rushingYards,1589
2016,Texas State,Sun Belt,passesIntercepted,3
2016,Buffalo,Mid-American,rushingAttempts,426
2016,Oregon,Pac-12,passCompletions,257
2016,Army,FBS Independents,penalties,57
2016,Notre Dame,FBS Independents,thirdDownConversions,68
2016,Louisiana Monroe,Sun Belt,games,12
2016,Indiana,Big Ten,passesIntercepted,13
2016,San José State,Mountain West,passesIntercepted,10
2016,Southern Mississippi,Conference USA,penaltyYards,834
2016,Marshall,Conference USA,passingTDs,28
2016,Northwestern,Big Ten,fumblesLost,7
2016,Kansas State,Big 12,thirdDownConversions,79
2016,Ohio,Mid-American,games,14
2016,Ball State,Mid-American,turnovers,24
2016,SMU,American Athletic,thirdDownConversions,90
2016,Virginia Tech,ACC,fumblesLost,18
2016,Oregon State,Pac-12,thirdDownConversions,64
2016,Miami,ACC,turnovers,10
2016,Toledo,Mid-American,penaltyYards,783
2016,Iowa,Big Ten,interceptionYards,56
2016,Florida State,ACC,fourthDowns,5
2016,Texas,Big 12,penaltyYards,769
2016,USC,Pac-12,sacks,26
2016,Texas A&M,SEC,thirdDownConversions,76
2016,Middle Tennessee,Conference USA,interceptionYards,175
2016,Minnesota,Big Ten,totalYards,4644
2016,New Mexico,Mountain West,fourthDowns,22
2016,Hawai'i,Mountain West,interceptionTDs,1
2016,Charlotte,Conference USA,kickReturns,52
2016,Minnesota,Big Ten,kickReturnTDs,1
2016,Louisiana Tech,Conference USA,interceptionYards,127
2016,Navy,American Athletic,interceptions,7
2016,Duke,ACC,kickReturnTDs,1
2016,Louisiana Tech,Conference USA,penaltyYards,675
2016,Louisiana Tech,Conference USA,rushingYards,2119
2016,Texas,Big 12,interceptions,12
2016,UCLA,Pac-12,sacks,25
2016,Temple,American Athletic,kickReturnTDs,0
2016,North Texas,Conference USA,puntReturns,18
2016,Buffalo,Mid-American,rushingYards,1839
2016,Utah State,Mountain West,interceptionYards,63
2016,Florida Atlantic,Conference USA,tacklesForLoss,58
2016,UTEP,Conference USA,puntReturnTDs,1
2016,TCU,Big 12,kickReturnTDs,0
2016,Rice,Conference USA,passCompletions,241
2016,Kent State,Mid-American,thirdDowns,181
2016,Syracuse,ACC,kickReturns,64
2016,New Mexico,Mountain West,fumblesLost,8
2016,Oregon,Pac-12,puntReturns,22
2016,Southern Mississippi,Conference USA,kickReturns,59
2016,South Florida,American Athletic,kickReturnYards,857
2016,Old Dominion,Conference USA,possessionTime,23143
2016,Florida State,ACC,passingTDs,23
2016,Michigan State,Big Ten,fumblesLost,7
2016,Rutgers,Big Ten,puntReturnYards,168
2016,Oklahoma State,Big 12,puntReturnTDs,0
2016,Rice,Conference USA,thirdDownConversions,67
2016,Arkansas,SEC,rushingAttempts,517
2016,Vanderbilt,SEC,penalties,67
2016,UMass,FBS Independents,puntReturnYards,102
2016,LSU,SEC,netPassingYards,2281
2016,Toledo,Mid-American,passesIntercepted,6
2016,Louisiana,Sun Belt,puntReturnYards,87
2016,New Mexico State,Sun Belt,kickReturns,29
2016,Colorado,Pac-12,interceptionYards,203
2016,Iowa,Big Ten,penalties,65
2016,Purdue,Big Ten,rushingTDs,12
2016,Texas A&M,SEC,rushingTDs,28
2016,Troy,Sun Belt,firstDowns,300
2016,Washington,Pac-12,passingTDs,47
2016,Florida State,ACC,penalties,100
2016,Mississippi State,SEC,fumblesRecovered,8
2016,Virginia,ACC,rushingAttempts,384
2016,Duke,ACC,fourthDowns,23
2016,Oklahoma,Big 12,kickReturnYards,815
2016,New Mexico State,Sun Belt,turnovers,22
2016,Michigan,Big Ten,interceptionTDs,3
2016,UMass,FBS Independents,fourthDownConversions,12
2016,Bowling Green,Mid-American,fumblesRecovered,7
2016,Virginia,ACC,fumblesLost,10
2016,UMass,FBS Independents,puntReturns,14
2016,Indiana,Big Ten,penalties,79
2016,Wisconsin,Big Ten,puntReturnTDs,0
2016,Georgia Southern,Sun Belt,interceptionYards,45
2016,Florida State,ACC,rushingAttempts,518
2016,Florida State,ACC,penaltyYards,948
2016,North Texas,Conference USA,kickReturnYards,948
2016,Tulane,American Athletic,interceptionYards,216
2016,Florida Atlantic,Conference USA,passingTDs,9
2016,Western Kentucky,Conference USA,fumblesLost,11
2016,USC,Pac-12,interceptions,11
2016,Purdue,Big Ten,rushingAttempts,361
2016,Florida Atlantic,Conference USA,kickReturnYards,1379
2016,Fresno State,Mountain West,passAttempts,405
2016,Iowa State,Big 12,totalYards,5059
2016,UCF,American Athletic,thirdDowns,214
2016,Utah,Pac-12,passesIntercepted,19
2016,Ohio State,Big Ten,possessionTime,25886
2016,Western Michigan,Mid-American,puntReturns,22
2016,Arkansas State,Sun Belt,kickReturnTDs,0
2016,Georgia Tech,ACC,tacklesForLoss,57
2016,Oklahoma,Big 12,penalties,66
2016,Iowa State,Big 12,passCompletions,235
2016,USC,Pac-12,penalties,99
2016,Arizona,Pac-12,sacks,22
2016,Notre Dame,FBS Independents,firstDowns,254
2016,North Texas,Conference USA,rushingAttempts,426
2016,Fresno State,Mountain West,puntReturnTDs,0
2016,Miami (OH),Mid-American,fourthDowns,15
2016,Duke,ACC,sacks,29
2016,Oklahoma,Big 12,rushingYards,3078
2016,Connecticut,American Athletic,fourthDowns,23
2016,Bowling Green,Mid-American,fourthDowns,44
2016,Appalachian State,Sun Belt,passAttempts,334
2016,Florida,SEC,passAttempts,410
2016,Texas,Big 12,tacklesForLoss,93
2016,Virginia Tech,ACC,passesIntercepted,16
2016,West Virginia,Big 12,rushingTDs,24
2016,Akron,Mid-American,passAttempts,396
2016,Air Force,Mountain West,games,13
2016,California,Pac-12,rushingTDs,16
2016,UCLA,Pac-12,thirdDownConversions,62
2016,Notre Dame,FBS Independents,interceptionTDs,0
2016,Arizona State,Pac-12,thirdDownConversions,74
2016,Texas State,Sun Belt,puntReturnYards,205
2016,Oregon State,Pac-12,passesIntercepted,7
2016,Connecticut,American Athletic,rushingAttempts,418
2016,Southern Mississippi,Conference USA,fourthDownConversions,22
2016,Baylor,Big 12,possessionTime,21071
2016,Miami (OH),Mid-American,totalYards,4770
2016,Michigan State,Big Ten,totalYards,4740
2016,Old Dominion,Conference USA,turnovers,10
2016,Baylor,Big 12,fourthDownConversions,26
2016,Georgia Southern,Sun Belt,kickReturns,52
2016,Marshall,Conference USA,passesIntercepted,8
2016,Wake Forest,ACC,fourthDowns,17
2016,Oklahoma State,Big 12,interceptionTDs,0
2016,Georgia Tech,ACC,passCompletions,83
2016,Maryland,Big Ten,kickReturnYards,874
2016,Duke,ACC,rushingTDs,19
2016,Texas State,Sun Belt,fourthDownConversions,11
2016,Purdue,Big Ten,sacks,21
2016,Florida,SEC,games,13
2016,Texas State,Sun Belt,thirdDowns,188
2016,Georgia Tech,ACC,fumblesRecovered,6
2016,Marshall,Conference USA,rushingYards,1298
2016,Georgia Tech,ACC,kickReturnTDs,1
2016,Washington,Pac-12,rushingTDs,24
2016,Minnesota,Big Ten,tacklesForLoss,101
2016,Stanford,Pac-12,thirdDowns,177
2016,Navy,American Athletic,sacks,20
2016,Arkansas State,Sun Belt,passesIntercepted,11
2016,Central Michigan,Mid-American,kickReturnYards,1122
2016,Marshall,Conference USA,tacklesForLoss,70
2016,New Mexico State,Sun Belt,puntReturnYards,19
2016,NC State,ACC,puntReturnTDs,1
2016,Arizona,Pac-12,rushingYards,2820
2016,Washington,Pac-12,kickReturnTDs,2
2016,Oklahoma State,Big 12,rushingYards,2221
2016,Rutgers,Big Ten,passCompletions,159
2016,Texas State,Sun Belt,sacks,9
2016,Tulane,American Athletic,sacks,29
2016,Louisiana Tech,Conference USA,rushingAttempts,417
2016,Texas,Big 12,sacks,41
2016,UCLA,Pac-12,turnovers,25
2016,Wyoming,Mountain West,games,14
2016,Louisiana Monroe,Sun Belt,penalties,50
2016,Appalachian State,Sun Belt,thirdDowns,175
2016,North Carolina,ACC,totalYards,5707
2016,Florida Atlantic,Conference USA,passAttempts,366
2016,Mississippi State,SEC,passesIntercepted,14
2016,Washington,Pac-12,passCompletions,254
2016,UT San Antonio,Conference USA,passCompletions,216
2016,Boston College,ACC,firstDowns,189
2016,Central Michigan,Mid-American,fourthDowns,13
2016,California,Pac-12,passesIntercepted,11
2016,Pittsburgh,ACC,totalYards,5808
2016,USC,Pac-12,rushingTDs,18
2016,Bowling Green,Mid-American,turnovers,33
2016,Florida,SEC,rushingAttempts,452
2016,New Mexico State,Sun Belt,passesIntercepted,13
2016,Duke,ACC,passAttempts,427
2016,San Diego State,Mountain West,fourthDowns,13
2016,Louisville,ACC,netPassingYards,3777
2016,New Mexico State,Sun Belt,thirdDownConversions,64
2016,Wyoming,Mountain West,interceptions,15
2016,Louisiana Tech,Conference USA,firstDowns,358
2016,Georgia State,Sun Belt,puntReturnYards,10
2016,Kansas,Big 12,passingTDs,16
