rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,fumblesRecovered,totalFumbles,sacks,possessionTime,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns,tacklesForLoss,defensiveTDs,tackles,qbHurries,passesDeflected,team,home_away,points,game_id,season,week,season_type
7,41,0,8,3,0,0,1,19,25,0,1,0,6,14,32:56,0,1,1,3-30,7.4,45,331,9.2,25-37,342,673,2-3,1-8,35,11,0,32,0,5,Penn State,home,79,401112257,2019,1,regular
0,,,,1,,,,1,,,,2,0,0,27:04,1,0,1,10-67,0.1,28,4,5.4,16-26,141,145,0-2,1-15,5,12,0,96,1,8,Idaho,away,7,401112257,2019,1,regular
2,,,,0,59,0,3,5,,,,2,10,6,32:00,0,3,3,8-50,5.3,47,249,4.8,12-28,134,383,1-2,6-15,21,12,0,88,8,4,Louisville,home,17,401112436,2019,1,regular
4,-2,0,1,1,16,0,3,5,,,,6,4,8,28:00,0,1,1,4-20,5.5,42,230,8.4,14-23,193,423,0-1,5-12,18,22,0,49,6,10,Notre Dame,away,35,401112436,2019,1,regular
0,,,,0,35,0,2,6,,,,0,2,0,25:59,0,1,1,10-63,3.9,30,116,3.4,16-32,109,225,1-2,3-14,17,4,0,72,4,3,Vanderbilt,home,6,401110732,2019,1,regular
2,61,0,4,1,41,0,2,12,,,,0,4,4,34:01,0,1,1,10-115,8.1,40,323,6.8,15-23,156,479,0-1,1-7,25,6,0,66,4,2,Georgia,away,30,401110732,2019,1,regular
1,-1,0,1,1,32,0,1,8,41,0,2,4,6,2,36:13,0,1,1,14-118,2.4,36,87,7.1,19-30,214,301,0-2,2-14,20,6,0,52,3,2,Miami,away,20,401110723,2019,1,regular
1,19,0,3,2,44,0,2,6,,,,2,4,20,23:47,2,2,4,9-100,1.8,28,50,9.4,17-27,254,304,4-4,2-10,17,16,0,82,5,4,Florida,home,24,401110723,2019,1,regular
3,,,,2,,,,8,0,0,1,0,2,4,30:34,0,1,1,5-31,4.0,53,213,5.8,11-24,139,352,1-2,10-17,24,6,0,76,4,4,Georgia State,away,38,401110730,2019,1,regular
1,35,0,2,2,72,0,3,12,,,,0,8,4,29:26,1,2,3,3-24,3.0,31,93,7.8,26-40,311,404,0-2,8-13,21,12,0,70,3,3,Tennessee,home,30,401110730,2019,1,regular
0,15,0,1,2,13,0,1,10,33,0,2,0,4,3,33:42,0,1,1,10-90,4.6,52,238,10.2,15-24,245,483,1-2,5-16,23,7,0,60,8,2,North Carolina,home,24,401110729,2019,1,regular
1,66,0,3,1,100,0,3,8,,,,2,0,6,26:18,2,0,2,9-75,4.1,31,128,4.7,16-30,142,270,0-0,3-13,15,6,0,36,2,4,South Carolina,away,20,401110729,2019,1,regular
3,6,0,3,0,59,0,2,6,,,,4,2,1,29:15,1,1,2,11-80,4.6,39,181,6.6,11-25,166,347,0-0,7-16,15,14,0,41,2,1,Toledo,away,24,401110724,2019,1,regular
3,5,0,2,2,62,0,3,8,3,0,1,2,8,4,30:45,0,2,2,7-61,4.5,39,176,9.5,19-26,246,422,1-1,3-11,20,7,0,32,2,10,Kentucky,home,38,401110724,2019,1,regular
0,3,0,1,0,,,,3,,,,2,2,1,23:23,2,1,3,8-52,3.3,32,107,4.4,12-22,97,204,0-2,3-12,11,4,0,41,0,0,Duke,away,3,401110720,2019,1,regular
2,,,,4,22,0,1,6,0,0,2,2,2,1,36:37,0,1,1,8-88,3.5,42,145,10.2,30-36,367,512,2-2,6-12,30,4,0,48,0,2,Alabama,home,42,401110720,2019,1,regular
2,27,0,3,0,51,0,3,1,0,0,1,0,2,3,38:41,1,0,1,10-75,3.8,51,192,5.5,23-31,172,364,3-5,6-18,22,10,0,84,4,8,Memphis,home,15,401110726,2019,1,regular
1,2,0,2,0,25,0,1,4,4,0,1,0,,4,21:19,1,0,1,3-35,2.4,33,80,4.9,9-19,93,173,1-2,1-10,13,8,0,134,6,6,Ole Miss,away,10,401110726,2019,1,regular
3,,,,1,125,0,6,4,,,,2,6,2,29:23,1,3,4,6-45,4.3,38,163,6.7,24-40,267,430,0-2,4-10,27,4,0,51,2,1,Louisiana,home,28,401110727,2019,1,regular
3,40,0,3,2,54,0,3,8,0,0,1,0,4,2,30:37,0,2,2,5-40,6.5,40,261,7.9,20-30,236,497,0-1,4-9,29,3,0,61,0,4,Mississippi State,away,38,401110727,2019,1,regular
0,0,0,1,1,,,,7,17,0,1,0,,2,26:22,3,0,3,10-85,2.7,28,75,4.7,16-33,155,230,3-3,2-13,16,5,0,88,3,8,Portland State,away,13,401110721,2019,1,regular
2,16,0,2,0,16,0,2,8,49,0,3,0,2,6,33:38,1,0,1,7-70,4.9,42,204,5.5,18-35,191,395,2-2,5-15,26,16,0,48,12,12,Arkansas,home,20,401110721,2019,1,regular
2,131,0,3,1,57,0,2,3,4,0,2,0,2,1,32:28,0,1,1,7-58,2.7,33,90,6.5,28-37,242,332,1-2,4-14,17,7,0,40,7,3,Oregon,away,21,401110722,2019,1,regular
1,64,0,5,2,20,0,1,9,,,,2,2,3,27:32,2,0,2,7-60,4.8,43,206,5.5,13-32,177,383,1-1,7-17,21,6,0,88,2,1,Auburn,home,27,401110722,2019,1,regular
0,,,,0,13,0,1,3,,,,0,4,0,28:32,0,2,2,5-20,1.9,39,74,2.2,4-11,24,98,0-0,1-12,8,7,0,60,0,10,Georgia Southern,away,3,401110725,2019,1,regular
2,52,0,4,5,0,0,1,13,,,,2,,2,31:28,0,0,0,7-70,3.7,33,122,9.0,30-39,350,472,1-1,8-14,22,10,0,21,1,2,LSU,home,55,401110725,2019,1,regular
2,16,0,2,3,19,0,1,8,14,0,1,0,2,1,35:57,0,1,1,5-32,5.2,41,213,8.4,21-30,252,465,1-2,9-14,26,2,0,56,2,6,Iowa,home,38,401112191,2019,1,regular
0,,,,2,36,0,2,2,,,,2,0,2,24:03,1,0,1,10-77,2.4,25,59,6.9,17-27,186,245,1-1,4-12,11,0,0,94,2,1,Miami (OH),away,14,401112191,2019,1,regular
0,,,,2,65,0,4,8,-3,0,1,2,0,1,28:52,1,0,1,4-37,3.7,23,84,6.9,22-42,291,375,1-3,4-14,21,1,0,46,4,1,Rhode Island,away,20,401119259,2019,1,regular
3,15,0,3,2,38,0,3,11,0,0,1,0,4,4,31:08,1,1,2,7-70,7.3,38,278,8.2,16-23,188,466,0-0,8-11,23,6,0,26,12,16,Ohio,home,41,401119259,2019,1,regular
1,1,0,2,2,0,0,1,12,,,,4,2,4.5,34:23,0,1,1,6-50,3.7,46,171,11.8,15-24,284,455,0-0,8-16,18,22,0,114,0,6,Arizona State,home,30,401114153,2019,1,regular
0,25,0,4,1,143,0,7,1,,,,2,12,5,25:37,0,2,2,5-42,3.0,40,120,3.3,12-24,80,200,1-2,5-18,11,7,0,96,0,1,Kent State,away,7,401114153,2019,1,regular
3,24,0,3,3,10,0,1,6,0,0,1,2,0,12,28:23,0,0,0,7-75,4.5,46,207,7.8,15-25,194,401,0-1,9-15,22,24,0,35,3,5,Illinois,home,42,401112145,2019,1,regular
0,9,0,2,0,43,0,2,3,,,,0,2,4,31:37,1,1,2,5-36,1.7,38,64,4.6,12-28,128,192,0-0,3-13,16,3,0,43,0,2,Akron,away,3,401112145,2019,1,regular
1,,,,1,102,0,6,1,,,,0,,2,31:37,0,0,0,7-47,3.3,39,128,4.6,26-42,194,322,2-4,12-21,23,6,0,76,0,2,Monmouth,away,13,401119258,2019,1,regular
1,21,0,1,5,143,0,3,12,,,,0,2,6,28:23,0,0,0,8-74,2.7,33,90,14.7,20-25,368,458,2-2,5-9,23,10,0,51,8,8,Western Michigan,home,48,401119258,2019,1,regular
2,11,0,1,1,125,0,5,14,29,0,1,0,,6,29:01,2,0,2,5-65,4.5,33,148,8.0,24-41,326,474,0-0,6-13,25,14,0,86,4,4,Indiana,away,34,401112157,2019,1,regular
1,0,0,1,2,35,0,3,6,0,0,2,0,,0,30:59,1,0,1,5-35,2.5,40,100,7.3,26-41,298,398,1-2,7-16,26,6,0,30,6,4,Ball State,home,24,401112157,2019,1,regular
0,42,0,2,2,16,0,1,11,,,,2,0,2,32:56,4,0,4,9-79,2.5,30,74,7.1,29-43,304,378,3-3,6-16,23,12,0,33,0,2,Coastal Carolina,home,23,401119256,2019,1,regular
1,,,,3,7,0,3,6,12,0,4,0,4,1,27:04,0,1,1,5-32,2.9,35,103,8.5,20-22,188,291,1-1,5-11,20,5,0,35,4,2,Eastern Michigan,away,30,401119256,2019,1,regular
0,-3,0,1,2,133,0,6,3,,,,6,2,2,23:22,0,1,1,4-30,2.0,22,45,6.9,15-29,199,244,2-3,3-13,13,5,1,65,0,4,Albany,away,21,401119253,2019,1,regular
2,14,0,2,3,38,0,2,8,,,,2,8,0,36:38,0,3,3,11-87,5.2,47,244,7.7,27-37,285,529,3-3,6-13,31,12,0,60,2,2,Central Michigan,home,38,401119253,2019,1,regular
0,13,0,2,1,73,0,4,4,3,0,1,0,2,3,26:46,1,1,2,4-36,1.8,28,51,5.8,14-32,187,238,0-2,1-14,14,7,0,31,0,6,Illinois State,away,10,401119257,2019,1,regular
0,12,0,2,2,42,0,3,6,32,1,1,2,0,1,33:14,1,0,1,8-86,2.6,35,90,9.1,20-33,299,389,0-1,3-15,17,8,1,27,2,2,Northern Illinois,home,24,401119257,2019,1,regular
1,,,,0,16,0,1,4,,,,0,2,0,32:49,0,1,1,8-69,3.3,45,148,10.2,7-9,92,240,1-1,6-15,11,2,0,43,0,2,Robert Morris,away,10,401119255,2019,1,regular
3,7,0,2,2,41,0,2,8,,,,2,4,4,27:11,0,1,1,4-35,6.1,47,285,6.9,5-10,69,354,0-0,7-11,21,7,0,82,0,1,Buffalo,home,38,401119255,2019,1,regular
2,-3,0,1,1,20,0,1,18,,,,4,10,8,40:03,1,2,3,6-35,3.8,57,214,8.0,30-51,407,621,0-0,10-19,38,11,0,35,1,1,Boise State,away,36,401112431,2019,1,regular
1,22,0,1,3,17,0,1,7,4,0,1,4,8,6,19:57,0,2,2,5-44,3.5,28,99,9.6,23-34,327,426,1-2,1-12,19,8,0,58,8,10,Florida State,home,31,401112431,2019,1,regular
0,9,0,2,4,63,0,3,4,0,0,1,0,4,2,33:58,3,2,5,4-20,2.3,42,98,7.3,29-47,344,442,3-3,8-18,29,12,0,39,1,8,Virginia Tech,away,28,401112435,2019,1,regular
3,23,0,4,2,55,0,3,5,0,0,3,0,4,4,26:02,1,0,1,6-32,3.3,48,157,10.2,15-27,275,432,1-2,9-19,18,8,0,44,2,4,Boston College,home,35,401112435,2019,1,regular
1,0,0,1,1,40,0,3,2,39,0,2,2,6,0,26:47,2,2,4,2-10,3.5,45,157,7.6,7-18,137,294,0-2,5-16,13,6,0,104,0,4,Georgia Tech,away,14,401111653,2019,1,regular
5,8,0,1,2,58,0,3,10,19,0,2,4,2,8,33:13,2,1,3,6-43,8.4,49,411,7.4,18-30,221,632,1-2,6-12,29,8,0,38,1,4,Clemson,home,52,401111653,2019,1,regular
0,12,0,1,0,72,0,3,6,,,,0,4,0,29:22,1,1,2,5-53,1.4,29,41,5.1,26-45,228,269,0-0,5-15,18,3,0,68,1,6,East Carolina,away,6,401112432,2019,1,regular
3,26,0,3,1,,,,10,0,0,1,0,4,3,30:38,0,0,0,6-55,6.2,31,191,8.1,26-39,314,505,0-1,4-12,23,16,0,42,7,12,NC State,home,34,401112432,2019,1,regular
2,,,,3,18,0,2,5,,,,2,0,6,23:47,3,0,3,8-84,5.8,31,180,8.7,33-48,416,596,0-1,6-16,23,10,0,136,4,10,Utah State,away,35,401112430,2019,1,regular
2,1,0,1,3,46,0,3,8,1,0,3,0,4,1,36:13,0,1,1,1-15,3.1,58,178,8.5,34-47,401,579,2-5,13-24,30,6,0,49,5,10,Wake Forest,home,38,401112430,2019,1,regular
1,0,0,1,1,26,0,1,2,,,,0,,6,25:44,2,0,2,5-51,2.6,30,78,4.5,21-41,185,263,0-1,7-16,15,7,0,88,12,8,Pittsburgh,home,14,401112433,2019,1,regular
1,21,0,3,2,48,0,2,12,11,0,2,0,4,4,34:16,0,0,0,3-35,3.9,33,129,5.3,20-34,181,310,0-0,7-15,20,7,0,36,14,10,Virginia,away,30,401112433,2019,1,regular
1,23,0,2,0,33,0,3,1,,,,2,2,0,25:09,0,0,0,3-20,6.0,30,181,4.4,7-14,62,243,0-1,3-11,10,4,0,70,2,0,Rice,away,7,401114238,2019,1,regular
1,0,0,1,1,14,0,2,2,,,,0,2,0,34:51,0,1,1,4-26,4.1,56,231,6.6,3-8,53,284,1-2,9-15,17,3,0,52,0,3,Army,home,14,401114238,2019,1,regular
0,,,,0,93,0,6,3,7,0,1,0,2,2,21:53,0,1,1,6-43,1.5,31,46,2.7,3-9,24,70,0-0,2-12,4,6,0,50,6,3,Morgan State,away,3,401119254,2019,1,regular
2,13,0,3,4,60,0,3,8,,,,2,0,8,38:07,1,0,1,7-70,5.2,63,326,7.7,25-38,294,620,2-3,9-17,37,10,0,52,6,2,Bowling Green,home,46,401119254,2019,1,regular
1,,,,4,132,0,8,6,,,,0,2,1,29:36,0,0,0,8-85,4.5,37,167,5.7,26-49,281,448,1-2,13-20,26,18,0,110,1,1,Oregon State,home,36,401112122,2019,1,regular
4,4,0,3,3,64,0,3,10,,,,0,,1,30:24,0,0,0,6-55,6.8,52,352,8.5,19-24,203,555,0-0,10-13,30,3,0,100,8,14,Oklahoma State,away,52,401112122,2019,1,regular
2,,,,0,47,0,3,2,,,,0,2,0,18:51,1,1,2,2-19,6.5,23,150,7.0,10-18,126,276,0-1,1-6,11,4,0,130,0,0,Nicholls,away,14,401112106,2019,1,regular
5,9,0,1,1,70,0,3,7,20,0,1,2,0,0,41:09,0,0,0,2-20,6.2,58,361,9.6,16-22,212,573,0-1,10-12,33,2,2,32,2,6,Kansas State,home,49,401112106,2019,1,regular
2,17,0,1,0,16,0,1,5,,,,1,,0,30:07,1,0,1,4-50,3.7,32,119,5.3,16-30,158,277,0-0,6-16,13,4,0,44,8,4,Stephen F. Austin,away,17,401112073,2019,1,regular
4,18,0,3,4,35,0,2,8,1,0,1,0,4,6,29:53,0,1,1,5-30,7.2,37,268,6.8,26-37,250,518,1-1,8-13,30,8,0,35,8,6,Baylor,home,56,401112073,2019,1,regular
2,,,,2,61,0,4,7,,,,4,2,0,31:40,0,0,0,6-48,5.7,42,241,6.2,14-27,167,408,1-2,5-13,24,5,0,40,0,0,Houston,away,31,401112114,2019,1,regular
4,26,0,3,3,37,0,2,7,,,,0,4,6,28:20,0,2,2,7-94,9.6,37,354,13.8,20-24,332,686,0-0,5-8,30,8,0,80,8,2,Oklahoma,home,49,401112114,2019,1,regular
0,0,0,1,2,38,0,6,2,,,,2,2,2,32:16,2,1,3,5-40,2.8,26,73,6.3,35-54,340,413,1-3,5-14,25,3,0,100,0,2,Louisiana Tech,away,14,401112135,2019,1,regular
2,,,,4,53,0,3,9,16,0,2,2,2,1,27:44,0,1,1,6-47,5.1,30,153,7.0,31-43,301,454,1-2,8-15,24,10,0,50,0,6,Texas,home,45,401112135,2019,1,regular
0,,,,1,43,0,3,14,,,,2,2,4,27:55,0,0,0,5-50,1.1,31,34,5.4,25-42,228,262,1-1,6-17,17,6,1,100,2,14,Northern Iowa,away,26,401112085,2019,1,regular
1,,,,2,23,0,1,11,,,,0,4,6,32:05,0,1,1,5-50,4.1,45,185,6.8,30-41,278,463,1-2,7-18,26,10,0,84,6,3,Iowa State,home,29,401112085,2019,1,regular
0,,,,1,13,0,1,4,,,,1,,1,29:19,0,0,0,2-15,3.5,36,127,6.8,12-24,162,289,1-2,2-16,8,8,0,122,0,8,Montana State,away,10,401112139,2019,1,regular
4,21,0,3,2,19,0,1,9,,,,0,4,1,30:41,0,1,1,4-29,6.4,40,255,7.9,40-55,436,691,0-1,8-15,35,7,0,60,3,8,Texas Tech,home,45,401112139,2019,1,regular
0,15,0,3,1,17,0,1,5,,,,6,0,2,31:25,2,0,2,4-35,3.9,37,146,6.4,22-34,219,365,2-3,5-14,20,11,0,92,4,3,Indiana State,away,17,401112096,2019,1,regular
0,11,0,1,2,24,0,2,4,70,1,2,0,8,3,28:35,0,3,3,7-49,3.0,34,103,8.3,20-29,241,344,0-2,4-12,20,6,1,108,1,2,Kansas,home,24,401112096,2019,1,regular
1,,,,0,57,0,4,1,,,,2,,4,28:10,2,0,2,7-78,3.0,34,101,4.1,13-28,114,215,0-1,4-17,9,10,0,114,0,4,Arkansas-Pine Bluff,away,7,401112129,2019,1,regular
2,62,0,6,1,23,0,2,21,58,0,2,0,14,4,31:50,0,2,2,1-5,5.6,36,200,6.3,26-45,284,484,0-0,9-18,25,10,0,78,0,12,TCU,home,39,401112129,2019,1,regular
1,4,0,3,0,69,0,3,7,,,,0,4,1,30:50,1,2,3,2-20,3.6,48,172,7.8,13-20,156,328,0-0,5-14,18,16,0,88,4,3,James Madison,away,13,401112143,2019,1,regular
0,4,0,1,2,54,0,3,8,7,0,1,4,0,8,29:06,0,0,0,6-35,1.4,24,34,6.2,27-42,260,294,1-1,6-18,13,6,0,104,0,5,West Virginia,home,20,401112143,2019,1,regular
3,37,0,3,0,,,,13,0,0,1,4,0,4,28:50,0,0,0,5-30,7.1,42,297,5.8,6-16,92,389,0-0,4-12,16,10,1,104,0,8,Wyoming,home,37,401110728,2019,1,regular
2,50,0,2,2,,,,7,,,,0,6,0,31:10,1,2,3,5-31,2.7,42,114,8.8,31-48,423,537,2-3,7-17,28,2,0,66,0,4,Missouri,away,31,401110728,2019,1,regular
0,5,0,1,1,61,0,3,1,13,0,1,2,0,0,24:14,4,0,4,4-24,0.5,15,8,4.6,29-46,211,219,0-0,6-15,15,0,0,40,8,10,Texas State,away,7,401110731,2019,1,regular
2,13,0,2,3,19,0,1,11,57,0,4,0,2,3,35:46,1,1,2,3-30,6.8,36,246,6.4,23-36,232,478,0-0,6-11,22,9,0,54,4,6,Texas A&M,home,41,401110731,2019,1,regular
0,2,0,3,0,48,0,3,0,0,0,2,2,6,4,28:57,2,2,4,5-55,-0.1,34,-4,5.7,21-42,238,234,0-1,3-16,18,2,0,48,2,4,Liberty,home,0,401112434,2019,1,regular
3,41,0,3,0,,,,6,10,0,2,4,2,8,31:03,2,1,3,10-88,4.4,44,192,5.0,17-35,176,368,2-4,8-20,17,14,0,92,4,4,Syracuse,away,24,401112434,2019,1,regular
4,6,0,1,2,32,0,1,10,0,0,2,4,0,2,27:05,0,0,0,4-43,6.1,40,243,11.6,13-20,232,475,1-1,3-9,23,6,1,50,2,0,Colorado,home,52,401114184,2019,1,regular
1,19,0,2,3,61,0,4,7,,,,0,6,0,32:55,2,2,4,6-64,4.2,31,131,8.0,31-47,374,505,2-4,5-12,27,3,0,41,4,2,Colorado State,away,31,401114184,2019,1,regular
2,9,0,2,2,29,0,2,5,,,,0,4,0,33:48,0,1,1,12-104,3.3,35,115,7.4,35-60,443,558,1-4,4-20,27,6,0,78,2,10,Sam Houston State,away,31,401117495,2019,1,regular
4,47,0,5,0,79,0,3,15,,,,2,0,6,26:12,0,0,0,9-90,4.5,32,145,8.5,18-40,340,485,0-0,1-15,20,10,0,100,12,3,New Mexico,home,39,401117495,2019,1,regular
0,4,0,1,1,53,0,2,1,,,,2,4,0,27:22,1,1,2,3-25,2.3,32,75,4.8,11-18,86,161,0-2,3-11,11,2,0,29,0,0,Colgate,away,7,401117494,2019,1,regular
7,0,0,1,0,,,,6,7,0,1,2,6,4,32:38,0,1,1,2-25,6.5,65,423,41.0,1-1,41,464,1-1,4-7,24,6,0,18,8,3,Air Force,home,48,401117494,2019,1,regular
2,3,0,1,1,168,1,5,7,0,0,1,4,4,3,28:01,2,2,4,4-35,4.9,36,175,6.5,31-42,272,447,0-1,6-13,25,4,2,41,0,5,USC,home,31,401114218,2019,1,regular
0,,,,2,74,0,3,11,0,0,2,4,4,2,31:59,1,2,3,6-51,5.2,40,206,6.6,19-39,256,462,2-2,5-16,22,3,0,44,0,7,Fresno State,away,23,401114218,2019,1,regular
0,13,0,3,0,61,0,2,,,,,2,0,2,27:58,1,0,1,5-31,1.8,19,35,3.7,21-32,119,154,0-2,3-15,5,10,0,96,0,12,Weber State,away,0,401117496,2019,1,regular
0,28,0,5,0,,,,6,0,0,1,0,4,1,32:02,0,1,1,2-10,3.0,43,130,3.6,16-30,108,238,1-3,5-20,14,6,0,66,0,5,San Diego State,home,6,401117496,2019,1,regular
1,40,0,4,2,100,0,6,3,,,,2,4,0,29:48,0,1,1,4-38,1.2,38,46,7.0,25-42,295,341,0-2,7-19,18,5,0,96,0,4,Southern Utah,away,23,401117497,2019,1,regular
7,9,0,4,1,32,0,3,8,,,,2,2,8,30:12,0,1,1,1-5,7.4,45,331,7.3,18-28,203,534,0-0,6-12,27,9,0,56,0,3,UNLV,home,56,401117497,2019,1,regular
0,0,0,1,1,76,0,3,10,,,,2,2,2,36:39,2,0,2,6-50,2.7,41,110,4.0,26-44,177,287,3-4,7-20,20,3,0,70,2,4,Northern Colorado,away,18,401117493,2019,1,regular
3,25,0,1,2,60,0,2,5,15,0,2,0,2,8,23:21,0,1,1,8-75,4.8,33,158,7.2,21-31,224,382,1-1,5-11,22,18,0,108,3,3,San José State,home,35,401117493,2019,1,regular
0,26,0,4,4,36,0,3,7,,,,0,10,2,31:23,2,3,5,6-55,3.3,29,96,8.1,34-52,423,519,2-2,9-18,24,12,0,40,0,2,Purdue,away,31,401112262,2019,1,regular
1,6,0,1,3,24,0,1,10,0,0,2,6,0,1,28:37,0,0,0,11-95,4.4,25,109,5.7,30-52,295,404,2-2,5-18,19,7,0,90,0,5,Nevada,home,34,401112262,2019,1,regular
2,,,,3,44,0,3,8,45,0,4,4,0,2,22:04,2,0,2,10-88,5.6,32,178,9.3,22-39,361,539,0-0,3-11,27,3,0,98,1,4,Arizona,away,38,401114164,2019,1,regular
1,9,0,2,5,65,0,2,9,49,0,2,0,4,4,37:56,4,2,6,7-54,5.3,30,159,9.1,34-48,436,595,2-3,5-10,31,6,0,92,4,5,Hawai'i,home,45,401114164,2019,1,regular
1,5,0,3,1,30,0,7,7,,,,4,6,2,27:57,1,0,1,5-35,0.7,33,22,5.2,26-40,206,228,1-1,5-17,17,5,0,50,4,1,Florida Atlantic,away,21,401112251,2019,1,regular
2,53,0,4,4,67,0,4,9,0,0,1,0,4,4,32:03,0,2,2,7-62,4.9,48,237,8.9,19-26,232,469,0-0,7-14,24,12,0,94,2,4,Ohio State,home,45,401112251,2019,1,regular
0,22,0,4,1,87,0,4,1,,,,0,12,1,23:54,1,2,3,8-80,-2.9,25,-73,5.7,16-27,153,80,0-0,2-11,8,12,0,82,2,2,Tulsa,away,7,401112212,2019,1,regular
0,39,0,5,1,51,0,2,14,13,0,1,4,0,6,36:06,0,0,0,14-122,2.7,40,108,5.1,22-38,195,303,1-4,6-19,18,28,0,54,3,4,Michigan State,home,28,401112212,2019,1,regular
0,,,,0,145,0,9,,,,,0,2,0,28:04,0,1,1,6-42,0.0,38,1,3.5,8-19,67,68,0-1,2-17,4,16,0,45,0,1,Howard,away,0,401112201,2019,1,regular
5,51,1,5,5,44,0,2,11,,,,1,,16,31:56,0,0,0,5-45,6.6,48,317,10.2,17-30,306,623,1-2,6-13,24,34,1,38,0,2,Maryland,home,79,401112201,2019,1,regular
2,,,,1,140,0,5,3,0,0,3,0,,1,23:54,2,0,2,8-90,5.4,34,183,3.3,22-37,121,304,1-3,7-17,19,4,0,66,4,2,UMass,away,21,401112264,2019,1,regular
4,,,,2,51,0,2,12,0,0,2,0,,2,36:06,3,0,3,7-80,4.8,43,206,10.9,22-32,348,554,1-1,7-14,24,6,0,28,20,8,Rutgers,home,48,401112264,2019,1,regular
1,7,0,1,2,0,0,7,3,,,,4,4,4,26:44,1,1,2,8-54,2.4,28,67,5.7,26-41,234,301,0-1,4-15,16,6,0,46,2,4,Middle Tennessee,away,21,401112222,2019,1,regular
2,40,0,6,3,76,0,3,10,2,0,1,2,8,3,33:16,0,2,2,8-55,5.2,45,233,6.7,19-33,220,453,0-1,5-13,26,12,0,82,4,8,Michigan,home,40,401112222,2019,1,regular
0,17,0,1,0,68,0,5,0,,,,2,8,3,25:00,2,1,3,9-45,1.1,23,26,4.0,16-33,131,157,0-2,3-14,9,22,0,94,3,0,South Florida,home,0,401117856,2019,1,regular
4,62,0,4,2,23,0,1,7,16,0,2,2,2,4,35:00,0,1,1,4-40,5.4,43,234,7.7,19-26,201,435,1-1,6-13,22,5,1,70,4,2,Wisconsin,away,49,401117856,2019,1,regular
2,,,,1,70,0,3,3,0,0,1,0,4,4,27:48,1,1,2,4-32,5.1,34,174,7.4,13-26,193,367,1-2,3-9,23,5,0,58,0,4,South Dakota State,away,21,401112229,2019,1,regular
2,8,0,1,1,,,,2,43,1,1,2,0,1,32:12,1,0,1,3-40,3.1,42,132,9.8,13-18,176,308,1-1,6-13,17,2,2,30,0,14,Minnesota,home,28,401112229,2019,1,regular
1,0,0,1,2,74,0,5,3,18,0,1,4,4,2,34:13,3,2,5,7-44,1.9,44,83,6.6,19-35,231,314,0-1,7-18,19,5,0,37,1,1,South Alabama,away,21,401112238,2019,1,regular
2,80,1,4,0,77,0,3,5,86,1,3,4,8,4,25:47,1,2,3,8-64,2.2,44,98,8.1,13-22,178,276,1-2,6-15,15,18,2,39,4,8,Nebraska,home,35,401112238,2019,1,regular
0,-1,0,2,1,41,0,2,5,0,0,2,4,6,6,38:12,0,2,2,8-78,3.4,39,132,6.9,23-34,233,365,0-1,7-16,21,10,0,62,5,6,Stanford,home,17,401112245,2019,1,regular
1,20,0,1,0,28,0,1,1,,,,4,6,5,21:48,2,2,4,8-67,2.8,33,93,4.3,12-27,117,210,1-2,5-14,15,3.5,0,43,2,2,Northwestern,away,7,401112245,2019,1,regular
1,3,0,1,2,36,0,2,8,26,1,1,8,2,6,26:00,0,1,1,5-35,3.3,34,113,8.1,27-37,300,413,1-1,6-14,23,12,1,25,2,6,Houston Christian,away,34,401114244,2019,1,regular
3,3,0,2,1,,,,12,,,,2,4,2,34:00,1,1,2,6-75,5.2,46,240,13.4,10-20,268,508,0-0,5-11,20,4,0,74,1,4,UTEP,home,36,401114244,2019,1,regular
1,-1,0,1,1,58,0,4,2,,,,0,,0,25:43,0,0,0,5-28,2.1,30,63,6.0,21-35,211,274,1-2,8-17,16,5,0,86,0,4,Eastern Washington,away,14,401114233,2019,1,regular
2,6,0,1,4,39,0,2,9,,,,0,2,4,34:17,0,0,0,5-38,4.7,43,200,9.7,28-38,370,570,1-2,8-15,27,18,0,86,0,3,Washington,home,47,401114233,2019,1,regular
1,31,0,2,0,63,0,3,7,0,0,1,6,6,2,27:27,0,1,1,7-50,2.8,30,83,4.8,20-38,181,264,1-2,5-17,15,5,0,46,0,8,UC Davis,away,13,401114174,2019,1,regular
1,42,0,3,2,44,0,3,9,,,,2,8,2,32:33,1,3,4,5-42,4.6,51,233,8.5,16-28,238,471,1-2,4-15,24,10,0,72,10,8,California,home,27,401114174,2019,1,regular
2,22,0,3,0,109,0,5,3,71,1,1,2,0,4,24:07,0,0,0,10-86,4.9,21,103,3.6,12-23,82,185,1-1,1-10,12,6,2,38,2,2,Wagner,away,21,401117855,2019,1,regular
3,31,0,3,0,14,0,2,6,,,,0,2,4,35:53,1,1,2,7-68,3.9,60,234,7.5,14-21,158,392,0-2,5-13,26,6,0,19,1,6,Connecticut,home,24,401117855,2019,1,regular
