team_id,0,1,2,3,4,5,6,7,8,9,10
Air Force 2005,-0.03144020912146751,-2.0483357663888535,5.511430692526069,-0.16930734420006677,1.238920279405737,0.2314414067521037,1.9264804401546014,-0.1945557818579356,-0.3214777092090025,0.5575707515596544,1.2538599838478235
Air Force 2006,-1.5935364752274948,-4.968062230300586,4.996684209564382,-0.6147723599159581,1.7406250743665175,-3.2625911176577915,1.171341274311018,0.9522957524869605,0.8041017391620722,-0.014112070089009849,2.0330976529416813
Air Force 2007,-3.7073364577049803,-3.221539807493873,4.229083321729058,-1.0110413795434232,-1.1452001384007808,1.3956069973583345,-0.3586200406524517,1.0833662565678928,2.0458314619857396,0.015630298801310206,0.8080353551981545
Air Force 2008,-3.319624894443475,-6.1104874318329845,4.022360577943305,-0.4502559738928638,-0.26667287596721106,0.8421437669615127,1.1476535010360887,0.7577506098713007,1.0349756241825467,-1.1363401442949048,1.0278532380433336
Air Force 2009,-6.075061241970124,-7.2096441918093745,2.793686366306835,1.540087189148218,-0.2556011403143672,0.14133207872633471,0.817109780500625,1.1087575639534295,0.009817626641260294,-0.8547724828475218,0.3330463100752278
Air Force 2010,-3.6046733605132566,-5.806529949535983,5.757241547408249,4.71203129403042,-1.6804678498834145,-0.4704528454915815,1.9286394979784955,0.9136937175301125,-0.42374317877385625,0.10769767502188675,0.1474714933914282
Air Force 2011,-1.4749227062326749,-3.9592939018269475,6.727754252156534,4.181871157757681,-0.7464981820095345,-0.2596332508282079,0.7747929298532422,1.6797130141244783,-0.6232285520218682,0.013361227641133849,2.3262726139045165
Air Force 2012,-0.9503093747536172,-5.259432676314263,7.611191495025018,1.38730913386507,-1.1070909234061033,-0.8532515176916338,1.1672421130390285,1.2810546113265442,-0.2093167690290855,2.3330071350763317,1.5984560539131083
Air Force 2013,4.636818267945456,-4.498443731146812,8.634096788615608,0.2389337465356242,-2.027005457132108,-1.8283721428769002,-0.15835227154156054,0.0823081444054812,0.7801151431578158,0.3765948213695943,1.2166603514829282
Air Force 2014,-4.369594609647011,-2.8309280851199525,5.159693466989126,-1.0610833192090825,1.7269618461816916,-0.19156291970924297,0.7716469699933354,0.8547449142251373,0.32337527049884257,0.5595396749160189,-1.844866526499259
Air Force 2015,-5.2247056035328026,-4.889549442150378,6.3960897231440415,1.5222994402824817,2.7180257054576105,-0.17170948030137234,2.9248420961207318,-0.14654322015771393,-0.6527697589267821,1.4650146996493185,-1.6507980039820098
Air Force 2016,-6.262569546628338,-4.026878961589481,7.950510234624124,0.028112895165119965,5.137739769868174,0.3059024461810167,5.192724419502405,-0.5322349280326156,-0.30686900164816083,0.6365567964947331,-1.3503183771948817
Air Force 2017,-1.413901637855736,-6.856915103508636,7.869323687286496,5.085640889928886,2.9882498676624745,-0.7945665140025918,1.1247494950566703,0.4420611730240186,-1.615370778351842,0.8315149379121929,-1.0710613370998476
Air Force 2018,-3.586028668493177,-4.287164582826234,5.667510548126089,-1.0051829077226015,3.608793256866709,-1.1971960739061844,0.6115411744818399,-0.4941335660720216,0.41354847949288104,0.8814487248045693,0.07922981877615393
Air Force 2019,-7.9134239284507695,-3.7801464805266862,6.610115427333318,-0.8249015353028029,2.200632607521104,-3.4566695803183913,4.491181183787789,0.02920225164480783,-1.4027409214002835,1.5133656569992189,-0.053205157234542076
Air Force 2021,-7.876846822633027,-6.313843916526044,6.405232493486217,0.5498288545453726,2.792038075591925,-1.8920938656108874,2.8559351647359144,-0.6363805153756202,-1.0545417850282008,0.4338733982587545,-0.9596189889228732
Air Force 2022,-9.10187504643798,-8.20783421282943,4.506149163994867,1.3891353134684505,2.1755527951722686,-2.343283978057027,2.6562081949931997,-0.773378578013517,-1.3302000232016626,1.2139017638558227,-0.6208783952679666
Air Force 2023,-7.311637351742372,-6.397145866785683,4.242733401248431,-0.8281526466093826,1.0118665264169622,-3.1251856141615826,2.3800461073817645,-0.33244929538614537,-0.8206166573102219,1.9327874230197355,-0.16645960233193002
Akron 2005,1.0161583771139588,-0.35294779050249875,-3.629456280662465,1.6804863518576925,0.9513883609152078,-0.545073449488611,0.29735194694880135,-0.1520549407367934,-1.586231192299905,0.6043702588648593,-0.6119497097967709
Akron 2006,0.4558008210571756,-2.002530300268991,-4.254425129605403,0.8707483545353735,1.7677644101939374,0.41167569600376885,2.0056286337787865,-1.9241868231464405,-1.445624005286352,-1.9972537996571826,0.48701257934379616
Akron 2007,2.735112956602855,-1.3893810439860679,-1.0337907109010127,-1.4521979389485529,-0.747138698059705,1.0591351049289128,0.6912826248621231,0.11492970729397266,-0.8351130084749266,-0.3747111790791453,0.6829603002026331
Akron 2008,2.0269805102481326,0.35690877602355037,0.9874903768931638,0.75270626830842,-1.4249909502538787,0.28728726335735244,0.44690517425286075,0.8048719154323527,0.6899647748065776,0.5511067165071452,1.1014700647519626
Akron 2009,3.0867025791403755,-2.5367553809390078,-1.4631507332139562,-0.18291591702418245,-1.8072780087068638,-0.46460471052689034,1.1431210293560368,-0.38000530860407417,0.48519210003375685,0.5680815256425915,0.6530421863921685
Akron 2010,4.854128332405181,-2.6185865901310312,-0.1865309929976006,-3.041060319914271,1.9395037184223,-0.2581904384128358,0.13325233203627845,-0.6285393637796683,1.6778141928120285,0.9394269727552446,-0.2354428833486527
Akron 2011,6.873041966252268,-4.074175955496197,-0.22856042146333205,0.5120395878139381,-0.15784231637395266,-0.0015762756964816135,0.8949869440861109,-0.6192322102830836,0.7360524831909449,1.3741270862092094,-0.6646325073810023
