team_id,points/game,totalYards/game,firstDowns/game,netPassingYards/game,passAttempts/game,passCompletions/game,passingTDs/game,rushingYards/game,rushingAttempts/game,rushingTDs/game,turnovers/game,interceptions/game,thirdDownPct,rushingPct,rushingYardsPct,completionPct,rushingYards/attempt,passingYards/attempt
Air Force 2014,31.46153846153846,418.6923076923077,22.076923076923077,145.6153846153846,15.846153846153847,9.0,1.1538461538461537,273.0769230769231,61.23076923076923,2.6923076923076925,1.3076923076923077,0.3076923076923077,0.46948356807511743,0.7944111776447106,0.652213852654786,0.5679611650485437,4.459798994974874,9.189320388349515
Air Force 2015,33.785714285714285,451.07142857142856,21.428571428571427,131.92857142857142,12.142857142857142,6.214285714285714,1.0714285714285714,319.14285714285717,58.285714285714285,3.2142857142857144,1.6428571428571428,0.8571428571428571,0.42857142857142855,0.8275862068965517,0.7075217735550278,0.511764705882353,5.4754901960784315,10.86470588235294
Air Force 2016,35.15384615384615,452.15384615384613,23.23076923076923,134.76923076923077,11.538461538461538,5.230769230769231,1.0769230769230769,317.38461538461536,63.61538461538461,3.0,1.3076923076923077,0.6153846153846154,0.5051020408163265,0.8464687819856704,0.7019394351820347,0.45333333333333337,4.989117291414752,11.68
Air Force 2017,31.416666666666668,417.0,24.166666666666668,110.08333333333333,11.833333333333334,5.75,0.8333333333333334,306.9166666666667,63.833333333333336,3.1666666666666665,1.6666666666666667,0.5,0.48502994011976047,0.8436123348017621,0.7360111910471623,0.48591549295774644,4.808093994778068,9.30281690140845
Air Force 2018,30.166666666666668,415.0,22.0,131.33333333333334,14.0,7.75,0.8333333333333334,283.6666666666667,59.416666666666664,2.75,1.25,0.4166666666666667,0.4142011834319526,0.8093076049943247,0.6835341365461848,0.5535714285714286,4.774193548387097,9.380952380952381
Air Force 2019,34.07692307692308,421.7692307692308,22.0,123.23076923076923,9.692307692307692,5.230769230769231,1.0769230769230769,298.53846153846155,58.07692307692308,3.1538461538461537,1.3846153846153846,0.46153846153846156,0.535031847133758,0.8569807037457434,0.707824183840963,0.5396825396825398,5.140397350993378,12.714285714285715
Air Force 2021,31.0,423.7692307692308,21.846153846153847,95.53846153846153,8.692307692307692,4.230769230769231,0.6153846153846154,328.2307692307692,64.3076923076923,3.3846153846153846,0.7692307692307693,0.3076923076923077,0.4512820512820513,0.880927291886196,0.7745507351606462,0.4867256637168142,5.104066985645933,10.991150442477876
Air Force 2022,27.846153846153847,397.6923076923077,20.46153846153846,70.46153846153847,6.6923076923076925,3.1538461538461537,0.6153846153846154,327.2307692307692,61.69230769230769,2.8461538461538463,1.0,0.15384615384615385,0.44886363636363635,0.9021372328458942,0.8228239845261122,0.47126436781609193,5.304239401496259,10.528735632183908
Air Force 2023,27.846153846153847,365.61538461538464,19.615384615384617,85.0,8.076923076923077,4.230769230769231,0.5384615384615384,280.61538461538464,54.69230769230769,2.769230769230769,1.3076923076923077,0.46153846153846156,0.4642857142857143,0.8713235294117646,0.7675152535240901,0.5238095238095238,5.1308016877637135,10.523809523809524
Akron 2014,22.583333333333332,373.25,21.583333333333332,249.58333333333334,43.916666666666664,23.666666666666668,1.1666666666666667,123.66666666666667,30.25,1.5,2.1666666666666665,1.1666666666666667,0.3407821229050279,0.4078651685393259,0.3313239562402322,0.538899430740038,4.088154269972452,5.6831119544592035
Akron 2015,23.923076923076923,357.0769230769231,19.76923076923077,192.92307692307693,28.46153846153846,14.153846153846153,1.3846153846153846,164.15384615384616,41.15384615384615,1.5384615384615385,1.3846153846153846,0.9230769230769231,0.365,0.5911602209944752,0.4597156398104265,0.4972972972972973,3.9887850467289723,6.778378378378379
Akron 2016,27.416666666666668,387.4166666666667,19.333333333333332,255.25,33.0,18.083333333333332,2.0833333333333335,132.16666666666666,31.666666666666668,1.0833333333333333,1.8333333333333333,1.1666666666666667,0.379746835443038,0.4896907216494845,0.34114863411486335,0.5479797979797979,4.173684210526315,7.734848484848484
Akron 2017,22.142857142857142,316.35714285714283,18.357142857142858,210.64285714285714,31.928571428571427,17.285714285714285,1.7142857142857142,105.71428571428571,32.785714285714285,1.0,1.2142857142857142,0.7857142857142857,0.39901477832512317,0.5066225165562914,0.334161210205464,0.5413870246085011,3.224400871459695,6.597315436241611
Akron 2018,18.916666666666668,295.75,16.833333333333332,199.16666666666666,31.166666666666668,15.583333333333334,1.3333333333333333,96.58333333333333,32.5,0.4166666666666667,2.1666666666666665,1.1666666666666667,0.28994082840236685,0.5104712041884817,0.32657086503240346,0.5,2.9717948717948715,6.3903743315508015
Akron 2019,10.5,242.16666666666666,13.0,195.33333333333334,33.166666666666664,17.0,1.0,46.833333333333336,27.25,0.16666666666666666,2.1666666666666665,1.1666666666666667,0.2608695652173913,0.4510344827586207,0.1933929800412939,0.5125628140703518,1.7186544342507646,5.889447236180906
Akron 2021,19.833333333333332,339.4166666666667,18.75,217.5,29.333333333333332,18.833333333333332,1.75,121.91666666666667,36.0,0.6666666666666666,1.4166666666666667,0.4166666666666667,0.3803680981595092,0.5510204081632654,0.35919469678369753,0.6420454545454546,3.3865740740740744,7.4147727272727275
Akron 2022,21.75,345.8333333333333,21.166666666666668,260.3333333333333,38.083333333333336,24.666666666666668,1.0833333333333333,85.5,29.0,1.25,1.8333333333333333,0.8333333333333334,0.3354838709677419,0.43229813664596267,0.24722891566265062,0.6477024070021882,2.9482758620689653,6.835886214442012
