tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected,fumblesRecovered,rushingTDs,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,possessionTime,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,puntReturnYards,puntReturnTDs,puntReturns,team,home_away,points,game_id,season,week,season_type,totalFumbles
12,0,55,4,3,4,0,1,0,28,0,1,25:37,1,3,4,7-80,6.8,43,293,4.5,15-26,117,410,2-2,3-15,17,10,,,,52,0,4,Texas Tech,home,16,401236035,2020,14,regular,
7,0,53,1,0,3,1,7,2,164,0,4,24:20,0,0,0,4-55,10.1,33,334,10.1,20-27,274,608,0-0,3-8,26,15,21,0,2,10,0,1,Texas,away,69,401236036,2020,14,regular,
5,0,41,1,0,3,0,2,2,111,0,5,34:24,2,1,3,3-21,6.0,46,274,6.4,16-27,174,448,0-1,4-11,24,7,,,,,,,Kansas State,home,31,401236036,2020,14,regular,
2,0,25,2,0,2,0,0,4,59,0,4,27:50,3,0,3,9-75,-0.4,20,-7,11.3,32-46,520,513,1-2,5-12,23,6,12,0,1,17,0,2,Boston College,away,32,401234656,2020,14,regular,
6,0,34,4,0,4,0,4,1,119,0,3,32:10,1,0,1,10-95,6.2,42,262,10.6,19-27,287,549,0-0,4-12,24,13,6,0,3,14,0,4,Virginia,home,43,401234656,2020,14,regular,
7,0,34,2,4,4,0,1,0,,,,31:53,0,0,0,12-111,5.1,51,261,5.6,13-27,151,412,0-3,10-19,23,7,,,,0,0,1,Georgia Tech,away,13,401234659,2020,14,regular,
11,0,38,3,5,6,0,2,0,82,0,4,28:07,0,0,0,7-78,2.8,32,88,8.6,23-36,309,397,0-1,5-12,24,11,,,,17,0,3,NC State,home,23,401234659,2020,14,regular,
1,0,38,0,1,2,0,1,1,75,0,2,25:49,1,3,4,6-75,6.8,44,297,4.0,12-27,107,404,2-2,4-14,21,4,,,,2,0,1,South Carolina,away,18,401237153,2020,14,regular,
9,0,38,1,3,6,3,5,0,29,0,2,34:11,0,0,0,5-60,6.5,45,291,7.7,17-26,201,492,2-3,5-14,24,11,0,0,1,,,,Kentucky,home,41,401237153,2020,14,regular,
7,0,61,2,0,4,1,2,1,,,,26:10,1,3,4,8-90,6.5,35,229,6.2,18-30,185,414,1-1,5-14,15,3,11,0,1,,,,Syracuse,away,21,401234662,2020,14,regular,
6,0,46,1,1,5,3,3,3,73,0,3,33:50,1,1,2,4-40,7.1,40,283,7.7,24-37,285,568,1-2,7-15,26,9,13,0,1,12,0,2,Notre Dame,home,45,401234662,2020,14,regular,
8,0,47,6,0,2,0,0,4,,,,26:15,0,0,0,8-85,1.2,17,20,8.8,35-49,433,453,0-1,6-13,24,7,,,,,,,Florida,away,31,401237151,2020,14,regular,
5,0,32,2,1,3,0,1,2,69,0,4,33:45,0,0,0,5-40,2.4,39,94,6.5,27-37,240,334,3-4,4-15,24,1,,,,,,,Tennessee,home,19,401237151,2020,14,regular,
6,0,43,3,1,2,1,2,1,49,0,4,28:51,0,0,0,2-20,2.8,44,124,4.2,8-24,101,225,2-6,6-15,17,4,0,0,2,3,0,1,Louisiana,away,24,401252117,2020,14,regular,
3,0,31,0,5,3,0,2,0,121,0,6,31:08,2,1,3,5-46,4.0,49,198,4.4,10-21,92,290,2-3,9-16,19,5,,,,46,0,2,Appalachian State,home,21,401252117,2020,14,regular,
7,0,32,5,2,5,1,3,4,,,,32:52,0,1,1,4-43,6.2,43,265,13.3,20-29,385,650,1-1,4-9,32,13,,,,,,,Alabama,away,55,401265817,2020,14,regular,
3,0,32,1,0,3,1,1,1,54,0,4,26:43,0,1,1,4-30,3.6,27,98,5.6,25-45,253,351,1-3,5-16,21,5,,,,,,,LSU,home,17,401265817,2020,14,regular,
13,0,43,3,1,1,4,3,3,,,,24:06,0,1,1,3-45,5.2,42,220,11.7,17-26,304,524,1-1,4-10,24,12,-3,0,1,13,0,3,Miami,away,48,401266134,2020,14,regular,
6,0,40,1,2,3,1,0,0,68,0,3,32:22,1,4,5,6-55,1.7,33,56,3.9,25-31,121,177,1-2,5-15,14,,,,,,,,Duke,home,0,401266134,2020,14,regular,
12,0,38,2,0,0,3,4,1,,,,22:06,1,0,1,4-30,7.9,30,238,8.9,12-22,195,433,0-0,3-9,19,9,,,,7,0,1,Clemson,away,45,401234657,2020,14,regular,
4,0,21,0,3,5,0,1,0,22,0,1,37:54,0,3,3,2-25,2.9,45,131,10.6,15-19,202,333,0-1,4-11,18,4,0,0,1,14,0,1,Virginia Tech,home,10,401234657,2020,14,regular,
7,0,54,3,0,5,0,1,2,107,0,5,25:56,2,0,2,4-29,1.6,28,45,6.5,20-39,255,300,0-2,5-14,20,3,31,0,1,18,0,2,Memphis,away,21,401264082,2020,14,regular,
8,0,47,3,0,6,0,3,2,43,0,2,34:04,1,0,1,9-84,3.7,45,165,7.5,21-34,254,419,3-3,2-10,26,5,3,0,2,15,0,2,Tulane,home,35,401264082,2020,14,regular,
10,0,45,4,3,1,1,0,1,16,0,1,27:40,0,1,1,6-60,3.0,43,128,6.7,10-25,168,296,1-2,6-17,15,13,,,,7,0,1,Tulsa,away,19,401264083,2020,14,regular,
3,0,32,0,6,2,1,0,0,115,0,5,32:20,0,1,1,6-46,2.4,53,126,2.5,4-11,27,153,1-2,6-17,13,6,,,,-2,0,2,Navy,home,6,401264083,2020,14,regular,
6,1,33,1,9,7,1,1,1,0,0,2,29:59,0,0,0,4-28,5.9,37,218,8.1,18-27,218,436,0-1,6-13,21,13,,,,5,0,1,Western Kentucky,away,37,401266789,2020,14,regular,
5,0,39,1,2,3,0,0,3,103,0,5,30:01,0,1,1,6-48,2.7,33,90,6.3,15-35,219,309,2-4,3-14,18,1,,,,8,0,1,Charlotte,home,19,401266789,2020,14,regular,
6,1,34,3,3,5,2,4,2,18,0,1,32:34,0,1,1,7-63,6.7,48,322,8.3,17-24,199,521,0-0,6-12,26,10,0,1,2,9,0,2,Ohio State,away,52,401247340,2020,14,regular,
9,0,33,3,4,1,1,1,0,103,0,4,27:13,2,2,4,10-106,2.9,28,81,5.0,21-36,180,261,1-2,3-17,13,4,,,,,,,Michigan State,home,12,401247340,2020,14,regular,
5,0,34,2,3,1,0,2,2,,,,37:44,0,0,0,4-39,6.8,46,315,8.5,18-23,196,511,0-0,7-11,29,7,,,,,,,Texas A&M,away,31,401237150,2020,14,regular,
3,0,37,1,5,3,0,2,0,28,0,1,22:00,0,0,0,1-5,6.5,30,196,6.0,15-24,144,340,0-1,4-10,16,8,,,,,,,Auburn,home,20,401237150,2020,14,regular,
1,0,27,1,0,2,1,2,1,9,0,1,35:48,0,0,0,3-20,4.9,43,212,6.0,17-30,181,393,2-4,4-13,19,6,0,0,1,-4,0,2,Minnesota,away,24,401247345,2020,15,regular,
6,0,28,0,2,7,0,1,1,43,0,2,24:12,1,1,2,3-32,5.5,36,197,3.8,16-29,111,308,0-0,4-13,17,5,,,,,,,Nebraska,home,17,401247345,2020,15,regular,
6,0,56,4,0,1,1,2,1,,,,27:08,1,2,3,7-63,5.5,40,218,6.1,21-40,245,463,0-2,5-14,26,3,0,0,1,,,,UNLV,away,21,401249038,2020,15,regular,
7.5,0,41,3,3,7,2,5,0,54,0,2,32:52,1,1,2,10-72,6.0,46,278,7.6,20-33,252,530,1-2,6-15,24,8,0,0,1,5,0,3,Hawai'i,home,38,401249038,2020,15,regular,
4,0,38,1,7,4,2,2,2,88,0,3,36:11,1,0,1,0-0,4.8,40,192,7.5,20-32,240,432,0-1,6-15,22,12,11,0,1,44,0,3,Utah,away,38,401249428,2020,15,regular,
10,1,46,1,3,1,0,0,2,96,0,4,23:49,1,2,3,4-35,4.1,27,110,6.8,18-39,267,377,0-3,8-16,15,3,1,0,1,81,1,1,Colorado,home,21,401249428,2020,15,regular,
4,1,53,1,0,6,4,7,2,100,1,1,32:14,0,0,0,6-55,5.2,50,260,17.5,10-13,227,487,2-3,4-10,17,10,14,0,3,9,0,1,Arizona State,away,70,401249429,2020,15,regular,
2,0,43,0,0,1,0,1,0,50,0,3,27:46,3,4,7,6-64,3.8,36,137,4.6,26-46,213,350,0-4,8-18,18,1,,,,0,0,1,Arizona,home,7,401249429,2020,15,regular,
6,0,34,3,0,0,0,2,3,137,0,6,28:27,1,0,1,4-50,2.5,23,58,8.1,26-43,350,408,1-1,4-11,23,7,,,,9,0,1,Fresno State,away,39,401249036,2020,15,regular,
11,0,34,8,0,3,0,6,1,66,0,3,30:34,0,0,0,8-73,6.2,48,299,10.9,14-18,196,495,0-0,12-16,24,7,18,0,1,9,0,1,New Mexico,home,49,401249036,2020,15,regular,
2,0,39,0,0,4,1,0,3,20,0,1,26:36,1,0,1,7-57,2.1,31,64,8.3,22-39,325,389,0-1,2-12,21,6,,,,10,0,1,Michigan State,away,24,401247346,2020,15,regular,
10,1,31,4,5,3,0,2,2,102,0,5,33:24,0,1,1,5-45,3.0,40,119,9.5,20-30,286,405,0-1,4-12,21,7,18,0,1,81,1,2,Penn State,home,39,401247346,2020,15,regular,
12,0,48,6,0,4,1,1,1,,,,29:02,0,1,1,4-40,4.7,42,197,6.9,12-24,165,362,0-0,3-15,15,11,5,0,2,16,0,4,Central Michigan,away,23,401249883,2020,15,regular,
7,0,32,2,3,5,1,0,3,43,0,4,30:58,3,1,4,4-17,2.9,43,126,8.0,18-33,265,391,0-0,8-17,25,6,,,,14,0,3,Toledo,home,24,401249883,2020,15,regular,
1,0,49,0,0,0,0,1,0,70,0,3,28:18,1,0,1,4-49,3.1,30,92,4.1,12-27,112,204,1-2,3-15,10,1,0,0,1,,,,Akron,away,7,401249886,2020,15,regular,
5,0,29,4,3,5,0,6,1,15,0,1,31:42,1,0,1,8-62,8.6,50,428,7.9,6-10,79,507,2-2,5-11,21,8,34,0,1,42,0,5,Buffalo,home,56,401249886,2020,15,regular,
7,1,43,3,3,3,1,1,1,53,0,4,25:08,3,1,4,1-5,5.0,41,204,8.1,7-18,145,349,1-1,2-10,16,8,28,1,1,8,0,4,Georgia Southern,home,26,401215309,2020,15,regular,2
3,1,38,1,1,2,1,1,2,126,1,2,34:52,1,1,2,6-70,3.9,44,173,7.2,18-29,208,381,2-2,6-17,17,10,-3,0,3,25,0,2,Appalachian State,away,34,401215309,2020,15,regular,2
7,0,42,1,0,1,1,0,0,19,0,1,26:23,1,0,1,8-78,2.2,38,82,3.0,4-21,64,146,1-2,2-17,9,9,1,0,1,28,0,3,Wyoming,home,9,401249035,2020,15,regular,1
5,0,35,5,0,2,0,1,1,,,,33:37,1,1,2,4-35,2.7,41,111,6.2,19-29,181,292,0-1,7-15,17,5,0,0,1,18,0,3,Boise State,away,17,401249035,2020,15,regular,2
7,0,37,3,0,3,1,1,3,127,0,6,32:44,0,1,1,6-63,4.6,38,175,6.0,22-37,221,396,3-4,2-14,25,7,,,,5,0,1,Northern Illinois,away,33,401249884,2020,15,regular,
5,1,45,1,1,4,1,2,2,36,0,3,27:15,0,1,1,5-41,3.4,38,131,8.3,21-29,242,373,1-1,4-11,25,11,,,,12,0,3,Eastern Michigan,home,41,401249884,2020,15,regular,
4,0,41,2,2,2,0,1,2,42,0,3,37:03,1,1,2,3-29,4.3,51,218,7.4,23-37,274,492,0-1,9-17,34,9,,,,0,0,1,Western Michigan,away,27,401249885,2020,15,regular,
6,0,43,0,4,6,1,1,3,22,0,2,22:38,0,0,0,8-64,3.1,33,103,7.5,22-33,249,352,1-2,6-14,17,4,14,0,1,,,,Ball State,home,30,401249885,2020,15,regular,
8,0,34,6,2,7,0,1,1,47,0,1,30:56,0,0,0,8-80,6.1,36,218,3.9,15-32,125,343,1-2,5-16,19,10,59,0,2,5,0,1,Auburn,away,24,401260157,2020,15,regular,
1,0,29,0,5,3,0,0,1,91,0,2,29:04,2,0,2,7-90,1.2,16,19,4.3,30-51,221,240,0-2,4-16,17,4,,,,,,,Mississippi State,home,10,401260157,2020,15,regular,
6,0,31,3,1,4,1,2,1,70,0,3,37:51,1,0,1,6-60,5.9,54,317,5.8,17-34,196,513,1-3,8-17,28,14,-2,0,2,8,0,1,Pittsburgh,away,34,401261245,2020,15,regular,2
5,0,44,2,2,4,0,1,2,5,0,1,22:09,2,1,3,8-86,3.4,29,98,6.9,19-36,250,348,3-4,5-14,21,2,6,0,1,,,,Georgia Tech,home,20,401261245,2020,15,regular,2
3,0,48,0,2,2,1,0,1,65,0,4,25:25,0,0,0,4-35,4.4,35,155,4.9,7-22,107,262,1-2,3-12,14,4,,,,,,,Illinois,away,10,401247344,2020,15,regular,
5,0,34,0,4,1,0,3,1,0,0,1,34:35,0,1,1,6-40,7.1,58,411,6.8,7-12,82,493,5-7,6-15,23,4,,,,15,0,2,Northwestern,home,28,401247344,2020,15,regular,
4,0,26,1,0,2,0,1,1,82,0,4,31:43,0,2,2,7-62,5.3,26,138,5.4,33-48,260,398,1-2,6-13,24,8,31,0,1,,,,Nevada,away,20,401249037,2020,15,regular,
5,1,46,4,0,0,2,1,2,131,1,3,28:17,1,0,1,11-93,7.4,27,200,10.2,20-30,306,506,0-2,5-11,18,6,,,,6,0,1,San José State,home,30,401249037,2020,15,regular,
11,0,45,1,0,3,1,1,5,56,0,1,31:42,2,0,2,5-65,3.0,33,100,7.3,30-47,344,444,0-0,11-18,24,7,31,0,2,,,,USC,away,43,401249431,2020,15,regular,
6,0,40,3,2,4,0,1,4,,,,28:18,2,1,3,6-45,4.3,43,185,10.1,30-36,364,549,0-3,6-13,27,8,0,0,2,40,0,2,UCLA,home,38,401249431,2020,15,regular,
3,0,42,1,0,3,1,2,1,97,0,4,30:53,0,0,0,5-66,3.3,35,116,10.1,21-29,292,408,0-0,5-11,22,7,,,,,,,Stanford,away,27,401249432,2020,15,regular,
5,0,37,3,0,3,0,0,3,18,0,1,29:07,0,1,1,7-86,6.1,39,237,7.4,17-30,221,458,2-2,6-14,22,6,,,,,,,Oregon State,home,24,401249432,2020,15,regular,
3,0,46,1,1,3,0,1,5,109,0,5,24:15,0,1,1,5-40,4.3,44,189,10.1,16-30,302,491,1-2,2-10,24,9,1,0,4,,,,North Texas,away,45,401257816,2020,15,regular,
3,0,30,0,0,2,1,4,2,137,0,7,35:45,4,0,4,12-93,5.4,56,301,7.5,10-26,196,497,0-0,7-14,27,5,,,,,,,UTEP,home,43,401257816,2020,15,regular,
6,1,36,4,8,8,1,0,3,,,,31:54,0,0,0,6-49,3.6,50,179,6.6,21-36,239,418,0-0,8-19,24,13,68,1,2,2,0,1,LSU,away,37,401251100,2020,15,regular,
5,0,38,2,4,3,0,2,2,,,,28:04,2,1,3,5-29,5.2,26,135,9.9,29-48,474,609,0-1,5-13,26,10,,,,11,0,1,Florida,home,34,401251100,2020,15,regular,
4,0,33,1,6,3,1,3,3,,,,36:28,1,0,1,6-70,4.1,43,176,11.7,24-29,338,514,1-2,8-13,29,6,55,0,2,-3,0,1,Coastal Carolina,away,42,401259671,2020,15,regular,
4,0,23,1,2,1,0,2,2,98,0,4,23:32,2,1,3,3-19,3.4,26,89,6.4,34-55,354,443,2-2,8-15,29,12,4,0,1,0,0,1,Troy,home,38,401259671,2020,15,regular,
6,0,32,2,1,0,1,1,0,21,0,1,34:11,1,1,2,5-40,1.7,33,56,4.4,20-38,169,225,1-4,4-18,11,1,,,,,,,Wisconsin,away,7,401247347,2020,15,regular,
6,0,35,2,3,6,1,1,2,29,0,1,25:49,0,1,1,6-50,4.0,32,127,8.4,14-25,211,338,0-1,3-14,13,8,0,0,1,0,0,3,Iowa,home,28,401247347,2020,15,regular,
4,0,37,2,2,1,1,1,1,23,0,1,36:43,1,1,2,2-25,3.6,47,168,7.5,21-31,231,399,2-5,10-17,23,2,,,,13,0,1,San Diego State,away,14,401249435,2020,15,regular,
3,0,45,1,2,2,1,0,3,,,,23:17,0,1,1,5-25,4.1,20,82,8.7,26-35,303,385,1-1,6-11,18,8,11,0,1,1,0,1,BYU,home,28,401249435,2020,15,regular,
12,0,51,5,0,6,0,1,2,34,0,2,22:42,0,0,0,9-81,4.0,34,137,12.1,9-18,217,354,0-1,5-13,13,3,0,0,1,,,,UAB,away,21,401257815,2020,15,regular,
4,0,33,0,1,3,0,0,1,23,0,1,37:18,1,0,1,4-24,1.7,39,66,5.7,19-33,188,254,3-4,5-19,20,10,,,,,,,Rice,home,16,401257815,2020,15,regular,
13,0,43,4,7,1,0,3,3,,,,33:45,2,0,2,4-25,5.6,47,261,11.6,20-30,347,608,0-1,10-15,27,6,,,,17,0,3,Oklahoma State,away,42,401250713,2020,15,regular,
2,0,41,2,1,1,0,0,0,119,0,5,26:15,0,0,0,5-40,2.3,31,70,2.5,18-34,86,156,0-0,4-17,12,3,0,0,2,,,,Baylor,home,3,401250713,2020,15,regular,
10,0,40,2,0,3,0,1,2,92,0,4,33:29,1,1,2,7-75,4.0,35,139,5.5,30-49,270,409,5-5,5-16,26,9,22,0,1,14,0,1,Houston,away,27,401264084,2020,15,regular,
6,1,56,1,2,3,1,0,2,8,0,1,26:31,1,0,1,0-0,2.1,30,64,7.0,22-35,246,310,1-1,7-15,20,12,0,0,1,0,0,1,Memphis,home,30,401264084,2020,15,regular,
7,0,34,3,1,8,0,6,2,,,,40:17,0,0,0,5-50,10.1,55,554,11.2,15-20,224,778,2-2,6-11,30,14,0,0,1,2,0,2,North Carolina,away,62,401234661,2020,15,regular,
5,0,41,1,0,2,0,1,2,72,0,3,19:41,1,0,1,7-68,2.8,27,75,7.5,18-32,239,314,0-1,4-12,15,4,,,,,,,Miami,home,26,401234661,2020,15,regular,
6,0,26,0,0,0,0,0,0,,,,24:44,0,1,1,6-53,3.1,35,108,1.3,1-7,9,117,0-2,1-11,4,,,,,2,0,3,Navy,away,0,401207203,2020,15,regular,
5,0,23,0,0,1,1,1,0,,,,35:16,0,0,0,4-20,2.5,53,134,28.0,1-1,28,162,0-0,4-14,8,7,,,,11,0,2,Army,home,15,401207203,2020,15,regular,
6,0,30,4,3,5,0,2,1,,,,35:18,0,1,1,7-50,5.6,45,252,9.6,15-22,212,464,0-0,9-16,20,15,27,0,2,11,0,3,Virginia Tech,home,33,401234572,2020,15,regular,
6,0,36,0,4,0,1,0,2,52,0,2,24:42,2,0,2,5-41,2.6,21,55,5.7,26-47,267,322,1-2,6-14,19,1,,,,,,,Virginia,away,15,401234572,2020,15,regular,
11,0,63,5,1,10,0,1,2,12,0,1,27:24,2,0,2,12-128,5.0,39,195,7.9,19-33,260,455,0-0,5-17,18,6,,,,0,0,1,Maryland,home,24,401247342,2020,15,regular,
13,0,53,6,1,1,0,2,1,101,0,5,32:36,0,0,0,6-60,4.6,50,231,4.2,21-35,148,379,1-2,7-21,24,9,0,0,2,17,0,3,Rutgers,away,27,401247342,2020,15,regular,5
6,0,38,2,0,1,2,2,1,115,0,5,28:41,1,0,1,7-60,4.8,34,164,4.8,17-34,162,326,2-3,5-15,19,7,6,0,1,,,,Florida Atlantic,away,31,401257813,2020,15,regular,0
6,1,29,1,1,6,0,3,2,145,1,3,31:19,1,2,3,8-83,6.4,48,305,11.0,13-19,209,514,0-1,7-12,22,9,0,0,1,,,,Southern Mississippi,home,45,401257813,2020,15,regular,2
10,0,47,2,1,1,0,0,2,98,0,7,23:04,1,1,2,5-39,4.1,31,127,5.5,17-41,224,351,1-2,7-18,17,7,,,,,,,Wake Forest,away,21,401266696,2020,15,regular,
4,0,31,1,2,4,1,4,2,31,0,2,36:56,0,0,0,7-32,5.4,47,254,8.7,17-23,199,453,0-2,7-14,19,9,0,0,1,,,,Louisville,home,45,401266696,2020,15,regular,
4,0,35,1,1,0,1,3,2,171,0,8,30:47,3,1,4,9-70,4.8,51,245,5.7,13-26,148,393,2-2,5-15,25,5,0,0,1,-1,0,1,Duke,away,35,401266694,2020,15,regular,
5,0,43,0,3,1,1,6,2,35,0,2,29:13,1,1,2,6-57,7.5,43,324,9.4,14-21,198,522,1-2,2-9,24,8,25,0,3,6,0,1,Florida State,home,56,401266694,2020,15,regular,
5,0,28,1,0,0,1,0,1,66,0,5,34:10,2,1,3,7-67,1.4,37,52,5.3,20-36,192,244,3-3,8-20,15,4,,,,,,,Louisiana Tech,away,10,401266711,2020,15,regular,
11,0,46,5,2,3,1,6,1,,,,25:43,0,1,1,7-45,9.5,35,333,11.5,11-14,161,494,0-1,4-8,15,10,17,0,2,10,0,4,TCU,home,52,401266711,2020,15,regular,
0,1,0,0,0,0,3,6,0,10,0,1,33:15,0,1,1,2-23,5.7,38,216,6.9,27-33,227,443,0-1,10-14,24,10,0,0,1,111,1,3,Alabama,away,52,401267164,2020,15,regular,
1,0,32,0,0,1,1,0,0,18,0,1,26:45,1,3,4,8-36,1.9,43,80,6.4,9-17,108,188,0-0,5-15,13,3,,,,15,0,1,Arkansas,home,3,401267164,2020,15,regular,
7,0,30,1,2,3,0,4,3,21,0,1,33:43,0,0,0,1-9,7.0,45,316,10.7,16-28,299,615,0-1,8-13,28,7,27,0,1,14,0,4,Georgia,away,49,401267161,2020,15,regular,
6,0,45,2,1,4,0,2,0,,,,25:47,1,0,1,4-30,1.5,21,32,5.6,20-32,178,210,0-0,3-11,11,2,,,,17,0,1,Missouri,home,14,401267161,2020,15,regular,
5,1,44,2,5,6,0,1,4,17,0,2,33:37,1,1,2,10-94,5.6,38,212,10.3,21-32,328,540,1-2,2-9,24,6,18,1,1,14,0,3,Tennessee,away,42,401267163,2020,15,regular,1
4,0,43,3,1,3,2,0,2,19,0,1,26:23,1,0,1,7-60,1.7,31,53,6.1,22-39,239,292,2-3,3-18,16,5,30,0,1,,,,Vanderbilt,home,17,401267163,2020,15,regular,1
8,0,49,3,0,4,1,4,3,13,0,1,29:29,3,0,3,4-25,3.7,36,132,9.1,32-47,428,560,1-1,9-15,30,4,,,,6,0,2,Stanford,away,48,401269376,2020,16,regular,
3,1,40,2,1,1,0,1,4,,,,30:13,0,1,1,8-70,5.7,51,291,8.3,17-23,192,483,2-2,5-13,27,,0,0,2,4,0,1,UCLA,home,47,401269376,2020,16,regular,
3,0,49,0,0,6,1,6,1,64,0,3,26:57,0,0,0,6-46,8.9,42,375,9.3,8-15,139,514,0-1,5-10,19,,-2,0,1,20,0,2,Arizona State,away,46,401269378,2020,16,regular,
2,0,27,0,0,2,0,2,3,48,0,2,33:03,1,1,2,8-57,5.1,49,250,6.8,16-33,224,474,2-3,11-19,25,,,,,-5,0,1,Oregon State,home,33,401269378,2020,16,regular,
6,0,48,5,0,2,1,1,2,,,,25:10,1,1,2,1-15,4.0,38,153,5.5,8-22,120,273,0-1,4-15,12,3,,,,4,0,1,Illinois,away,21,401269381,2020,16,regular,
7,1,28,3,2,4,1,4,3,,,,34:50,0,1,1,2-19,4.8,53,253,12.1,19-27,327,580,3-3,4-12,28,,0,0,1,50,0,1,Penn State,home,56,401269381,2020,16,regular,
4,0,19,3,0,0,1,3,1,,,,44:12,1,0,1,4-30,4.6,47,216,8.8,26-32,281,497,0-0,10-14,28,10,0,0,1,,,,Texas A&M,away,34,401260158,2020,16,regular,
2,0,47,0,0,1,0,0,2,35,0,1,15:48,1,1,2,6-55,1.4,17,24,9.5,12-20,189,213,1-1,1-6,13,1,45,0,1,,,,Tennessee,home,13,401260158,2020,16,regular,
7,0,39,5,0,7,2,2,5,70,0,4,34:21,1,0,1,8-72,4.7,40,187,9.7,33-43,418,605,1-2,9-15,33,10,,,,20,0,1,Alabama,away,52,401237074,2020,16,regular,
5,0,56,2,1,2,0,3,3,63,0,3,25:39,0,2,2,6-50,2.1,26,54,10.2,26-40,408,462,0-0,8-11,26,8,19,0,1,2,0,1,Florida,home,46,401237074,2020,16,regular,
5,0,44,3,6,3,0,2,1,86,0,2,27:23,0,0,0,8-59,3.9,31,120,8.0,22-34,272,392,0-0,1-11,20,9,1,0,3,7,0,1,Oklahoma,away,27,401262060,2020,16,regular,
2,0,36,1,4,5,0,2,1,43,0,2,32:12,3,0,3,5-42,3.6,31,113,8.1,27-40,322,435,1-1,4-13,20,3,,,,,,,Iowa State,home,21,401262060,2020,16,regular,
5,0,33,3,6,3,0,2,1,143,0,5,33:59,0,2,2,12-66,4.0,38,151,9.3,19-29,269,420,0-1,5-14,17,9,0,0,2,30,0,2,Cincinnati,home,27,401264085,2020,16,regular,
5,0,47,2,1,2,2,2,1,19,0,1,26:01,2,0,2,7-50,4.5,37,166,5.5,13-30,166,332,0-0,6-13,22,6,,,,8,0,1,Tulsa,away,24,401264085,2020,16,regular,
7,0,35,0,0,5,2,3,1,92,0,3,29:00,1,3,4,9-88,4.4,26,115,6.9,25-41,281,396,0-2,4-13,17,,36,0,1,10,0,1,Washington State,away,28,401269375,2020,16,regular,
12,1,39,3,0,9,3,4,1,25,0,1,31:00,1,2,3,7-65,6.0,37,223,7.6,22-40,305,528,2-3,4-14,23,,36,1,1,17,0,3,Utah,home,45,401269375,2020,16,regular,
6,0,40,2,2,3,0,1,1,,,,30:28,1,0,1,5-47,4.9,36,175,5.9,16-25,147,322,0-1,4-12,18,,0,0,1,2,0,1,Wisconsin,home,20,401269384,2020,16,regular,
5,0,47,1,1,1,0,0,2,,,,29:32,1,0,1,7-65,4.1,36,146,6.9,14-26,180,326,1-1,4-11,18,,,,,0,0,1,Minnesota,away,17,401269384,2020,16,regular,
10,1,36,2,0,6,0,1,0,122,0,6,25:27,0,0,0,7-60,0.1,25,3,5.5,20-40,221,224,1-3,3-14,14,8,,,,69,1,1,Boise State,away,20,401249043,2020,16,regular,
7,0,31,3,0,3,0,0,3,,,,34:32,0,0,0,8-49,1.8,25,45,8.7,32-52,453,498,1-3,5-16,26,14,,,,31,0,3,San José State,home,34,401249043,2020,16,regular,
2,0,27,0,0,0,1,0,1,,,,22:34,3,0,3,3-15,5.9,26,154,7.6,6-14,107,261,0-0,4-8,11,,,,,,,,Air Force,away,7,401265699,2020,16,regular,
1,0,18,0,0,2,0,1,0,,,,37:26,0,1,1,2-15,4.1,71,290,0.0,1-2,0,290,2-3,9-17,21,,0,0,1,,,,Army,home,10,401265699,2020,16,regular,
2,1,42,1,5,4,0,3,3,12,0,1,26:45,5,1,6,6-51,6.4,48,307,9.3,15-27,251,558,2-3,5-12,25,6,0,0,1,23,0,2,Ole Miss,away,48,401267165,2020,16,regular,
8,1,41,2,1,2,1,2,3,37,0,2,33:15,1,0,1,4-39,3.7,43,158,8.5,27-51,435,593,3-3,5-18,29,,74,1,5,14,0,1,LSU,home,53,401267165,2020,16,regular,
3,0,22,2,2,8,1,2,2,,,,28:57,3,1,4,8-91,3.4,30,101,6.2,23-39,241,342,1-3,3-12,22,,,,,,,,Missouri,away,32,401267166,2020,16,regular,
4,1,22,1,4,6,1,1,3,,,,31:03,2,1,3,7-73,5.4,28,151,7.8,21-38,295,446,0-0,3-9,24,15,4,0,2,0,0,1,Mississippi State,home,51,401267166,2020,16,regular,
5,1,38,1,2,3,1,1,3,41,0,2,32:39,1,0,1,3-25,3.5,47,166,8.2,20-32,263,429,1-1,7-17,22,8,0,0,1,,,,Ball State,away,38,401249854,2020,16,regular,
8,0,37,4,3,3,0,3,1,157,0,6,27:21,1,1,2,3-35,4.6,29,134,8.7,29-42,365,499,0-3,4-13,23,4,9,0,1,4,0,1,Buffalo,home,28,401249854,2020,16,regular,
5,0,38,3,0,10,0,0,4,31,0,2,29:56,1,0,1,6-87,3.3,41,136,5.7,11-19,108,244,1-1,5-13,16,7,24,0,3,,,,Oregon,away,31,401249434,2020,16,regular,
4,0,25,2,0,2,0,1,2,118,0,5,30:00,3,0,3,9-98,1.4,28,38,6.4,28-50,320,358,3-4,5-15,24,6,34,0,1,2,0,3,USC,home,24,401249434,2020,16,regular,
