season,team,conference,stat_name,stat_value
2004,Oregon State,Pac-10,passCompletions,287
2004,Texas Tech,Big 12,rushingTDs,23
2004,Western Michigan,Mid-American,fumblesLost,13
2004,Minnesota,Big Ten,puntReturnTDs,0
2004,New Mexico State,Sun Belt,passCompletions,209
2004,Boise State,Western Athletic,penalties,0
2004,Washington State,Pac-10,rushingTDs,13
2004,Missouri,Big 12,penaltyYards,0
2004,Air Force,Mountain West,fumblesRecovered,8
2004,Tulane,Conference USA,firstDowns,206
2004,East Carolina,Conference USA,thirdDownConversions,58
2004,West Virginia,Big East,passingTDs,20
2004,Arizona State,Pac-10,rushingAttempts,435
2004,San José State,Western Athletic,interceptionYards,110
2004,Nevada,Western Athletic,puntReturnTDs,0
2004,Kent State,Mid-American,rushingTDs,24
2004,Oklahoma State,Big 12,interceptions,5
2004,Rutgers,Big East,thirdDownConversions,68
2004,Louisiana Tech,Western Athletic,possessionTime,13027
2004,Ole Miss,SEC,games,11
2004,Texas Tech,Big 12,passAttempts,651
2004,Marshall,Mid-American,totalYards,3858
2004,Texas,Big 12,netPassingYards,2069
2004,Tennessee,SEC,firstDowns,276
2004,Troy,Sun Belt,rushingAttempts,510
2004,Kentucky,SEC,interceptionTDs,0
2004,New Mexico,Mountain West,possessionTime,12821
2004,Ball State,Mid-American,fourthDownConversions,6
2004,Rutgers,Big East,rushingAttempts,367
2004,Texas A&M,Big 12,games,12
2004,North Carolina,ACC,passCompletions,202
2004,Utah State,Sun Belt,thirdDownConversions,52
2004,Texas Tech,Big 12,passingTDs,34
2004,Troy,Sun Belt,interceptionYards,403
2004,Louisville,Conference USA,passCompletions,256
2004,Ohio,Mid-American,thirdDownConversions,47
2004,San Diego State,Mountain West,puntReturns,43
2004,Michigan State,Big Ten,fumblesRecovered,7
2004,Pittsburgh,Big East,interceptions,7
2004,UAB,Conference USA,thirdDowns,142
2004,Ohio,Mid-American,penalties,0
2004,Cincinnati,Conference USA,interceptionYards,51
2004,Fresno State,Western Athletic,thirdDownConversions,74
2004,Louisiana Tech,Western Athletic,puntReturnTDs,1
2004,Tennessee,SEC,netPassingYards,2880
2004,Louisiana Monroe,Sun Belt,penalties,0
2004,Temple,Big East,fumblesRecovered,10
