team_id,points/game,totalYards/game,firstDowns/game,netPassingYards/game,passAttempts/game,passCompletions/game,passingTDs/game,rushingYards/game,rushingAttempts/game,rushingTDs/game,turnovers/game,interceptions/game,thirdDownPct,rushingPct,rushingYardsPct,completionPct,rushingYards/attempt,passingYards/attempt
Air Force 2014,0.37886497621487863,0.2719171127202544,0.4305232252665387,-1.4638731940363992,-2.2776662957758838,-2.0157327542269594,-0.7860438046314994,2.080778956967051,3.8357969087906243,1.4257872962316294,-0.43078180982145076,-1.6847652307081662,1.2487662858311794,2.8381033632930532,2.085329615444647,-0.497960526004235,0.1024211391655341,1.5848246812432918
Air Force 2015,0.7118810774362411,0.7931784762018566,0.20592816276703493,-1.6964984644061958,-2.8177296940310192,-2.5829052105568513,-0.9110169132301572,3.011238039095304,3.3426396055542855,2.2142468053659714,0.3751784362640571,0.042808998611326095,0.530269126929904,3.2242049530125247,2.5913336943741734,-1.5143981677925067,1.3719921344173727,3.0699787167285764
Air Force 2016,0.9079118320559083,0.8106039791046005,0.8302263025961597,-1.648217747914351,-2.9058706047254774,-2.7831495294583326,-0.9026853726569133,2.975724333670559,4.235107113276762,1.8905634279318728,-0.43078180982145076,-0.7173236622892503,1.874296306490543,3.4439663948054187,2.5402616970775447,-2.5712591765001394,0.7640465974603794,3.7927003549812652
Air Force 2017,0.372435587341811,0.2446731792479428,1.154429909763521,-2.0677868241460255,-2.8628685240533325,-2.6774339532785003,-1.2720503380707253,2.764288309342315,4.271603207235174,2.1423171659361713,0.4324324428165799,-1.080114250446344,1.5217909743662554,3.410722149855868,2.8519792081216133,-1.9819385327373733,0.5377751415049672,1.6854342454219817
Air Force 2018,0.1933311830206291,0.21247580332611973,0.40387635344456274,-1.7066153134454278,-2.5468967138971386,-2.270233215400629,-1.2720503380707253,2.294675045264823,3.5320205973132635,1.5129328209254247,-0.5695126718525628,-1.3421296752264669,0.2778995263496822,3.0114727441356473,2.3718743118338623,-0.7582308353398999,0.4954010189199682,1.7546978406808575
Air Force 2019,0.7536064991022753,0.32145153721536707,0.40387635344456274,-1.844328975444087,-3.1751010228467313,-2.7831495294583326,-0.9026853726569133,2.595061803649102,3.3076769609218597,2.1229514937819944,-0.2458073271133015,-1.2010444464987085,2.399922222573494,3.5663074987652785,2.5941004018493916,-1.0094422048593303,0.9531402664734782,4.7095482135273485
Air Force 2021,0.3127341192347502,0.3536489131371901,0.3505826098006133,-2.3149959215154543,-3.320934165995744,-2.9867498983972682,-1.6025347808093995,3.1947995040094397,4.351035882321126,2.4715335925571775,-1.7256031887784964,-1.6847652307081662,0.9291120643174727,3.8450055423811125,3.204571860387124,-1.967284797110412,0.9077288480798723,3.1820661434174493
Air Force 2022,-0.13916007012946247,-0.0661553344588876,-0.12906108299493435,-2.741210989346747,-3.6126004522937696,-3.20601183417766,-1.6025347808093995,3.1746010840491174,3.9130827548201994,1.658175362081751,-1.1706797406540483,-2.168486014917624,0.8866399699952251,4.0918536117597135,3.64621675834244,-2.246936635989537,1.1579358922454073,2.772156171035389
Air Force 2023,-0.13916007012946247,-0.5825517098204335,-0.4221766730366564,-2.4941108426592797,-3.410677638702829,-2.9867498983972682,-1.7191763488348142,2.2330439689756343,2.7409140900383067,1.54198132915669,-0.43078180982145076,-1.2010444464987085,1.1574818107248703,3.7332338863407375,3.1402052679102113,-1.2965409128815386,0.941146093733427,2.767789397085369
Akron 2014,-0.8932355365278751,-0.45964441904193637,0.2595391310755308,0.30319791668848395,1.8159448186441567,0.9704059902107629,-0.7666035432939297,-0.9370721483867377,-1.352015505944621,-0.3752202141068156,1.6347665804195504,1.0160091477946405,-1.0114827215046447,-1.66064259054883,-0.8504451132041719,-1.023606467494203,-0.36211903100505927,-1.523271708204196
Akron 2015,-0.7012723544605564,-0.7200097377943705,-0.36888292939270695,-0.6598171611644809,-0.4379251052806474,-0.9664077758493689,-0.43611910055525577,-0.11929509409574211,0.4738626065040963,-0.3171231976442853,-0.2458073271133015,0.25011790612966583,-0.5861694502251316,0.47260379194590435,0.32419162109519056,-1.776073349524036,-0.48632635259409834,-0.5523671878790517
Akron 2016,-0.200698506485971,-0.23157967292902282,-0.5198818697172329,0.3995103195419769,0.22393300593410279,-0.16636273636496213,0.6233751423422578,-0.765385578723999,-1.1147908952149521,-1.0046045591175625,0.8332104886842365,1.0160091477946405,-0.32718618762523544,-0.7083306605223036,-0.7605605722954885,-0.8593678802113612,-0.2552102267988016,0.2955006273368616
Akron 2017,-0.9563485170981957,-1.37554477338951,-0.8580433621246736,-0.35864634745810015,0.06768320970301753,-0.3287582687329219,0.06377333383937722,-1.2996818781506183,-0.9274033875797519,-1.1304814281197118,-0.6553936816813467,-0.18177565120020783,0.011196561030623726,-0.5112730217574669,-0.82448749165561,-0.9786128133938606,-1.4417742063285597,-0.7128713585035055
Akron 2018,-1.4186084558700078,-1.7072927360125794,-1.3859052039314135,-0.5536991969345022,-0.04342775650575366,-0.6753636587123001,-0.5138801459055321,-1.4841126889787994,-0.9752470065504413,-2.0116195111347572,1.6347665804195504,1.0160091477946405,-1.9043552551381238,-0.46648076545403466,-0.893930449473157,-1.72718897491485,-1.7575210101333092,-0.8963153586093762
Akron 2019,-2.6245781116326325,-2.5699140992514224,-2.7138076497264922,-0.6188517047471587,0.24823852979227123,-0.3869298027154747,-1.0193269406823275,-2.488984082004831,-1.8543735051368608,-2.3892501181412054,1.6347665804195504,1.0160091477946405,-2.4149034752377543,-1.1582243192448467,-2.1123554405383023,-1.4999626105254145,-3.323893496923205,-1.3403647429661698
