team_id,points_opp/game,totalYards_opp/game,firstDowns_opp/game,netPassingYards_opp/game,passingAttempts_opp/game,passingCompletions_opp/game,passingTDs_opp/game,rushingYards_opp/game,rushingAttempts_opp/game,rushingTDs_opp/game,turnovers_opp/game,interceptions_opp/game,thirdDownPct_opp,rushingPct_opp,rushingYardsPct_opp,completionPct_opp,rushingYards/attempt_opp,passingYards/attempt_opp,d_success_rate,d_explosiveness,d_standard_downs_rate,d_power_success,d_stuff_rate,d_rushing_plays_success_rate,d_rushing_plays_explosiveness,d_rushing_plays_ppa,d_passing_plays_success_rate,d_passing_plays_explosiveness,d_passing_plays_ppa,d_points_per_opportunity
Air Force 2014,-0.4696708760017387,0.06965754007023735,-0.44563770802073266,0.9361939916441376,0.5238475721308979,-0.1279144958015625,-0.1120166129692569,-0.6696455997613858,-0.585158445019821,-0.5131937868795388,-0.3035000791093504,-0.2995638955821841,-0.4516588832063706,-0.7171480346673774,-1.064640681437597,-1.0002715408133498,-0.5754659179744025,0.6031432186418707,-1.0911376287681345,1.8808630870574254,-1.4216075055954416,-0.9637631970798366,0.6499222794291363,-1.7798234550766967,1.924168950523534,-1.040629823267741,-0.3232514978398765,1.009692203068432,0.179643866348564,-0.535500856335214
Air Force 2015,-0.2660282904004028,-0.6329016233165962,-1.4651198456150334,-0.5054830154513265,-1.0519513398440665,-1.535848999261438,0.11543873805924833,-0.4510396335426407,-0.8097942415978236,-0.32105931136945415,-0.5525667558929009,-0.24683574461142377,-0.43516575930936824,0.1993789560904239,-0.10317173206736474,-1.4795877628518443,-0.08890513725084946,0.4175495812470284,-1.525379679538522,3.1674349808488382,-2.017600028125349,0.0649957003934819,1.1353458100557952,-1.905715314555166,2.789557503999577,-0.44051465844157933,-0.9784377055611739,2.516177800083326,0.2671836007507151,0.08934070180135813
Air Force 2016,-0.15547945821682033,-0.43675762781157135,-1.0211518179529988,0.7212354244426842,-0.5528226892567817,-1.2277987187687482,0.39077942614638606,-1.1852705418208163,-1.0344300381758262,-0.1463916063602866,0.6650925528266806,0.9307596270688935,0.8518170586777765,-0.32224972081133074,-1.5378280145623235,-1.5918236695162968,-1.1281195171807017,1.5110064289757108,-1.324565831299949,3.009921448339818,-1.9181891815197982,-0.5220678008820527,1.0693850062886945,-1.6385464126187963,0.9212652869842871,-0.9760896868185823,-0.7395288085627764,3.252408501171914,0.460887683044925,-0.4480110075064152
Air Force 2017,0.780306708951225,0.0546501387047562,-1.00196801428859,-1.6544338634267173,-3.0808866853582426,-2.8125003294912077,-0.5589464255164948,1.425812274091844,-0.0894621205710265,1.5144071554352172,-1.691816184884328,-1.4273604580123398,0.6222193648962293,2.364082775692396,2.2582975848889073,-0.8891158912517652,2.189937302770656,1.3957445679311442,0.01268527016254667,1.3474829993273796,-0.05826783399779431,1.1346711449253988,0.1613812904966349,-0.04814647551522134,2.3809626440021296,1.1584913820218254,-0.460036319802156,2.1231389661836118,0.6480685905326654,0.7847995573490465
Air Force 2018,-0.22820895307444033,-0.5262378479832007,-1.0954890571525833,0.4904378049211233,-1.1826396068659133,-0.7743376794752588,0.7120102289147137,-1.1188923010718272,-0.9655417272252386,-0.3399816460787806,-0.8523692372064343,-0.8942202648635389,0.5443964423380772,0.18731657204934032,-1.3576190275268007,0.43491766132387194,-1.059803629951238,2.0117129133039433,-0.5672327288103766,2.06643506850428,-1.07041436132163,-0.7316651531376847,0.38004692472343504,-1.6836597783362055,0.8481957875606422,-0.9114788945469947,1.0063562207250782,1.7384775865908568,1.1848730866452568,0.43028782154487544
Air Force 2019,-1.1213271499260153,-1.2586667371812443,-1.4240116949055848,-0.25173493236389566,-0.6794897788318023,-0.15685881745859362,0.05558206673595773,-1.5123874405466924,-2.1306527254764815,-1.2467981479180437,-0.6909371318837625,-1.0377580091728316,0.3011195022553587,-1.0924040699462223,-1.4934315606781634,0.8417341493457071,-1.0208228598222062,0.3501782098592024,-0.3436341512286208,-0.31890720178251813,-0.4693310982455011,0.11882610781941132,-0.9363409884824893,-1.0300042904363347,-1.3583104618526105,-1.1863454327250047,0.36702335609943043,-0.2862502255032111,-0.06744679350854768,-0.2733989142556619
Air Force 2021,-1.1329638691032347,-1.6581118562324033,-1.9131986883480114,-0.9712804520487631,-1.4394923162819286,-1.5172419353390607,-0.6764926506411103,-1.469880724893047,-1.735293723499196,-0.3909263933731214,-0.6909371318837625,-0.7916933046426157,0.27255046685748546,-0.19458887389720816,-1.043905940106397,-0.7848742294619582,-1.1984699307546185,0.19285446523818722,-1.0796768564714836,1.697982541701724,-1.6814850941337476,1.5173612027087555,-0.539086608033267,-1.0844163099862418,1.8005771352453959,0.45152516899433587,-0.4799973043200452,0.18464197434821178,-0.22905223075649872,0.1882359254857644
Air Force 2022,-2.0988115608124303,-2.428567018063284,-2.805245558743022,-2.052861453336079,-2.495051396073771,-2.125072690136716,-1.788003410021399,-1.6380594694357289,-2.2923904990126434,-1.369065541424461,-0.6909371318837625,-0.5456286001124001,-2.023554568900257,0.24293690942078205,-0.5649237946216441,-0.23472696138569793,-1.1523263171561753,-0.23450896148426958,-0.45779592460895707,-0.6045606952364209,-0.008591693362112733,-1.1401218652181195,-1.3663718231581041,-0.6154821255931051,-0.2828186339517245,-0.3463593216769391,0.39355268244464564,-1.3849396990213787,0.2301537110623689,0.4155251627518575
Air Force 2023,-1.3773349718248378,-1.9790220027243526,-2.114628626824304,-1.1907644627702483,-1.2494916819193969,-0.7936338939132795,-0.4472139723796852,-1.7286172549587118,-1.9150023607615987,-1.2467981479180437,-1.2720927110453812,-0.2995638955821841,-0.6768031141813222,-0.48811205129791263,-1.284678489601809,0.5182316381447672,-1.5600388845983706,-0.3475260802771662,-0.4683703397388493,-0.5412127763810756,-0.24738146720649842,0.9240093797837041,-0.20221757162578688,-0.9003622062946057,-0.8338220960329145,-0.7417503756581243,0.3939840536047296,-1.2074939792227912,-0.1689159829243841,0.7399099852971118
Akron 2014,-0.6316152178847073,-0.3472774076399419,0.33850026676197803,-0.14199292700315433,0.5555143445246526,0.009571032069336294,0.16731451987276733,-0.3580836948073149,0.027348493649535115,-0.7373506749746374,1.2462481319882992,0.7052003145828633,-0.4505693291917039,-0.3300815676307856,-0.2139448997541054,-0.7943760014054855,-0.4739856895935822,-0.6921322160127272,-0.17009518450752564,-0.6077006531736292,0.05134189340494638,-2.1624510195822295,1.0981830646708761,-0.31803737149495653,0.964561994612456,-0.0804115840437569,-0.080383335233154,-1.5461702177040662,-0.6352489004958869,-0.8796521020222788
