team_id,points/game,totalYards/game,firstDowns/game,netPassingYards/game,passAttempts/game,passCompletions/game,passingTDs/game,rushingYards/game,rushingAttempts/game,rushingTDs/game,turnovers/game,thirdDownPct,rushingPct,rushingYardsPct,completionPct,rushingYards/attempt,passingYards/attempt,passingYards/completion
Air Force 2005,30.0,417.27272727272725,22.181818181818183,177.45454545454547,18.636363636363637,11.0,1.2727272727272727,246.54545454545453,53.45454545454545,2.5454545454545454,2.1818181818181817,0.3959731543624161,0.7414880201765447,0.5908496732026144,0.5902439024390244,4.612244897959184,9.521951219512196,16.132231404958677
Air Force 2006,23.25,330.5833333333333,20.083333333333332,109.75,12.166666666666666,7.0,1.0,229.33333333333334,55.0,1.75,1.1666666666666667,0.5459770114942529,0.8188585607940446,0.6937232165364255,0.5753424657534247,4.16969696969697,9.02054794520548,15.678571428571429
Air Force 2007,29.923076923076923,419.38461538461536,21.307692307692307,127.38461538461539,16.46153846153846,10.0,0.6923076923076923,299.53846153846155,55.46153846153846,2.769230769230769,1.3846153846153846,0.4202127659574468,0.7711229946524064,0.7142333088774763,0.6074766355140188,5.400832177531207,7.738317757009347,12.73846153846154
Air Force 2008,26.76923076923077,349.0769230769231,18.46153846153846,84.38461538461539,10.615384615384615,5.6923076923076925,0.6923076923076923,266.9230769230769,59.76923076923077,2.076923076923077,1.3076923076923077,0.4285714285714286,0.8491803278688524,0.7646540326134861,0.5362318840579711,4.465894465894466,7.949275362318841,14.824324324324325
Air Force 2009,29.692307692307693,371.84615384615387,20.076923076923077,94.61538461538461,11.76923076923077,5.923076923076923,0.6153846153846154,283.46153846153845,62.69230769230769,2.3846153846153846,0.9230769230769231,0.4424778761061947,0.8419421487603306,0.7623086470831609,0.5032679738562091,4.521472392638037,8.03921568627451,15.974025974025974
Air Force 2010,30.846153846153847,425.84615384615387,22.0,121.23076923076923,12.923076923076923,6.769230769230769,0.9230769230769231,306.53846153846155,57.53846153846154,3.1538461538461537,1.3076923076923077,0.5053763440860215,0.816593886462882,0.7198338150289018,0.5238095238095238,5.327540106951871,9.38095238095238,17.90909090909091
Air Force 2011,34.92307692307692,454.84615384615387,23.153846153846153,145.0,15.692307692307692,9.461538461538462,1.2307692307692308,314.7692307692308,55.61538461538461,3.3076923076923075,2.0,0.46961325966850825,0.7799352750809061,0.6920345002536783,0.6029411764705883,5.659751037344399,9.240196078431373,15.32520325203252
Air Force 2012,27.384615384615383,418.84615384615387,22.307692307692307,102.61538461538461,11.615384615384615,6.384615384615385,0.6923076923076923,316.2307692307692,61.84615384615385,3.0,2.230769230769231,0.48677248677248675,0.8418848167539267,0.7550045913682277,0.5496688741721855,5.11318407960199,8.834437086092715,16.072289156626503
Air Force 2013,24.666666666666668,367.5833333333333,19.166666666666668,104.91666666666667,14.5,7.75,0.6666666666666666,262.6666666666667,53.083333333333336,2.5,1.0833333333333333,0.441860465116279,0.785450061652281,0.714577193380186,0.5344827586206896,4.948194662480377,7.235632183908046,13.537634408602152
Air Force 2014,31.46153846153846,418.6923076923077,22.076923076923077,145.6153846153846,15.846153846153847,9.0,1.1538461538461537,273.0769230769231,61.23076923076923,2.6923076923076925,1.3076923076923077,0.46948356807511743,0.7944111776447106,0.652213852654786,0.5679611650485437,4.459798994974874,9.189320388349515,16.17948717948718
Air Force 2015,33.785714285714285,451.07142857142856,21.428571428571427,131.92857142857142,12.142857142857142,6.214285714285714,1.0714285714285714,319.14285714285717,58.285714285714285,3.2142857142857144,1.6428571428571428,0.42857142857142855,0.8275862068965517,0.7075217735550278,0.511764705882353,5.4754901960784315,10.86470588235294,21.22988505747126
Air Force 2016,35.15384615384615,452.15384615384613,23.23076923076923,134.76923076923077,11.538461538461538,5.230769230769231,1.0769230769230769,317.38461538461536,63.61538461538461,3.0,1.3076923076923077,0.5051020408163265,0.8464687819856704,0.7019394351820347,0.45333333333333337,4.989117291414752,11.68,25.764705882352942
Air Force 2017,31.416666666666668,417.0,24.166666666666668,110.08333333333333,11.833333333333334,5.75,0.8333333333333334,306.9166666666667,63.833333333333336,3.1666666666666665,1.6666666666666667,0.48502994011976047,0.8436123348017621,0.7360111910471623,0.48591549295774644,4.808093994778068,9.30281690140845,19.144927536231883
Air Force 2018,30.166666666666668,415.0,22.0,131.33333333333334,14.0,7.75,0.8333333333333334,283.6666666666667,59.416666666666664,2.75,1.25,0.4142011834319526,0.8093076049943247,0.6835341365461848,0.5535714285714286,4.774193548387097,9.380952380952381,16.946236559139788
Air Force 2019,34.07692307692308,421.7692307692308,22.0,123.23076923076923,9.692307692307692,5.230769230769231,1.0769230769230769,298.53846153846155,58.07692307692308,3.1538461538461537,1.3846153846153846,0.535031847133758,0.8569807037457434,0.707824183840963,0.5396825396825398,5.140397350993378,12.714285714285715,23.558823529411764
Air Force 2021,31.0,423.7692307692308,21.846153846153847,95.53846153846153,8.692307692307692,4.230769230769231,0.6153846153846154,328.2307692307692,64.3076923076923,3.3846153846153846,0.7692307692307693,0.4512820512820513,0.880927291886196,0.7745507351606462,0.4867256637168142,5.104066985645933,10.991150442477876,22.58181818181818
Air Force 2022,27.846153846153847,397.6923076923077,20.46153846153846,70.46153846153847,6.6923076923076925,3.1538461538461537,0.6153846153846154,327.2307692307692,61.69230769230769,2.8461538461538463,1.0,0.44886363636363635,0.9021372328458942,0.8228239845261122,0.47126436781609193,5.304239401496259,10.528735632183908,22.34146341463415
