id,school,season,team_id
2005,Air Force,2004,Air Force 2004
2006,Akron,2004,Akron 2004
333,Alabama,2004,Alabama 2004
12,Arizona,2004,Arizona 2004
9,Arizona State,2004,Arizona State 2004
8,Arkansas,2004,Arkansas 2004
2032,Arkansas State,2004,Arkansas State 2004
349,Army,2004,Army 2004
2,Auburn,2004,Auburn 2004
2050,Ball State,2004,Ball State 2004
239,Baylor,2004,Baylor 2004
68,Boise State,2004,Boise State 2004
103,Boston College,2004,Boston College 2004
189,Bowling Green,2004,Bowling Green 2004
2084,Buffalo,2004,Buffalo 2004
252,BYU,2004,BYU 2004
25,California,2004,California 2004
2117,Central Michigan,2004,Central Michigan 2004
2132,Cincinnati,2004,Cincinnati 2004
228,Clemson,2004,Clemson 2004
38,Colorado,2004,Colorado 2004
36,Colorado State,2004,Colorado State 2004
41,Connecticut,2004,Connecticut 2004
150,Duke,2004,Duke 2004
151,East Carolina,2004,East Carolina 2004
2199,Eastern Michigan,2004,Eastern Michigan 2004
57,Florida,2004,Florida 2004
50,Florida A&M,2004,Florida A&M 2004
52,Florida State,2004,Florida State 2004
278,Fresno State,2004,Fresno State 2004
61,Georgia,2004,Georgia 2004
59,Georgia Tech,2004,Georgia Tech 2004
62,Hawai'i,2004,Hawai'i 2004
248,Houston,2004,Houston 2004
70,Idaho,2004,Idaho 2004
356,Illinois,2004,Illinois 2004
84,Indiana,2004,Indiana 2004
2294,Iowa,2004,Iowa 2004
66,Iowa State,2004,Iowa State 2004
2305,Kansas,2004,Kansas 2004
2306,Kansas State,2004,Kansas State 2004
2309,Kent State,2004,Kent State 2004
96,Kentucky,2004,Kentucky 2004
309,Louisiana,2004,Louisiana 2004
2433,Louisiana Monroe,2004,Louisiana Monroe 2004
2348,Louisiana Tech,2004,Louisiana Tech 2004
97,Louisville,2004,Louisville 2004
99,LSU,2004,LSU 2004
276,Marshall,2004,Marshall 2004
120,Maryland,2004,Maryland 2004
235,Memphis,2004,Memphis 2004
2390,Miami,2004,Miami 2004
193,Miami (OH),2004,Miami (OH) 2004
130,Michigan,2004,Michigan 2004
127,Michigan State,2004,Michigan State 2004
2393,Middle Tennessee,2004,Middle Tennessee 2004
135,Minnesota,2004,Minnesota 2004
344,Mississippi State,2004,Mississippi State 2004
142,Missouri,2004,Missouri 2004
2426,Navy,2004,Navy 2004
152,NC State,2004,NC State 2004
158,Nebraska,2004,Nebraska 2004
2440,Nevada,2004,Nevada 2004
