team_id,points_opp/game,totalYards_opp/game,firstDowns_opp/game,netPassingYards_opp/game,passingAttempts_opp/game,passingCompletions_opp/game,passingTDs_opp/game,rushingYards_opp/game,rushingAttempts_opp/game,rushingTDs_opp/game,turnovers_opp/game,interceptions_opp/game,thirdDownPct_opp,rushingPct_opp,rushingYardsPct_opp,completionPct_opp,rushingYards/attempt_opp,passingYards/attempt_opp
Air Force 2014,24.153846153846153,394.7692307692308,19.153846153846153,259.15384615384613,33.38461538461539,18.384615384615383,1.5384615384615385,135.6153846153846,35.46153846153846,1.3076923076923077,1.3846153846153846,0.7692307692307693,0.3641025641025641,0.5150837988826816,0.34353078721745905,0.5506912442396312,3.824295010845987,7.762672811059907
Air Force 2015,25.5,354.85714285714283,16.428571428571427,210.14285714285714,27.642857142857142,14.642857142857142,1.6428571428571428,144.71428571428572,34.5,1.4285714285714286,1.2857142857142858,0.7857142857142857,0.365,0.5551724137931034,0.40780998389694045,0.5297157622739018,4.194616977225673,7.602067183462532
Air Force 2016,26.23076923076923,366.0,17.615384615384617,251.84615384615384,29.46153846153846,15.461538461538462,1.7692307692307692,114.15384615384616,33.53846153846154,1.5384615384615385,1.7692307692307692,1.1538461538461537,0.43502824858757067,0.5323565323565324,0.3118957545187054,0.524804177545692,3.4036697247706424,8.548302872062663
Air Force 2017,32.416666666666664,393.9166666666667,17.666666666666668,171.08333333333334,20.25,11.25,1.3333333333333333,222.83333333333334,37.583333333333336,2.5833333333333335,0.8333333333333334,0.4166666666666667,0.4225352112676056,0.6498559077809798,0.565686481912418,0.5555555555555556,5.929046563192904,8.448559670781894
Air Force 2018,25.75,360.9166666666667,17.416666666666668,244.0,27.166666666666668,16.666666666666668,1.9166666666666667,116.91666666666667,33.833333333333336,1.4166666666666667,1.1666666666666667,0.5833333333333334,0.4183006535947712,0.5546448087431695,0.323943661971831,0.6134969325153374,3.455665024630542,8.98159509202454
Air Force 2019,19.846153846153847,319.3076923076923,16.53846153846154,218.76923076923077,29.0,18.307692307692307,1.6153846153846154,100.53846153846153,28.846153846153847,0.8461538461538461,1.2307692307692308,0.5384615384615384,0.40506329113924056,0.49867021276595747,0.31486388821970607,0.6312997347480106,3.485333333333333,7.543766578249337
Air Force 2021,19.76923076923077,296.61538461538464,15.23076923076923,194.30769230769232,26.23076923076923,14.692307692307692,1.2793829243373798,102.3076923076923,30.53846153846154,1.3846153846153846,1.2307692307692308,0.6153846153846154,0.40350877192982454,0.537940379403794,0.3449170124481327,0.5601173020527859,3.3501259445843825,7.407624633431086
Air Force 2022,13.384615384615385,252.84615384615384,12.846153846153847,157.53846153846155,22.384615384615383,13.076923076923077,0.7692307692307693,95.3076923076923,28.153846153846153,0.7692307692307693,1.2307692307692308,0.6923076923076923,0.2785714285714285,0.5570776255707763,0.37693945847277155,0.584192439862543,3.3852459016393444,7.037800687285224
Air Force 2023,18.153846153846153,278.38461538461536,14.692307692307692,186.84615384615384,26.923076923076923,16.615384615384617,1.3846153846153846,91.53846153846153,29.76923076923077,0.8461538461538461,1.0,0.7692307692307693,0.35185185185185186,0.5251017639077341,0.3288201160541586,0.6171428571428572,3.0749354005167957,6.9399999999999995
Akron 2014,23.083333333333332,371.0833333333333,21.25,222.5,33.5,18.75,1.6666666666666667,148.58333333333334,38.083333333333336,1.1666666666666667,2.0,1.0833333333333333,0.3641618497109827,0.5320139697322468,0.4004042218728947,0.5597014925373134,3.901531728665208,6.641791044776119
Akron 2015,21.46153846153846,331.61538461538464,19.23076923076923,238.6153846153846,36.76923076923077,21.692307692307693,1.7692307692307692,93.0,31.615384615384617,0.9230769230769231,2.1538461538461537,1.0769230769230769,0.36312849162011174,0.46231721034870643,0.2804453723034099,0.5899581589958159,2.9416058394160585,6.489539748953975
Akron 2016,33.583333333333336,466.0,24.5,241.33333333333334,32.5,19.916666666666668,1.8333333333333333,224.66666666666666,44.5,2.25,1.1666666666666667,0.6666666666666666,0.441340782122905,0.577922077922078,0.48211731044349065,0.6128205128205129,5.048689138576779,7.425641025641026
Akron 2017,28.0,442.85714285714283,23.428571428571427,238.07142857142858,32.857142857142854,20.357142857142858,1.7142857142857142,204.78571428571428,40.714285714285715,1.7142857142857142,1.9285714285714286,1.3571428571428572,0.34210526315789475,0.5533980582524272,0.46241935483870966,0.6195652173913044,5.029824561403508,7.245652173913045
Akron 2018,27.166666666666668,392.0,21.333333333333332,191.08333333333334,30.583333333333332,18.5,1.0833333333333333,200.91666666666666,44.166666666666664,1.9166666666666667,1.75,0.8333333333333334,0.37037037037037035,0.5908584169453734,0.5125425170068026,0.6049046321525886,4.549056603773585,6.247956403269756
Akron 2019,36.25,413.9166666666667,21.75,200.41666666666666,25.416666666666668,16.75,1.9166666666666667,213.5,47.166666666666664,2.3333333333333335,0.9166666666666666,0.4166666666666667,0.5297297297297298,0.6498277841561424,0.5158043084356755,0.659016393442623,4.5265017667844525,7.885245901639344
Akron 2021,39.5,467.4166666666667,23.833333333333332,218.5,25.083333333333332,16.75,2.1666666666666665,248.91666666666666,40.166666666666664,2.6666666666666665,0.9166666666666666,0.5,0.5422535211267605,0.615581098339719,0.5325369941165983,0.6677740863787376,6.1970954356846475,8.710963455149502
Akron 2022,34.45454545454545,415.09090909090907,21.363636363636363,240.36363636363637,28.454545454545453,17.454545454545453,1.7272727272727273,174.72727272727272,39.27272727272727,2.272727272727273,0.9090909090909091,0.7272727272727273,0.3716216216216216,0.5798657718120807,0.42093736311870344,0.6134185303514377,4.4490740740740735,8.447284345047924
