team_id,points/game,totalYards/game,firstDowns/game,netPassingYards/game,passAttempts/game,passCompletions/game,passingTDs/game,rushingYards/game,rushingAttempts/game,rushingTDs/game,turnovers/game,interceptions/game,thirdDownPct,rushingPct,rushingYardsPct,completionPct,rushingYards/attempt,passingYards/attempt,o_success_rate,o_explosiveness,o_standard_downs_rate,o_power_success,o_stuff_rate,o_rushing_plays_success_rate,o_rushing_plays_explosiveness,o_rushing_plays_ppa,o_passing_plays_success_rate,o_passing_plays_explosiveness,o_passing_plays_ppa,o_points_per_opportunity,points_opp/game,totalYards_opp/game,firstDowns_opp/game,netPassingYards_opp/game,passingAttempts_opp/game,passingCompletions_opp/game,passingTDs_opp/game,rushingYards_opp/game,rushingAttempts_opp/game,rushingTDs_opp/game,turnovers_opp/game,interceptions_opp/game,thirdDownPct_opp,rushingPct_opp,rushingYardsPct_opp,completionPct_opp,rushingYards/attempt_opp,passingYards/attempt_opp,d_success_rate,d_explosiveness,d_standard_downs_rate,d_power_success,d_stuff_rate,d_rushing_plays_success_rate,d_rushing_plays_explosiveness,d_rushing_plays_ppa,d_passing_plays_success_rate,d_passing_plays_explosiveness,d_passing_plays_ppa,d_points_per_opportunity,penalties/game,possessionTime/game
Florida International 2022,-1.454429336734244,-1.2699450464078161,-0.9817609812981283,-0.220854863543755,1.098931864828179,0.7498389238602481,-0.5138801459055321,-1.3309413376130215,-1.4496962280097787,-1.2563582971218612,0.4324324428165799,1.5400399973548862,-1.819059307169152,-1.3793017374566283,-0.9304363874607853,-0.2972165638042419,-1.0832424969280319,-1.5889913587022977,-1.1891040001115656,0.12923361624666124,-1.7575875415167452,0.17877784792657025,0.02545608842487599,-1.0381932783768166,0.11624666357186891,-0.838365112669696,-0.47148687502187886,-1.0711566775938997,-0.8012499443569534,-1.0055715945006274,1.511480563919833,1.0756047819744987,1.3984054192205653,0.9659864948176737,0.5783847912534765,1.2951813190024735,0.893575465262029,0.6790185632058887,0.7282121789729048,1.5144071554352172,-0.6425075002869611,-0.8942202648635389,1.8935670057312148,0.0862277549001796,0.14353918210507305,1.4987054713950059,0.5322026173095686,0.5849143695571334,0.978334363802813,0.012439794487221925,0.9615726238140161,0.8248744314817291,-2.100398182272128,1.0124641554858227,-0.44784333901734913,0.9344416368892151,1.100316355430164,-0.12571388905492664,1.1103420072447694,1.0871957619930501,0.12295192672997456,-1.3111049200183025
Florida International 2023,-1.2514443451702388,-1.312874880970247,-1.905519204459922,-0.02964641670226229,0.06594710085600587,-0.11546264413022822,-1.0193269406823275,-1.6120360153941733,-1.1147908952149521,-0.5010970831089648,0.6328214657504082,0.49197829823439426,-2.0082721494946854,-0.6112280367402764,-1.3034311295621768,-0.3812732301266698,-1.9097594428707207,-0.17306373602402564,-1.6976081459028796,0.8849674474750353,-1.2901623062028378,-0.5475345074099842,1.2218402455182322,-0.9968917339499771,0.4621228667256136,-1.1223198358450581,-1.3493591791086386,-0.21683734034101573,-0.6977129409765065,-0.7408157909520381,0.6920615885239789,0.8071641214596095,0.868452842991273,0.5443660068681542,0.2581985370499499,0.5112726074578756,1.2567059379566596,0.6569951561824419,0.6114015647523432,-0.3399816460787806,-1.2720927110453812,-1.1607903614379393,0.2515644214130643,0.2168381357311048,0.33378631872546527,0.572947108041798,0.5780781596456336,0.39614855854452097,-0.2924314659496641,0.9771707152013906,-0.4926980869321436,2.592982503330969,-0.2887887292739842,-0.33687979742985885,-0.22662971348669403,-0.5033156393035887,0.20121506644184547,1.2188268887178588,1.0059002748887256,-0.3263257798543338,-0.1528779628862372,-1.2513563014023037
Florida State 2014,0.7016465400464595,0.6367912217244293,0.7502856871302355,1.2159400370080329,0.7864322723660074,0.9510154788832453,0.2803933887437178,-0.6461187180059054,-1.0230906255211307,0.27214654076138145,1.9210366131821626,1.8394861971035985,0.9864238060535168,-0.979501432687643,-1.0196089225869558,0.7966089700245557,-0.1147814442557057,0.7332620224261184,1.3857528376570754,-0.8427387301920616,0.38333946281111575,0.3395958010002838,0.9144631660525672,0.05476921389336008,-0.7814223599775272,-0.4368732903921147,1.7744496726437575,-0.8533873170304715,1.049674946599298,0.3988456671094936,-0.25522276545012756,0.10766769304532264,0.2716995218591264,-0.01592700037373045,-0.11099581728676708,-0.3801435845271194,-0.04018860738130771,0.15989539765322314,0.6920565126665403,-0.20752530311349512,0.8864851544120582,0.438630218008463,0.918915267048559,0.5029925472571971,0.20852531170550742,-0.5564155332536523,-0.13824012346200718,0.06715667049860853,0.3245358023430055,-0.7202470453046291,0.092719224467799,-0.05288292327533472,0.21495503588182296,0.2696401973018479,-0.2559371071699012,-0.20116042345566248,0.02208289636534419,-0.18468840875794598,-0.5626848121634281,-0.21867433294234895,0.16235619667514745,0.14596348893236055
Florida State 2015,0.41193040470494335,0.3573639949743235,-0.07576733935098366,0.4083353247808156,0.11175366505024727,0.2865175714671582,0.0304471715464018,-0.03694768964212084,-0.9430445707047848,0.49623503283114173,-0.8007307752377504,-0.47546327018452156,-0.3834481161294254,-0.5469795510794087,-0.25168259017125416,0.625444471372137,0.9599962866637278,0.4734231375829504,0.5664331975601375,0.13044435861967457,-0.47353432036151155,-1.6013994935845952,1.5592876274069793,0.08479376946127096,0.36511070966207043,-0.15877438330976557,0.6219987173924236,0.09334947185522222,0.9039209738149164,0.12068989518321303,-1.4820654444198116,-0.9485890006974638,-0.5319648245105736,-1.0504757136492993,0.7138482064934298,0.24836168573984335,-1.1176086912005423,-0.4367827227022877,-0.010090805780133386,-1.369065541424461,-0.8846556582709697,-0.7916933046426157,-0.0009733852490173644,-0.45135739065714914,0.24786387515542802,-0.5853494363134888,-0.5658114965491338,-1.8694043337706518,-0.961699627342133,-0.7441056672839105,-0.6961491368411603,0.6773521869847432,-0.2553753000062595,-0.704380874180808,-0.16666314043862593,-0.5933044533263613,-1.201778153737731,-0.6177959210031356,-0.9715198570614428,-1.2645069928479684,0.6852205478707124,-0.25376419007886525
Florida State 2016,0.8968900225592208,1.039700692394496,1.336516867213682,0.5495354086022254,0.13418953322701838,-0.0267137653619731,0.1470887395718161,0.6513523136211685,0.25488604275363297,1.1933992303815069,0.12414163830299704,-0.7173236622892503,0.6483326909383685,0.012779273002432517,0.08689796286617028,-0.2879447390933111,0.8741713492922323,0.6674091592031752,1.1943660317086424,0.012498409054586932,0.16564552703911428,1.3998247061735334,0.4086473744092824,1.2445113116758193,0.5382418720064119,1.0530534644598482,0.6639866134415937,0.01223409664150965,0.595049312320547,0.8374980715474596,-0.34166696505232774,-0.7346489030361644,-0.5895162355038,-0.18385327956343778,-0.10948787574420682,-0.5620793206570306,-0.4472139723796852,-0.8526092888792483,-0.6570418999247817,-0.26865899986670366,0.6650925528266806,0.9307596270688935,-0.9150371260269088,-0.3583351868723876,-0.7183613941140686,-0.9142547927159289,-0.8161135072400553,-0.14661427202554836,-0.9493029844608893,0.6852112846676194,-1.0338140262892106,-0.06673562184395512,0.5075370310284039,-0.8709281575150893,1.1473748871855647,-0.2834649141899089,-1.0038558958909711,0.3275563030056967,-0.7000300838269182,-0.5681777878254887,1.385404113819557,1.3864253136004017
Florida State 2017,-0.13916007012946247,-0.8029798988236844,-0.9817609812981283,-0.6035986092726234,-0.7183734574902867,-0.6844995727031499,-0.0861943964790125,-0.2902048014523154,-0.4535675458508081,-0.549511263494407,0.3091161210111468,0.49197829823439426,-0.8549858802246177,0.2614797996678552,0.1658133600598398,-0.18060071735174382,-0.007961014436967796,-0.00646639396727244,0.23475262776214192,-1.3197255945822957,0.4929778139482077,-0.7422704287683373,1.5165487730540825,-0.10230206318344322,-1.1634782441787883,-0.6121421757079226,0.3072249418496178,-0.5173766747553087,-0.23148125622223312,-1.0235833022378102,-0.9118662047360696,-1.05149689577505,-1.1074789344428397,-0.9373396256485341,0.6505146617059185,-0.01213720917343671,-0.9500100114953286,-0.6696455997613858,-0.49530412638861915,-0.26865899986670366,-0.8846556582709697,-0.5456286001124001,-0.49380929316568767,-0.7339522885530646,-0.07611362329694948,-0.9641326585755036,-0.6293788684997338,-1.6937839343732206,-0.7853919454514731,0.0001973706039262809,-0.4770000572677284,-0.8599848872470012,1.3540639321468586,-0.5649761390975501,-0.1018009212400469,-0.7273812408486223,-0.9509217642623687,0.2686730691363707,-0.9694570394032409,-0.9004604210829138,-0.014963018078131324,0.040582683571179536
Florida State 2018,-0.9887578854991712,-0.6474624452525711,-1.2415679815623828,0.6601203507926037,0.9409459597500806,0.5632052523328916,-0.008433351128736189,-1.5968872004239316,-0.9473382288175395,-1.2563582971218612,1.6347665804195504,0.7539937230145171,-1.9785816082499528,-1.0211780492045273,-1.579179348626581,-0.4352447888149159,-1.9901138637591893,-0.23511788292389826,-2.097089820968463,1.9514820126820254,-2.477444842945177,-1.4377558621910214,2.2867908336086797,-2.560276931854213,-0.09653631099443453,-2.0892880325109293,-1.2776081487335238,0.9756732069860542,-0.15879884958496182,-0.39264377532649636,0.6416358054226964,0.4477763519178176,0.556716033444627,1.2160172492993648,1.6532957875081682,0.6680543497667966,1.9829668833459217,-0.38210922974198375,0.9228965360071714,-0.4724379890440664,-0.6425075002869611,0.438630218008463,-0.4685388394335802,-0.42626522476697465,-0.8997504751621583,-1.0922382150821937,-0.9741254944568676,-0.08816119088526968,-0.5490840776764728,-0.36676521025327574,-0.616771201832359,-1.573551737114424,0.474245427671742,-0.8173367894053511,-0.8008860824173826,-1.2167736314399868,-0.3478721748873834,0.5597357502889904,-0.23456458325858356,-0.2780057013967455,2.4675059884677704,-1.1039330793824005
Florida State 2019,-0.1281382606327744,0.10473843004925053,-0.1557079548169091,0.6096761850446779,0.25758680819925994,0.5214410740890069,0.2637303075972311,-0.5931811008571491,-0.27323390511513174,0.14765293405595914,0.3091161210111468,0.49197829823439426,-0.7764239643096056,-0.30027077006103403,-0.7292203187041292,0.9105304050391776,-0.679324184090086,0.5777410701472618,-0.5852569736258904,1.868145137308916,-0.6984657623097308,-1.6201782709576273,1.282777179012185,-0.6350783832196845,1.4249906774593697,-0.09316706997323337,-0.27072805381210774,0.3992889708589632,-0.000850343271840961,0.08826882125628437,0.0888916445047835,0.5869051179602115,1.2809046217760633,1.4520945529276275,2.001630283839475,1.8692436985335925,-0.27961529267447055,-0.38503541668915536,0.7446854707219577,-0.3909263933731214,-0.3035000791093504,-0.7916933046426157,0.28974630530649265,-0.720934259029902,-1.002869667821243,0.3803986326884054,-0.892266704504929,-0.11998566635167378,0.328098923177654,-1.593436760000708,-0.40212650406037476,-1.0506516174745428,-0.3573530861313534,0.13980164240801707,-1.6427101570570966,-0.7066404088880887,0.026039076803603962,-0.40644160507572835,-0.07328266434304032,-0.4103803196548242,2.594812091367558,-1.7308939185385517
Florida State 2020,-0.4355242810404095,-0.10234298346503873,-0.09649268410140723,-0.5961899628992784,0.15911827564565292,-0.22857396020741352,-0.850844675756729,0.580053617521911,0.11319532503274476,0.5478768252422798,0.9668031706401222,1.889393897061717,-0.7431626856235071,-0.06426216949648378,0.7171682762450343,-0.89381883439305,0.8987280420032007,-1.206059351536021,-0.4621583643164784,0.9748519291179295,-0.7493778883165639,1.205088784815182,-0.059733704692585037,1.4092176743835223,1.8106805039309113,2.4259395114907036,-1.7753217088165512,-0.3491515406384659,-2.0642177095931253,-0.7723116147339539,1.3223838772900207,1.1533498913039468,1.2425370144472456,0.8761061582392867,0.02187058751877845,0.8561924405374994,0.40940150166918754,0.8585426992454975,0.2155433721159942,1.8234719556875505,0.1269855350844413,0.08320342257592901,1.1113940691632842,0.12800350856655926,0.3270374953430555,1.6230924272495566,1.1306964545854374,1.0482917709865394,1.283437664174583,0.8192725024085973,1.2003771548741375,-0.2713293237804873,0.3610041951912987,1.0411722010294944,1.0741234146279761,0.9717714201282321,1.4931379900238713,-0.1540779980558753,0.8982428979756069,0.834668886914415,2.3755626919290336,0.24993598157572644
Florida State 2021,-0.1768179192431476,-0.360369176616315,-0.08687020261014196,-0.5126247898352183,-0.45662166209462385,-0.30209631565758466,-0.008433351128736189,0.15700893279738415,-0.1938012300291811,0.0024103928996324765,0.6328214657504082,0.49197829823439426,-1.027514009292883,0.1964241944438201,0.4064061021774756,0.3475213945279836,0.5086003403510908,-0.25422795272372234,-0.4796576764241908,1.179342011448219,-0.04509347855537581,-1.350820183013186,-0.7677362125544303,-0.12308062735076439,1.1338622679268497,0.7761947480744603,-0.33044445426957475,0.09684058325561867,0.13009164361911277,1.2545046816600653,-0.11475094109655294,-0.22992629921813212,0.026763457215334633,0.17177115705230014,0.4411621108805371,0.19770912284003922,1.0751407016093437,-0.45418583454599015,0.41671720771807325,-0.6048943320093519,0.40680118431040596,0.9717704111572641,0.3794675971103658,-0.015661923705761506,-0.47803043026641306,-0.28793520988966986,-0.8211342508952442,-0.2228857816590057,-0.813432955268469,1.164138047235727,-0.9484128366719247,-0.009193643174304508,-0.3840170026869978,-0.8312636335287094,-0.6267256939790501,-1.028377926093593,-0.1741620542115294,1.4922774808883787,0.6355244067335534,-0.3130432373993542,0.74356917836645,-0.7577807563136392
