team_id,points_opp/game,totalYards_opp/game,firstDowns_opp/game,netPassingYards_opp/game,passingAttempts_opp/game,passingCompletions_opp/game,passingTDs_opp/game,rushingYards_opp/game,rushingAttempts_opp/game,rushingTDs_opp/game,turnovers_opp/game,interceptions_opp/game,thirdDownPct_opp,rushingPct_opp,rushingYardsPct_opp,completionPct_opp,rushingYards/attempt_opp,passingYards/attempt_opp
Air Force 2014,-0.4696708760017387,0.06965754007023735,-0.44563770802073266,0.9361939916441376,0.5238475721308979,-0.1279144958015625,-0.1120166129692569,-0.6696455997613858,-0.585158445019821,-0.5131937868795388,-0.3035000791093504,-0.2995638955821841,-0.4516588832063706,-0.7171480346673774,-1.064640681437597,-1.0002715408133498,-0.5754659179744025,0.6031432186418707
Air Force 2015,-0.2660282904004028,-0.6329016233165962,-1.4651198456150334,-0.5054830154513265,-1.0519513398440665,-1.535848999261438,0.11543873805924833,-0.4510396335426407,-0.8097942415978236,-0.32105931136945415,-0.5525667558929009,-0.24683574461142377,-0.43516575930936824,0.1993789560904239,-0.10317173206736474,-1.4795877628518443,-0.08890513725084946,0.4175495812470284
Air Force 2016,-0.15547945821682033,-0.43675762781157135,-1.0211518179529988,0.7212354244426842,-0.5528226892567817,-1.2277987187687482,0.39077942614638606,-1.1852705418208163,-1.0344300381758262,-0.1463916063602866,0.6650925528266806,0.9307596270688935,0.8518170586777765,-0.32224972081133074,-1.5378280145623235,-1.5918236695162968,-1.1281195171807017,1.5110064289757108
Air Force 2017,0.780306708951225,0.0546501387047562,-1.00196801428859,-1.6544338634267173,-3.0808866853582426,-2.8125003294912077,-0.5589464255164948,1.425812274091844,-0.0894621205710265,1.5144071554352172,-1.691816184884328,-1.4273604580123398,0.6222193648962293,2.364082775692396,2.2582975848889073,-0.8891158912517652,2.189937302770656,1.3957445679311442
Air Force 2018,-0.22820895307444033,-0.5262378479832007,-1.0954890571525833,0.4904378049211233,-1.1826396068659133,-0.7743376794752588,0.7120102289147137,-1.1188923010718272,-0.9655417272252386,-0.3399816460787806,-0.8523692372064343,-0.8942202648635389,0.5443964423380772,0.18731657204934032,-1.3576190275268007,0.43491766132387194,-1.059803629951238,2.0117129133039433
Air Force 2019,-1.1213271499260153,-1.2586667371812443,-1.4240116949055848,-0.25173493236389566,-0.6794897788318023,-0.15685881745859362,0.05558206673595773,-1.5123874405466924,-2.1306527254764815,-1.2467981479180437,-0.6909371318837625,-1.0377580091728316,0.3011195022553587,-1.0924040699462223,-1.4934315606781634,0.8417341493457071,-1.0208228598222062,0.3501782098592024
Air Force 2021,-1.1329638691032347,-1.6581118562324033,-1.9131986883480114,-0.9712804520487631,-1.4394923162819286,-1.5172419353390607,-0.6764926506411103,-1.469880724893047,-1.735293723499196,-0.3909263933731214,-0.6909371318837625,-0.7916933046426157,0.27255046685748546,-0.19458887389720816,-1.043905940106397,-0.7848742294619582,-1.1984699307546185,0.19285446523818722
Air Force 2022,-2.0988115608124303,-2.428567018063284,-2.805245558743022,-2.052861453336079,-2.495051396073771,-2.125072690136716,-1.788003410021399,-1.6380594694357289,-2.2923904990126434,-1.369065541424461,-0.6909371318837625,-0.5456286001124001,-2.023554568900257,0.24293690942078205,-0.5649237946216441,-0.23472696138569793,-1.1523263171561753,-0.23450896148426958
Air Force 2023,-1.3773349718248378,-1.9790220027243526,-2.114628626824304,-1.1907644627702483,-1.2494916819193969,-0.7936338939132795,-0.4472139723796852,-1.7286172549587118,-1.9150023607615987,-1.2467981479180437,-1.2720927110453812,-0.2995638955821841,-0.6768031141813222,-0.48811205129791263,-1.284678489601809,0.5182316381447672,-1.5600388845983706,-0.3475260802771662
Akron 2014,-0.6316152178847073,-0.3472774076399419,0.33850026676197803,-0.14199292700315433,0.5555143445246526,0.009571032069336294,0.16731451987276733,-0.3580836948073149,0.027348493649535115,-0.7373506749746374,1.2462481319882992,0.7052003145828633,-0.4505693291917039,-0.3300815676307856,-0.2139448997541054,-0.7943760014054855,-0.4739856895935822,-0.6921322160127272
Akron 2015,-0.8769560472044121,-1.0420185370179036,-0.4168620025241208,0.33204728172005193,1.4527395623477175,1.1166913354507808,0.39077942614638606,-1.6935030115926568,-1.4837016313318325,-1.1245307544116259,1.6336851847627114,0.6846949225386786,-0.469560438274147,-1.9235255238788294,-2.0082534011242075,-0.1029730061340026,-1.7352187044100593,-0.8680717033920091
Akron 2016,0.9567969498057173,1.3235089985155708,1.5542738239938891,0.41199678390725886,0.28106898377877376,0.4485599105343102,0.5304449925673979,1.4698590881387363,1.5264180428134084,0.9845817835740753,-0.8523692372064343,-0.6276501682891387,0.9678291304031426,0.719493738092013,1.008294976850423,0.41946061804041046,1.03324816541114,0.21367395838420195
Akron 2017,0.11216508285922185,0.9161330078512879,1.153469354576775,0.31604660641708615,0.37908518404515823,0.6143006095465959,0.2710660834998044,0.9922085721756785,0.6419948208577296,0.13307672165438197,1.06636664320018,1.5810734890416078,-0.8559264313584558,0.15881270684823084,0.7136588634822582,0.5735856254619104,1.0084622649494983,0.005681335818944439
Akron 2018,-0.013899374893986188,0.02091169503348564,0.36967394771664064,-1.0661262058227388,-0.24495129098416205,-0.08449801331601517,-1.103642134558441,0.899252633440352,1.4485442999996985,0.454756411712933,0.6166629212298791,-0.09450997514033765,-0.3364688115447689,1.0152511221507325,1.4633860934159442,0.23857275944168344,0.37678806236804585,-1.1472420695260712
