team_id,points_opp/game,totalYards_opp/game,firstDowns_opp/game,netPassingYards_opp/game,passingAttempts_opp/game,passingCompletions_opp/game,passingTDs_opp/game,rushingYards_opp/game,rushingAttempts_opp/game,rushingTDs_opp/game,turnovers_opp/game,thirdDownPct_opp,rushingPct_opp,rushingYardsPct_opp,completionPct_opp,rushingYards/attempt_opp,passingYards/attempt_opp,passingYards/completion_opp,d_ppa,d_success_rate,d_explosiveness,d_power_success,d_stuff_rate,d_standard_downs_rate,d_line_yards,d_open_field_yards,d_second_level_yards,d_rushing_plays_success_rate,d_rushing_plays_explosiveness,d_rushing_plays_ppa,d_passing_plays_success_rate,d_passing_plays_explosiveness,d_passing_plays_ppa
Air Force 2014,-0.36535717406284124,0.21878763982638288,-0.30083199181784215,0.8869596065902121,0.4862874304372057,-0.08860729902955718,-0.014482020974545944,-0.5573084631263794,-0.5371973609896126,-0.41540689922908,-0.6205330217514593,-0.43173072330913204,-0.6545314801377622,-1.0096548073698355,-0.8676161033282678,-0.4372902382350994,0.5693453991274031,1.4593138842052358,0.3157799412709154,-0.8594538558279289,1.839811098763396,-0.4993307456851224,0.27727281053305,-1.2706199518366217,-1.3851692083350597,0.7772819072702768,-1.0047572525764112,-1.4537633907079222,2.0876085592022684,-0.25775310403591895,-0.17404372475227115,1.3679606228838361,0.6268726166012236
Air Force 2015,-0.164433589130857,-0.46728502233394287,-1.3078203993112252,-0.5504886026546857,-1.0386328925118624,-1.4642018686819542,0.2067562032879183,-0.33577394152739504,-0.7694342771773903,-0.22192157136433416,-0.8308412259017477,-0.4156506515774623,0.2469336990537627,-0.052631509682480704,-1.3320227595176886,0.043922496264570995,0.3815915496372917,1.6716162974790012,0.6594500826567851,-1.2817477386628873,2.542010264670786,0.4103841841058644,0.7216885639681121,-1.8418569554502529,-1.1891476832935415,2.2053263255931546,-1.3599677977244382,-1.5755492489839367,2.694293704932163,0.24702168583463016,-0.8233377342230261,2.2653827777425968,0.7131886963488043
Air Force 2016,-0.055360785882065465,-0.2757438110369794,-0.8692931895963645,0.6726315664225314,-0.5556198524198614,-1.16322743273745,0.4745708958161643,-1.0798409760283307,-1.001671193365168,-0.04602581876002011,0.197332216610774,0.8391010958717325,-0.2661227558422175,-1.4806542112169707,-1.4407674665020482,-0.9838693301826033,1.487775658608735,3.2846568396610363,0.518522200415743,-1.0864592824913828,2.456040820070986,-0.10874661822051353,0.6613000198332709,-1.746575300068747,-1.702327762026769,0.3060323668530447,-1.96391429444048,-1.3170941418644342,1.3845177304371095,-0.20346646753044476,-0.5865773845663512,2.7039596506667687,0.9041851293277934
Air Force 2017,0.8679309258291972,0.20413240743671576,-0.8503444830037472,-1.6960692915359021,-3.002059011677384,-2.711528809592902,-0.4491957247885104,1.566221217442304,-0.024727899268581138,1.626449628919335,-1.7928065300706604,0.615253424048674,2.3760637042930113,2.29791881706629,-0.7599180510697467,2.297716976834727,1.3711722102670671,2.384484160147412,1.4207793894437695,0.21399736135521547,1.5486971279677837,1.3562809576953567,-0.1699970434850738,0.03609118877496527,0.41386890008125565,2.936028834417029,0.20459174927413437,0.221434418637161,2.407846153498378,1.591993426901133,-0.3095984181203148,2.0312472785646585,1.0887495702445722
Air Force 2018,-0.12711920907205987,-0.3631242567889056,-0.942719427642757,0.4425109338214424,-1.1651015636336346,-0.7201822898929673,0.7870213704324517,-1.0125734990089932,-0.930451872400916,-0.24097694456313482,-1.0839899901567247,0.5393794910740536,0.2350695430597513,-1.3012784766614256,0.5229302368917419,-0.9163043389094174,1.9943101024446763,1.9120568950078447,0.7829365306696707,-0.3499641966691312,1.9410945880239574,-0.2940901822566673,0.030196079538456322,-0.934014186091373,-1.1820695222703108,0.17208173317504621,-1.4228249452430621,-1.3607361214680005,1.3332919778798547,-0.14912040030231902,1.1436066110398022,1.8021022772124413,1.6180504644242983
Air Force 2019,-1.0083126458451925,-1.078365711235003,-1.2672160280413296,-0.2974848259153926,-0.67819717981481,-0.11688677623239638,0.14853561795569112,-1.4113400971166663,-2.1349873443615257,-1.1541690601672001,-0.9476791170963524,0.30219515464266145,-1.0236207186397825,-1.4364630381898296,0.917092329051792,-0.8777520269890037,0.3134360110043503,-0.32800522875593474,0.17110833986656426,-0.13251793287257935,0.6391966057332068,0.4579855467112067,-1.1749855594830023,-0.3578978941211465,0.05014898153783904,-0.9730962201749892,-1.3788657730005232,-0.7283998056768475,-0.21359070285606596,-0.38031885550456584,0.5100233729204314,0.5959602472239807,0.3832358584277296
Air Force 2021,-1.0197939935555915,-1.468437310178029,-1.750408046153074,-1.014919739318789,-1.413661144184504,-1.4460222047658433,-0.5705579583320182,-1.3682639401390855,-1.726250371871036,-0.29227987240606,-0.9476791170963524,0.2743415993446315,-0.14055983254627655,-0.9890159395847896,-0.6589189207220473,-1.0534464852478849,0.1542811009362119,0.7340272545469081,0.714020049717633,-0.8483084266258198,1.7399965706914169,1.6946876143990228,-0.8112905722111509,-1.5197031019956215,0.14444481962112682,0.27498671681347947,-0.5283274900811181,-0.7810371606962168,2.000963874381954,0.9973430288731112,-0.32937989019323904,0.8764734453150927,0.22388938674373488
Air Force 2022,-1.9727458535187192,-2.220812699325765,-2.6315229027097815,-2.093328194057227,-2.4351388724757452,-2.0398912260254685,-1.6446584102769126,-1.538695691659077,-2.3021979240167254,-1.2772960869902201,-0.9476791170963524,-1.9642600087560147,0.2897758396564105,-0.5122485175006595,-0.12588448242898637,-1.0078100604493578,-0.2780566107695036,-0.24684355760507207,0.15561243164230018,-0.24353854560821359,0.48328954308880645,-0.6552818765064342,-1.568688100325954,0.08370395010183598,0.7852611033066671,-0.6766325579934085,-0.5244403600339214,-0.32739740703884684,0.5403884360180221,0.3262185518967126,0.5363141166330497,-0.0585354059698169,0.6766764207152052
Air Force 2023,-1.2609022954739728,-1.7818168659390374,-1.9493694653755564,-1.2337599487531588,-1.22979515309208,-0.7390352746948601,-0.34051729883501913,-1.6304666347852266,-1.9120399048212589,-1.1541690601672001,-1.4383982601136927,-0.651236464408115,-0.4292593759100949,-1.228675202072279,0.6036526568938915,-1.4110412439758662,-0.3923891892431084,-0.9143348142850475,0.17222299347820774,-0.25382200575673824,0.5178642574882525,1.1699961504813396,-0.5028796749670366,-0.14516730204981937,-0.43497279220853946,-0.6466071142399975,-1.664391935477475,-0.6029860374530808,0.15410459352014771,-0.006356673473341351,0.5367416084007337,0.047170032268460414,0.2831850334468797
Akron 2014,-0.5251392630325635,-0.1883633652850532,0.4736963901553926,-0.188064721198209,0.5169317622859424,0.04572021768393,0.25721404390918234,-0.24157271832331814,0.09603529714906352,-0.6411397817379499,0.6880513596281141,-0.43066845597755915,-0.2738258974492781,-0.16289248306521728,-0.668125131430713,-0.3369254325798505,-0.7410063587240568,-0.39703929387275777,0.20044832647063932,0.0362461100150318,0.4815757827811765,-1.559311087986227,0.6876652658625727,0.14114809784936821,0.0901667661403344,0.18987556737424022,0.3744954604621956,-0.03965390386391408,1.414871112477478,0.5499151375666057,0.0666402841803366,-0.15458135542457466,-0.17662935343609792
