team_id,points_opp/game,totalYards_opp/game,firstDowns_opp/game,netPassingYards_opp/game,passingAttempts_opp/game,passingCompletions_opp/game,passingTDs_opp/game,rushingYards_opp/game,rushingAttempts_opp/game,rushingTDs_opp/game,turnovers_opp/game,interceptions_opp/game,thirdDownPct_opp,rushingPct_opp,rushingYardsPct_opp,completionPct_opp,rushingYards/attempt_opp,passingYards/attempt_opp,d_success_rate,d_explosiveness,d_standard_downs_rate,d_power_success,d_stuff_rate,d_rushing_plays_success_rate,d_rushing_plays_explosiveness,d_rushing_plays_ppa,d_passing_plays_success_rate,d_passing_plays_explosiveness,d_passing_plays_ppa,d_points_per_opportunity,d_field_position_average_start
Air Force 2014,24.153846153846153,394.7692307692308,19.153846153846153,259.15384615384613,33.38461538461539,18.384615384615383,1.5384615384615385,135.6153846153846,35.46153846153846,1.3076923076923077,1.3846153846153846,0.7692307692307693,0.3641025641025641,0.5150837988826816,0.34353078721745905,0.5506912442396312,3.824295010845987,7.762672811059907,0.3758314855875831,1.4257668280885598,0.6330376940133038,0.6415094339622641,0.2137767220902612,0.33729216152019,1.2026726862300687,0.0335498700714564,0.3927038626609442,1.7273790694540054,0.2497584357759485,3.223684210526316,27.700000000000003
Air Force 2015,25.5,354.85714285714283,16.428571428571427,210.14285714285714,27.642857142857142,14.642857142857142,1.6428571428571428,144.71428571428572,34.5,1.4285714285714286,1.2857142857142858,0.7857142857142857,0.365,0.5551724137931034,0.40780998389694045,0.5297157622739018,4.194616977225673,7.602067183462532,0.357630979498861,1.5492063536048384,0.6150341685649203,0.7169811320754716,0.2319819819819819,0.3310810810810811,1.294127817643339,0.088433592004272,0.3627684964200477,1.9265681300932715,0.260023981292768,3.5844155844155843,29.299999999999997
Air Force 2016,26.23076923076923,366.0,17.615384615384617,251.84615384615384,29.46153846153846,15.461538461538462,1.7692307692307692,114.15384615384616,33.53846153846154,1.5384615384615385,1.7692307692307692,1.1538461538461537,0.43502824858757067,0.5323565323565324,0.3118957545187054,0.524804177545692,3.4036697247706424,8.548302872062663,0.3660477453580902,1.5340937930016307,0.6180371352785146,0.6739130434782609,0.2295081967213114,0.3442622950819672,1.096684819883312,0.0394524086340466,0.3736842105263158,2.0239133035580625,0.2827391298726122,3.274193548387097,29.5
Air Force 2017,32.416666666666664,393.9166666666667,17.666666666666668,171.08333333333334,20.25,11.25,1.3333333333333333,222.83333333333334,37.583333333333336,2.5833333333333335,0.8333333333333334,0.4166666666666667,0.4225352112676056,0.6498559077809798,0.565686481912418,0.5555555555555556,5.929046563192904,8.448559670781894,0.4220963172804532,1.3745919304656973,0.6742209631728046,0.7954545454545454,0.1954545454545454,0.4227272727272727,1.2509471025001178,0.234671194446976,0.3864541832669322,1.8746001349963608,0.3046893235625734,3.9859154929577465,33.0
Air Force 2018,25.75,360.9166666666667,17.416666666666668,244.0,27.166666666666668,16.666666666666668,1.9166666666666667,116.91666666666667,33.833333333333336,1.4166666666666667,1.1666666666666667,0.5833333333333334,0.4183006535947712,0.5546448087431695,0.323943661971831,0.6134969325153374,3.455665024630542,8.98159509202454,0.3977900552486187,1.4435714431663933,0.643646408839779,0.6585365853658537,0.2036553524804177,0.3420365535248041,1.0889627618028703,0.0453614090471922,0.4534534534534534,1.8237398154439477,0.3676389204069265,3.78125,29.200000000000003
Air Force 2019,19.846153846153847,319.3076923076923,16.53846153846154,218.76923076923077,29.0,18.307692307692307,1.6153846153846154,100.53846153846153,28.846153846153847,0.8461538461538461,1.2307692307692308,0.5384615384615384,0.40506329113924056,0.49867021276595747,0.31486388821970607,0.6312997347480106,3.485333333333333,7.543766578249337,0.4071618037135278,1.2147109189632566,0.6618037135278515,0.7209302325581395,0.1542857142857142,0.3742857142857143,0.8557769654415395,0.0202234029873595,0.4242424242424242,1.5560282410748592,0.2207827890839954,3.375,29.0
Air Force 2021,19.76923076923077,296.61538461538464,15.23076923076923,194.30769230769232,26.23076923076923,14.692307692307692,1.2793829243373798,102.3076923076923,30.53846153846154,1.3846153846153846,1.2307692307692308,0.6153846153846154,0.40350877192982454,0.537940379403794,0.3449170124481327,0.5601173020527859,3.3501259445843825,7.407624633431086,0.376311844077961,1.4082204415602948,0.6251874062968515,0.8235294117647058,0.1691842900302115,0.3716012084592145,1.1896113790721856,0.170015376154272,0.3855421686746988,1.618290087544962,0.2018317609233069,3.641509433962264,27.200000000000003
Air Force 2022,13.384615384615385,252.84615384615384,12.846153846153847,157.53846153846155,22.384615384615383,13.076923076923077,0.7692307692307693,95.3076923076923,28.153846153846153,0.7692307692307693,1.2307692307692308,0.6923076923076923,0.2785714285714285,0.5570776255707763,0.37693945847277155,0.584192439862543,3.3852459016393444,7.037800687285224,0.4023769100169779,1.1873040310433702,0.6757215619694398,0.6285714285714286,0.1381578947368421,0.3947368421052631,0.9694360218959958,0.0970445980650471,0.4254545454545455,1.410758399399652,0.2556815872853539,3.772727272727273,28.299999999999997
Air Force 2023,18.153846153846153,278.38461538461536,14.692307692307692,186.84615384615384,26.923076923076923,16.615384615384617,1.3846153846153846,91.53846153846153,29.76923076923077,0.8461538461538461,1.0,0.7692307692307693,0.35185185185185186,0.5251017639077341,0.3288201160541586,0.6171428571428572,3.0749354005167957,6.9399999999999995,0.4019337016574585,1.1933819168449198,0.6685082872928176,0.78,0.1818181818181818,0.3806818181818182,0.9112054226681806,0.0608839843473245,0.4254742547425474,1.434220453276022,0.2088837744294861,3.96,27.5
Akron 2014,23.083333333333332,371.0833333333333,21.25,222.5,33.5,18.75,1.6666666666666667,148.58333333333334,38.083333333333336,1.1666666666666667,2.0,1.0833333333333333,0.3641618497109827,0.5320139697322468,0.4004042218728947,0.5597014925373134,3.901531728665208,6.641791044776119,0.4144353899883585,1.187002769279624,0.6775320139697323,0.5535714285714286,0.2305882352941176,0.4094117647058823,1.1012604594269493,0.1213669324042387,0.4038004750593824,1.3894403359369658,0.1541981870900315,3.025,30.700000000000003
