team_id,points/game,totalYards/game,firstDowns/game,netPassingYards/game,passAttempts/game,passCompletions/game,passingTDs/game,rushingYards/game,rushingAttempts/game,rushingTDs/game,turnovers/game,interceptions/game,thirdDownPct,rushingPct,rushingYardsPct,completionPct,rushingYards/attempt,passingYards/attempt,o_success_rate,o_explosiveness,o_standard_downs_rate,o_power_success,o_stuff_rate,o_rushing_plays_success_rate,o_rushing_plays_explosiveness,o_rushing_plays_ppa,o_passing_plays_success_rate,o_passing_plays_explosiveness,o_passing_plays_ppa,o_points_per_opportunity,o_field_position_average_start,points_opp/game,totalYards_opp/game,firstDowns_opp/game,netPassingYards_opp/game,passingAttempts_opp/game,passingCompletions_opp/game,passingTDs_opp/game,rushingYards_opp/game,rushingAttempts_opp/game,rushingTDs_opp/game,turnovers_opp/game,interceptions_opp/game,thirdDownPct_opp,rushingPct_opp,rushingYardsPct_opp,completionPct_opp,rushingYards/attempt_opp,passingYards/attempt_opp,d_success_rate,d_explosiveness,d_standard_downs_rate,d_power_success,d_stuff_rate,d_rushing_plays_success_rate,d_rushing_plays_explosiveness,d_rushing_plays_ppa,d_passing_plays_success_rate,d_passing_plays_explosiveness,d_passing_plays_ppa,d_points_per_opportunity,d_field_position_average_start,penalties/game,possessionTime/game
Air Force 2014,31.46153846153846,418.6923076923077,22.076923076923077,145.6153846153846,15.846153846153847,9.0,1.1538461538461537,273.0769230769231,61.23076923076923,2.6923076923076925,1.3076923076923077,0.3076923076923077,0.46948356807511743,0.7944111776447106,0.652213852654786,0.5679611650485437,4.459798994974874,9.189320388349515,0.4518371400198609,1.0899352301297762,0.7318768619662364,0.7641509433962265,0.1614987080103359,0.4366925064599483,0.9778905445597827,0.1681134085235817,0.4579439252336448,1.7676811364079452,0.4029348934752905,3.909090909090909,69.1,24.153846153846153,394.7692307692308,19.153846153846153,259.15384615384613,33.38461538461539,18.384615384615383,1.5384615384615385,135.6153846153846,35.46153846153846,1.3076923076923077,1.3846153846153846,0.7692307692307693,0.3641025641025641,0.5150837988826816,0.34353078721745905,0.5506912442396312,3.824295010845987,7.762672811059907,0.3758314855875831,1.4257668280885598,0.6330376940133038,0.6415094339622641,0.2137767220902612,0.33729216152019,1.2026726862300687,0.0335498700714564,0.3927038626609442,1.7273790694540054,0.2497584357759485,3.223684210526316,72.3,3.5384615384615383,0.5247863247863248
Air Force 2015,33.785714285714285,451.07142857142856,21.428571428571427,131.92857142857142,12.142857142857142,6.214285714285714,1.0714285714285714,319.14285714285717,58.285714285714285,3.2142857142857144,1.6428571428571428,0.8571428571428571,0.42857142857142855,0.8275862068965517,0.7075217735550278,0.511764705882353,5.4754901960784315,10.86470588235294,0.474216380182002,1.154044513023797,0.7441860465116279,0.803921568627451,0.1430348258706467,0.4813432835820895,0.9896766352204032,0.2342852529833611,0.4011627906976744,2.2689320808694418,0.4616346285925611,3.873684210526316,70.9,25.5,354.85714285714283,16.428571428571427,210.14285714285714,27.642857142857142,14.642857142857142,1.6428571428571428,144.71428571428572,34.5,1.4285714285714286,1.2857142857142858,0.7857142857142857,0.365,0.5551724137931034,0.40780998389694045,0.5297157622739018,4.194616977225673,7.602067183462532,0.357630979498861,1.5492063536048384,0.6150341685649203,0.7169811320754716,0.2319819819819819,0.3310810810810811,1.294127817643339,0.088433592004272,0.3627684964200477,1.9265681300932715,0.260023981292768,3.5844155844155843,70.7,3.7857142857142856,0.5390674603174603
Air Force 2016,35.15384615384615,452.15384615384613,23.23076923076923,134.76923076923077,11.538461538461538,5.230769230769231,1.0769230769230769,317.38461538461536,63.61538461538461,3.0,1.3076923076923077,0.6153846153846154,0.5051020408163265,0.8464687819856704,0.7019394351820347,0.45333333333333337,4.989117291414752,11.68,0.4833333333333333,1.0275857011594356,0.7477777777777778,0.7446808510638298,0.1359223300970873,0.4868238557558946,0.884497481237466,0.1990715838377159,0.3949044585987261,2.3585096456535117,0.4527562909412465,3.802469135802469,69.1,26.23076923076923,366.0,17.615384615384617,251.84615384615384,29.46153846153846,15.461538461538462,1.7692307692307692,114.15384615384616,33.53846153846154,1.5384615384615385,1.7692307692307692,1.1538461538461537,0.43502824858757067,0.5323565323565324,0.3118957545187054,0.524804177545692,3.4036697247706424,8.548302872062663,0.3660477453580902,1.5340937930016307,0.6180371352785146,0.6739130434782609,0.2295081967213114,0.3442622950819672,1.096684819883312,0.0394524086340466,0.3736842105263158,2.0239133035580625,0.2827391298726122,3.274193548387097,70.5,5.153846153846154,0.5676068376068376
Air Force 2017,31.416666666666668,417.0,24.166666666666668,110.08333333333333,11.833333333333334,5.75,0.8333333333333334,306.9166666666667,63.833333333333336,3.1666666666666665,1.6666666666666667,0.5,0.48502994011976047,0.8436123348017621,0.7360111910471623,0.48591549295774644,4.808093994778068,9.30281690140845,0.4883977900552486,1.0956989517704143,0.7502762430939226,0.7912087912087912,0.1366120218579235,0.5109289617486339,0.9878973821376508,0.2573421204340145,0.3597560975609756,1.9837590901326605,0.1646800370921492,4.361111111111111,73.4,32.416666666666664,393.9166666666667,17.666666666666668,171.08333333333334,20.25,11.25,1.3333333333333333,222.83333333333334,37.583333333333336,2.5833333333333335,0.8333333333333334,0.4166666666666667,0.4225352112676056,0.6498559077809798,0.565686481912418,0.5555555555555556,5.929046563192904,8.448559670781894,0.4220963172804532,1.3745919304656973,0.6742209631728046,0.7954545454545454,0.1954545454545454,0.4227272727272727,1.2509471025001178,0.234671194446976,0.3864541832669322,1.8746001349963608,0.3046893235625734,3.9859154929577465,67.0,4.0,0.5575231481481481
Air Force 2018,30.166666666666668,415.0,22.0,131.33333333333334,14.0,7.75,0.8333333333333334,283.6666666666667,59.416666666666664,2.75,1.25,0.4166666666666667,0.4142011834319526,0.8093076049943247,0.6835341365461848,0.5535714285714286,4.774193548387097,9.380952380952381,0.4646118721461187,1.1225774998605669,0.7465753424657534,0.7755102040816326,0.1473988439306358,0.4595375722543353,0.963934689008558,0.1632004691757585,0.4540229885057471,1.9221114050839736,0.4860970052612891,3.710526315789474,72.2,25.75,360.9166666666667,17.416666666666668,244.0,27.166666666666668,16.666666666666668,1.9166666666666667,116.91666666666667,33.833333333333336,1.4166666666666667,1.1666666666666667,0.5833333333333334,0.4183006535947712,0.5546448087431695,0.323943661971831,0.6134969325153374,3.455665024630542,8.98159509202454,0.3977900552486187,1.4435714431663933,0.643646408839779,0.6585365853658537,0.2036553524804177,0.3420365535248041,1.0889627618028703,0.0453614090471922,0.4534534534534534,1.8237398154439477,0.3676389204069265,3.78125,70.8,4.5,0.5703703703703704
Air Force 2019,34.07692307692308,421.7692307692308,22.0,123.23076923076923,9.692307692307692,5.230769230769231,1.0769230769230769,298.53846153846155,58.07692307692308,3.1538461538461537,1.3846153846153846,0.46153846153846156,0.535031847133758,0.8569807037457434,0.707824183840963,0.5396825396825398,5.140397350993378,12.714285714285715,0.5311438278595696,1.0447553445194098,0.7836919592298981,0.8737864077669902,0.1255060728744939,0.5357624831309041,0.8544426492572431,0.251871117012653,0.4573643410852713,2.5535206225049607,0.7311640763471297,4.2125,70.3,19.846153846153847,319.3076923076923,16.53846153846154,218.76923076923077,29.0,18.307692307692307,1.6153846153846154,100.53846153846153,28.846153846153847,0.8461538461538461,1.2307692307692308,0.5384615384615384,0.40506329113924056,0.49867021276595747,0.31486388821970607,0.6312997347480106,3.485333333333333,7.543766578249337,0.4071618037135278,1.2147109189632566,0.6618037135278515,0.7209302325581395,0.1542857142857142,0.3742857142857143,0.8557769654415395,0.0202234029873595,0.4242424242424242,1.5560282410748592,0.2207827890839954,3.375,71.0,3.230769230769231,0.5744658119658119
Air Force 2021,31.0,423.7692307692308,21.846153846153847,95.53846153846153,8.692307692307692,4.230769230769231,0.6153846153846154,328.2307692307692,64.3076923076923,3.3846153846153846,0.7692307692307693,0.3076923076923077,0.4512820512820513,0.880927291886196,0.7745507351606462,0.4867256637168142,5.104066985645933,10.991150442477876,0.4568047337278106,1.1840236508511437,0.7289940828402367,0.797979797979798,0.1121751025991792,0.466484268125855,1.031868827004442,0.252864161793536,0.4054054054054054,2.337019093778372,0.5137212272879208,4.318181818181818,69.8,19.76923076923077,296.61538461538464,15.23076923076923,194.30769230769232,26.23076923076923,14.692307692307692,1.2793829243373798,102.3076923076923,30.53846153846154,1.3846153846153846,1.2307692307692308,0.6153846153846154,0.40350877192982454,0.537940379403794,0.3449170124481327,0.5601173020527859,3.3501259445843825,7.407624633431086,0.376311844077961,1.4082204415602948,0.6251874062968515,0.8235294117647058,0.1691842900302115,0.3716012084592145,1.1896113790721856,0.170015376154272,0.3855421686746988,1.618290087544962,0.2018317609233069,3.641509433962264,72.8,4.230769230769231,0.6103418803418803
Air Force 2022,27.846153846153847,397.6923076923077,20.46153846153846,70.46153846153847,6.6923076923076925,3.1538461538461537,0.6153846153846154,327.2307692307692,61.69230769230769,2.8461538461538463,1.0,0.15384615384615385,0.44886363636363635,0.9021372328458942,0.8228239845261122,0.47126436781609193,5.304239401496259,10.528735632183908,0.4805699481865285,1.1328877642797477,0.75,0.825,0.0939794419970631,0.4948604992657856,0.983435639725069,0.2795960074429945,0.3820224719101123,2.614222057659947,0.5058857583025975,4.245901639344262,70.4,13.384615384615385,252.84615384615384,12.846153846153847,157.53846153846155,22.384615384615383,13.076923076923077,0.7692307692307693,95.3076923076923,28.153846153846153,0.7692307692307693,1.2307692307692308,0.6923076923076923,0.2785714285714285,0.5570776255707763,0.37693945847277155,0.584192439862543,3.3852459016393444,7.037800687285224,0.4023769100169779,1.1873040310433702,0.6757215619694398,0.6285714285714286,0.1381578947368421,0.3947368421052631,0.9694360218959958,0.0970445980650471,0.4254545454545455,1.410758399399652,0.2556815872853539,3.772727272727273,71.7,3.923076923076923,0.6060042735042735
Air Force 2023,27.846153846153847,365.61538461538464,19.615384615384617,85.0,8.076923076923077,4.230769230769231,0.5384615384615384,280.61538461538464,54.69230769230769,2.769230769230769,1.3076923076923077,0.46153846153846156,0.4642857142857143,0.8713235294117646,0.7675152535240901,0.5238095238095238,5.1308016877637135,10.523809523809524,0.4585908529048207,1.1657971188293388,0.7713226205191595,0.7951807228915663,0.1007194244604316,0.4690647482014388,1.0080291942185624,0.2654840323874751,0.4090909090909091,2.3087380837874094,0.4984493346144309,4.054054054054054,69.4,18.153846153846153,278.38461538461536,14.692307692307692,186.84615384615384,26.923076923076923,16.615384615384617,1.3846153846153846,91.53846153846153,29.76923076923077,0.8461538461538461,1.0,0.7692307692307693,0.35185185185185186,0.5251017639077341,0.3288201160541586,0.6171428571428572,3.0749354005167957,6.9399999999999995,0.4019337016574585,1.1933819168449198,0.6685082872928176,0.78,0.1818181818181818,0.3806818181818182,0.9112054226681806,0.0608839843473245,0.4254742547425474,1.434220453276022,0.2088837744294861,3.96,72.5,3.0,0.5574358974358974
Akron 2014,22.583333333333332,373.25,21.583333333333332,249.58333333333334,43.916666666666664,23.666666666666668,1.1666666666666667,123.66666666666667,30.25,1.5,2.1666666666666665,1.1666666666666667,0.3407821229050279,0.4078651685393259,0.3313239562402322,0.538899430740038,4.088154269972452,5.6831119544592035,0.4107744107744108,1.1196735553943566,0.6576879910213244,0.7586206896551724,0.1940298507462686,0.4119402985074626,1.098834197441792,0.1563639369243074,0.3959484346224677,1.2196000772923197,0.0191851616347904,2.7142857142857144,66.5,23.083333333333332,371.0833333333333,21.25,222.5,33.5,18.75,1.6666666666666667,148.58333333333334,38.083333333333336,1.1666666666666667,2.0,1.0833333333333333,0.3641618497109827,0.5320139697322468,0.4004042218728947,0.5597014925373134,3.901531728665208,6.641791044776119,0.4144353899883585,1.187002769279624,0.6775320139697323,0.5535714285714286,0.2305882352941176,0.4094117647058823,1.1012604594269493,0.1213669324042387,0.4038004750593824,1.3894403359369658,0.1541981870900315,3.025,69.3,8.416666666666666,0.48583333333333334
