team_id,points/game,totalYards/game,firstDowns/game,netPassingYards/game,passAttempts/game,passCompletions/game,passingTDs/game,rushingYards/game,rushingAttempts/game,rushingTDs/game,turnovers/game,interceptions/game,thirdDownPct,rushingPct,rushingYardsPct,completionPct,rushingYards/attempt,passingYards/attempt,o_success_rate,o_explosiveness,o_standard_downs_rate,o_power_success,o_stuff_rate,o_rushing_plays_success_rate,o_rushing_plays_explosiveness,o_rushing_plays_ppa,o_passing_plays_success_rate,o_passing_plays_explosiveness,o_passing_plays_ppa,o_points_per_opportunity,o_field_position_average_start
Air Force 2014,0.37886497621487863,0.2719171127202544,0.4305232252665387,-1.4638731940363992,-2.2776662957758838,-2.0157327542269594,-0.7860438046314994,2.080778956967051,3.8357969087906243,1.4257872962316294,-0.43078180982145076,-1.6847652307081662,1.2487662858311794,2.8381033632930532,2.085329615444647,-0.497960526004235,0.1024211391655341,1.5848246812432918,0.5088817782819751,-1.7218881696299846,1.6539575852294173,0.6815063547479154,-0.7045606673499709,0.040851643003384834,-0.20644040316712672,0.265516771789754,0.8801047713388568,0.9099462459421457,1.139979308414157,0.44316688718368347,-0.47704572816459334
Air Force 2015,0.7118810774362411,0.7931784762018566,0.20592816276703493,-1.6964984644061958,-2.8177296940310192,-2.5829052105568513,-0.9110169132301572,3.011238039095304,3.3426396055542855,2.2142468053659714,0.3751784362640571,0.042808998611326095,0.530269126929904,3.2242049530125247,2.5913336943741734,-1.5143981677925067,1.3719921344173727,3.0699787167285764,1.025011654295768,-1.0106411924184309,2.053157047920021,1.2623640558029323,-1.2384165723807665,0.9827847049433938,-0.09774636637591361,0.9708358171838349,-0.18555368839722833,3.8443892166739992,1.5591794691431886,0.3830697318550163,0.3453192719621423
Air Force 2016,0.9079118320559083,0.8106039791046005,0.8302263025961597,-1.648217747914351,-2.9058706047254774,-2.7831495294583326,-0.9026853726569133,2.975724333670559,4.235107113276762,1.8905634279318728,-0.43078180982145076,-0.7173236622892503,1.874296306490543,3.4439663948054187,2.5402616970775447,-2.5712591765001394,0.7640465974603794,3.7927003549812652,1.235274910131437,-2.413611926453583,2.1696405717707443,0.39714187705180626,-1.4440638918065816,1.098400433528229,-1.0677326970332623,0.5954968537712942,-0.3030089770170297,4.3687977154914694,1.4957754254451672,0.2621936383210804,-0.47704572816459334
Air Force 2017,0.372435587341811,0.2446731792479428,1.154429909763521,-2.0677868241460255,-2.8628685240533325,-2.6774339532785003,-1.2720503380707253,2.764288309342315,4.271603207235174,2.1423171659361713,0.4324324428165799,-1.080114250446344,1.5217909743662554,3.410722149855868,2.8519792081216133,-1.9819385327373733,0.5377751415049672,1.6854342454219817,1.3520759007379601,-1.6579437701711817,2.2506683610672775,1.0766914740294542,-1.4241224723159294,1.6069110969377205,-0.1141550472189802,1.2165966520651623,-0.9626673052952159,2.1749182912692726,-0.561501522644987,1.2103982132827704,1.487492883249268
Air Force 2018,0.1933311830206291,0.21247580332611973,0.40387635344456274,-1.7066153134454278,-2.5468967138971386,-2.270233215400629,-1.2720503380707253,2.294675045264823,3.5320205973132635,1.5129328209254247,-0.5695126718525628,-1.3421296752264669,0.2778995263496822,3.0114727441356473,2.3718743118338623,-0.7582308353398999,0.4954010189199682,1.7546978406808575,0.8035039754908384,-1.3597453624217268,2.1306443629877636,0.8474105619120857,-1.1122374301310298,0.5227810552298386,-0.33514451044215277,0.21315024461833917,0.8065173126112206,1.8140179916252361,1.7338758661687992,0.10613554311075303,0.9392495498314463
Air Force 2019,0.7536064991022753,0.32145153721536707,0.40387635344456274,-1.844328975444087,-3.1751010228467313,-2.7831495294583326,-0.9026853726569133,2.595061803649102,3.3076769609218597,2.1229514937819944,-0.2458073271133015,-1.2010444464987085,2.399922222573494,3.5663074987652785,2.5941004018493916,-1.0094422048593303,0.9531402664734782,4.7095482135273485,2.3379229193220934,-2.2231269235286635,3.3343742619506442,2.282753592332273,-1.745234598190584,2.1307880895008626,-1.344905264857385,1.1582817759723871,0.8692272368216152,5.510438637190007,3.4840056645969972,0.9581548415457253,0.07119760525322824
Air Force 2021,0.3127341192347502,0.3536489131371901,0.3505826098006133,-2.3149959215154543,-3.320934165995744,-2.9867498983972682,-1.6025347808093995,3.1947995040094397,4.351035882321126,2.4715335925571775,-1.7256031887784964,-1.6847652307081662,0.9291120643174727,3.8450055423811125,3.204571860387124,-1.967284797110412,0.9077288480798723,3.1820661434174493,0.6234488281905038,-0.6780439429006472,1.560466105439588,1.1755833421851285,-2.1306799312697384,0.6693254814271128,0.29135972300782725,1.1688665405743726,-0.10592903327819213,4.24298688244675,1.9311523664876464,1.1375326683459865,-0.1572371170041969
Air Force 2022,-0.13916007012946247,-0.0661553344588876,-0.12906108299493435,-2.741210989346747,-3.6126004522937696,-3.20601183417766,-1.6025347808093995,3.1746010840491174,3.9130827548201994,1.658175362081751,-1.1706797406540483,-2.168486014917624,0.8866399699952251,4.0918536117597135,3.64621675834244,-2.246936635989537,1.1579358922454073,2.772156171035389,1.171543272110432,-1.2453602988028336,2.2417095145848616,1.5702186373620903,-2.6567806063544963,1.2679379134310858,-0.1553022611604478,1.453798599050665,-0.5447758632392921,5.865799363532872,1.8751958983456214,1.0148487325122089,0.11688454970471715
Air Force 2023,-0.13916007012946247,-0.5825517098204335,-0.4221766730366564,-2.4941108426592797,-3.410677638702829,-2.9867498983972682,-1.7191763488348142,2.2330439689756343,2.7409140900383067,1.54198132915669,-0.43078180982145076,-1.2010444464987085,1.1574818107248703,3.7332338863407375,3.1402052679102113,-1.2965409128815386,0.941146093733427,2.767789397085369,0.6646418920611712,-0.8802543751556519,2.9332239380639464,1.1347023072157771,-2.46190395957723,0.7237621487267857,0.07150515055190741,1.3033804740000032,-0.03676014095256321,4.077423082736938,1.822089185017175,0.6892184252532086,-0.3399848948101331
Akron 2014,-0.8932355365278751,-0.45964441904193637,0.2595391310755308,0.30319791668848395,1.8159448186441567,0.9704059902107629,-0.7666035432939297,-0.9370721483867377,-1.352015505944621,-0.3752202141068156,1.6347665804195504,1.0160091477946405,-1.0114827215046447,-1.66064259054883,-0.8504451132041719,-1.023606467494203,-0.36211903100505927,-1.523271708204196,-0.43814328604954034,-1.391962564523279,-0.7520634886783152,0.6007359254271923,0.23602931885049844,-0.48130999737933927,0.9089297593875888,0.14028033384639116,-0.2834158165324127,-2.29865142172102,-1.600543267128607,-1.5848220609728838,-1.6649062839032014
