team_id,points/game,totalYards/game,firstDowns/game,netPassingYards/game,passAttempts/game,passCompletions/game,passingTDs/game,rushingYards/game,rushingAttempts/game,rushingTDs/game,turnovers/game,thirdDownPct,rushingPct,rushingYardsPct,completionPct,rushingYards/attempt,passingYards/attempt,passingYards/completion,o_ppa,o_success_rate,o_explosiveness,o_power_success,o_stuff_rate,o_standard_downs_rate,o_line_yards,o_open_field_yards,o_second_level_yards,o_rushing_plays_success_rate,o_rushing_plays_explosiveness,o_rushing_plays_ppa,o_passing_plays_success_rate,o_passing_plays_explosiveness,o_passing_plays_ppa
Air Force 2014,0.4486312406296631,0.40889897058814245,0.5352013283880261,-1.4986627298011717,-2.2594881198767496,-1.9725331743217687,-0.7239969356381507,2.1335248068536847,3.8438993239381842,1.4882982851698932,-0.7056815572064055,1.233042600563404,2.8580923806591714,2.0959294789084773,-0.4237283118587428,0.2275702955514136,1.6218823453888358,2.068896469934138,0.8302261089029205,0.7239017898484968,-0.061612519992447067,0.9612291308603208,-0.9625772768014782,1.7347409619603738,0.3896542033702353,-0.4523889468882873,-1.0755574271606831,0.3421852757681298,0.5945135565791934,0.8391810492333728,1.023814532730406,1.3628737945422362,1.5804523785419438
Air Force 2015,0.7737228161419791,0.9149090451802322,0.3193405659963822,-1.7330516322910337,-2.795054240670032,-2.5351477436458034,-0.8503672393951907,3.0419643419671094,3.356799564999713,2.2642833188494307,-0.016058992920140104,0.5346586588294432,3.2433793173390617,2.595942041363847,-1.4375207587801984,1.462897579191277,3.17699945445378,5.0008136029916805,1.4534287530832795,1.2331919095530202,0.30634557658303674,1.4536311751891025,-1.4318017187738339,2.1278884614449445,1.1300810756393005,0.7113174464358148,0.1963695266274634,1.243320902197619,0.6702690546111026,1.414368783158395,-0.04961557983431762,3.4269575811832653,2.00757047345748
Air Force 2016,0.9650887790322077,0.9318247052336236,0.9193603123053545,-1.6844048789440809,-2.8824611743306563,-2.733782867726676,-0.8419425524780546,3.0072910772681216,4.238304725765229,1.9457210418651993,-0.7056815572064055,1.8410618753634018,3.4626770746216966,2.5454747797322317,-2.491631374153073,0.8713499528050219,3.9337672764332385,7.633421803976406,1.026911747855415,1.4406687554218478,-0.4194704302147467,0.7201689712072288,-1.6125522692339296,2.2426060660839977,1.0982122359633677,-0.07815513703032935,-0.5821471068084861,1.35392902947666,-0.005773529990299384,1.1082798306072807,-0.16792744845655874,3.7958259118279547,1.9429688418475501
Air Force 2017,0.44235484693379923,0.38245215182446307,1.230955932593856,-2.1071548886068143,-2.839817185484109,-2.6289168385331427,-1.2154370058044184,2.800858739364943,4.274352531308562,2.193491701741823,0.032930588149376314,1.4984243850389263,3.429502973193742,2.853501291670809,-1.903844388607694,0.6511816407562818,1.7272314545394727,3.790429228155266,1.1016828134199332,1.555921898578423,-0.028531381842983903,1.296233659971509,-1.5950250650867766,2.3224054539288264,1.0076776998582817,-0.11893115323573157,0.8159331348965302,1.8404148464983074,0.658832844989954,1.6147867622644767,-0.8323965446370312,2.252653666005431,-0.15316635345811583
Air Force 2018,0.2675124511204378,0.3511968205582963,0.5095907294602031,-1.743245181509447,-2.5264765717855666,-2.224988429787682,-1.2154370058044184,2.34235899069695,3.5438543542686824,1.5740650520502628,-0.8243870805671561,0.28935375505423105,3.031095961679039,2.3790812436189,-0.6833212892480739,0.6099504611331479,1.7997579396371828,2.5140189528110826,0.9895338550070729,1.0146196518776693,0.12573924711280413,1.1018686896059586,-1.3208985011588337,2.204201049531434,0.4203089217333923,-0.2267495871984906,-0.42325607096947954,0.8032411409131842,0.5048118210175598,0.796476142434181,0.9496904140846244,1.9987968132674276,2.1855665700153204
Air Force 2019,0.8144553303314661,0.4569840956130146,0.5095907294602031,-1.882002909947176,-3.1494496262394738,-2.733782867726676,-0.8419425524780546,2.6356370212758704,3.3222663731346724,2.1744324202128524,-0.5474075260587381,2.351973706542925,3.584760045606038,2.5986759886813764,-0.9338789019625423,1.0553432618590854,4.893806273848532,6.352836705465497,1.8905918666872472,2.528704466374679,-0.32092449420638725,2.3186311448652486,-1.8772616323968263,3.389682103645114,1.642668400770703,-0.44789735301594225,0.21972426257848587,2.341601439198512,-0.1989519833458654,1.5672309764779453,1.0128576703374017,4.598854813785511,3.968753160544208
Air Force 2021,0.3840740483293453,0.48823942687918137,0.45836953160455934,-2.3562381843546047,-3.294068371023416,-2.9357470720994066,-1.5496162535174807,3.22118177887999,4.352809519844048,2.517499487734332,-1.813599775240078,0.9223366047957611,3.86287005173536,3.201918948570304,-1.8892287881153107,1.01115671038602,3.2943671286411735,5.7856539236523,1.5331877667259302,0.8369505965030247,0.4784121790150125,1.3800658239574592,-2.2160428833309753,1.6426668362720558,1.67042294999769,0.14653143034228833,-0.1062293884492911,0.9434383679104476,0.9414608003472108,1.5758628527973264,0.030589763375289826,3.7073307175912635,2.3865692672501044
Air Force 2022,-0.05706676572282805,0.08071799229339152,-0.0026212490962370127,-2.7856845717346643,-3.5833058605913006,-3.1532469845008086,-1.5496162535174807,3.2014613595824417,3.9202358533240638,1.7170096635175462,-1.3387776817970756,0.8810534510922353,4.109197285314813,3.6383343972148072,-2.168152856221014,1.2546150040714845,2.865146996589761,5.6461203112628935,1.6957778126134155,1.3777816894620862,0.18491547089217716,1.714604258683356,-2.6784509851457994,2.313582425788736,2.075830619901306,0.38752219275433736,-0.16818083550225965,1.5161234245230333,0.6301548440914412,1.8082249676555764,-0.4114574964948927,4.848815137079971,2.329555882452114
Air Force 2023,-0.05706676572282805,-0.4205694360908977,-0.2843378373022778,-2.5367110526707646,-3.3830645216596884,-2.9357470720994066,-1.6675618703573851,2.2821864292505856,2.7624651576382204,1.6026539743437194,-0.7056815572064055,1.1443134932119585,3.751334227718879,3.1383145110151993,-1.2202304593505082,1.0436726039077864,2.8605745113667886,4.339601708170167,1.5306118902391803,0.8775977696364933,0.37380018326079184,1.3454103392206247,-2.507167151857055,2.9946133185057064,1.7968411794514823,0.5037391111466072,-0.39760620877553887,0.9955172493829706,0.7882307509105237,1.6855589755004936,0.10026309182000082,3.590873332648296,2.2754460791910094
Akron 2014,-0.7931980834806222,-0.30125821962293464,0.37086665193449914,0.28180530622060584,1.8000342096673805,0.9896084898116124,-0.7043393328314993,-0.8129080969107421,-1.2801902110889964,-0.28421489702441943,1.0617117906092146,-0.963934230155506,-1.631161467573243,-0.8050831927064834,-0.9480063032758013,-0.22443998879239765,-1.6326311638939932,-1.201653433890817,-0.5147796159793787,-0.21057329247301637,0.10907192796474857,0.892758790454056,-0.1358601659843902,-0.6348042336631357,0.5393961540866669,0.036622793584816134,0.3985685704590983,-0.15736026086969984,1.3718829932905057,0.7370507247853254,-0.14819139862525554,-0.8940500883662885,-1.211833720545374
