team_id,points_opp/game,totalYards_opp/game,firstDowns_opp/game,netPassingYards_opp/game,passingAttempts_opp/game,passingCompletions_opp/game,passingTDs_opp/game,rushingYards_opp/game,rushingAttempts_opp/game,rushingTDs_opp/game,turnovers_opp/game,thirdDownPct_opp,rushingPct_opp,rushingYardsPct_opp,completionPct_opp,rushingYards/attempt_opp,passingYards/attempt_opp,passingYards/completion_opp
Air Force 2005,31.727272727272727,428.54545454545456,22.363636363636363,261.27272727272725,29.454545454545453,19.363636363636363,1.3636363636363635,173.54545454545453,40.18181818181818,2.4545454545454546,1.5454545454545454,0.41333333333333333,0.5770234986945171,0.4049639372083156,0.6574074074074074,4.319004524886878,8.87037037037037,13.492957746478872
Air Force 2006,25.166666666666668,354.6666666666667,19.166666666666668,222.41666666666666,25.25,16.833333333333332,1.6666666666666667,141.25,34.583333333333336,1.25,1.6666666666666667,0.5602836879432623,0.5779944289693594,0.3982612781954887,0.6666666666666666,4.0843373493975905,8.808580858085808,13.212871287128714
Air Force 2007,21.076923076923077,368.6923076923077,19.923076923076923,241.6153846153846,32.76923076923077,19.153846153846153,1.2307692307692308,136.46153846153845,39.53846153846154,1.2307692307692308,2.3846153846153846,0.4083769633507854,0.5468085106382979,0.37012309618193195,0.5845070422535211,3.45136186770428,7.373239436619719,12.614457831325302
Air Force 2008,22.23076923076923,341.46153846153845,19.23076923076923,213.6153846153846,28.846153846153847,16.846153846153847,1.1538461538461537,141.53846153846155,38.46153846153846,1.4615384615384615,2.5384615384615383,0.43386243386243384,0.5714285714285714,0.4145077720207254,0.584,3.6800000000000006,7.405333333333333,12.680365296803652
Air Force 2009,15.692307692307692,288.3076923076923,14.615384615384615,166.46153846153845,25.23076923076923,14.538461538461538,0.7692307692307693,134.0,35.76923076923077,0.9230769230769231,2.6153846153846154,0.3085714285714286,0.5863808322824716,0.4647812166488794,0.576219512195122,3.7462365591397853,6.597560975609756,11.44973544973545
Air Force 2010,21.076923076923077,349.3076923076923,18.615384615384617,156.46153846153845,24.692307692307693,13.538461538461538,0.7692307692307693,201.53846153846155,42.23076923076923,1.8461538461538463,1.6923076923076923,0.4717948717948718,0.6310344827586206,0.5769654261175953,0.5482866043613707,4.7723132969034605,6.336448598130841,11.556818181818182
Air Force 2011,28.384615384615383,386.46153846153845,21.0,175.23076923076923,23.692307692307693,14.923076923076923,1.6153846153846154,219.69230769230768,44.30769230769231,1.8461538461538463,2.0,0.5027322404371585,0.6515837104072398,0.5684713375796178,0.6298701298701298,4.958333333333333,7.396103896103895,11.742268041237113
Air Force 2012,29.0,409.38461538461536,20.846153846153847,210.6153846153846,26.384615384615383,17.923076923076923,1.5068354089180944,198.76923076923077,44.23076923076923,2.076923076923077,1.2307692307692308,0.4744897959183674,0.6263616557734205,0.4855317549793311,0.6793002915451896,4.493913043478261,7.982507288629738,11.75107296137339
Air Force 2013,40.0,490.25,27.5,239.66666666666666,27.166666666666668,19.75,2.1666666666666665,250.58333333333334,49.333333333333336,3.4166666666666665,0.75,0.5889570552147239,0.644880174291939,0.5111337752847187,0.7269938650306749,5.079391891891892,8.822085889570552,12.135021097046414
Air Force 2014,24.153846153846153,394.7692307692308,19.153846153846153,259.15384615384613,33.38461538461539,18.384615384615383,1.5384615384615385,135.6153846153846,35.46153846153846,1.3076923076923077,1.3846153846153846,0.3641025641025641,0.5150837988826816,0.34353078721745905,0.5506912442396312,3.824295010845987,7.762672811059907,14.09623430962343
Air Force 2015,25.5,354.85714285714283,16.428571428571427,210.14285714285714,27.642857142857142,14.642857142857142,1.6428571428571428,144.71428571428572,34.5,1.4285714285714286,1.2857142857142858,0.365,0.5551724137931034,0.40780998389694045,0.5297157622739018,4.194616977225673,7.602067183462532,14.351219512195122
Air Force 2016,26.23076923076923,366.0,17.615384615384617,251.84615384615384,29.46153846153846,15.461538461538462,1.7692307692307692,114.15384615384616,33.53846153846154,1.5384615384615385,1.7692307692307692,0.43502824858757067,0.5323565323565324,0.3118957545187054,0.524804177545692,3.4036697247706424,8.548302872062663,16.288557213930346
Air Force 2017,32.416666666666664,393.9166666666667,17.666666666666668,171.08333333333334,20.25,11.25,1.3333333333333333,222.83333333333334,37.583333333333336,2.5833333333333335,0.8333333333333334,0.4225352112676056,0.6498559077809798,0.565686481912418,0.5555555555555556,5.929046563192904,8.448559670781894,15.207407407407409
Air Force 2018,25.75,360.9166666666667,17.416666666666668,244.0,27.166666666666668,16.666666666666668,1.9166666666666667,116.91666666666667,33.833333333333336,1.4166666666666667,1.1666666666666667,0.4183006535947712,0.5546448087431695,0.323943661971831,0.6134969325153374,3.455665024630542,8.98159509202454,14.639999999999999
Air Force 2019,19.846153846153847,319.3076923076923,16.53846153846154,218.76923076923077,29.0,18.307692307692307,1.6153846153846154,100.53846153846153,28.846153846153847,0.8461538461538461,1.2307692307692308,0.40506329113924056,0.49867021276595747,0.31486388821970607,0.6312997347480106,3.485333333333333,7.543766578249337,11.949579831932773
Air Force 2021,19.76923076923077,296.61538461538464,15.23076923076923,194.30769230769232,26.23076923076923,14.692307692307692,1.2760661781488638,102.3076923076923,30.53846153846154,1.3846153846153846,1.2307692307692308,0.40350877192982454,0.537940379403794,0.3449170124481327,0.5601173020527859,3.3501259445843825,7.407624633431086,13.225130890052357
