team_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Air Force 2014,-5.209247690405273,0.4702426716361426,5.143542751581886,-2.1706215204456543,3.379013560385775,-0.5729927345635091,-0.348906844472082,-2.4128396697010084,0.49996441065363334,0.10931127973541818,-1.1662803758452673,1.913268707627661,-0.5723865410271572,-1.6630261411482654,-0.09908305682762915,-1.3081399655087567,-0.12486185651582207
Air Force 2015,-5.751792503707413,0.7031844982352774,7.989250689192167,0.5020062406215718,6.0158022223912635,-0.17670135938767967,0.8127883500796368,-1.6634658155276174,2.3019489355299227,-0.5164984931493473,0.8324797833507618,1.3149398787339768,0.10009221445082801,-1.9281628101285435,0.08792044144400568,-1.7446716810112886,-0.6715717225536078
Air Force 2016,-6.695933195690603,0.31682519934436776,7.890101457189975,-1.7591917974808926,5.770673329470985,-0.03549675385627385,-0.01023143844727165,-3.494084806292126,2.490597587058518,-3.2428941566990104,0.03160744558884408,1.2393381051738748,-1.166404624897573,-0.39034504879757026,0.7581379338921952,-1.4199543264576626,-0.25359716981821134
Air Force 2017,-0.8789535769210318,-0.11459073440444632,11.068118990285063,4.328902498550237,4.422367888342666,-1.931016944764154,-0.8814498978716312,-1.2393470361868604,2.025328762427304,0.37353440135313926,-0.49781593240777056,0.7430791447399806,-0.4860481866090886,-0.24773146092333123,0.19428222956474908,-1.6801295808567918,1.0841749138786807
Air Force 2018,-3.9995745016214315,0.1488942467927703,6.899918267599726,-2.552859905840107,4.247339868838838,-2.6279964183129474,0.6992042628427917,-0.986715553041541,1.5214404956332384,-1.3260127215459852,-1.4538816641763201,0.34944796709075154,-0.6125750866115723,-0.015144039680064142,0.24375291926124254,-1.9222547748295353,-0.5382401530261157
Air Force 2019,-8.033087459727406,-1.4153458730782051,8.537193112596695,-2.113299245491326,-0.16834246977037937,-4.267602136757635,1.6024879769434102,-2.6098294380932705,5.154464104177432,-2.150762692185628,0.28486446646978086,0.54031538867611,-0.4707829389830169,-0.6754848979149979,0.5662871399785798,-0.6709274190027081,-0.13176056856116802
Air Force 2021,-7.162924971289078,1.2120194422544652,9.963889729972381,-0.4148373186890681,2.7153995023721396,-2.434890102223262,2.6449971879515495,-1.9651946385039045,1.0541171364501674,-0.23220761662589903,1.8234046979581042,0.969429229998756,-0.8163715714780756,-0.763917829888468,0.10552180753500638,-0.8851044604870003,0.1021490033849661
Air Force 2022,-7.980698960863078,2.907661996964771,10.823549003310529,0.17940145095796942,-0.3132068782626453,-4.120569095581356,2.8191942784693214,-1.751530362360495,3.1587874636123945,-0.7675421455695762,0.604610493940402,-0.07585841685882343,1.0598765181174143,1.1996060838113343,-0.9167110270572509,0.9282025657196711,-0.6494887056726253
Air Force 2023,-6.677643501785868,1.9534438693125067,8.692786893090764,-1.6773890437015357,-0.9428265875931021,-3.6523148308368043,2.178159109234154,-0.9483362394916638,2.8800682300152327,-0.8697111545961752,0.8783923823116407,-0.4330741120504684,-0.013701313904527859,-1.1714423612908378,0.1139803412307397,-0.3070157546767109,-0.960856493760348
Akron 2014,0.6572331383704871,2.6232778218913304,-3.7470090767664246,-0.28505793070856494,-0.4222759871215545,2.1321824423823963,-3.4613481636525174,0.8276676581810397,-0.6728593785386286,1.5116414689269642,-0.34155993498900855,-0.8174655668861948,1.3998699384140383,1.531966075163751,0.23639628083032257,1.8220873232087818,-0.4992133595895015
Akron 2015,-2.5025197500369867,4.070659929530496,-1.6409230975778157,-4.301672349559953,-0.7634503360459329,1.4948834244196154,0.5257072904950802,-1.03539152285417,0.2972586397061321,-0.054246316478645674,0.47505975766971253,-0.5725845352327658,-1.5859459783290786,1.0773487718574124,0.39689082665989983,0.7028306377791402,-0.18734228876902312
Akron 2016,5.6290481339686504,-1.107222723274773,-0.815057047024058,0.7092910768523116,-1.4875862925570806,2.6379920897101043,1.9906143645508594,0.4524170117646819,1.161136105204434,0.0762116745578963,-0.12119061108731471,-0.12431152056451635,-0.5399731370790256,0.048399214526325125,0.7011233881337069,0.8330430325333135,0.22355749030874442
Akron 2017,3.8473185280906925,1.5943793889908098,-1.3024456209410038,-0.3581138480704948,-2.0734620205914416,1.1520706782914967,0.3426735690981825,-2.4137505860226476,-1.0694007815544229,0.05540349294881284,0.6160884264569728,0.03226473147600436,1.4763904945807351,0.744858746970443,0.12190986101208941,0.8295067618803729,1.3673997821505959
Akron 2018,4.702524229781275,5.571030121719618,-2.190532820178695,1.4011004156980194,-1.7166994689442743,1.4675912189197373,1.0222556742292372,-0.7541212863126012,1.5874158383120918,0.3081952552244015,0.7678963977382435,1.1026533181059162,1.2150787820287983,0.5493082358511727,-0.5599259091746249,-0.4434281526900405,0.0821680352882447
Akron 2019,11.154980282972614,5.791268311880581,-2.486452450107189,0.4468130816609341,-1.7775585420353803,-0.7136279134763156,1.959223278797204,-0.2901401832022007,1.8270250575189044,-0.3450836781812377,-1.8157759951185453,-0.15952088785862797,1.0147601796276444,0.8765936562390135,0.6641820257737171,0.24782678796865543,-0.11262960847383541
Akron 2021,8.734253532294494,-3.398146112332611,2.8762937252940466,1.5490553718529556,-0.7607212225614157,-3.148967645022503,1.902129624136814,-0.04534545226283381,-2.2501752169776084,0.6166597126427307,0.34775430720272926,-1.0586707213553972,-0.6781377724988275,1.157715099091332,-0.03143351237363167,-0.359326179275376,-0.32071236665789743
