team_id,points/game,totalYards/game,firstDowns/game,netPassingYards/game,passAttempts/game,passCompletions/game,passingTDs/game,rushingYards/game,rushingAttempts/game,rushingTDs/game,turnovers/game,thirdDownPct,rushingPct,rushingYardsPct,completionPct,rushingYards/attempt,passingYards/attempt,o_ppa,o_success_rate,o_explosiveness,o_power_success,o_stuff_rate,o_standard_downs_rate,o_line_yards,o_open_field_yards,o_second_level_yards,o_rushing_plays_success_rate,o_rushing_plays_explosiveness,o_rushing_plays_ppa,o_passing_plays_success_rate,o_passing_plays_explosiveness,o_passing_plays_ppa,points_opp/game,totalYards_opp/game,firstDowns_opp/game,netPassingYards_opp/game,passingAttempts_opp/game,passingCompletions_opp/game,passingTDs_opp/game,rushingYards_opp/game,rushingAttempts_opp/game,rushingTDs_opp/game,turnovers_opp/game,thirdDownPct_opp,rushingPct_opp,rushingYardsPct_opp,completionPct_opp,rushingYards/attempt_opp,passingYards/attempt_opp,d_ppa,d_success_rate,d_explosiveness,d_power_success,d_stuff_rate,d_standard_downs_rate,d_line_yards,d_open_field_yards,d_second_level_yards,d_rushing_plays_success_rate,d_rushing_plays_explosiveness,d_rushing_plays_ppa,d_passing_plays_success_rate,d_passing_plays_explosiveness,d_passing_plays_ppa,wins/game,penalties/game
Baylor 2021,31.642857142857142,422.35714285714283,20.714285714285715,203.07142857142858,26.071428571428573,16.928571428571427,1.7142857142857142,219.28571428571428,40.857142857142854,2.0714285714285716,1.0714285714285714,0.4207650273224044,0.6104589114194237,0.5191949940808388,0.6493150684931506,5.3671328671328675,7.789041095890411,0.2809029287824012,0.4567510548523206,1.3224446520526134,0.7428571428571429,0.160427807486631,0.7162447257383966,3.335294117647059,1.7219251336898396,1.3155080213903745,0.4670231729055258,1.17787518949387,0.3009362339172786,0.4430051813471503,1.5439487408853083,0.2619647128761457,18.285714285714285,345.7857142857143,19.285714285714285,227.5,31.642857142857142,19.0,0.9285714285714286,118.28571428571429,35.5,1.1428571428571428,1.9285714285714286,0.33830845771144274,0.5287234042553192,0.3420780830406941,0.6004514672686231,3.3319919517102616,7.18961625282167,0.1456469837499966,0.3717001055966209,1.3730821035145118,0.7627118644067796,0.161925601750547,0.6494192185850053,2.797592997811816,1.026258205689278,0.9474835886214442,0.3610503282275711,1.0617622366039674,0.1025446889190483,0.3895833333333333,1.6477761037296978,0.2155940021651236,0.8571428571428571,5.357142857142857
Baylor 2022,32.15384615384615,413.84615384615387,22.692307692307693,231.46153846153845,30.153846153846153,19.0,1.4615384615384615,182.3846153846154,41.15384615384615,2.6153846153846154,1.3846153846153846,0.40223463687150834,0.5771305285868392,0.4407063197026022,0.6301020408163266,4.43177570093458,7.676020408163265,0.2235092060411638,0.4562002275312855,1.2830385011966052,0.7857142857142857,0.1434511434511434,0.70193401592719,3.223076923076923,1.1226611226611227,1.133056133056133,0.4719334719334719,1.0762802731421803,0.2161254610889352,0.4496124031007752,1.5527748102101366,0.3157315607796646,26.846153846153847,371.0,20.923076923076923,222.76923076923077,30.923076923076923,18.846153846153847,1.3076923076923077,148.23076923076923,38.15384615384615,1.9230769230769231,1.6153846153846154,0.4576271186440678,0.5523385300668151,0.39954385237404105,0.609452736318408,3.8850806451612905,7.203980099502488,0.1793936792019159,0.4321428571428571,1.193821244665658,0.7536231884057971,0.1477272727272727,0.7071428571428572,3.0793181818181816,0.6659090909090909,0.9704545454545456,0.4295454545454545,0.9043520444788072,0.1142079370851655,0.4393939393939394,1.5082446862479266,0.267371418036806,0.46153846153846156,4.769230769230769
Baylor 2023,23.083333333333332,377.8333333333333,19.833333333333332,263.0,36.833333333333336,21.916666666666668,1.25,114.83333333333333,34.416666666666664,1.0833333333333333,1.25,0.3615819209039548,0.4830409356725146,0.3039258932509925,0.5950226244343891,3.3365617433414045,7.140271493212669,0.134255223738684,0.3957345971563981,1.287303545352758,0.775,0.1662269129287599,0.659952606635071,3.004749340369393,0.7889182058047494,1.0765171503957784,0.4089709762532981,0.9941845110365786,0.1016388605768477,0.3874458874458874,1.541121703559506,0.1874057087182873,33.333333333333336,421.3333333333333,20.083333333333332,236.41666666666666,27.333333333333332,17.75,1.8333333333333333,184.91666666666666,36.666666666666664,2.25,1.3333333333333333,0.4407894736842105,0.5729166666666666,0.43888449367088606,0.649390243902439,5.043181818181818,8.64939024390244,0.3002627641699116,0.4539385847797063,1.3847696087754175,0.68,0.1887254901960784,0.6955941255006676,3.2794117647058822,1.95343137254902,1.193627450980392,0.4583333333333333,1.1268711550635868,0.2326963047669644,0.4580838323353293,1.699978829978766,0.4385024397562237,0.25,4.083333333333333
Boise State 2004,48.916666666666664,492.6666666666667,26.083333333333332,280.1666666666667,29.583333333333332,18.416666666666668,1.5,229.83333333333334,49.666666666666664,4.083333333333333,1.9166666666666667,0.39520958083832336,0.6267087276550999,0.46650879566982406,0.6225352112676057,4.62751677852349,9.470422535211268,0.0567588740715092,0.413265306122449,1.0445768064707963,0.6458333333333334,0.2219730941704036,0.6721938775510204,2.9381165919282517,1.100896860986547,1.2062780269058295,0.4417040358744394,0.8345257735679014,0.0675038440084048,0.4150326797385621,1.3704039992414283,0.1199421269378286,25.666666666666668,357.8333333333333,17.416666666666668,268.8333333333333,36.0,19.166666666666668,1.75,103.91666666666667,31.083333333333332,1.4166666666666667,2.5833333333333335,0.384180790960452,0.46335403726708074,0.2904052165812762,0.5324074074074074,3.343163538873995,7.467592592592592,-0.134830672915965,0.3348837209302325,0.9926248592254884,0.5428571428571428,0.264,0.641860465116279,2.378,0.368,0.724,0.336,0.6441019434200471,-0.127342790686144,0.3557951482479784,1.2144121692834962,-0.056819588310699,0.9166666666666666,5.975625370342732
Boise State 2006,39.69230769230769,420.61538461538464,21.076923076923077,217.69230769230768,23.53846153846154,15.692307692307692,1.9230769230769231,214.15384615384616,42.38461538461539,3.0,1.6153846153846154,0.4350649350649351,0.6429404900816802,0.5091441111923921,0.6666666666666666,5.052631578947368,9.248366013071895,0.1443674303634306,0.4662162162162162,0.8986680859213717,0.6875,0.1916299559471365,0.7364864864864865,3.2418502202643174,1.1343612334801765,1.290748898678414,0.4757709251101321,0.7516076960301706,0.0775015439206682,0.4270072992700729,1.307845168429978,0.2809155289595122,17.615384615384617,284.0,14.615384615384615,209.23076923076923,30.53846153846154,17.46153846153846,1.3076923076923077,89.07692307692308,27.76923076923077,0.5384615384615384,2.6153846153846154,0.3253012048192771,0.4762532981530343,0.31365113759479957,0.5717884130982367,3.2077562326869806,6.851385390428211,0.0133418371201836,0.3845050215208034,0.895527542160271,0.5428571428571428,0.2067796610169491,0.6614060258249641,2.6979661016949152,0.7830508474576271,0.9491525423728814,0.3525423728813559,0.690111390362194,-0.0617989071724269,0.3974683544303797,1.0921982920646351,0.0779120841556892,1.0,5.846153846153846
Boise State 2007,42.38461538461539,467.38461538461536,23.46153846153846,290.3076923076923,35.38461538461539,23.615384615384617,2.6153846153846154,184.92307692307693,39.84615384615385,2.6923076923076925,1.6923076923076923,0.5175879396984925,0.5296523517382413,0.39565503620803166,0.6673913043478261,4.640926640926641,8.204347826086956,0.0583592568754831,0.45,0.875747368885465,0.6290322580645161,0.1973969631236442,0.6978260869565217,2.86355748373102,0.7006507592190889,1.0151843817787418,0.4164859002169197,0.6415690523733718,-0.072340131718044,0.4650112866817156,1.1869063925690355,0.2080448786767243,21.615384615384617,338.3076923076923,17.76923076923077,222.69230769230768,32.92307692307692,17.76923076923077,1.2307692307692308,131.15384615384616,34.84615384615385,1.5384615384615385,1.6923076923076923,0.3425414364640884,0.5141884222474461,0.3876762164620282,0.5397196261682243,3.763796909492274,6.764018691588785,-0.0270668413671966,0.3368544600938967,0.9980541001109574,0.631578947368421,0.215,0.6443661971830986,2.62275,0.8475,0.81,0.3475,0.7366594063475616,-0.075831574746282,0.3168539325842696,1.337270216405117,0.0264739602634808,0.7692307692307693,7.0
Boise State 2008,37.61538461538461,440.84615384615387,21.923076923076923,296.38461538461536,33.69230769230769,22.923076923076923,2.3076923076923075,152.30769230769232,34.53846153846154,2.1538461538461537,2.0,0.4382716049382716,0.5062006764374296,0.345489443378119,0.680365296803653,4.409799554565701,8.796803652968036,0.1171599038007918,0.4454976303317535,0.9274552310726052,0.8125,0.2647058823529412,0.6883886255924171,2.575735294117647,0.9485294117647058,1.0367647058823528,0.3676470588235294,0.7218324044863743,-0.0839419872284523,0.4988066825775656,1.1472086627379507,0.3161088159879837,12.615384615384615,308.15384615384613,17.53846153846154,202.15384615384616,34.53846153846154,18.0,0.6153846153846154,118.0,36.61538461538461,0.6923076923076923,2.6923076923076925,0.3253588516746412,0.5145945945945946,0.3829256115826261,0.5211581291759465,3.222689075630252,5.853006681514477,-0.0590614145180396,0.3293216630196937,1.0013338753541146,0.6153846153846154,0.2060185185185185,0.6061269146608315,2.641203703703704,0.5023148148148148,0.7800925925925926,0.3217592592592592,0.848001790183756,-0.0686253757150031,0.3263157894736842,1.2166447497415742,-0.0406005936772826,0.9230769230769231,7.153846153846154
Boise State 2009,42.214285714285715,450.2142857142857,22.214285714285715,266.92857142857144,32.714285714285715,21.0,2.857142857142857,186.07142857142858,36.285714285714285,2.142857142857143,1.0,0.3793103448275862,0.525879917184265,0.41329525622719343,0.6419213973799126,5.127952755905512,8.15938864628821,0.0932612864314562,0.453551912568306,0.8654982948106651,0.6376811594202898,0.2198731501057082,0.7114754098360656,2.808879492600423,1.040169133192389,1.0676532769556024,0.4312896405919662,0.6953349953419167,-0.0124484454928325,0.4549763033175355,1.169441522416553,0.2390671285015256,17.142857142857142,300.2142857142857,16.0,190.78571428571428,31.357142857142858,17.214285714285715,1.0714285714285714,120.35714285714286,31.428571428571427,1.0714285714285714,2.5,0.3072916666666667,0.5005688282138794,0.40090411610754223,0.5489749430523918,3.829545454545455,6.084282460136674,-0.0561790647231918,0.3548009367681499,0.8979637879017932,0.5789473684210527,0.2493765586034912,0.65807962529274,2.433665835411471,0.57356608478803,0.8653366583541147,0.3441396508728179,0.7464958297152553,-0.1032904004029389,0.3550561797752809,1.0784144280933352,-0.0071307896311669,1.0,6.214285714285714
Boise State 2010,45.07692307692308,521.3076923076923,25.076923076923077,326.0,32.61538461538461,23.0,2.923076923076923,200.23076923076923,37.30769230769231,2.6153846153846154,1.4615384615384615,0.49032258064516127,0.5335533553355336,0.3840932566032168,0.7051886792452831,5.367010309278351,9.995283018867925,0.1572960789415907,0.4982456140350877,0.8675076107104369,0.75,0.1734234234234234,0.7228070175438597,3.158333333333333,0.9234234234234234,1.0945945945945943,0.4594594594594595,0.6195790606355341,0.0072699357326304,0.5215189873417722,1.2184764222919229,0.3521577853896482,12.76923076923077,254.69230769230768,14.846153846153847,174.30769230769232,28.53846153846154,14.615384615384615,0.6153846153846154,103.76923076923077,35.46153846153846,0.9230769230769231,2.076923076923077,0.28571428571428575,0.5540865384615384,0.4074297795228028,0.5121293800539083,2.926247288503254,6.107816711590297,-0.0773204200934334,0.3199023199023199,1.044217203157774,0.5777777777777777,0.2786069651741293,0.6031746031746031,2.206965174129353,0.8731343283582089,0.818407960199005,0.3159203980099502,0.8948619287555026,-0.1057678247641354,0.3155339805825243,1.2422470388580211,-0.0467283634106426,0.9230769230769231,5.615384615384615
Boise State 2011,44.23076923076923,481.3076923076923,25.692307692307693,313.0769230769231,36.69230769230769,27.076923076923077,3.4615384615384617,171.92307692307693,37.84615384615385,2.3846153846153846,1.4615384615384615,0.5116279069767442,0.5077399380804953,0.35719993607159983,0.7379454926624738,4.5426829268292686,8.532494758909854,0.088492584749566,0.4639289678135405,0.852784500957751,0.7692307692307693,0.2175824175824176,0.7347391786903441,2.658241758241758,0.5516483516483517,0.8835164835164835,0.3824175824175824,0.6053803182902223,-0.1301886771114437,0.5409090909090909,1.071285689544843,0.3245588978156757,18.692307692307693,320.84615384615387,15.923076923076923,222.07692307692307,30.846153846153847,17.53846153846154,1.6153846153846154,110.0,31.153846153846153,0.6923076923076923,2.076923076923077,0.29775280898876405,0.5024813895781638,0.3428434428194677,0.5685785536159601,3.5308641975308643,7.199501246882792,0.00516201389032,0.341025641025641,0.990405257088196,0.5652173913043478,0.2258064516129032,0.6461538461538462,2.4045698924731185,0.7204301075268817,0.8172043010752689,0.3548387096774194,0.8319355769169174,-0.0224305804860218,0.3184079601990049,1.2374364987633562,0.0426122298122695,0.9230769230769231,5.3076923076923075
