team_id,0,1,2,3,4,5,6
Air Force 2014,-3.5388213858802433,5.0371498237386385,4.11402764439826,-1.6561886330994542,-0.5056077875978141,-2.036102222013177,-0.11857343317349057
Air Force 2015,-6.215197297794259,7.29325219024263,4.823240226503009,0.11407235323220243,-1.6166629689533099,0.7427511296626261,0.7048562038778571
Air Force 2016,-6.721310590970489,7.776765946405438,7.474152742884704,-0.3657116197918286,-2.9015608049457584,0.9858366700875303,1.2222002626941906
Air Force 2017,-5.091800113993983,8.002091813606533,3.16663180576848,-1.719766325845127,-2.6660116739346957,-0.4540787481067538,0.9374259810635717
Air Force 2018,-4.134161841332459,5.849088293871734,4.158980203283073,-1.4826225281861567,-0.189967328921176,-1.204105226325775,0.4217256367097275
Air Force 2019,-8.887677881783329,6.880939997404104,7.569287113335148,-1.7365261786030242,-0.7440357364377597,1.8365467622462632,1.3738599785313494
Air Force 2021,-6.462531306535946,8.946203311574235,5.981316244012646,-0.39884774805112905,-0.9210559815287648,0.8785504387194892,-0.3969370354451038
Air Force 2022,-6.442268598807512,9.816956845831992,5.750000044996121,-1.1251313164822654,-0.928548507328649,2.0256960935005695,0.23563623542381984
Air Force 2023,-5.414278929655049,8.24058643372889,4.960849035560177,-1.3889171797647775,0.24940532179584565,1.4359342293022104,0.6088130542888032
Akron 2014,3.282119592263237,-1.6754885858941508,-2.921059340919701,-0.6836705261580639,-1.4476802987122663,0.3359459535211413,-0.09211939107634154
Akron 2015,2.7591089732075313,1.60647840011518,1.4848435042584733,0.9847424300924321,-0.45507245905675375,-0.7607975200299039,0.7822453107242038
Akron 2016,2.1251451036784013,-0.9873021473289549,0.7653157104878499,2.82661784914706,-0.44773651038339685,0.9038601515559488,0.20130070314669288
Akron 2017,4.3668370579687235,-0.4653919276866719,1.140400516451495,0.13446001149023185,0.3396846496691705,0.5858070341068171,-1.1377654625572304
Akron 2018,6.856989015984268,0.3011182414028877,1.3577577614937912,1.1750841658741997,-0.8038350897398486,1.3791875649737062,0.05481967405987607
Akron 2019,10.649066427039234,-0.7832005011290232,1.5332381705701932,0.9490488368665152,-0.1071583105153147,1.4501661453864154,0.4604206875647387
Akron 2021,1.8613209432285511,-0.44890342418883367,-0.5339613070660798,-0.05271741475508131,1.446443610063941,1.2455339206669513,0.36236037580424824
Akron 2022,2.93715421263122,-3.150911345155286,-0.16574394194499134,-2.7176048213927686,0.36992681419767665,1.1315060556960135,0.5547493117692565
Akron 2023,5.981200956227029,-1.106073385663035,-1.09664195885304,-2.53315097822754,0.8498664508723371,0.9604089552411623,-1.1649379136884581
Alabama 2014,-5.581542919256576,-1.3358550216005132,0.0015491326483289478,-1.3860424549168566,-0.2956133822357661,0.0068279777126904,1.2229282682523008
Alabama 2015,-1.5160660948510194,0.20076165519545,-0.3213020734043252,-0.7931710605671007,0.7429625673145187,-1.0210505451518155,-0.700332708316599
Alabama 2016,-3.8308983175890856,1.596300097663984,-1.9877163635754462,0.3512052070049728,0.4310901763624979,-0.5127068199744357,-0.007859998823296075
Alabama 2017,-5.233305826438306,2.5930900759468463,-1.1774490739820542,-1.0647885202676495,0.8854213061632719,0.44077460931876206,0.2519205104344792
Alabama 2018,-8.377879677455358,-2.8585968932282793,2.187601416459678,-0.09169374455276087,0.7096868243752518,1.2470653665111546,1.2400893175437593
Alabama 2019,-7.383588959649151,-3.9872768501602134,2.5135993481585253,0.4587434248140943,1.0755134609728347,1.3836737532369003,0.25687215778625255
Alabama 2020,-9.450519276054884,-4.815542017844598,1.8418545321183388,-1.3481139804142293,1.139750868982274,-0.2539703097525058,0.21450918501628216
Alabama 2021,-3.63831768329182,-4.214576069336207,1.297603117670527,-0.13111939362706687,-0.03806148525311024,0.5820810522985859,-0.183445746739504
Alabama 2022,-4.269540084588529,-1.8991326342303088,-0.7839333549207705,1.8512439511843082,0.4304492685761252,-0.0650179402856804,0.10852405839404704
Alabama 2023,-3.214145405745919,1.2552167956761298,1.6696430392718618,-0.27309701068142983,1.6446514689291527,1.6143615029270313,-1.0604135351832171
Appalachian State 2014,-3.701875425206405,1.372379918033399,-0.5128350654940736,0.4423132111229605,-0.7440976867207871,-0.92375451826245,-0.7422752934826107
Appalachian State 2015,-4.441311133380882,2.0309822466803813,0.9061595944324086,1.5961293751582721,-0.19047197602242524,-0.5621384450359372,1.3850180112614623
Appalachian State 2016,-2.0027933102975606,2.810735899767267,-2.1125069348342578,0.07656948287846553,0.7631318327312774,-1.222073117869326,0.31708709306415855
Appalachian State 2017,-2.5987049662209003,1.3168596378587092,-0.6996060612020268,1.8002174419321162,0.7459360603193594,-0.21074596786176616,-0.11107717334229333
Appalachian State 2018,-3.0960798119907222,2.034688794991989,-0.8999315453486828,1.9633158421628196,1.111823926389114,-0.8551490534672745,-0.805107098651905
Appalachian State 2019,-3.1590265297365097,1.4855337063454006,-0.2438190148081859,1.043533210420325,1.3367676971105984,-0.725125486044678,-1.9892193263132476
Appalachian State 2020,-4.153721266675114,2.1528239466236534,-1.4086383928878825,-0.2102594271055869,0.16691300845448173,-1.2971410214796897,0.03443862334898762
Appalachian State 2021,-2.3333817348592394,-0.32892344038650184,0.972853462750287,-0.31001764403861365,-0.39231552920414847,0.6721405780946013,0.1806587283593742
Appalachian State 2022,-3.5496790426839704,0.038680445183406194,-0.36210064922558793,-0.292784847029623,0.40353401848467335,0.858071240797033,-0.020666895250348673
Appalachian State 2023,-2.2265389532837894,-2.0277365271729857,0.6556923825488977,0.03696302797642241,0.13853738016978012,0.013696167870194096,0.09158064099682414
