team_id,points/game,totalYards/game,firstDowns/game,netPassingYards/game,passAttempts/game,passCompletions/game,passingTDs/game,rushingYards/game,rushingAttempts/game,rushingTDs/game,turnovers/game,interceptions/game,thirdDownPct,rushingPct,rushingYardsPct,completionPct,rushingYards/attempt,passingYards/attempt,points_opp/game,totalYards_opp/game,firstDowns_opp/game,netPassingYards_opp/game,passingAttempts_opp/game,passingCompletions_opp/game,passingTDs_opp/game,rushingYards_opp/game,rushingAttempts_opp/game,rushingTDs_opp/game,turnovers_opp/game,interceptions_opp/game,thirdDownPct_opp,rushingPct_opp,rushingYardsPct_opp,completionPct_opp,rushingYards/attempt_opp,passingYards/attempt_opp,penalties/game,possessionTime/game
Temple 2015,0.13874698360845908,-0.5648608439293222,-0.5116340284390007,-0.2505983997190983,-0.01565001495356086,-0.21241520076781553,-0.36946677596930455,-0.4109513998964392,-0.23367091250475375,0.056357622471982345,-0.3118696423662118,-0.8555296006348099,0.21074568424190404,-0.11356298494998286,-0.14658069054933426,-0.4705598918518178,-0.40461216984766774,-0.4265836662512147,-1.0872481866213017,-0.9472349494464426,-1.2246371639647642,-0.5348983983315254,0.5163078644180976,0.1842706877849894,-1.4408347163463124,-0.8560415081556294,-1.02672823943601,-0.7751953443932906,0.16695919925957894,0.8956075264217207,-1.3159675362060679,-1.0254022140937329,-0.5281489194659896,-0.42154309014317765,-0.596204781254167,-1.1219914986171928,-0.1922822328314101,1.3889945327477689
Temple 2016,0.5071903296406044,0.18947767766767445,0.13169759126296307,0.09661185930735858,-0.39064952590816515,-0.47418710368930395,-0.15284672106496366,0.12286398476922006,0.32849161040084734,0.7037243773401791,-0.3118696423662118,0.26739364842286034,0.30579300851907537,0.3805090151294617,0.01487890277923848,-0.3583051846799319,-0.0068983694906001765,0.7505095909651796,-1.335775260477627,-1.906580260794735,-1.865924315032146,-2.211575222502867,-1.9340971422415347,-2.1540170117937474,-1.4408347163463124,-0.7959776708189574,-0.3592390153185141,-0.6616613361373316,0.7066036656239394,-0.01834709040479495,-0.7994616699538879,1.1920500596566135,0.6990281209378295,-1.4236483223844683,-0.8985026661608527,-1.1702223188016432,-0.5469206623379677,1.675676569274832
Temple 2017,-0.5359452120102343,-0.21352024733184566,-0.20900169846085856,0.3468871401548312,0.5043813581437421,0.2708560046257017,-0.0861943964790125,-0.6801896791477678,-0.47932949452733314,-0.8980933622695904,0.49409060371929614,0.9756990824438512,0.27684986075012086,-0.5438298233003604,-0.6702525484242979,-0.29296018682153163,-0.6648178836681051,-0.16065513857142694,-0.2252997732801354,-0.17136358261147883,0.07232499091830583,-0.602456805166269,-0.5106003260651072,-0.648912285628124,0.05558206673595773,0.25810967233120996,0.7087437432694773,-0.3909263933731214,-0.3035000791093504,-0.2995638955821841,-0.1329699501744563,0.7809469239125381,0.6356835215783269,-0.4670435300456839,-0.016754438066300066,-0.29620004648854353,1.4490571652694515,0.20004555198444013
Temple 2018,0.8748464035658435,0.12702892107205066,0.1374076352248142,0.3717278956419309,0.38098408317150156,0.09857876936967913,-0.20283596450442715,-0.28243617839065294,-0.06713831570293158,0.6124290657562023,1.0490140518437445,1.9431406508627684,-0.1613599946602172,-0.2774954346676866,-0.3963201155439672,-0.4819064298478745,-0.3277897047885918,0.036291790248301696,-0.027475547267408296,-0.3257254252278591,0.9355961558167037,-1.1749254104501408,0.608292298514245,-0.07002585248749894,0.39077942614638606,0.5149980843249768,1.8588790217488524,0.22041057415896595,2.21484076392433,1.6689537406595418,0.5994505207057554,0.6941052754649227,1.2263319423668362,-1.0108501606706848,-0.30939660377649175,-1.940335361000842,1.067138856570082,-0.7921012420905544
Temple 2019,-0.359596260063225,-0.1577940197748453,-0.20900169846085856,0.39133901839490515,0.7063041717346831,0.5684257746133772,0.3803718756226451,-0.6630987084121106,-0.24747195643860673,-0.7818993293445288,0.12414163830299704,0.49197829823439426,-0.3559418292779051,-0.5455150534078521,-0.67886260003351,0.03554843154353394,-0.8167641084984363,-0.3408849055824261,-0.20202633492569705,-0.22823373515435563,0.47518486787089165,-0.24720948884386568,0.9671823856434709,-0.041081530830467824,0.05558206673595773,-0.10966582397641232,0.8525106530793988,-0.26865899986670366,0.08393697366506174,-0.7916933046426157,-0.17517293351796515,-0.07496502070286763,0.08817647134770493,-1.4304034025581238,-0.5826148189760134,-1.1391660805068324,0.8761797022203972,-0.3358935621563723
Temple 2020,-1.2838537135712138,-0.8707359151866412,0.007979972089508352,-0.40356515719229247,0.41143276141140467,0.39838590604899127,-0.15284672106496366,-0.6129355994996617,0.3524134198861926,-1.5620592646985094,1.2339885345518937,2.2886554967266663,-0.2769263269975269,-0.10990846491978325,-0.2055994318018927,0.2322597073367155,-1.1524971089147271,-1.183267672892222,1.495272276494421,0.742621011827614,0.40530101166482974,-0.085263260019913,-1.9733036223480886,-1.8852483106927436,2.138594228786479,1.0831623829997816,1.2427351225634728,0.8142807711901365,0.5267221768358189,-1.3892790156445687,0.9351099016027954,2.1522856721217507,1.001891600943296,-0.6800193814263261,0.7307820707411743,2.3116815567961795,-0.7242398770912457,1.0349561342405587
Temple 2021,-1.788757558133784,-1.8508393703307076,-2.1075913157765647,-0.9276179374245319,-0.17710813772568212,-0.23422952601127303,-1.2720503380707253,-1.2198500278312492,-1.379924283677524,-1.1304814281197118,0.6328214657504082,-0.2940679761059748,-2.124256812228137,-0.6044230122346856,-0.38374474681258425,-0.15763694717360877,-0.9155064191288516,-1.369349985628505,1.5492999012457955,0.1338621368894776,0.7125844382179507,-1.4534287470786915,-1.6629189881712012,-1.2133265579402328,1.0751407016093437,1.3697526925776171,1.9352551925853743,1.779319841365789,-0.8523692372064343,-1.1607903614379393,0.5237626773279941,2.261039758680632,2.075128892635313,0.35126223377830124,0.6638865193665405,-0.27819091182586875,-0.1528779628862372,-1.1422501282774404
Temple 2022,-0.9887578854991712,-0.8258895701526735,-0.8662912034029057,0.6176295848278276,1.2933760556935296,1.0382727798570746,-0.2611567485171341,-1.770256971750031,-1.9799630049349208,-1.2563582971218612,1.0335995116180654,0.49197829823439426,-1.2099741575879162,-1.7928124717922684,-1.7304155376715185,-0.008155801674443512,-1.5846918380326038,-0.6690992877659178,0.30126176948903416,0.006242806480759789,-0.3784943951953046,-0.8455108342212466,-1.1826396068659133,-0.4921305433192044,0.3488797562200826,0.6990398423181123,0.9813018431174522,0.18984372578236167,-1.2720927110453812,-1.1607903614379393,-0.41165894817377485,1.411107981780812,1.1610628208319986,1.0657807069628509,0.4006181042501074,0.07982810727337497,-1.1872400489470294,-1.3702040971276013
Temple 2023,-1.1081608217132934,-0.4650106483622399,-0.08687020261014196,0.7635145479735597,1.585042341991555,0.9534392927991837,0.37065174495386055,-1.49084549563224,-1.7985559496710573,-1.5081120351261599,1.4343775574857216,1.5400399973548862,-0.29634643321605975,-1.8159895531124108,-1.5203552679521826,-0.6946509049215985,-1.1105040399347637,-0.7677272976242038,1.2719580941887372,0.8937105639206934,0.9931475668099301,0.4683762677609741,-1.1368987134082684,-0.4294178463956376,1.4382711743039753,0.837186668192458,1.1175808930414428,0.7196690976435036,-2.7411248694816948,-1.9605006511611407,1.3895122946834704,1.4526042083786659,0.5150504100759716,1.1157881435074055,0.49545772325724674,1.9167181301029563,-1.256197521351082,-0.749338016726597
Tennessee 2014,0.01514526282417111,-0.503296630628253,0.16405450704678892,-0.1290094386506618,0.49316342405535707,0.5527642077719207,0.1470887395718161,-0.4782054795445453,0.3321718887832081,-0.3171231976442853,0.49409060371929614,0.7338386903391231,-0.15725246876842094,-0.1654612482490778,-0.26734100606169425,0.4488671266177086,-0.932693303891003,-0.8588211882445738,-0.45803415682452003,-0.4611305503299467,-0.5895162355038,-0.9147124080483809,-0.6794897788318023,-1.2277987187687482,-0.7824113317901135,0.11765269886699242,0.3852681961971523,0.22041057415896595,0.8588110792138877,1.1768243315991105,-0.8559264313584558,0.7065119882764194,0.7046093225626968,-1.4009625958642482,-0.015500360268795199,-0.5479298518662877,-1.5426362528756088,0.08374556524695136
