team_id,points/game,totalYards/game,firstDowns/game,netPassingYards/game,passAttempts/game,passCompletions/game,passingTDs/game,rushingYards/game,rushingAttempts/game,rushingTDs/game,turnovers/game,thirdDownPct,rushingPct,rushingYardsPct,completionPct,rushingYards/attempt,passingYards/attempt,passingYards/completion
Air Force 2005,0.24420013167865615,0.3867142424516673,0.5701248723805101,-0.9534119206150549,-1.8559714823327416,-1.5686047655763078,-0.5417173459764798,1.6103131228334226,2.55774446519427,1.2699828785653147,1.092886978562543,-0.021804814163991163,2.243455357567308,1.5411651682739516,-0.02174442891697824,0.41298155345245807,1.9306351061087037,2.041462984825966
Air Force 2006,-0.6999488057134955,-0.9680386199678257,-0.12854002715802945,-2.1128632761691257,-2.791610937222795,-2.3764615830672295,-0.959888169317959,1.2708828755301707,2.813356177228807,0.087441092790517,-0.9958506143104625,2.5388113327765596,3.1420185014755906,2.4711958614178986,-0.29056855385807334,-0.1252642534489155,1.4652253164176607,1.778098891642248
Air Force 2007,0.23344059962860317,0.4197181237187384,0.27909533910980494,-1.8108676187860615,-2.170491969240478,-1.7705689699490381,-1.4316706366775764,2.655357440573418,2.8896927066146865,1.6026539743437194,-0.5474075260587381,0.39197348482502586,2.5876289360655953,2.656617834631146,0.2891366281897933,1.3720952889344815,0.27504066305853603,0.0712712776313816
Air Force 2008,-0.20770021442357015,-0.6790269830995844,-0.6684968212196085,-2.547249614324263,-3.0159554002850646,-2.6405686195546463,-1.4316706366775764,2.012168380407234,3.6021669808828976,0.5734527717792803,-0.7056815572064055,0.5346586588294451,3.4941683266434316,3.112447575936543,-0.9961292405251438,0.23498386920984782,0.4708545712476522,1.2821811874698774
Air Force 2009,0.20116200347844426,-0.32319705791553216,-0.13067424373534528,-2.372046026834852,-2.849087617842054,-2.5939614954686316,-1.5496162535174807,2.3383137764820683,4.08563166699347,1.0308755284745863,-1.4970517129447427,0.7720463819518396,3.41010582786785,3.0912440627710627,-1.5908030630290515,0.3025801319320952,0.5543384841016921,1.9496196836246176
Air Force 2010,0.3625549842292393,0.5206968862709702,0.5095907294602031,-1.9162532353210457,-2.682219835399043,-2.423068707153244,-1.077833786157863,2.7934003756562547,3.2332070888511457,2.1744324202128524,-0.7056815572064055,1.8457443241681837,3.1157171098774863,2.707249342491878,-1.2202304593505082,1.282954323291834,1.7997579396371828,3.0729866289157446
Air Force 2011,0.9328101828820483,0.9738991896303881,0.8937497133775338,-1.50920129145467,-2.281737157535818,-1.8793189261497392,-0.6060513187982457,2.9557145960283813,2.9151382164099795,2.4031437985605053,0.718784723122602,1.2352564795563097,2.6899726749568686,2.4559289820622356,0.20731627527478816,1.6870035321373775,1.6691058986337217,1.5729573887147044
Air Force 2012,-0.12162395802314638,0.4113032268393866,0.6120331251714907,-2.235044725339373,-2.8713366555011217,-2.5007472472966024,-1.4316706366775764,2.984536747309413,3.945681363119357,1.9457210418651993,1.1936068165656046,1.5281702407861322,3.4094399875168624,3.0252115749303456,-0.7537239486389892,1.0222453118223507,1.2924745183327118,2.006664596832575
Air Force 2013,-0.5017940904583523,-0.3898149915437408,-0.43373299771457274,-2.195634895822644,-2.4541671993935954,-2.224988429787682,-1.470985842290878,1.9282301854484407,2.4963475343624455,1.2024090622353263,-1.1673141480537692,0.7615069692973558,2.754020100760134,2.659726730582934,-1.0276837224861881,0.8215780930252213,-0.1915593749673111,0.5352166314131529
Air Force 2014,0.4486312406296631,0.40889897058814245,0.5352013283880261,-1.4986627298011717,-2.2594881198767496,-1.9725331743217687,-0.7239969356381507,2.1335248068536847,3.8438993239381842,1.4882982851698932,-0.7056815572064055,1.233042600563404,2.8580923806591714,2.0959294789084773,-0.4237283118587428,0.2275702955514136,1.6218823453888358,2.068896469934138
Air Force 2015,0.7737228161419791,0.9149090451802322,0.3193405659963822,-1.7330516322910337,-2.795054240670032,-2.5351477436458034,-0.8503672393951907,3.0419643419671094,3.356799564999713,2.2642833188494307,-0.016058992920140104,0.5346586588294432,3.2433793173390617,2.595942041363847,-1.4375207587801984,1.462897579191277,3.17699945445378,5.0008136029916805
Air Force 2016,0.9650887790322077,0.9318247052336236,0.9193603123053545,-1.6844048789440809,-2.8824611743306563,-2.733782867726676,-0.8419425524780546,3.0072910772681216,4.238304725765229,1.9457210418651993,-0.7056815572064055,1.8410618753634018,3.4626770746216966,2.5454747797322317,-2.491631374153073,0.8713499528050219,3.9337672764332385,7.633421803976406
Air Force 2017,0.44235484693379923,0.38245215182446307,1.230955932593856,-2.1071548886068143,-2.839817185484109,-2.6289168385331427,-1.2154370058044184,2.800858739364943,4.274352531308562,2.193491701741823,0.032930588149376314,1.4984243850389263,3.429502973193742,2.853501291670809,-1.903844388607694,0.6511816407562818,1.7272314545394727,3.790429228155266
Air Force 2018,0.2675124511204378,0.3511968205582963,0.5095907294602031,-1.743245181509447,-2.5264765717855666,-2.224988429787682,-1.2154370058044184,2.34235899069695,3.5438543542686824,1.5740650520502628,-0.8243870805671561,0.28935375505423105,3.031095961679039,2.3790812436189,-0.6833212892480739,0.6099504611331479,1.7997579396371828,2.5140189528110826
Air Force 2019,0.8144553303314661,0.4569840956130146,0.5095907294602031,-1.882002909947176,-3.1494496262394738,-2.733782867726676,-0.8419425524780546,2.6356370212758704,3.3222663731346724,2.1744324202128524,-0.5474075260587381,2.351973706542925,3.584760045606038,2.5986759886813764,-0.9338789019625423,1.0553432618590854,4.893806273848532,6.352836705465497
