rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,fumblesRecovered,totalFumbles,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected,firstDowns,thirdDownEff,fourthDownEff,totalYards,netPassingYards,completionAttempts,yardsPerPass,rushingYards,rushingAttempts,yardsPerRushAttempt,totalPenaltiesYards,turnovers,fumblesLost,interceptions,possessionTime,interceptionYards,interceptionTDs,passesIntercepted,team,home_away,points,game_id,season,week,season_type
2,97,0,6,3,26,0,1,8,0,3,2,0,27,0,5,10,28,11-17,0-0,518,229,15-28,8.2,289,49,5.9,7-49,1,1,0,37:24,,,,UTEP,home,38,400869348,2016,1,regular
2,0,0,1,0,35,0,2,4,1,0,13,0,44,1,4,4,19,5-15,1-2,345,206,17-41,5.0,139,30,4.6,7-40,0,0,0,22:36,,,,New Mexico State,away,22,400869348,2016,1,regular
1,,,,1,65,0,3,5,1,1,2,0,37,0,1,3,19,5-17,2-3,305,195,20-36,5.4,110,38,2.9,4-30,1,0,1,36:14,0,0,1,Montana State,away,17,400869725,2016,1,regular
2,16,0,5,0,118,0,6,8,0,1,5,0,56,1,6,5,15,2-11,0-2,357,128,8-22,5.8,229,36,6.4,5-40,2,1,1,23:46,30,0,1,Idaho,home,20,400869725,2016,1,regular
5,30,0,3,2,29,0,2,8,0,,7,0,54,3,2,4,26,8-18,2-2,517,280,16-27,10.4,237,59,4.0,11-104,1,0,1,27:18,,,,Texas,home,50,400868946,2016,1,regular
1,51,0,2,5,95,0,5,9,0,,7,0,54,0,1,1,22,7-16,0-0,444,238,17-30,7.9,206,46,4.5,8-64,0,0,0,32:42,22,0,1,Notre Dame,away,47,400868946,2016,1,regular
2,20,0,2,0,170,1,6,6,1,1,6,1,44,4,0,2,16,5-13,0-1,315,156,24-40,3.9,159,19,8.4,13-101,0,0,0,21:53,,,,North Carolina,home,24,400868972,2016,1,regular
3,-2,0,3,1,24,0,1,7,0,1,4,0,36,1,0,6,25,7-14,0-0,474,185,13-20,9.3,289,52,5.6,9-70,1,1,0,38:07,,,,Georgia,away,33,400868972,2016,1,regular
1,9,0,2,0,27,0,2,1,0,1,4,0,43,1,3,5,12,1-11,1-2,187,141,9-17,8.3,46,35,1.3,7-25,0,0,0,28:01,,,,UMass,away,7,400868957,2016,1,regular
0,33,0,4,2,53,0,2,10,0,3,5,0,30,4,4,4,21,9-17,1-2,363,256,29-44,5.8,107,29,3.7,8-80,0,0,0,31:59,,,,Florida,home,24,400868957,2016,1,regular
1,45,0,1,1,46,0,3,1,1,1,5,0,38,2,2,5,17,3-13,1-2,292,108,15-23,4.7,184,43,4.3,5-36,1,0,1,33:29,3,0,1,Appalachian State,away,13,400868977,2016,1,regular
1,0,0,3,1,41,0,1,8,0,4,6,0,43,0,1,2,19,7-16,0-0,319,192,16-29,6.6,127,43,3.0,6-55,2,1,1,26:31,0,0,1,Tennessee,home,20,400868977,2016,1,regular
1,4,0,3,0,49,0,2,4,2,1,6,0,36,0,0,8,14,4-15,0-1,242,73,8-23,3.2,169,42,4.0,5-33,0,0,0,33:15,,,,Vanderbilt,home,10,400868968,2016,1,regular
1,8,0,3,0,,,,7,0,2,3,0,38,1,3,5,14,6-16,0-0,308,187,16-30,6.2,121,32,3.8,7-51,2,2,0,26:45,,,,South Carolina,away,13,400868968,2016,1,regular
3,,,,2,96,0,6,14,2,2,9,0,37,4,3,2,32,9-17,1-2,520,258,18-28,9.2,262,68,3.9,7-50,3,0,3,40:32,0,0,1,Southern Mississippi,away,44,400868973,2016,1,regular
1,,,,4,188,0,8,5,0,2,9,0,54,3,2,4,14,3-9,0-1,409,313,16-25,12.5,96,25,3.8,6-75,3,2,1,19:28,0,0,3,Kentucky,home,35,400868973,2016,1,regular
0,15,0,1,0,117,0,5,6,1,2,8,0,44,3,0,1,11,4-18,0-2,194,130,18-37,3.5,64,30,2.1,6-46,1,0,1,29:17,0,0,1,USC,away,6,400868969,2016,1,regular
3,4,0,3,3,24,0,1,10,0,3,9,1,42,3,1,7,15,6-15,1-1,465,223,12-18,12.4,242,45,5.4,4-29,2,1,1,30:43,18,1,1,Alabama,home,52,400868969,2016,1,regular
2,-5,0,1,2,81,0,3,21,1,3,6,0,34,5,2,3,32,9-18,0-0,580,419,33-52,8.1,161,41,3.9,15-127,0,0,0,42:39,0,0,3,Florida State,home,45,400868979,2016,1,regular
1,7,0,1,4,74,0,4,4,0,1,6,0,54,3,5,6,21,5-11,1-1,380,313,21-39,8.0,67,25,2.7,8-74,4,1,3,17:21,,,,Ole Miss,away,34,400868979,2016,1,regular
1,,,,2,,,,3,0,,4,0,54,1,3,3,19,5-14,2-2,379,285,24-34,8.4,94,29,3.2,8-57,0,0,0,36:41,,,,South Alabama,away,21,400868975,2016,1,regular
1,-19,0,2,1,54,0,3,8,0,1,11,0,49,3,1,3,22,2-9,0-0,382,143,20-31,4.6,239,34,7.0,5-41,0,0,0,23:19,,,,Mississippi State,home,20,400868975,2016,1,regular
2,39,0,2,0,84,0,3,8,0,1,9,0,44,4,3,4,16,5-11,0-0,291,212,19-31,6.8,79,23,3.4,3-20,1,0,1,23:19,34,0,2,Louisiana Tech,away,20,400868970,2016,1,regular
1,0,0,1,2,42,0,2,3,0,1,4,0,27,3,4,2,21,3-12,3-3,297,191,20-29,6.6,106,40,2.7,4-35,2,0,2,36:41,3,0,1,Arkansas,home,21,400868970,2016,1,regular
1,,,,1,16,0,1,7,1,1,14,0,47,4,4,5,19,6-17,1-3,399,248,19-34,7.3,151,44,3.4,6-55,2,1,1,30:29,0,0,2,Clemson,away,19,400868971,2016,1,regular
1,,,,0,42,0,3,7,1,1,3,0,49,0,9,6,17,3-17,3-5,262,175,15-30,5.8,87,41,2.1,9-60,3,1,2,29:31,0,0,1,Auburn,home,13,400868971,2016,1,regular
1,,,,0,34,0,2,10,1,1,3,0,32,2,2,2,21,3-15,0-1,339,205,19-31,6.6,134,42,3.2,5-55,3,1,2,36:57,43,0,2,Wisconsin,home,16,400868974,2016,1,regular
0,3,0,1,1,22,0,2,2,0,2,5,1,35,2,0,2,14,2-10,0-1,257,131,12-21,6.2,126,29,4.3,5-57,3,1,2,23:03,21,1,2,LSU,away,14,400868974,2016,1,regular
5,15,0,1,1,70,0,3,9,3,2,5,0,35,3,1,5,17,4-9,1-1,404,192,13-21,9.1,212,29,7.3,3-35,0,0,0,23:39,,,,Iowa,home,45,400869262,2016,1,regular
1,0,0,1,2,25,0,1,3,0,3,2,0,32,2,1,2,25,5-11,2-2,424,266,19-29,9.2,158,41,3.9,5-22,3,3,0,36:21,,,,Miami (OH),away,21,400869262,2016,1,regular
2,9,0,1,5,113,0,6,12,2,3,4,0,56,0,0,1,29,7-19,2-2,546,440,41-56,7.9,106,42,2.5,6-55,3,1,2,26:32,,,,Texas State,away,56,400869264,2016,1,regular
2,21,0,2,4,105,0,4,16,1,2,13,0,51,6,0,2,25,8-22,1-2,630,393,28-46,8.5,237,51,4.6,13-141,2,2,0,33:28,35,0,2,Ohio,home,54,400869264,2016,1,regular
1,22,0,4,2,88,0,4,9,1,2,10,1,28,7,0,5,19,5-15,0-1,354,209,16-31,6.7,145,38,3.8,5-55,1,1,0,27:04,30,1,2,Penn State,home,33,400869261,2016,1,regular
0,2,0,2,0,22,0,1,7,1,2,6,0,31,1,0,6,16,5-17,0-1,279,129,14-28,4.6,150,41,3.7,6-47,3,1,2,32:56,,,,Kent State,away,13,400869261,2016,1,regular
1,,,,2,127,0,6,6,1,1,,,,,,,20,6-17,0-2,386,300,28-37,8.1,86,45,1.9,5-53,0,0,0,36:12,48,0,1,VMI,away,24,400869266,2016,1,regular
1,8,0,4,6,80,0,3,5,0,3,11,0,57,2,0,2,24,6-12,2-3,576,425,25-38,11.2,151,29,5.2,13-111,2,1,1,23:48,,,,Akron,home,47,400869266,2016,1,regular
1,24,0,1,0,71,0,5,4,2,0,6,0,34,0,1,3,13,3-16,2-4,266,124,11-25,5.0,142,38,3.7,6-48,0,0,0,25:25,,,,Arkansas State,home,10,400869265,2016,1,regular
1,18,0,4,3,32,0,2,7,0,3,9,0,33,4,0,3,24,12-17,0-0,556,371,23-31,12.0,185,45,4.1,6-58,2,2,0,34:35,,,,Toledo,away,31,400869265,2016,1,regular
3,,,,0,115,0,4,3,0,1,4,0,52,1,6,4,15,4-10,2-3,319,196,15-22,8.9,123,31,4.0,2-20,1,1,0,20:56,,,,Northwestern,home,21,400869267,2016,1,regular
1,,,,1,13,0,1,10,1,0,6,0,38,3,6,3,27,7-17,4-4,416,218,26-36,6.1,198,48,4.1,3-30,0,0,0,39:04,,,,Western Michigan,away,22,400869267,2016,1,regular
1,0,0,1,1,142,0,6,3,0,2,2,1,47,1,0,5,19,7-15,0-1,272,195,25-40,4.9,77,25,3.1,6-52,2,1,1,24:04,50,1,2,Georgia State,home,21,400869258,2016,1,regular
4,27,0,2,0,48,0,2,7,1,,6,0,44,2,0,1,22,7-18,2-3,455,130,15-29,4.5,325,52,6.3,5-39,2,0,2,35:56,11,0,1,Ball State,away,31,400869258,2016,1,regular
1,,,,1,139,0,8,2,0,3,3,0,32,0,2,2,17,4-13,0-1,169,146,19-38,3.8,23,32,0.7,11-66,2,2,0,31:36,0,0,1,Mississippi Valley State,away,14,400869263,2016,1,regular
5,5,0,1,3,146,0,4,11,2,0,9,0,26,4,10,6,24,5-11,1-1,479,198,17-24,8.3,281,44,6.4,6-100,1,0,1,28:24,,,,Eastern Michigan,home,61,400869263,2016,1,regular
0,16,0,2,0,92,0,6,3,0,1,4,0,44,4,0,4,6,1-14,0-0,126,82,10-22,3.7,44,33,1.3,6-60,3,1,2,27:55,4,0,2,Presbyterian College,away,3,400869257,2016,1,regular
5,26,0,1,1,11,0,1,7,1,0,10,1,46,2,3,4,23,3-9,0-0,492,237,16-27,8.8,255,38,6.7,7-56,2,0,2,32:05,27,1,2,Central Michigan,home,49,400869257,2016,1,regular
3,-1,0,5,2,95,0,3,10,1,1,7,0,47,1,0,6,28,7-18,1-1,488,245,19-29,8.4,243,56,4.3,10-100,0,0,0,35:39,,,,Wyoming,home,40,400869178,2016,1,regular
2,23,0,3,3,70,0,3,4,0,1,7,0,47,0,0,3,20,6-18,1-2,462,329,24-39,8.4,133,37,3.6,12-106,1,1,0,24:21,,,,Northern Illinois,away,34,400869178,2016,1,regular
1,,,,2,123,0,5,2,1,0,4,0,52,3,1,4,12,1-11,0-0,238,113,14-21,5.4,125,33,3.8,9-79,0,0,0,27:08,34,0,3,Albany,away,22,400869259,2016,1,regular
0,20,0,4,1,46,0,2,10,0,1,6,0,32,2,2,4,23,5-17,1-2,403,177,17-34,5.2,226,48,4.7,9-83,4,1,3,32:52,,,,Buffalo,home,16,400869259,2016,1,regular
2,15,0,1,0,56,0,2,5,2,1,4,0,37,1,0,2,12,6-15,2-2,238,119,8-15,7.9,119,44,2.7,3-29,1,1,0,30:18,11,0,1,Georgia Tech,away,17,400869424,2016,1,regular
2,29,0,2,0,,,,2,1,2,9,0,47,1,1,0,15,6-14,0-0,320,144,11-17,8.5,176,37,4.8,7-39,3,2,1,29:42,,,,Boston College,home,14,400869424,2016,1,regular
1,,,,1,118,0,5,2,0,,2,0,76,2,0,0,10,1-8,0-0,168,106,10-19,5.6,62,28,2.2,8-70,2,0,2,24:47,9,0,1,William & Mary,away,14,400869422,2016,1,regular
5,13,0,1,2,25,0,1,6,0,1,6,0,40,1,4,1,28,10-16,1-2,521,262,23-30,8.7,259,57,4.5,7-80,1,0,1,35:13,20,0,2,NC State,home,48,400869422,2016,1,regular
0,10,0,2,0,22,0,1,3,0,1,5,0,31,1,0,3,14,8-20,1-4,280,134,12-23,5.8,146,47,3.1,4-30,1,1,0,34:56,,,,Tulane,away,3,400869421,2016,1,regular
1,2,0,2,0,30,0,1,1,1,0,7,0,45,4,4,2,10,7-15,0-0,175,96,12-21,4.6,79,34,2.3,5-45,0,0,0,25:04,,,,Wake Forest,home,7,400869421,2016,1,regular
1,-2,0,1,0,,,,1,4,1,3,0,48,1,10,3,11,2-15,1-2,160,70,9-27,2.6,90,35,2.6,13-75,4,1,3,26:18,,,,Liberty,away,13,400869428,2016,1,regular
0,8,0,6,4,61,0,2,10,1,6,2,0,28,1,5,5,24,10-20,1-1,458,252,25-41,6.1,206,48,4.3,4-33,4,4,0,33:42,15,0,3,Virginia Tech,home,36,400869428,2016,1,regular
0,6,0,1,0,136,0,9,3,1,2,3,0,36,1,0,0,13,4-16,0-1,197,175,15-27,6.5,22,42,0.5,9-84,2,0,2,37:33,,,,Florida A&M,away,3,400869718,2016,1,regular
5,77,1,5,4,,,,10,0,1,15,1,54,3,2,2,22,7-11,1-1,523,150,13-21,7.1,373,36,10.4,6-54,1,1,0,22:27,48,0,2,Miami,home,70,400869718,2016,1,regular
1,,,,3,21,0,2,13,3,3,6,0,37,3,0,1,24,10-17,0-0,524,337,24-35,9.6,187,41,4.6,8-70,0,0,0,39:46,0,0,1,Richmond,away,37,400869427,2016,1,regular
0,11,0,2,3,121,0,8,2,0,3,6,0,40,2,0,4,19,2-10,2-3,302,264,26-34,7.8,38,21,1.8,0-0,4,3,1,20:14,,,,Virginia,home,20,400869427,2016,1,regular
0,,,,0,95,0,6,6,5,1,6,0,49,1,2,1,4,1-16,0-0,112,74,7-25,3.0,38,29,1.3,9-80,2,1,1,24:48,,,,North Carolina Central,away,6,400869425,2016,1,regular
4,40,0,5,3,50,0,2,7,1,6,8,0,31,5,2,4,29,7-15,2-4,535,227,16-26,8.7,308,63,4.9,10-85,5,5,0,35:12,0,0,1,Duke,home,49,400869425,2016,1,regular
1,,,,0,74,0,5,7,0,,4,0,47,1,0,0,16,3-9,1-2,251,168,12-26,6.5,83,28,3.0,5-35,3,0,3,24:12,,,,Temple,home,13,400868910,2016,1,regular
4,,,,0,39,0,2,4,0,1,6,0,31,4,0,2,25,7-14,2-2,344,15,2-5,3.0,329,67,4.9,5-34,0,0,0,35:48,29,0,3,Army,away,28,400868910,2016,1,regular
3,2,0,3,7,17,0,1,11,0,3,5,1,40,2,2,5,41,11-13,0-1,776,417,27-39,10.7,359,55,6.5,9-66,1,0,1,38:35,119,1,3,Ohio State,home,77,400869260,2016,1,regular
0,,,,0,106,0,6,4,0,,0,1,52,0,1,2,16,3-16,2-3,244,175,21-44,4.0,69,28,2.5,5-45,3,0,3,21:25,63,1,1,Bowling Green,away,10,400869260,2016,1,regular
1,15,0,2,0,150,0,9,1,1,5,8,0,40,3,3,1,12,1-12,0-3,203,106,4-14,7.6,97,46,2.1,6-47,4,4,0,29:07,,,,Southeastern Louisiana,away,7,400869619,2016,1,regular
4,60,0,2,2,11,0,1,13,4,2,12,0,45,3,1,3,23,6-12,0-0,397,253,25-35,7.2,144,38,3.8,5-55,1,1,0,30:53,,,,Oklahoma State,home,61,400869619,2016,1,regular
2,16,0,2,1,39,0,3,6,0,2,10,0,38,7,7,10,13,6-12,0-0,272,167,15-19,8.8,105,30,3.5,4-26,1,1,0,29:02,26,0,2,Stanford,home,26,400869094,2016,1,regular
0,23,0,2,1,45,0,2,7,1,0,8,0,31,2,1,1,18,8-18,2-4,335,243,19-41,5.9,92,32,2.9,8-44,2,0,2,30:58,,,,Kansas State,away,13,400869094,2016,1,regular
1,,,,0,79,0,5,1,1,2,2,0,49,0,0,3,9,1-15,1-1,78,31,5-19,1.6,47,40,1.2,7-37,0,0,0,31:45,,,,Northwestern State,away,7,400868876,2016,1,regular
2,95,0,6,5,,,,13,0,1,15,0,41,2,6,3,23,7-15,1-1,498,223,19-29,7.7,275,43,6.4,12-93,1,1,0,28:15,,,,Baylor,home,55,400868876,2016,1,regular
0,,,,2,54,0,3,15,2,1,9,0,36,5,7,1,25,9-18,0-0,410,321,23-40,8.0,89,40,2.2,7-75,1,1,0,35:06,,,,Houston,home,33,400869507,2016,1,regular
1,10,0,1,2,64,0,3,5,1,3,11,0,51,2,5,1,17,7-14,0-1,393,323,24-34,9.5,70,26,2.7,5-66,2,2,0,24:54,,,,Oklahoma,away,23,400869507,2016,1,regular
2,,,,1,57,0,2,5,1,2,7,0,34,3,0,2,22,4-17,1-1,367,135,15-27,5.0,232,58,4.0,5-65,1,1,0,35:56,29,0,2,Northern Iowa,away,25,400868887,2016,1,regular
0,44,0,4,3,53,0,2,2,1,2,11,0,56,3,1,5,16,3-11,0-0,307,256,18-28,9.1,51,25,2.0,9-89,4,2,2,24:04,,,,Iowa State,home,20,400868887,2016,1,regular
0,36,0,1,2,146,0,7,5,0,2,5,0,59,2,3,3,24,5-17,0-2,370,312,31-55,5.7,58,35,1.7,3-25,3,1,2,29:53,0,0,1,Stephen F. Austin,away,17,400869625,2016,1,regular
4,75,0,4,5,42,0,2,15,1,0,9,0,62,5,4,5,37,7-15,0-1,758,633,48-71,8.9,125,28,4.5,7-42,1,0,1,30:07,0,0,2,Texas Tech,home,69,400869625,2016,1,regular
0,-2,0,1,1,52,0,4,0,1,2,2,0,44,0,2,1,13,4-15,0-1,219,49,6-23,2.1,170,40,4.3,5-30,3,2,1,32:45,12,0,1,Rhode Island,away,6,400869597,2016,1,regular
2,17,0,2,6,41,0,2,7,2,1,5,0,41,1,3,8,28,6-11,1-1,570,399,28-38,10.5,171,35,4.9,4-37,2,1,1,27:15,0,0,1,Kansas,home,55,400869597,2016,1,regular
2,7,0,2,3,106,0,6,11,0,2,1,0,49,0,3,4,23,6-14,0-0,461,333,19-31,10.7,128,34,3.8,5-31,1,1,0,31:39,11,0,2,South Dakota State,away,41,400869624,2016,1,regular
5,92,1,3,2,64,0,4,11,1,0,6,1,37,4,2,2,35,11-15,0-0,662,439,33-50,8.8,223,37,6.0,12-125,2,0,2,28:21,,,,TCU,home,59,400869624,2016,1,regular
0,2,0,1,1,59,0,3,3,1,1,6,0,69,0,0,1,26,10-24,1-3,462,282,24-53,5.3,180,47,3.8,6-51,1,1,0,25:47,-4,0,2,Missouri,away,11,400868976,2016,1,regular
2,7,0,4,0,64,0,2,14,1,1,3,0,65,1,0,6,24,6-16,0-0,494,253,23-37,6.8,241,48,5.0,4-45,3,1,2,34:13,,,,West Virginia,home,26,400868976,2016,1,regular
1,32,0,5,1,33,0,2,10,1,2,2,0,41,0,1,5,28,5-18,1-2,468,343,26-47,7.3,125,40,3.1,4-17,3,0,3,33:18,0,0,1,UCLA,away,24,400868978,2016,1,regular
3,17,0,1,1,136,0,6,7,0,1,10,0,48,5,7,2,23,4-15,1-2,442,239,22-42,5.7,203,41,5.0,6-67,2,1,1,26:42,13,0,3,Texas A&M,home,31,400868978,2016,1,regular
0,9,0,1,1,125,0,6,1,1,0,8,0,51,3,0,2,11,5-16,0-0,143,98,11-24,4.1,45,32,1.4,3-35,0,0,0,29:34,,,,Colgate,away,7,400869423,2016,1,regular
1,21,0,2,2,32,0,2,15,0,1,6,0,39,3,0,1,25,8-18,3-3,554,437,40-46,9.5,117,35,3.3,6-55,1,1,0,30:26,,,,Syracuse,home,33,400869423,2016,1,regular
0,13,0,1,0,56,0,4,1,1,2,7,0,37,1,6,2,14,4-16,0-2,172,119,16-32,3.7,53,33,1.6,7-55,2,1,1,30:17,,,,Villanova,away,7,400869426,2016,1,regular
1,58,0,4,2,118,1,2,4,1,1,8,1,41,6,11,5,17,6-15,0-0,261,175,19-33,5.3,86,34,2.5,3-40,1,1,0,29:43,0,0,1,Pittsburgh,home,28,400869426,2016,1,regular
1,,,,0,28,0,3,0,0,1,6,0,23,0,0,4,16,8-19,0-0,245,137,15-27,5.1,108,41,2.6,2-15,1,0,1,34:50,,,,Weber State,away,6,400869173,2016,1,regular
6,28,0,2,0,38,0,2,9,0,,8,0,28,2,1,3,23,9-12,0-0,528,100,11-17,5.9,428,44,9.7,4-30,0,0,0,25:10,0,0,1,Utah State,home,45,400869173,2016,1,regular
0,,,,1,75,0,3,4,1,2,5,0,39,1,1,3,18,7-18,0-2,267,186,21-33,5.6,81,40,2.0,10-71,0,0,0,30:46,,,,Louisiana,home,10,400869176,2016,1,regular
3,2,0,2,3,15,0,1,9,0,1,12,0,40,5,0,1,28,7-13,1-1,584,426,24-35,12.2,158,38,4.2,7-60,0,0,0,29:14,,,,Boise State,away,45,400869176,2016,1,regular
4,19,0,2,1,26,0,1,14,2,3,5,1,47,2,3,4,28,12-19,1-1,578,318,23-33,9.6,260,56,4.6,4-35,2,2,0,34:36,34,0,2,Colorado,home,44,400869093,2016,1,regular
0,0,0,1,1,35,0,1,1,1,2,4,0,76,1,1,2,12,5-16,1-3,225,63,12-29,2.2,162,35,4.6,2-15,4,2,2,25:24,,,,Colorado State,away,7,400869093,2016,1,regular
2,-2,0,1,1,13,0,1,3,1,2,8,0,43,2,0,1,16,7-14,1-2,323,140,14-21,6.7,183,43,4.3,2-15,3,2,1,25:03,,,,South Dakota,away,21,400869177,2016,1,regular
4,37,0,3,2,26,0,2,12,2,1,6,0,39,3,0,1,24,8-14,0-0,615,187,13-19,9.8,428,49,8.7,4-30,1,1,0,34:57,0,0,1,New Mexico,home,48,400869177,2016,1,regular
0,11,0,3,3,27,0,1,3,2,0,4,0,55,1,0,1,16,7-17,0-0,360,274,16-33,8.3,86,31,2.8,8-59,0,0,0,25:32,,,,Abilene Christian,away,21,400869175,2016,1,regular
2,,,,3,43,0,2,7,0,3,4,0,28,2,0,4,29,6-13,0-0,602,201,6-11,18.3,401,69,5.8,7-72,2,2,0,34:28,,,,Air Force,home,37,400869175,2016,1,regular
5,,,,1,32,0,1,5,1,1,6,0,31,4,0,1,20,5-11,1-1,406,114,6-13,8.8,292,51,5.7,7-80,0,0,0,31:53,8,0,2,Nebraska,home,43,400869179,2016,1,regular
0,17,0,2,1,102,0,5,4,0,,0,0,27,0,0,2,17,5-15,1-2,274,243,24-43,5.7,31,26,1.2,6-29,2,0,2,28:07,,,,Fresno State,away,10,400869179,2016,1,regular
0,18,0,2,0,28,0,2,,0,,2,0,44,2,0,1,8,0-14,1-1,141,70,7-20,3.5,71,31,2.3,8-49,1,0,1,25:31,,,,New Hampshire,away,0,400869182,2016,1,regular
2,16,0,3,2,9,0,1,7,0,,7,0,29,4,0,6,19,5-15,0-0,461,291,17-26,11.2,170,41,4.1,9-70,0,0,0,34:29,0,0,1,San Diego State,home,31,400869182,2016,1,regular
0,,,,1,28,0,2,7,1,2,4,0,44,0,0,0,17,5-16,1-2,252,144,17-43,3.3,108,35,3.1,2-10,3,1,2,31:49,,,,Jackson State,away,13,400869174,2016,1,regular
4,-7,0,1,3,113,0,4,18,1,2,5,1,34,1,0,6,21,4-8,0-1,503,223,11-13,17.2,280,44,6.4,6-61,1,1,0,28:11,43,1,2,UNLV,home,63,400869174,2016,1,regular
3,11,0,2,1,,,,9,2,0,7,1,33,4,1,8,28,7-16,1-1,512,207,13-25,8.3,305,58,5.3,2-25,0,0,0,31:51,24,1,1,Tulsa,home,45,400869183,2016,1,regular
0,-6,0,1,1,114,0,4,4,0,2,4,0,44,4,0,3,13,7-16,0-1,287,234,16-29,8.1,53,32,1.7,4-30,3,2,1,28:09,,,,San José State,away,10,400869183,2016,1,regular
3,,,,0,63,0,3,9,0,5,8,0,40,2,0,0,23,10-20,3-4,445,62,5-12,5.2,383,71,5.4,9-75,1,1,0,36:09,,,,Cal Poly,away,27,400869181,2016,1,regular
2,,,,2,16,0,1,6,1,0,5,0,57,0,0,2,18,7-14,1-1,363,189,17-24,7.9,174,34,5.1,4-40,0,0,0,23:51,,,,Nevada,home,30,400869181,2016,1,regular
2,1,0,2,4,125,0,4,15,3,0,3,0,27,0,0,5,31,8-17,2-2,630,441,38-54,8.2,189,35,5.4,6-80,0,0,0,30:53,3,0,1,California,home,51,400869090,2016,1,regular
3,,,,1,145,0,8,7,0,4,4,0,55,2,2,2,26,8-14,1-1,482,234,17-34,6.9,248,38,6.5,6-52,3,2,1,29:07,,,,Hawai'i,away,31,400869090,2016,1,regular
4,28,0,2,3,20,0,2,9,0,,10,2,39,4,1,3,26,7-7,0-0,512,206,17-20,10.3,306,39,7.8,3-33,1,0,1,27:55,78,2,2,Michigan,home,63,400869180,2016,1,regular
0,,,,0,123,0,6,3,0,2,4,0,43,0,0,1,16,1-11,1-2,232,151,12-23,6.6,81,37,2.2,8-60,2,0,2,32:05,0,0,1,Hawai'i,away,3,400869180,2016,1,regular
0,0,0,1,1,189,0,10,2,2,1,1,0,39,0,2,0,12,0-13,1-2,208,160,18-32,5.0,48,31,1.5,13-118,1,1,0,30:06,5,0,1,Charlotte,away,14,400869341,2016,1,regular
2,-3,0,3,8,65,0,3,10,1,2,7,0,48,4,0,3,37,4-7,0-0,663,391,26-35,11.2,272,35,7.8,10-49,3,2,1,29:54,,,,Louisville,home,70,400869341,2016,1,regular
1,5,0,1,0,25,0,1,7,1,2,4,0,30,2,1,2,18,3-14,2-3,226,139,16-31,4.5,87,33,2.6,4-34,1,0,1,29:31,2,0,1,Furman,away,13,400869651,2016,1,regular
1,23,0,4,3,70,0,3,4,0,1,4,0,24,1,5,6,19,4-10,0-0,361,190,13-18,10.6,171,40,4.3,10-120,2,1,1,30:29,0,0,1,Michigan State,home,28,400869651,2016,1,regular
0,2,0,1,2,142,0,8,2,0,3,5,0,48,1,0,2,15,5-15,0-0,269,200,18-29,6.9,69,35,2.0,7-65,0,0,0,33:00,,,,Howard,away,13,400869653,2016,1,regular
6,21,1,2,0,22,0,1,10,0,,9,1,39,2,0,2,25,7-12,0-1,519,204,20-29,7.0,315,44,7.2,2-25,0,0,0,27:00,,,,Maryland,home,52,400869653,2016,1,regular
0,85,1,3,4,129,1,3,12,2,0,7,2,57,3,0,2,17,3-12,1-2,380,289,20-29,10.0,91,30,3.0,3-30,1,0,1,26:45,46,0,1,Washington,home,48,400869097,2016,1,regular
1,,,,0,76,0,3,7,0,3,6,0,39,2,0,3,21,5-20,2-3,304,168,24-40,4.2,136,48,2.8,4-35,3,2,1,33:15,0,0,1,Rutgers,away,13,400869097,2016,1,regular
1,7,0,1,0,59,0,3,7,1,0,4,0,56,2,0,3,16,4-14,1-2,331,268,24-47,5.7,63,21,3.0,6-36,3,0,3,26:40,,,,Florida International,home,13,400869342,2016,1,regular
1,,,,1,101,0,5,6,0,2,2,2,34,1,0,7,26,6-15,1-2,486,240,18-28,8.6,246,52,4.7,9-74,1,1,0,33:20,50,2,3,Indiana,away,34,400869342,2016,1,regular
0,4,0,3,3,55,0,3,3,1,2,3,0,42,0,0,5,18,10-19,0-2,317,228,25-40,5.7,89,34,2.6,4-55,2,2,0,30:27,,,,Oregon State,away,23,400869092,2016,1,regular
4,0,0,1,0,96,0,4,6,2,3,9,0,49,4,0,8,21,8-17,1-1,280,130,13-27,4.8,150,47,3.2,8-70,1,1,0,29:33,,,,Minnesota,home,30,400869092,2016,1,regular
0,-1,0,1,0,68,0,4,3,0,1,3,0,23,2,2,2,13,4-16,0-0,165,175,21-35,5.0,-10,26,-0.4,4-29,3,1,2,26:32,,,,Murray State,away,3,400869652,2016,1,regular
4,20,0,3,3,8,0,1,10,1,1,11,0,31,6,3,2,21,6-12,1-1,515,228,16-24,9.5,287,40,7.2,7-55,0,0,0,33:28,-2,0,2,Illinois,home,52,400869652,2016,1,regular
1,16,0,2,2,160,0,7,4,0,1,0,0,51,0,0,4,22,10-20,1-1,387,222,20-37,6.0,165,42,3.9,4-39,4,1,3,27:45,0,0,1,Eastern Kentucky,away,24,400869578,2016,1,regular
4,-6,0,2,1,76,0,3,9,1,2,1,1,52,0,1,1,25,8-17,1-2,512,251,26-44,5.7,261,39,6.7,2-17,1,0,1,32:15,95,1,3,Purdue,home,45,400869578,2016,1,regular
