fumblesRecovered,rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,firstDowns,thirdDownEff,fourthDownEff,totalYards,netPassingYards,completionAttempts,yardsPerPass,rushingYards,rushingAttempts,yardsPerRushAttempt,totalPenaltiesYards,turnovers,fumblesLost,interceptions,possessionTime,team,home_away,points,game_id,season,week,season_type
3,5,11,0,1,1,13,0,1,8,0,0,1,27,7-10,0-0,490,197,16-23,8.6,293,46,6.4,4-30,1,0,1,33:37,Notre Dame,away,50,322452426,2012,1,regular
0,0,,,,1,164,0,7,4,5,0,1,19,4-9,0-1,341,192,14-20,9.6,149,40,3.7,2-15,4,3,1,26:23,Navy,home,10,322452426,2012,1,regular
2,1,134,1,2,3,49,0,3,6,49,0,1,21,5-14,0-2,337,213,22-32,6.7,124,40,3.1,7-77,1,1,0,27:20,Northwestern,away,42,322450183,2012,1,regular
1,1,0,0,1,4,102,0,5,9,,,,33,12-20,1-1,596,482,45-66,7.3,114,29,3.9,11-63,3,2,1,32:40,Syracuse,home,41,322450183,2012,1,regular
2,1,,,,3,56,0,3,7,,,,23,11-16,1-1,381,177,14-24,7.4,204,46,4.4,1-8,0,0,0,35:10,Youngstown State,away,31,322450221,2012,1,regular
0,1,22,0,2,1,90,0,3,5,,,,17,7-13,1-2,369,239,19-30,8.0,130,28,4.6,2-30,2,2,0,24:50,Pittsburgh,home,17,322450221,2012,1,regular
0,0,3,0,1,1,90,0,4,6,23,0,1,19,8-16,0-1,262,254,34-48,5.3,8,16,0.5,11-120,1,0,1,33:09,Tulane,home,12,322452655,2012,1,regular
0,1,10,0,3,1,55,0,1,6,14,1,1,16,4-13,0-1,309,158,11-20,7.9,151,35,4.3,9-72,1,0,1,26:51,Rutgers,away,24,322452655,2012,1,regular
1,0,36,0,4,2,50,0,2,5,,,,17,5-16,1-3,245,187,22-41,4.6,58,29,2.0,7-60,2,2,0,40:42,Colorado,home,17,322450038,2012,1,regular
2,0,6,0,2,2,104,0,4,10,,,,19,5-15,0-1,298,173,14-21,8.2,125,44,2.8,8-89,1,1,0,33:02,Colorado State,away,22,322450038,2012,1,regular
0,4,14,0,1,1,59,0,3,7,21,0,2,22,9-17,2-2,436,156,20-28,5.6,280,47,6.0,3-35,1,1,0,35:15,Texas,home,37,322450251,2012,1,regular
1,0,3,0,1,2,44,0,4,3,,,,15,1-11,2-3,345,276,16-28,9.9,69,30,2.3,5-45,2,0,2,24:32,Wyoming,away,17,322450251,2012,1,regular
2,1,,,,1,47,0,3,3,34,0,1,22,9-15,0-0,328,222,25-35,6.3,106,31,3.4,4-46,1,1,0,30:38,Washington,home,21,322450264,2012,1,regular
1,1,,,,1,110,0,4,,,,,16,6-13,2-3,327,128,10-19,6.7,199,40,5.0,4-40,3,2,1,28:35,San Diego State,away,12,322450264,2012,1,regular
0,1,,,,2,119,0,4,1,,,,14,7-13,0-1,320,242,20-34,7.1,78,30,2.6,10-60,4,2,2,30:54,Southern,away,21,322450167,2012,1,regular
2,5,,,,1,98,1,1,12,56,1,2,24,6-10,0-2,417,70,7-10,7.0,347,51,6.8,1-5,0,0,0,28:50,New Mexico,home,66,322450167,2012,1,regular
0,1,,,,2,42,0,2,3,,,,24,9-17,2-3,431,365,42-53,6.9,66,28,2.4,1-15,1,0,1,35:16,Idaho State,away,21,322452005,2012,1,regular
0,7,,,,0,52,0,2,7,22,0,1,27,5-12,4-4,626,142,8-11,12.9,484,58,8.3,4-47,0,0,0,24:30,Air Force,home,49,322452005,2012,1,regular
0,1,13,0,3,2,59,0,4,12,-2,0,3,22,3-15,0-0,478,269,17-30,9.0,209,46,4.5,11-86,2,1,1,43:16,Minnesota,away,30,322432439,2012,1,regular
1,2,8,0,1,1,22,0,2,9,44,0,1,18,6-17,1-1,275,116,16-35,3.3,159,37,4.3,7-54,3,0,3,26:50,UNLV,home,27,322432439,2012,1,regular
2,1,42,0,3,2,86,0,4,9,0,0,1,24,3-11,0-0,450,152,12-19,8.0,298,51,5.8,9-69,0,0,0,36:05,McNeese,away,27,322432393,2012,1,regular
0,0,26,0,3,2,241,0,6,7,,,,20,6-14,2-2,343,240,27-41,5.9,103,27,3.8,6-50,3,2,1,35:27,Middle Tennessee,home,21,322432393,2012,1,regular
1,3,75,1,4,1,26,0,1,11,0,0,1,26,7-14,0-0,508,192,19-26,7.4,316,46,6.9,10-55,1,0,1,31:33,LSU,home,41,322450099,2012,1,regular
0,0,,,,2,74,0,4,2,0,0,1,9,5-15,0-0,219,143,8-21,6.8,76,35,2.2,5-46,2,1,1,27:56,North Texas,away,14,322450099,2012,1,regular
1,0,,,,0,97,0,5,,20,0,2,3,3-15,0-0,59,56,9-23,2.4,3,24,0.1,5-29,1,0,1,23:23,UMass,away,0,322430041,2012,1,regular
0,2,87,1,5,0,37,0,1,13,37,1,1,16,8-16,0-0,372,225,16-27,8.3,147,43,3.4,4-30,3,1,2,36:37,Connecticut,home,37,322430041,2012,1,regular
1,0,12,0,2,0,33,0,2,6,32,0,3,15,6-16,0-1,229,125,10-23,5.4,104,41,2.5,1-10,2,1,1,30:48,William & Mary,away,6,322450120,2012,1,regular
1,1,50,0,3,0,,,,1,4,0,1,13,3-10,0-0,236,145,16-24,6.0,91,33,2.8,4-51,4,1,3,29:12,Maryland,home,7,322450120,2012,1,regular
0,0,22,0,3,2,120,0,4,2,,,,24,7-13,0-3,373,280,35-51,5.5,93,19,4.9,3-17,2,2,0,23:39,Kentucky,away,14,322460097,2012,1,regular
2,4,-9,0,1,0,15,0,1,6,,,,26,6-12,1-1,466,247,22-26,9.5,219,46,4.8,6-42,0,0,0,36:21,Louisville,home,32,322460097,2012,1,regular
1,1,-1,0,2,0,15,0,1,7,43,0,1,11,2-15,1-1,151,102,13-18,5.7,49,45,1.1,11-95,0,0,0,34:19,Chattanooga,away,13,322450058,2012,1,regular
