fumblesRecovered,rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,firstDowns,thirdDownEff,fourthDownEff,totalYards,netPassingYards,completionAttempts,yardsPerPass,rushingYards,rushingAttempts,yardsPerRushAttempt,totalPenaltiesYards,turnovers,fumblesLost,interceptions,possessionTime,interceptionYards,interceptionTDs,passesIntercepted,team,home_away,points,game_id,season,week,season_type
1,1,11,0,2,2,15,0,1,3,20,2-11,0-1,328,175,18-31,5.6,153,29,5.3,4-40,1,0,1,27:17,,,,Arkansas,away,21,400548398,2014,1,regular
1,3,-3,0,1,0,31,0,2,6,14,4-15,1-1,318,50,8-24,2.1,268,39,6.9,3-26,2,0,2,28:14,,,,Wisconsin,away,24,400548000,2014,1,regular
0,1,16,0,3,2,117,0,5,8,17,6-17,1-1,365,239,9-21,11.4,126,47,2.7,7-50,1,1,0,31:46,8,0,2,LSU,home,28,400548000,2014,1,regular
0,3,36,0,3,3,109,0,4,6,20,4-12,1-3,432,261,20-32,8.2,171,36,4.8,9-98,1,1,0,24:55,22,0,1,Marshall,away,42,400548005,2014,1,regular
1,0,108,0,2,3,77,0,5,9,22,5-19,1-5,418,318,24-49,6.5,100,36,2.8,12-107,1,0,1,34:46,,,,Miami (OH),home,27,400548005,2014,1,regular
4,0,15,0,3,2,41,0,2,2,17,6-14,0-0,295,264,30-41,6.4,31,22,1.4,8-44,0,0,0,30:20,,,,Kent State,home,14,400548097,2014,1,regular
0,0,18,0,1,2,,,,5,20,7-14,2-2,437,262,18-24,10.9,175,44,4.0,1-5,4,4,0,29:40,,,,Ohio,away,17,400548097,2014,1,regular
0,0,3,0,1,0,75,0,4,,15,3-18,1-3,216,68,12-26,2.6,148,51,2.9,5-48,1,1,0,33:25,,,,Howard,away,0,400548090,2014,1,regular
1,1,35,0,2,5,,,,5,24,5-12,0-2,513,400,28-44,9.1,113,28,4.0,7-70,0,0,0,26:35,,,,Akron,home,41,400548090,2014,1,regular
0,1,0,0,1,2,33,0,2,2,24,10-17,0-1,375,338,31-45,7.5,37,31,1.2,6-33,1,0,1,31:05,,,,New Hampshire,away,20,400548096,2014,1,regular
0,3,0,0,1,4,34,0,2,12,34,9-13,0-0,666,360,25-35,10.3,306,45,6.8,3-37,0,0,0,28:55,0,0,1,Toledo,home,54,400548096,2014,1,regular
0,3,63,0,2,2,43,0,2,13,22,7-17,1-2,407,181,19-38,4.8,226,39,5.8,7-52,0,0,0,29:04,56,0,1,Purdue,home,43,400547988,2014,1,regular
0,3,,,,2,23,0,1,4,24,5-14,0-2,456,243,23-41,5.9,213,32,6.7,5-35,1,0,1,30:56,,,,Western Michigan,away,34,400547988,2014,1,regular
0,1,,,,0,49,0,2,4,9,2-13,1-2,227,137,14-26,5.3,90,28,3.2,4-58,0,0,0,23:39,0,0,1,Colgate,away,10,400548093,2014,1,regular
0,1,14,0,3,2,49,0,2,12,29,8-16,0-0,514,203,20-32,6.3,311,53,5.9,5-40,1,0,1,36:21,,,,Ball State,home,30,400548093,2014,1,regular
1,0,,,,2,48,0,3,4,14,3-11,0-0,256,150,13-24,6.3,106,29,3.7,5-54,4,0,4,23:07,,,,Chattanooga,away,16,400548092,2014,1,regular
0,1,67,0,3,2,64,0,3,2,19,5-15,0-2,321,173,15-26,6.7,148,46,3.2,7-55,1,1,0,36:36,2,0,4,Central Michigan,home,20,400548092,2014,1,regular
0,0,,,,0,142,0,9,3,6,1-12,0-0,127,58,10-18,3.2,69,31,2.2,2-12,3,2,1,26:19,,,,Presbyterian College,away,3,400548091,2014,1,regular
2,5,30,0,3,2,42,0,2,13,36,14-22,1-1,635,211,19-32,6.6,424,77,5.5,6-55,0,0,0,33:41,10,0,1,Northern Illinois,home,55,400548091,2014,1,regular
1,1,34,0,2,3,89,0,4,4,18,6-16,2-2,373,322,18-37,8.7,51,33,1.5,3-45,1,1,0,25:19,0,0,1,Duquesne,away,28,400548094,2014,1,regular
1,2,0,0,1,3,61,0,3,8,26,11-20,2-2,472,298,25-36,8.3,174,49,3.6,3-31,2,1,1,45:36,,,,Buffalo,home,38,400548094,2014,1,regular
0,3,32,0,2,1,159,0,7,7,22,8-16,0-1,364,203,15-28,7.3,161,42,3.8,7-70,2,1,1,26:55,14,0,2,Oklahoma State,home,31,400547762,2014,1,regular
1,2,2,0,1,1,19,0,2,13,23,4-14,0-1,476,370,25-40,9.3,106,31,3.4,8-71,2,0,2,33:05,9,1,1,Florida State,away,37,400547762,2014,1,regular
0,1,12,0,3,1,41,0,3,11,18,6-14,0-1,438,192,10-17,11.3,246,47,5.2,3-35,1,1,0,32:27,28,0,1,Georgia Southern,away,23,400547802,2014,1,regular
1,0,33,0,2,3,,,,6,26,7-15,0-1,464,291,28-40,7.3,173,35,4.9,4-20,1,0,1,27:33,,,,NC State,home,24,400547802,2014,1,regular
0,1,,,,0,52,0,2,5,21,9-21,1-2,352,189,23-41,4.6,163,44,3.7,5-25,1,1,0,35:23,31,1,1,Louisiana Monroe,home,17,400547829,2014,1,regular
1,0,35,1,2,0,14,0,1,4,5,3-14,0-0,94,97,12-22,4.4,-3,27,-0.1,8-51,1,0,1,24:37,,,,Wake Forest,away,10,400547829,2014,1,regular
1,0,4,0,1,0,95,0,4,9,12,1-12,0-0,193,117,9-23,5.1,76,28,2.7,4-26,2,2,0,27:06,0,0,1,William & Mary,away,9,400547825,2014,1,regular
2,2,25,0,3,2,56,0,3,10,24,8-15,0-0,488,266,24-31,8.6,222,42,5.3,10-75,2,1,1,32:38,,,,Virginia Tech,home,34,400547825,2014,1,regular
1,1,6,0,2,2,132,1,3,7,21,7-15,2-2,336,206,20-28,7.4,130,43,3.0,7-57,2,2,0,33:03,65,0,2,Louisville,home,31,400547786,2014,1,regular
2,0,22,0,2,1,57,0,2,7,12,1-13,1-2,244,174,17-29,6.0,70,27,2.6,7-46,3,1,2,26:43,,,,Miami,away,13,400547786,2014,1,regular
0,2,3,0,1,0,34,0,1,7,16,5-13,1-2,326,55,7-13,4.2,271,47,5.8,5-46,0,0,0,31:26,,,,Wofford,away,19,400547772,2014,1,regular
0,3,24,0,2,2,140,0,5,8,21,5-10,2-2,508,282,11-16,17.6,226,43,5.3,5-50,0,0,0,27:53,,,,Georgia Tech,home,38,400547772,2014,1,regular
1,3,12,0,1,0,23,0,2,3,15,5-14,0-0,346,189,16-33,5.7,157,41,3.8,2-19,6,4,2,31:54,4,0,3,Liberty,away,29,400547795,2014,1,regular
4,4,70,0,7,3,64,0,4,8,29,9-17,0-1,443,235,29-45,5.2,208,48,4.3,10-60,4,1,3,27:45,19,1,2,North Carolina,home,56,400547795,2014,1,regular
1,1,55,0,4,0,49,0,4,4,16,7-18,0-2,358,242,20-34,7.1,116,39,3.0,12-87,2,2,0,25:30,57,2,2,UCLA,away,28,400547820,2014,1,regular
2,0,0,0,3,2,12,0,1,8,17,9-23,2-3,386,266,29-45,5.9,120,39,3.1,4-20,3,1,2,34:30,,,,Virginia,home,20,400547820,2014,1,regular
0,1,,,,0,174,0,7,7,17,4-14,1-2,328,190,19-38,5.0,138,31,4.5,4-21,0,0,0,27:20,,,,Elon,away,13,400547751,2014,1,regular
0,3,,,,4,98,0,3,10,31,3-12,5-6,567,292,28-42,7.0,275,44,6.3,2-15,0,0,0,32:40,,,,Duke,home,52,400547751,2014,1,regular
0,2,9,0,2,6,57,0,3,11,40,14-18,0-0,708,569,46-56,10.2,139,40,3.5,7-66,0,0,0,35:59,,,,Western Kentucky,home,59,400548003,2014,1,regular
0,3,28,0,1,1,128,0,6,7,26,4-11,0-1,465,313,25-36,8.7,152,35,4.3,11-90,0,0,0,24:01,,,,Bowling Green,away,31,400548003,2014,1,regular
0,2,,,,0,105,0,7,4,14,5-14,0-1,294,225,24-39,5.8,69,21,3.3,10-69,1,1,0,22:15,1,0,1,Stephen F. Austin,away,16,400547839,2014,1,regular
1,4,26,0,1,3,105,0,3,13,29,8-14,2-2,478,238,20-30,7.9,240,51,4.7,3-15,1,0,1,37:45,,,,Kansas State,home,55,400547839,2014,1,regular
1,0,,,,2,36,0,2,4,15,5-15,1-1,245,191,22-36,5.3,54,29,1.9,5-32,1,0,1,31:02,19,0,1,Louisiana Tech,away,16,400547834,2014,1,regular
0,5,35,0,2,1,100,0,3,12,26,5-13,4-4,436,253,19-34,7.4,183,40,4.6,3-34,2,1,1,28:54,0,0,1,Oklahoma,home,48,400547834,2014,1,regular
2,0,7,0,2,0,28,0,1,1,8,3-16,0-1,94,15,3-17,0.9,79,43,1.8,6-56,4,0,4,27:12,,,,North Texas,away,7,400547836,2014,1,regular
0,3,27,0,4,1,18,0,1,8,18,4-15,1-1,353,190,19-34,5.6,163,40,4.1,7-65,2,2,0,32:37,68,1,4,Texas,home,38,400547836,2014,1,regular
0,4,1,0,2,0,29,0,2,10,22,9-15,0-0,506,204,18-28,7.3,302,44,6.9,8-64,0,0,0,35:47,30,0,2,North Dakota State,away,34,400547840,2014,1,regular
0,2,24,0,2,0,41,0,2,2,16,6-13,0-1,253,151,20-31,4.9,102,26,3.9,5-31,2,0,2,24:13,,,,Iowa State,home,14,400547840,2014,1,regular
0,3,,,,1,83,0,5,9,28,5-19,6-6,406,228,24-40,5.7,178,54,3.3,5-34,0,0,0,33:36,38,0,2,Central Arkansas,away,35,400547838,2014,1,regular
0,2,13,0,3,4,102,0,4,6,35,6-11,2-2,636,452,39-53,8.5,184,36,5.1,15-114,2,0,2,26:24,,,,Texas Tech,home,42,400547838,2014,1,regular
1,1,-4,0,1,0,6,0,1,2,9,6-20,0-1,143,56,10-20,2.8,87,47,1.9,3-35,2,1,1,27:45,55,1,1,Samford,away,14,400547837,2014,1,regular
1,3,21,0,6,3,41,0,2,12,33,7-16,2-2,555,355,33-50,7.1,200,46,4.3,4-45,2,1,1,45:58,3,0,1,TCU,home,48,400547837,2014,1,regular
0,2,,,,0,20,0,1,4,15,5-15,0-0,365,246,23-32,7.7,119,32,3.7,5-25,3,1,2,35:24,,,,South Dakota State,away,18,400548401,2014,1,regular
1,1,1,0,3,3,129,1,2,8,19,3-11,2-2,393,178,13-21,8.5,215,39,5.5,5-27,0,0,0,24:36,19,0,2,Missouri,home,38,400548401,2014,1,regular
0,1,80,0,2,1,34,0,2,8,25,12-20,1-1,389,199,16-27,7.4,190,60,3.2,11-93,0,0,0,37:48,,,,Villanova,away,26,400547815,2014,1,regular
0,2,-1,0,1,1,152,0,6,9,21,5-14,1-1,320,184,22-35,5.3,136,34,4.0,7-55,0,0,0,22:24,,,,Syracuse,home,27,400547815,2014,1,regular
1,0,,,,0,74,0,4,,5,1-11,0-1,57,31,9-16,1.9,26,30,0.9,7-40,3,0,3,25:56,,,,Delaware,away,0,400547808,2014,1,regular
0,7,80,0,8,2,14,0,1,8,28,7-9,0-0,501,92,11-14,6.6,409,56,7.3,5-45,1,1,0,34:04,30,0,3,Pittsburgh,home,62,400547808,2014,1,regular
1,0,35,0,4,2,42,0,2,5,22,5-15,1-2,375,241,24-39,6.2,134,34,3.9,6-65,0,0,0,29:17,,,,Colorado,home,17,400548171,2014,1,regular
0,3,,,,1,87,0,3,7,27,5-11,1-1,400,134,13-23,5.8,266,45,5.9,6-63,1,1,0,30:12,,,,Colorado State,away,31,400548171,2014,1,regular
1,0,6,0,2,2,32,0,2,0,16,6-17,1-2,253,211,25-46,4.6,42,19,2.2,3-25,0,0,0,25:06,0,0,1,Montana,away,12,400548179,2014,1,regular
0,2,46,0,4,0,,,,5,18,7-16,0-1,301,92,13-21,4.4,209,46,4.5,1-4,2,1,1,34:54,,,,Wyoming,home,17,400548179,2014,1,regular
2,3,,,,1,48,0,2,7,20,7-14,0-1,446,116,11-22,5.3,330,44,7.5,2-10,0,0,0,31:13,19,0,1,UTEP,away,31,400548011,2014,1,regular
0,3,2,0,2,0,67,0,3,6,20,3-11,1-3,477,67,5-9,7.4,410,52,7.9,3-25,3,2,1,28:47,,,,New Mexico,home,24,400548011,2014,1,regular
0,1,0,0,1,1,21,0,1,4,18,3-12,0-0,263,200,18-31,6.5,63,30,2.1,6-29,0,0,0,28:52,,,,Nicholls,away,16,400548170,2014,1,regular
0,7,4,0,1,0,55,0,3,6,27,6-12,2-3,558,19,3-6,3.2,539,73,7.4,9-109,0,0,0,31:08,,,,Air Force,home,44,400548170,2014,1,regular
0,3,10,0,1,4,43,0,3,10,37,11-18,3-5,701,424,28-41,10.3,277,64,4.3,9-76,2,2,0,38:44,60,0,4,USC,home,52,400548172,2014,1,regular
2,2,,,,0,72,0,4,1,17,2-13,2-3,317,160,18-36,4.4,157,33,4.8,5-47,4,0,4,20:45,,,,Fresno State,away,13,400548172,2014,1,regular
0,1,,,,0,121,0,5,1,14,5-15,0-1,312,188,15-28,6.7,124,36,3.4,4-50,1,0,1,30:05,1,0,1,Northern Arizona,away,7,400548175,2014,1,regular
0,3,85,1,4,1,12,0,2,8,25,6-12,0-0,399,205,18-29,7.1,194,37,5.2,5-29,1,0,1,29:55,64,0,1,San Diego State,home,38,400548175,2014,1,regular
0,3,19,0,4,4,37,0,2,16,32,11-21,3-3,787,434,26-46,9.4,353,48,7.4,7-63,0,0,0,31:25,14,0,1,Arizona,home,58,400548177,2014,1,regular
0,0,,,,1,101,0,4,7,20,4-15,0-1,371,252,22-41,6.1,119,31,3.8,7-64,1,0,1,27:56,,,,UNLV,away,13,400548177,2014,1,regular
0,1,,,,0,123,0,6,4,12,4-12,0-1,244,126,14-20,6.3,118,32,3.7,10-61,2,1,1,28:08,,,,North Dakota,away,10,400553383,2014,1,regular
1,2,73,1,2,3,21,0,1,6,23,7-11,0-1,406,256,23-26,9.8,150,40,3.8,4-40,0,0,0,31:47,4,0,1,San José State,home,42,400553383,2014,1,regular
1,1,6,0,6,1,37,0,2,1,16,3-14,0-0,380,224,25-42,5.3,156,22,7.1,3-20,2,1,1,19:02,85,1,1,Southern Utah,away,19,400548174,2014,1,regular
1,3,17,0,3,1,20,0,1,4,30,14-22,0-0,547,303,30-41,7.4,244,55,4.4,4-19,2,1,1,55:25,8,0,1,Nevada,home,28,400548174,2014,1,regular
0,1,-1,0,2,1,82,0,3,5,19,5-16,0-0,336,162,10-26,6.2,174,48,3.6,5-35,0,0,0,25:49,,,,Washington,away,17,400548173,2014,1,regular
0,1,8,0,2,0,86,0,4,10,26,10-23,1-2,424,207,23-43,4.8,217,54,4.0,5-36,0,0,0,34:11,,,,Hawai'i,home,16,400548173,2014,1,regular
0,0,,,,1,91,0,5,1,14,6-15,0-1,244,222,18-37,6.0,22,25,0.9,7-64,3,0,3,21:55,,,,Jacksonville State,away,7,400547952,2014,1,regular
0,3,11,0,2,3,,,,9,25,6-13,1-1,565,354,18-24,14.8,211,50,4.2,2-13,0,0,0,38:05,19,0,3,Michigan State,home,45,400547952,2014,1,regular
0,1,1,0,1,0,35,0,2,1,16,4-19,3-4,302,141,16-37,3.8,161,44,3.7,9-102,3,1,2,26:10,12,0,1,James Madison,away,7,400547936,2014,1,regular
1,5,35,0,1,2,73,0,2,10,30,9-18,2-2,471,186,18-35,5.3,285,50,5.7,5-35,1,0,1,33:50,2,0,2,Maryland,home,52,400547936,2014,1,regular
0,0,5,0,3,5,155,0,7,8,22,8-13,0-2,538,532,40-56,9.5,6,14,0.4,9-77,2,1,1,26:43,9,0,1,Washington State,home,38,400547993,2014,1,regular
