fumblesRecovered,rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickingPoints,firstDowns,thirdDownEff,fourthDownEff,totalYards,netPassingYards,completionAttempts,yardsPerPass,rushingYards,rushingAttempts,yardsPerRushAttempt,totalPenaltiesYards,turnovers,fumblesLost,interceptions,possessionTime,interceptionYards,interceptionTDs,passesIntercepted,team,home_away,points,game_id,season,week,season_type
0,1,17,0,3,2,6,16,5-13,0-0,334,317,20-32,9.0,47,29,1.6,0-0,2,0,2,15:47,7,0,1,Iowa,home,30,250012294,2004,1,postseason
4,1,45,0,6,2,6,21,6-17,1-1,460,268,19-41,6.4,196,37,5.3,0-0,3,1,2,17:45,,,,Georgia,away,24,250010275,2004,1,postseason
1,0,34,0,4,1,7,14,3-14,1-1,230,206,12-27,6.3,60,35,1.7,0-0,4,4,0,18:55,12,1,2,Wisconsin,home,21,250010275,2004,1,postseason
1,0,2,0,3,4,13,17,5-14,0-0,352,237,18-34,6.7,125,31,4.0,0-0,0,0,0,16:41,23,0,1,Michigan,away,37,250010130,2004,1,postseason
0,4,9,0,4,1,8,25,11-17,0-0,444,185,16-28,6.4,264,46,5.7,0-0,2,1,1,20:00,,,,Texas,home,38,250010130,2004,1,postseason
1,0,,,,1,1,19,7-17,1-2,268,324,22-40,6.3,17,30,0.6,0-0,0,0,0,19:17,,,,Pittsburgh,away,7,250010221,2004,1,postseason
0,1,10,0,2,4,5,25,8-10,0-1,467,337,29-37,8.9,139,31,4.5,0-0,1,1,0,17:23,,,,Utah,home,35,250010221,2004,1,postseason
1,1,10,0,2,1,2,13,0-11,0-2,264,260,22-36,6.8,21,21,1.0,0-0,3,3,0,13:26,2,0,2,Alabama,away,16,243660135,2004,1,postseason
3,1,10,0,4,0,8,23,8-18,1-2,351,75,5-13,5.8,276,72,3.8,0-0,3,1,2,23:14,,,,Minnesota,home,20,243660135,2004,1,postseason
2,0,11,0,3,,9,26,7-18,0-0,528,397,25-45,8.2,158,40,4.0,0-0,2,2,0,19:39,,,,Arizona State,away,27,243662509,2004,1,postseason
2,0,25,0,3,3,3,15,5-17,1-2,347,295,23-47,6.0,66,26,2.5,0-0,2,2,0,16:49,,,,Purdue,home,23,243662509,2004,1,postseason
0,0,81,1,7,1,9,16,4-13,0-0,277,171,13-24,7.1,106,36,2.9,0-0,2,1,1,17:31,28,0,2,Miami,away,27,243660057,2004,1,postseason
1,0,17,0,5,1,4,22,5-17,1-2,406,302,19-39,6.7,144,40,3.6,0-0,2,0,2,19:10,4,0,1,Florida,home,10,243660057,2004,1,postseason
2,3,14,0,1,1,10,15,4-17,2-4,284,216,15-31,6.3,88,38,2.3,0-0,1,0,1,16:25,112,1,2,Boise State,away,40,243660097,2004,1,postseason
0,3,36,0,5,3,8,29,7-14,0-1,564,235,21-31,7.6,329,50,6.6,0-0,4,2,2,20:15,0,0,1,Louisville,home,44,243660097,2004,1,postseason
0,2,26,0,4,1,3,13,6-16,0-2,292,135,6-22,5.5,170,41,4.1,0-0,1,0,1,17:12,,,,Troy,away,21,243652653,2004,1,postseason
0,4,43,0,5,0,10,17,6-16,0-1,359,146,8-24,6.1,213,44,4.8,0-0,0,0,0,19:29,17,0,1,Northern Illinois,home,34,243652653,2004,1,postseason
0,2,2,0,1,1,1,23,6-11,0-2,419,212,15-24,8.6,212,42,5.0,0-0,3,1,2,16:59,,,,New Mexico,away,19,243652426,2004,1,postseason
1,3,,,,1,10,22,8-14,2-2,393,124,5-8,15.5,269,58,4.6,0-0,0,0,0,19:40,0,0,2,Navy,home,34,243652426,2004,1,postseason
0,3,32,0,5,2,7,20,8-20,2-2,477,250,25-35,7.1,228,46,5.0,0-0,1,1,0,20:38,,,,Boston College,away,37,243650153,2004,1,postseason
1,0,10,0,3,3,6,22,6-16,0-1,364,274,23-41,6.3,105,33,3.2,0-0,0,0,0,16:01,,,,North Carolina,home,24,243650153,2004,1,postseason
0,3,11,0,3,3,9,30,7-15,1-1,597,529,39-60,8.7,77,21,3.7,0-0,1,1,0,17:20,48,0,1,Texas Tech,away,45,243650025,2004,1,postseason
1,3,11,0,3,1,7,27,5-13,0-0,467,252,24-42,5.9,221,39,5.7,0-0,1,0,1,19:19,,,,California,home,31,243650025,2004,1,postseason
1,1,2,0,4,2,15,23,4-15,1-1,490,354,24-33,10.1,157,44,3.6,0-0,0,0,0,22:28,1,0,2,Colorado,away,33,243642638,2004,1,postseason
0,2,11,0,3,2,4,19,5-13,1-2,362,336,22-42,7.8,34,27,1.3,0-0,3,1,2,14:11,,,,UTEP,home,28,243642638,2004,1,postseason
1,1,1,0,3,0,1,15,4-15,1-2,286,141,15-35,3.9,149,30,5.0,0-0,2,1,1,15:10,,,,Oklahoma State,away,7,243640197,2004,1,postseason
1,1,10,0,2,1,15,19,6-15,0-0,403,189,17-27,7.0,214,42,5.1,0-0,1,1,0,21:30,9,0,1,Ohio State,home,33,243640197,2004,1,postseason
0,1,7,0,1,2,3,17,7-16,0-0,276,230,18-33,6.6,59,33,1.8,0-0,1,0,1,20:59,,,,Notre Dame,away,21,243630087,2004,1,postseason
0,1,77,0,6,4,8,19,5-14,1-1,378,381,28-45,8.0,20,18,1.1,0-0,0,0,0,15:34,37,0,1,Oregon State,home,38,243630087,2004,1,postseason
0,2,34,0,4,0,5,22,9-20,1-3,409,114,10-28,4.1,295,59,5.0,0-0,0,0,0,18:34,41,0,1,Iowa State,home,17,243630066,2004,1,postseason
0,1,72,0,3,1,1,18,2-13,0-2,300,257,20-44,5.5,60,25,2.4,0-0,1,0,1,18:06,,,,Miami (OH),away,13,243630066,2004,1,postseason
0,1,7,0,1,0,4,20,7-18,0-2,281,214,22-40,5.1,78,39,2.0,0-0,3,1,2,19:18,0,0,1,Toledo,away,10,243622649,2004,1,postseason
1,1,69,1,3,2,15,20,8-17,1-1,398,239,20-41,5.8,159,31,5.1,0-0,1,0,1,17:39,0,0,2,Connecticut,home,39,243622649,2004,1,postseason
0,3,,,,1,,21,8-15,1-1,422,164,18-31,5.2,260,36,7.2,0-0,0,0,0,16:32,,,,Virginia,away,34,243620278,2004,1,postseason
0,0,0,0,2,5,7,25,8-16,1-2,457,235,23-38,6.2,222,38,5.8,0-0,0,0,0,20:09,,,,Fresno State,home,37,243620278,2004,1,postseason
1,2,90,1,5,4,11,23,5-12,0-1,489,413,31-47,8.6,84,16,5.3,0-0,1,1,0,16:18,15,0,1,Hawai'i,away,59,243590005,2004,1,postseason
1,3,14,0,4,2,10,31,6-15,1-2,590,425,31-54,7.7,173,36,4.8,0-0,2,1,1,20:08,,,,UAB,home,40,243590005,2004,1,postseason
3,0,1,0,2,3,6,19,4-14,1-1,405,350,21-38,8.7,76,30,2.5,0-0,1,0,1,18:22,,,,Wyoming,away,24,243582751,2004,1,postseason
0,0,31,0,3,3,3,19,5-15,0-1,311,222,13-24,7.7,126,42,3.0,0-0,3,3,0,18:11,48,0,1,UCLA,home,21,243582751,2004,1,postseason
0,0,8,0,1,1,2,11,4-14,2-3,134,157,14-32,4.3,-3,21,-0.1,0-0,3,2,1,12:50,36,1,2,Marshall,away,14,243582132,2004,1,postseason
2,0,19,0,1,2,12,24,10-19,2-3,399,231,24-39,5.9,168,45,3.7,0-0,2,0,2,23:36,9,0,1,Cincinnati,home,32,243582132,2004,1,postseason
1,1,11,0,2,4,,21,5-13,1-1,414,324,26-39,8.3,90,27,3.3,0-0,2,1,1,16:19,5,0,1,Memphis,home,35,243570235,2004,1,postseason
1,2,0,0,2,5,10,29,9-16,0-0,558,382,26-44,8.3,193,43,4.5,0-0,2,1,1,20:34,20,0,1,Bowling Green,away,52,243570235,2004,1,postseason
2,1,8,0,2,1,0,20,4-12,1-2,277,278,22-39,5.9,47,31,1.5,0-0,3,1,2,14:50,0,0,1,Syracuse,away,14,243560059,2004,1,postseason
1,4,7,0,2,2,7,26,8-13,0-1,514,228,13-20,11.4,286,53,5.4,0-0,3,2,1,21:50,20,1,2,Georgia Tech,home,51,243560059,2004,1,postseason
1,0,-5,0,1,2,1,19,3-12,1-2,375,310,21-38,7.9,76,22,3.5,0-0,2,0,2,16:26,0,0,1,Virginia Tech,away,13,250030259,2004,1,postseason
0,0,17,0,3,1,10,14,6-15,0-0,299,206,11-16,11.8,110,43,2.6,0-0,2,1,1,20:14,36,0,2,Auburn,home,16,250030259,2004,1,postseason
2,2,7,0,2,5,13,19,4-14,2-2,525,341,18-35,9.5,193,28,6.9,0-0,0,0,0,15:33,31,0,3,USC,away,55,250040030,2004,1,postseason
0,0,2,0,3,2,5,19,8-17,0-1,372,264,24-36,6.8,128,40,3.2,0-0,5,2,3,21:06,,,,Oklahoma,home,19,250040030,2004,1,postseason
2,2,8,0,1,1,12,23,5-14,0-0,458,168,16-31,5.1,301,42,7.2,0-0,3,1,2,19:23,17,0,2,Florida State,away,30,250010277,2004,1,postseason
1,0,11,0,1,1,0,24,4-11,0-3,429,191,13-30,6.4,238,47,5.1,0-0,4,2,2,17:11,3,0,2,West Virginia,home,18,250010277,2004,1,postseason
1,2,22,0,7,1,7,17,4-13,0-1,403,255,16-30,8.2,156,32,4.9,0-0,3,2,1,16:51,62,1,2,Southern Mississippi,away,31,243492572,2004,1,postseason
2,0,-8,0,2,1,4,17,3-14,1-1,212,162,15-30,4.5,78,39,2.0,0-0,3,1,2,19:48,3,0,1,North Texas,home,10,243492572,2004,1,postseason
